14S2.	H/O: kidney recipient
XaM4f	OS interventions associated with transplantation of kidney
XaM4g	Interventions associated with transplantation of kidney NOS
XaM4j	Post-transplantation of kidney examination, live donor
XaM4l	Post-transplantation of kidney examination, recipient
XaMKM	Allotransplantation of kidney from cadaver NEC
XaMm9	Allotransplantation of thymus gland
XaMMe	Orthotopic transplantation of liver NEC
XaMmq	Other specified transplantation of thymus gland
XaMms	Transplantation of thymus gland NOS
XaYR1	Bronchiolitis obliterans syndrome after lung transplantation
XaZe2	Rupture of artery of transplanted kidney
XaZe3	Rupture of vein of transplanted kidney
XaZe7	Stenosis of vein of transplanted kidney
XaZkw	Aneurysm of vein of transplanted kidney
XaZl0	Aneurysm of artery of transplanted kidney
XaZWa	Urological complication of renal transplant
XaZYx	Vascular complication of renal transplant
XC0CV	Transplant
XE0Fv	Transplant nephrectomy
XE1p5	Transplanted organ failure
XE1pM	[X]Failure & rejection of other transplanted organ & tissue
XM0Bl	Transplant disorder
XSC3p	Complication of transplanted lung
Y1602	Kidney-pancreas transplant
ZV42.	[V]Transplanted organ or tissue
ZV420	[V]Kidney transplanted
ZV421	[V]Heart transplanted
ZV422	[V]Heart valve transplanted
ZV423	[V]Skin transplanted
ZV424	[V]Bone transplanted
ZV425	[V]Cornea transplanted
ZV426	[V]Lung transplanted
ZV427	[V]Liver transplanted
14S6.	H/O: bone tissue recipient
7B063	Exploration of renal transplant
X00y3	Heart transplant
Xa1dw	Transplant kidney
XaM4i	Pre-transplantation of kidney work-up, live donor
