bb31.	Verapamil hydrochloride 40mg tablet
blcj.	Vascalpha 10mg m/r tablet
blck.	Cardioplen XL 5mg m/r tablet
blcl.	Cardioplen XL 10mg m/r tablet
blcr.	CARDIOPLEN XL 2.5mg m/r tablets
blct.	FELOTENS XL 2.5mg m/r tablets
ble1.	Lacidipine 2mg tablet
ble2.	Lacidipine 4mg tablet
ble3.	Motens 2mg tablet
ble4.	Motens 4mg tablet
blg1.	Nisoldipine 10mg m/r tablet
blg2.	Nisoldipine 20mg m/r tablet
blg3.	Nisoldipine 30mg m/r tablet
blg4.	Syscor MR 10mg m/r tablet
blg5.	Syscor MR 20mg m/r tablet
blg6.	Syscor MR 30mg m/r tablet
blh1.	Lercanidipine hydrochloride 10mg tablet
blh2.	Zanidip 10mg tablet
blh3.	Lercanidipine hydrochloride 20mg tablet
blh4.	Zanidip 20mg tablet
blj1.	Zemtard 120 XL m/r capsule
blj2.	Zemtard 180 XL m/r capsule
blj3.	Zemtard 240 XL m/r capsule
bljb.	RETALZEM MR 60mg m/r tablets
bljC.	BI-CARZEM SR 60mg m/r capsule
bljD.	BI-CARZEM SR 90mg m/r capsule
bljE.	BI-CARZEM SR 120mg m/r capsule
bljF.	Zildil SR 60mg m/r capsule
bljG.	Zildil SR 90mg m/r capsule
bljH.	Zildil SR 120mg m/r capsule
bljJ.	Slozem 300mg m/r capsule
bljM.	Zemret 180 XL m/r capsule
bljN.	Zemret 240 XL m/r capsule
bljO.	Zemret 300 XL m/r capsule
bljP.	Adizem-XL 200mg m/r capsule
bljQ.	Disogram SR 60mg m/r capsule
bljR.	Disogram SR 90mg m/r capsule
bljS.	Disogram SR 120mg m/r capsule
bljT.	Disogram SR 180mg m/r capsule
bljU.	Disogram SR 240mg m/r capsule
bljV.	Disogram SR 300mg m/r capsule
bljW.	Horizem SR 90mg m/r capsule
bljX.	Horizem SR 120mg m/r capsule
bll1.	Slofedipine XL 30mg m/r tablet
bll2.	Slofedipine XL 60mg m/r tablet
bll5.	Hypolar XL 30 m/r tablet
bll6.	Calchan MR 20mg m/r tablet
bll7.	Calchan MR 10mg m/r tablet
bllb.	Valni 20 Retard 20mg m/r tablet
bllc.	Adipine XL 30mg m/r tablet
blld.	Adipine XL 60mg m/r tablet
bllg.	VALNI XL 30mg m/r tablets
bllh.	VALNI XL 60mg m/r tablets
bllk.	ADANIF XL 30mg m/r tablets
blll.	ADANIF XL 60mg m/r tablets
dt11.	Nimodipine 10mg/50mL infusion
dt12.	Nimotop 10mg/50mL infusion
dt13.	Nimodipine 30mg tablet
dt14.	Nimotop 30mg tablet
x00Th	Univer 120mg m/r capsule
x00Ti	Univer 180mg m/r capsule
x00Tj	Univer 240mg m/r capsule
