A72..00	Mumps
A5...00	Viral diseases with exanthem
A3By800	Coliform bacteria
A541400	Herpesviral infection of perianal skin and rectum
A3B7.00	Pseudomonas infection
A57y111	Roseola infantum
A661100	American mountain tick fever
A125.00	Respiratory TB not confirmed bact or histologically
A31..00	Other mycobacterial diseases
L169.00	Herpes gestationis
A3B5.00	Haemophilus influenzae infection
A382.00	Pneumococcal septicaemia
A789A00	HIV disease resulting in wasting syndrome
A3B4.11	E.coli infection
A79y.11	Epstein-Barr virus
A9...00	Syphilis and other venereal diseases
A3B1100	Methicillin resistant staphylococcus aureus
N035.11	Charcot's arthropathy
A84X.00	Plasmodium falciparum malaria, unspecified
A532300	Ophthalmic herpes zoster infection
A788.11	Human immunodeficiency virus infection
A785X00	Cytomegaloviral disease, unspecified
A78X.00	Unspecified viral haemorrhagic fever
A796.00	Parvovirus infection
R055500	[D]Septic shock
A7...00	Other viral and chlamydial diseases
A384200	Escherichia coli septicaemia
A380100	Septicaemia due to streptococcus, group B
A79B.00	Human papilloma virus infection
A790.00	Adenovirus
A3Ay100	Toxic shock syndrome
A542.00	Herpetic gingivostomatitis
A076200	Enteritis due to rotavirus
A541100	Herpetic vulvovaginitis
A3B4.00	Escherichia coli infection
A654.12	Dengue haemorrhagic fever
A991.00	Lymphogranuloma venereum
A384300	Pseudomonas septicaemia
A570.12	Slapped cheek syndrome
A380400	Septicaemia due to enterococcus
AA41.00	Erythema chronicum migrans
A37..00	Tetanus
42YA.00	Malarial parasites
A532.00	Herpes zoster with ophthalmic complication
A784.00	Foot and mouth disease
A3B1111	Multiple resistent staphylococcus aureus
A560200	Rubella deafness
A57..00	Other viral exanthemata
A1z..00	Tuberculosis NOS
A380.00	Streptococcal septicaemia
AC33.00	Unspecified taeniasis
A076.11	Viral diarrhoea
A076z00	Enteritis due to specified virus NOS
A311.11	Buruli ulcer
AC00.00	Schistosoma haematobium
A22..00	Anthrax
AA24.00	Yaws gummata and ulcers
A39..00	Actinomycotic infections
A3Bz.00	Bacterial infection NOS
A076.12	Viral vomiting
A57z.00	Other viral exanthemata NOS
A381.00	Staphylococcal septicaemia
A061.11	Colitis - giardial
A394.00	Madura foot - actinomycosis
A100.00	Primary tuberculous complex
N015.00	Arthropathy associated with other viral diseases
A791.00	ECHO virus
A170100	Tuberculosis - lupus vulgaris
A3B6.00	Proteus infection
A18..00	Miliary tuberculosis
A79..00	Specific viral infections
H583100	Tropical eosinophilia
A77..00	Other disease conjunctiva due to viruses and chlamydiae NEC
A541200	Herpetic ulceration of vulva
65V9.11	TB - tuberculosis notification
AC...00	Helminthiases
A3BX500	Oth streptococcus/cause/diseases classified/oth chapters
G500311	TB - acute pericarditis
1B1G100	Viral headache
A07y100	Infantile viral gastroenteritis
A3BX200	Streptococc,group B/cause/disease classified/oth chapters
A54x300	Herpesviral vesicular dermatitis
A7y0X00	Adenovirus/cause of diseases classified to other chapters
R106.00	[D]Unspecified bacteraemia
ZV02100	[V]Typhoid carrier
A3BX700	Staphylococ aureus/cause/diseases classified/oth chapters
A3BX100	Streptococc,gp A/cause/disease classified/to oth chapters
A723.00	Mumps pancreatitis
A532400	Herpes zoster ophthalmicus
A173100	Tuberculous episcleritis
A782.00	Sweating fever
L090y00	Sepsis NOS following abortion/ectopic/molar pregnancy
A301.00	Tuberculoid leprosy (type T)
A261.00	Rat-bite Streptobacillary fever
A55z.00	Measles with no complication NOS
A27y.00	Other specified zoonotic bacterial disease
A52x.00	Varicella with other specified complications
A082111	Viral gastroenteritis
A821000	African tick virus
A5z..00	Viral diseases with exanthemata NOS
A53y.00	Herpes zoster with unspecified complication
A785.11	Salivary gland virus disease
A54..11	Herpes simplex viral infection
A87..00	Relapsing fever
A53z.00	Herpes zoster NOS
A541300	Herpetic infection of penis
AA23.00	Hyperkeratosis due to yaws
A78A000	Chlamydial infection of lower genitourinary tract
A10..00	Primary tuberculous infection
Q40y200	Septicaemia of newborn
A546.00	Herpes simplex whitlow
A751.00	Cytomegaloviral mononucleosis
A841X00	Plasmodium vivax malaria without complication
65V4.00	Notification of malaria
A79X.00	Enterovirus infection, unspecified
R055511	[D]Septicaemic shock
A7y..00	Other specified viral or chlamydial diseases
4J35.00	HIV p24 antigen level
A761.00	Trachoma - active stage
A931.00	Syphilitic aortitis
A980.00	Acute gonorrhoea of lower genitourinary tract
A840.00	Falciparum malaria - malignant
A81..00	Other typhus
A511.00	Pseudocowpox - Milker's node
A60..00	Yellow fever
65QA.00	AIDS carrier
A788.00	Acquired immune deficiency syndrome
AB64000	Actinomycetoma
L090z00	Septicaemia NOS following abortive pregnancy
A160.11	Renal tuberculosis
A789200	HIV disease resulting in candidiasis
A171000	Bazin's disease - erythema induratum - TB hypersensitivity
A384211	E.coli septicaemia
A7z..00	Other viral or chlamydial disease NOS
AE1..00	Late effects of acute poliomyelitis
A905200	Syphilitic saddle nose
A076000	Enteritis due to adenovirus
A124700	Primary respiratory TB confirm bact and histologically
A54y.00	Herpes simplex with unspecified complication
ZV01A00	[V]Asymptomatic human immunodeficency virus infection status
AB05.11	Herpes circinatus
A532000	Herpes zoster with dermatitis of eyelid
A752.00	Pfeiffer's disease
M143.00	Impetigo herpetiformis
A380300	Septicaemia due to streptococcus pneumoniae
A794.00	Ebola virus disease
A172z00	Tuberculosis of peripheral lymph nodes NOS
A7y0500	Papillomavirus as cause of diseases classif to oth chapters
4J34.00	HIV viral load
4JU..00	Presence of virus
A851.00	Urban cutaneous leishmaniasis
A311.13	Cutaneous mycobacterial infections
AC32.00	Taenia saginata infection
A531100	Geniculate herpes zoster
AC5z.00	Filariasis NOS
A56z.00	Rubella with no complication NOS
J63X.00	Granulomatous hepatitis, not elsewhere classified
A789500	HIV disease resulting in Kaposi's sarcoma
A076100	Enteritis due to enterovirus
A86..11	Sleeping sickness
A384100	Haemophilus influenzae septicaemia
A311.12	Mycobacterium marinum infection
F4K4400	Argyll Robertson pupil
A96..00	Late latent syphilis
A97z.00	Syphilis NOS
A911.00	Primary anal syphilis
A39z100	Nocardiosis NOS
A940.11	Locomotor ataxia
AE0..00	Late effects of tuberculosis
A14y300	Tuberculosis of mesenteric lymph glands
A55..11	Morbilli
A79y.00	Other specific viral infection
A55xz00	Measles with other specified complication NOS
A84W.00	Plasmodium malariae malaria without complication
A54z.00	Herpes simplex no complication NOS
A380000	Septicaemia due to streptococcus, group A
A54..12	Scrum pox
A661.00	Tick-borne fever
A381000	Septicaemia due to Staphylococcus aureus
A173400	Tuberculous keratoconjunctivitis
A52z.00	Varicella with no complication NOS
A170z00	Tuberculosis of skin and subcutaneous tissue NOS
SP38000	Septic shock due to transfusion
AA2..00	Yaws
A3y..00	Other specified bacterial diseases
A6...00	Arthropod-borne viral diseases
A72z.11	Epidemic parotitis
A30..00	Leprosy
A14y200	Tuberculosis of small intestine
J691.00	Tropical sprue
A384000	Gram negative septicaemia NOS
A74..00	Specific diseases due to coxsackie virus
A915.00	Uveitis due to secondary syphilis
A124.00	Resp TB bacteriologically and histologically confirmed
A383.00	Septicaemia due to anaerobes
A180000	Acute miliary tuberculosis of a single specified site
A94y600	Rupture of syphilitic cerebral aneurysm
A793.00	Rhinovirus
A041.00	Botulism
65V9.00	Notification of tuberculosis
A18y.00	Other specified miliary tuberculosis
A841.00	Vivax malaria - benign tertian
A3z..00	Other bacterial disease NOS
A848.00	Blackwater fever
A200.00	Bubonic plague
42Y5.00	RBC malaria parasitaemia count
AC50.00	Bancroftian filariasis
43D3.00	Legionella antibody positive
A3Byz00	Other specified bacterial infection NOS
AyuDG00	[X]Viral infection, unspecified
M145200	Senile dermatitis herpetiformis
AB2y300	Candidal septicaemia
A38z.00	Septicaemia NOS
A532z00	Herpes zoster with other ophthalmic complication
65VE.00	Notification of AIDS
A654000	Dengue haemorrhagic fever
A6z..00	Arthropod-borne viral disease NOS
AC0z.00	Schistosomiasis NOS
A54x.00	Herpes simplex with other specified complication
A1y..00	Other specified tuberculosis
AC25.00	Liver echinococcus multilocularis
A171100	Tuberculous erythema nodosum
A78y500	Lassa fever
A86..00	Trypanosomiasis
A850.12	Kala-azar
A384.00	Septicaemia due to other gram negative organisms
AC53.00	Onchocerciasis
4J32.00	Sample: virus identified
Q434000	Perinatal hepatitis causing jaundice, unspecified
A3A3.00	Necrobacillosis
A176.00	Tuberculosis of adrenal glands - Addison's disease
A3A4000	Nonpneumonic Legionnaires' disease
N015z00	Arthropathy associated with other viral disease NOS
A823.00	Queensland tick typhus
A78y.00	Other specified viral and chlamydial diseases
A54xz00	Herpes simplex with other specified complication NOS
A788z00	Acquired human immunodeficiency virus infection syndrome NOS
Q403.00	Tetanus neonatorum
N035.12	Neuropathic arthritis
AA...00	Other spirochaetal diseases
A789000	HIV disease resulting in mycobacterial infection
A913400	Secondary syphilis of tonsils
AC1..00	Other trematode infections
A173000	Tuberculous chorioretinitis
Ayu0E00	[X]Other viral enteritis
A16..00	Tuberculosis of genitourinary system
AC02.11	Asiatic schistosomiasis
A170300	Tuberculosis - lupus NOS
A98z.00	Gonococcal infections NOS
A12y000	Tuberculosis of mediastinum
A10z.00	Primary tuberculous infection NOS
A919.00	Unspecified secondary syphilis
683B.00	Clostridium difficile toxin detection
M070300	Pyoderma ulcerosum tropicalum
A85z.00	Leishmaniasis NOS
A173300	Tuberculous chronic iridocyclitis
A53xz00	Herpes zoster with other specified complication NOS
A31z.00	Mycobacterial disease NOS
A851000	Aleppo boil
A851100	Baghdad boil
A821400	Mediterranean tick fever
M243200	Poliosis eccentrica
A510.00	Cowpox
Q40A000	Sepsis of newborn due to Staphylococcus aureus
F374400	Polyneuropathy in herpes zoster
J082300	Herpetic aphthous ulceration
A36z.00	Meningococcal infection NOS
AA26.15	Periostitis of yaws
A98yy00	Other gonococcal infection of other specified site
A980z00	Acute gonorrhoea of lower genitourinary tract NOS
A17y200	Tuberculosis pericardium
AA2..12	Pian (yaws)
AC7y.00	Mixed intestinal helminthiasis
A3BXD00	H influenzae as cause/diseases classified/other chapters
L040011	Spontaneous abortion with sepsis
A851200	Delhi boil
AA40.00	Nonvenereal endemic syphilis
A172011	Scrofula - tuberculous cervical lymph nodes
A273.00	Extraintestinal yersiniosis
A125200	Prim respiratory TB without mention of bact or hist confirm
L169z00	Herpes gestationis NOS
AC8y100	Capillaria hepatica
A95y.00	Other specified late syphilis
AE02.00	Late effects of genitourinary system tuberculosis
A221.11	Wool-sorters' disease
A311.00	Cutaneous mycobacterial infections
Eu02400	[X]Dementia in human immunodef virus [HIV] disease
A6y..00	Other specified arthropod-borne viral diseases
A66y100	Piry fever
M243300	Poliosis -acquired
A761.11	Trachoma inclusion conjunctivitis
A3Bx.00	Bacteria causing diseases classified elsewhere
A3Ayz00	Other specified bacterial disease NOS
AA0z.00	Leptospirosis NOS
A3By.00	Other specified bacterial infection
AyuKH11	[X]Coliform bacteria/cause/disease classifd/oth chapters
Q403100	Tetanus omphalitis
L171300	Maternal gonorrhoea in pregnancy - baby not yet delivered
L171.00	Maternal gonorrhoea during pregnancy/childbirth/puerperium
A941.11	General paralysis of insane
A940.00	Tabes dorsalis - neurosyphilis
A985200	Gonococcal bursitis
A180100	Acute miliary tuberculosis of multiple sites
L175.00	Maternal rubella in pregnancy, childbirth and the puerperium
AC22.00	Thyroid echinococcus granulosus
A10y.00	Other primary progressive tuberculosis
A381100	Septicaemia due to coagulase-negative staphylococcus
A854.00	American cutaneous leishmaniasis
A53x.00	Herpes zoster with other specified complication
SP20100	Postoperative septic shock
A3BX800	Oth staphylococcus/cause/diseases classified/oth chapters
A31y.00	Other specified mycobacterial disease
A797.00	Papovavirus infection
A785.00	Cytomegalic inclusion disease
A57y.00	Other specified viral exanthemata
A822000	Siberian tick typhus
M261G00	Acne agminata
N010A00	Arthritis in Lyme disease
SP25400	Postoperative septicaemia
A173.00	Tuberculosis of eye
A124500	Tuberculosis of larynx, trachea & bronchus conf bact/hist'y
A917.00	Secondary syphilis relapse
A860.00	Chagas' disease with heart involvement
A121100	Tuberculosis of mediastinal lymph nodes
A785100	Cytomegaloviral pancreatitis
R109.00	[D]Laboratory evidence of human immunodefiency virus [HIV]
A72z.00	Mumps with no complication
A789.00	Human immunodef virus resulting in other disease
A261.11	Haverhill fever
AC57.00	Dracontiasis - guinea worm
A74z.00	Coxsackie viral diseases NOS
A171.00	Tuberculosis with erythema nodosum hypersensitivity reaction
A789600	HIV disease resulting in Burkitt's lymphoma
A124400	TB intrathoracic lymph nodes confirm bact histologically
A812.00	Scrub mite-borne typhus
N307z00	Poliomyelitis osteopathy NOS
A3BX600	Unspecf streptococ/cause/diseases classified/oth chapters
A221.00	Pulmonary anthrax
A56..13	Liberty measles
A56xz00	Rubella with other specified complication NOS
A15..13	Tuberculous synovitis
A74y.00	Other specified coxsackie virus disease
AA00.11	Spirochaetal jaundice
A20..00	Plague
A3BXF00	Pseudomonas as cause/diseases classifd to other chapters
A300.00	Lepromatous leprosy (type L)
A17z.00	Tuberculosis of other organs NOS
AE23.00	Sequelae of viral hepatitis
A7y0400	Parvovirus as cause of diseases classified to oth chapters
R055200	[D]Endotoxic shock
A75..12	Pfeiffer's disease
A17y400	Tuberculosis of liver
A30..11	Hansen's disease
A17yz00	Tuberculosis of other specified organs NOS
A220.00	Cutaneous anthrax
A798.00	Retrovirus infection
A847.00	Induced malaria
A170.11	Lupus - tuberculous
AC7x.11	Physalopteriasis
A73..11	Parrot fever
AC7x.00	Other specified intestinal helminthiases
A17y.00	Tuberculosis of other specified organs
A370.00	Obstetrical tetanus
AC01.00	Schistosoma mansoni
A852.00	Asian desert cutaneous leishmaniasis
A121z00	Tuberculosis of intrathoracic lymph nodes NOS
65Y1.00	On tuberculosis chemoprophylaxis
AC30.00	Taenia solium infection, intestinal form
A4y..00	Other enterovirus diseases of central nervous system
A554.00	Measles with intestinal complications
A170200	Tuberculosis - scrofuloderma
A78..00	Other viral or chlamydial diseases
A788U00	HIV disease result/haematological+immunologic abnorms,NEC
AC32.11	Beef tapeworm infection
Q40W.00	Sepsis of newborn due to other+unspecified streptococci
65VD.00	Notification of acute polio
A170.00	Tuberculosis of skin and subcutaneous tissue
A33..11	Bordetella
F4A5400	Keratitis due to syphilis
A912300	Primary tonsil syphilis
A846.00	Unspecified malaria
A55y.00	Measles with unspecified complication
A39z.00	Actinomycosis unspecified site
A871.00	Tick-borne relapsing fever
A545.00	Herpes simplex septicaemia
AAz..00	Spirochaetal infection NOS
A220.11	Malignant pustule
A392.00	Abdominal actinomycosis
A812.12	Kedani fever
AC51.00	Malayan filariasis
L174.00	Maternal malaria in pregnancy, childbirth and the puerperium
A14y500	Tuberculosis of retroperitoneal lymph nodes
A844000	Malaria due to simian plasmodia
A57y400	Pseudoscarlatina
A861000	Chagas' disease with digestive system involvement
A121200	Tuberculosis of tracheobronchial lymph nodes
A3BXG00	Bacillus fragilis/cause/diseases classified/oth chapters
N035.00	Neuropathic arthropathy
A380500	Vancomycin resistant enterococcal septicaemia
A3B6000	Proteus mirabilis infection
A7y0.00	Viral agent as the cause of other diseases
A795.00	Coronavirus infection
A302.00	Indeterminate leprosy (type I)
A789400	HIV disease resulting in multiple infections
A2...00	Zoonotic bacterial diseases
A16z.00	Genitourinary tuberculosis NOS
A903.00	Syphilitic interstitial keratitis
A912.00	Other primary syphilis
A531000	Herpes zoster with other CNS complications
M142.00	Juvenile dermatitis herpetiformis
A36yz00	Other specified meningococcal infection NOS
A3BX300	Streptococc,group D/cause/disease classified/oth chapters
A663000	Bunyamwera fever
A4y1.00	Enteroviral exanthematous fever
AA2..11	Framboesia
A172100	Scrofulous tuberculous abscess
A78yz00	Other specified viral and chlamydial diseases NOS
N015x00	Arthropathy with other viral disease, of multiple sites
A789X00	HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu
AC8..00	Other and unspecified helminthiases
A663D00	Zika fever
A531.00	Herpes zoster with other central nervous system complication
A53x100	Disseminated zoster
A3BXC00	E coli as cause of diseases classified to other chapters
A663100	Bwamba fever
K1A..00	Urinary calculus in schistosomiasis
AyuK100	[X]Streptococc,group B/cause/disease classified/oth chapters
Ayu3S00	[X]Staphylococcal infection, unspecified
Ayu3R00	[X]Other specified bacterial diseases
AyuK600	[X]Staphylococ aureus/cause/diseases classified/oth chapters
A5y..00	Other specified viral diseases with exanthemata
AyuA700	[X]Measles without complication
A38y.00	Other specified septicaemias
A18z.00	Miliary tuberculosis NOS
A122z00	Isolated tracheal or bronchial tuberculosis NOS
A80..00	Louse-borne epidemic typhus
A788400	Human immunodeficiency virus with neurological disease
Ayu3J00	[X]Septicaemia, unspecified
A3B6z00	Proteus infection NOS
Ayu3L00	[X]Actinomycosis, unspecified
AyuER00	[X]Mycetoma, unspecified
AyuDF00	[X]Other viral infections of unspecified site
AyuD300	[X]Mumps without complication
A9z..00	Syphilis or venereal disease NOS
H5y0100	Tracheostomy sepsis
L169300	Herpes gestationis - not delivered
A3By600	Coccal infection NEC
N307.00	Osteopathy from poliomyelitis
A3B..00	Bacterial infections - causative organisms
A20y200	Plague - pestis minor
AC2..00	Echinococcosis
A7y0100	Retrovirus as cause of diseases classified to other chapters
A92..00	Latent early syphilis
A384400	Serratia septicaemia
AC02.00	Schistosoma japonicum
A98yz11	Gonococcaemia NOS
A850.11	Dumdum fever
L170.00	Maternal syphilis in pregnancy/childbirth/puerperium
A3By500	Serratia infection
A57y200	Fourth disease
Ayu1300	[X]Resp TB unspcf,w'out mention/bacterial or histol confrmtn
A57yz00	Other specified viral exanthemata NOS
AB64.11	Madura foot, mycotic
A3A..00	Other bacterial diseases
A54x000	Visceral herpes simplex
A173200	Tuberculous interstitial keratitis
Q407500	Neonatal candida septicaemia
A55x.00	Measles with other specified complication
A17..00	Tuberculosis of other organs
L175300	Maternal rubella during pregnancy - baby not yet delivered
A72x.00	Mumps with other specified complications
A971.00	Latent syphilis unspecified
AA23.11	Ghoul hand
G532000	Concato's disease
AyuK.00	[X]Bacterial, viral and other infectious agents
Q40A100	Sepsis of newborn due to Escherichia coli
A941.12	Taboparesis
AA21.00	Multiple papillomata and wet crab yaws
A98y000	Gonococcal keratosis
F4Cy000	Filarial infection of conjunctiva
A56..12	French measles
A251.00	Subacute and chronic melioidosis
A4zz.00	Non-arthropod-borne viral diseases of CNS NOS
A171z00	Erythema nodosum with tuberculosis NOS
AA21.11	Butter yaws
A843.00	Ovale malaria
G500300	Acute pericarditis - tuberculous
A3BX.00	Bacterial causes of diseases classified elsewhere
AA00.00	Leptospirosis icterohaemorrhagica
G767.00	Aortitis - syphilitic
AC03.00	Cutaneous schistosomiasis
A3BXK00	Met resist stap aureus cause disease class other chapters
A39zz00	Actinomycosis unspecified site NOS
AC20.00	Liver echinococcus granulosus
L173000	Maternal tuberculosis,unspec whether in pregnancy/puerperium
A174.00	Tuberculosis of ear
A94y200	Syphilitic disseminated retinochoroiditis
A91..00	Early symptomatic syphilis
A121.00	Tuberculosis of intrathoracic lymph nodes
A788000	Acute human immunodeficiency virus infection
A788100	Asymptomatic human immunodeficiency virus infection
A52y.00	Varicella with unspecified complications NOS
A3BXH00	Clostridium perfring/cause/diseases classfd/oth chapters
43v..00	CD4 immune monitoring
A787100	Machupo haemorrhagic fever
A202.00	Septicaemic plague
L433.12	Septic obstetric embolism
A861.00	Chagas' disease with other organ involvement
A76z.00	Unspecified trachoma
A982.00	Chronic gonorrhoea lower genitourinary tract
AC0y300	Schistosoma spindale
AC7..00	Other intestinal helminthiases
A862.00	Chagas' disease without mention of organ involvement
AC8yz00	Other specified helminthiasis NOS
A821100	India tick virus
A25..00	Melioidosis
A863.00	Gambian trypanosomiasis
A3BX900	Unspcfd staphlococ/cause/diseases classified/oth chapters
Q40A300	Perinatal coagulase negative staphylococcus
A250.00	Acute and fulminating melioidosis
A91X.00	Early syphilis, unspecified
A916.00	Secondary syphilis of viscera or bone
AA4z.00	Other spirochaetal infection NOS
A913.00	Secondary syphilis of skin or mucus membranes
AE0z.00	Late effects of tuberculosis NOS
A626.00	Rocio virus disease
A600.00	Sylvatic yellow fever
A60z.00	Yellow fever unspecified
A39z000	Maduromycosis NOS
A770.11	Paratrachoma
A2z..00	Zoonotic bacterial disease NOS
AA4y.00	Other specified spirochaetal infection
A170700	Tuberculosis papulonecrotica
A930.00	Syphilitic aortic aneurysm
A913500	Secondary syphilis of vulva
A3BXE00	Proteus(mirabilis)(morganii)cause/dis classfd/oth chapter
A113.00	Tuberculosis of bronchus
A880100	Cutaneous and mucocutaneous bartonellosis
AyuA100	[X]Herpesviral infection, unspecified
N015500	Arthropathy with other viral disease, of pelvic region/thigh
AA0yz12	Pretibial fever
AyuC.00	[X]Human immunodeficiency virus disease
A788y00	Human immunodeficiency virus with other clinical findings
H450.00	Pneumoconiosis associated with tuberculosis
A787.00	Arenaviral haemorrhagic fever
A663500	Mucambo fever
A72y.00	Mumps with unspecified complication
AC56000	Filariasis due to Brugia timori
G86y000	Chylocele - nonfilarial
A97..00	Other and unspecified syphilis
A531z00	Herpes zoster with other CNS complication NOS
Ayu3U00	[X]Haemophilus influenzae infection, unspecified
A880.00	Bartonellosis
A850.00	Visceral leishmaniasis
AC02.12	Katayama disease
A300000	Borderline lepromatous leprosy
L175100	Maternal rubella during pregnancy - baby delivered
A72xz00	Mumps with other specified complications NOS
AC5..00	Filarial infection and dracontiasis
AA2x000	Juxta-articular yaws nodules
A789900	HIV disease resulting in lymphoid interstitial pneumonitis
A970.00	Late syphilis unspecified
A810.00	Murine endemic flea typhus
A913z00	Secondary syphilis of skin or mucus membranes NOS
AE00.00	Late effects of respiratory tuberculosis
A832.00	Rickettsialpox
A81z.00	Other typhus NOS
A93y000	Syphilitic pericarditis
A912z00	Other primary syphilis NOS
A916.11	Secondary syphilis of bone
A663.00	Other mosquito-borne fever
A56y.00	Rubella with unspecified complication
N015600	Arthropathy with other viral disease, of lower leg
AC00.11	Vesical schistosomiasis
A789700	HIV dis resulting oth types of non-Hodgkin's lymphoma
A789100	HIV disease resulting in cytomegaloviral disease
AA2z.00	Unspecified yaws
L170100	Maternal syphilis during pregnancy - baby delivered
AA4..00	Other spirochaetal infections
A913300	Secondary syphilis of skin
A177.00	Tuberculosis spleen
N015400	Arthropathy with other viral disease, of hand
A786.00	Haemorrhagic nephrosonephritis
AC0y.00	Other specified schistosomiasis
AC2y.00	Liver echinococcus unspecified
A390.00	Cutaneous actinomycosis
A39y100	Cutaneous nocardiosis
M162400	Parapsoriasis herpetiformis
Q40y000	Intrauterine fetal sepsis, unspecified
A880.13	Verruga peruana
AC27.00	Unspecified echinococcus multilocularis
A663200	Chikungunya fever
A750.00	Gammaherpesviral mononucleosis
A788W00	HIV disease resulting in unspecified malignant neoplasm
A170000	Tuberculosis - lupus exedens
A3Ay.00	Other specified bacterial disease
AA40.12	Njovera
N015700	Arthropathy with other viral disease, of ankle and foot
A841000	Plasmodium vivax malaria with rupture of spleen
A393.00	Cervicofacial actinomycosis
A39y.00	Other specified actinomycosis
A201.00	Cellulocutaneous plague
A932.11	Syphilitic valve disease
N015300	Arthropathy with other viral disease, of forearm
AA2y.00	Latent yaws
A7y0300	Reovirus as cause of diseases classified to other chapters
A821200	Kenya tick virus
AA23.12	Worm-eaten soles
L169000	Herpes gestationis unspecified
A122.00	Isolated tracheal or bronchial tuberculosis
N015000	Arthropathy with other viral disease, of unspecified site
A982200	Chronic gonococcal vulvovaginitis
N307600	Poliomyelitis osteopathy of the lower leg
A125X00	Resp TB unspcf,w'out mention/bacterial or histol confrmtn
A845.00	Mixed malaria
A654.11	Chikungunya haemorrhagic fever
J100000	Megaoesophagus in Chagas' disease
A788200	HIV infection with persistent generalised lymphadenopathy
AyuC600	[X]HIV disease resulting in other non-Hodgkin's lymphoma
AyuF100	[X]Plasmodium falciparum malaria, unspecified
N017100	Helminthiasis with arthropathy of the shoulder region
A918100	Syphilitic alopecia
A940.12	Syphilitic posterior spinal sclerosis
A844.00	Other malaria
A912000	Primary breast syphilis
A20z.00	Plague unspecified
AyuA500	[X]Zoster without complications
Ayu3X00	[X]Bacterial infection, unspecified
AyuF700	[X]Unspecified malaria
Ayu3600	[X]Other tetanus
AyuA300	[X]Varicella without complications
Ayu3V00	[X]Mycoplasma infection, unspecified
G717.00	Aortic aneurysm - syphilitic
AC0y000	Schistosoma bovis
A56x.00	Rubella with other specified complication
A173z00	Tuberculosis of eye NOS
A849.00	Other malaria complications
A788500	Human immunodeficiency virus with secondary infection
AC8y.00	Other specified helminthiases
A782.11	Miliary fever
AE04.00	Late effects of tuberculosis of other specified organs
AA25.00	Gangosa - tertiary yaws
A654.00	Mosquito-borne haemorrhagic fever
A788X00	HIV disease resulting/unspcf infectious+parasitic disease
A3B6100	Proteus morganii infection
L169200	Herpes gestationis - delivered with postnatal complication
A98y.00	Gonococcal infection of other specified sites
A180.00	Acute miliary tuberculosis
Ayu3H00	[X]Other specified septicaemia
AA2x100	Mucosal yaws
A3By200	Mima polymorpha infection
AA0yz00	Other specified leptospiral infection NOS
A272z11	Pseudotuberculosis
AAy..00	Other specified spirochaetal infections
A94y500	Syphilitic acoustic neuritis
Ayu0F00	[X]Viral intestinal infection, unspecified
Ayu1600	[X]Tuberculosis of other specified organs
N307700	Poliomyelitis osteopathy of the ankle and foot
A384z00	Other gram negative septicaemia NOS
Ayu3G00	[X]Septicaemia due to other gram-negative organisms
ZVu1300	[X]Carrier of other specified bacterial diseases
AyuAA00	[X]Rubella without complication
A915100	Secondary syphilitic chorioretinitis
AyuD900	[X]Other specified viral diseases
AyuDD00	[X]Parvovirus infection, unspecified
Ayu3D00	[X]Meningococcal infection, unspecified
Ayu1.00	[X]Tuberculosis
