^ESCT1165488	Perichondritis of trachea
^ESCTCH344547	Chronic seromucinous otitis media
^ESCTCH378254	Chronic middle ear effusion
^ESCTCH378264	Chronic transudative otitis media
^ESCTCH378265	Chronic secretory otitis media
^ESCTCH378266	Chronic MEE - Chronic middle ear effusion
^ESCTCH378267	Chronic non-suppurative otitis media with effusion
^ESCTCH382629	Chronic non-suppurative otitis media with effusion - serous
^ESCTCH392483	Chronic tubotympanic suppurative otitis media
^ESCTCH395854	Chronic tympanitis
^ESCTCH395856	Chronic myringitis
^ESCTCH417160	Chronic suppurative mastoiditis
^ESCTCH477463	Chronic eustachian salpingitis
^ESCTCH503382	Chronic non-suppurative otitis media
^ESCTCH503385	Chronic non-suppurative otitis media without effusion
^ESCTCH710837	Chronic otitis media after insertion of tympanic ventilation tube
^ESCTCH710838	Chronic otitis media after insertion of grommet
^ESCTCH733478	Cholesterin granuloma of mastoid
^ESCTCH737562	Chronic otitis media with sanguineous effusion
^ESCTCI503402	Citelli's abscess
^ESCTCR365782	Croup syndrome
^ESCTCS311845	CSOM - Chronic suppurative otitis media
^ESCTDI331335	Diphtheritic laryngotracheitis
^ESCTDR653082	Drainage of abscess of peritonsillar tissues
^ESCTEM256320	Empyema of mastoid
^ESCTEU551711	Eustachian salpingitis
^ESCTEX302763	Exudative otitis media
^ESCTFI262241	Fibrotic adhesive otitis media
^ESCTFU474385	Fusospirochetal pharyngitis
^ESCTFU474386	Fusospirochaetal pharyngitis
^ESCTFU514790	Fusobacterial necrotizing tonsillitis
^ESCTGL378255	Glue ear - mucoid
^ESCTGL382626	Glue ear - serous
^ESCTGO370896	Gonorrhoea of pharynx
^ESCTGO370897	Gonorrhea of pharynx
^ESCTGO370898	Gonococcal pharyngitis
^ESCTGR311090	Gradenigo syndrome
^ESCTGR503375	Granular myringitis
^ESCTHA280192	Haemophilus influenzae otitis media
^ESCTHA369375	Haemophilus influenzae laryngotracheobronchitis
^ESCTHA782252	Haemophilus influenzae sinusitis
^ESCTIN278156	Infective tonsillitis
^ESCTIN294674	Infection due to Bordetella pertussis
^ESCTIN442266	Infection of ear
^ESCTIN601386	Infective otitis media
^ESCTIN761876	Invasive Aspergillus tracheobronchitis
^ESCTLT389641	LTB - Laryngotracheobronchitis
^ESCTMA276441	Malignant otitis media
^ESCTMA334979	Mastoid empyema
^ESCTME271268	Measles complicated by otitis media
^ESCTMY273561	Myringitis
^ESCTMY303948	Myringitis bullosa hemorrhagica
^ESCTMY303949	Myringitis bullosa haemorrhagica
^ESCTMY303950	Myringitis bullosa
^ESCTMY406381	Mycoplasmal tracheobronchitis
^ESCTMY688205	Mycosis leptothica
^ESCTOM356273	OM - Otitis media
^ESCTOM378257	OME - Otitis media with effusion
^ESCTON457758	On examination - tonsils - quinsy present
^ESCTON457760	On examination - follicular tonsillitis
^ESCTOT276442	Otitis media due to Pseudomonas aeruginosa
^ESCTOT311847	Otitis media with effusion - purulent
^ESCTOT378260	Otitis media with effusion
^ESCTOT378263	Otitis media with effusion - mucoid
^ESCTOT380666	Otitis media with effusion
^ESCTOT503383	Otitis media with effusion - sanguinous
^ESCTOT503384	Otitis media with effusion - bloody
^ESCTOT551710	Otosalpingitis
^ESCTOT782221	Otitis media caused by Streptococcus pneumoniae
^ESCTOT846662	Otitis media due to scarlet fever
^ESCTPE317617	Persistent mucosal disease with posterior AND/OR superior marginal perforation of ear drum
^ESCTPE388063	Peripharyngeal abscess
^ESCTPE798739	Perforation of tympanic membrane due to otitis media
^ESCTPH286935	Pharyngeal cellulitis
^ESCTPN374665	Pneumococcal pharyngitis
^ESCTPN420013	Pneumococcal tonsillitis
^ESCTPO271266	Post measles otitis media
^ESCTPO320653	Postauricular fistula
^ESCTPO320654	Postaural fistula
^ESCTPO320655	Postaural mastoid fistula
^ESCTPO367300	Postauricular mastoid abscess
^ESCTRA478023	RAT - Recurrent acute tonsillitis
^ESCTRE503380	Recurrent acute suppurative otitis media
^ESCTRE503381	Recurrent acute non-suppurative otitis media
^ESCTRE503627	Recurrent allergic croup
^ESCTRE801072	Recurrent croup
^ESCTRE845868	Recurrent acute suppurative otitis media with spontaneous rupture of ear drum
^ESCTSE253031	Seromucinous otitis media
^ESCTSE320635	Septic sore throat
^ESCTSE378262	Secretory otitis media
^ESCTSI378253	Simple chronic mucoid otitis media
^ESCTSI382625	Simple chronic serous otitis media
^ESCTSI782219	Sinusitis caused by Streptococcus pneumoniae
^ESCTSI782251	Sinusitis caused by Haemophilus influenzae
^ESCTSO378261	SOM - Secretory otitis media
^ESCTSP801073	Spasmodic croup
^ESCTST268254	Staphylococcal tonsillitis
^ESCTST320637	Strept throat
^ESCTST320638	Strep throat
^ESCTST782220	Streptococcus pneumoniae sinusitis
^ESCTST782222	Streptococcus pneumoniae otitis media
^ESCTSU261095	Subacute nonsuppurative otitis media
^ESCTSU296291	Subacute exudative otitis media
^ESCTSU313204	Suppurative otitis media
^ESCTSU367298	Subperiosteal abscess of mastoid
^ESCTSU390420	Subacute transudative otitis media
^ESCTSU390421	Subacute otitis media with effusion
^ESCTSU394893	Subacute tubotympanic catarrh
^ESCTSU394894	Subacute catarrhal otitis media
^ESCTTO688204	Tonsillitis due to Gram negative bacteria
^ESCTTO688206	Tonsillitis caused by Gram negative bacteria
^ESCTTR342491	Tracheal abscess
^ESCTTR352407	Tracheitis
^ESCTTR378258	Transudative otitis media
^ESCTTR761874	Tracheobronchitis due to Aspergillus
^ESCTTR761877	Tracheobronchitis caused by Aspergillus
^ESCTTU366119	Tuberculosis of mastoid process
^ESCTTU376360	Tuberculosis of trachea
^ESCTTU389678	Tuberculous otitis media
^ESCTTU551712	Tubotympanitis
^ESCTTY273562	Tympanitis
^ESCTVI474383	Vincent's angina - pharyngitis
^ESCTVI474384	Vincent angina - pharyngitis
^ESCTVI503608	Vincent tonsillitis
^ESCTVI503622	Vincent laryngitis
^ESCTWC294676	WC - Whooping cough
JHCAC5	Acute otitis media
^ESCTAC283484	Acute bacterial epiglottitis
^ESCTME503582	Meningococcal pharyngitis
^ESCTST383724	Staphylococcal pharyngitis
