H03..00	Acute tonsillitis
A986.00	Gonococcal pharynx infection
H1yz000	Abscess of trachea
H040x00	Acute bacterial laryngitis unspecified
H023z00	Acute bacterial pharyngitis NOS
FyuP200	[X]Other chronic suppurative otitis media
A33y.00	Whooping cough - other specified organism
A34..00	Streptococcal sore throat and scarlatina
A321.00	Nasopharyngeal diphtheria
F531000	Caries of mastoid
H035000	Acute pneumococcal tonsillitis
A383000	Fusobacterial necrotising tonsillitis
H034.00	Acute gangrenous tonsillitis
H01yz00	Other acute sinusitis NOS
F520300	Acute suppurative otitis media due to disease EC
A33y000	Bordetella bronchiseptica
Hyu2200	[X]Other chronic sinusitis
A33yz00	Other whooping cough NOS
H035100	Acute staphylococcal tonsillitis
H043000	Acute epiglottitis without obstruction
H041100	Acute tracheitis with obstruction
H042100	Acute laryngotracheitis with obstruction
AA1z.00	Vincent's angina NOS
FyuP500	[X]Otitis media in other diseases classified elsewhere
Hyu0200	[X]Acute tonsillitis due to other specified organisms
F530300	Acute mastoiditis with other complication
H023000	Acute pneumococcal pharyngitis
H014.00	Acute rhinosinusitis
FyuP700	[X]Other mastoiditis and related conditions
A323.00	Laryngeal diphtheria
Hyu0000	[X]Other acute sinusitis
A122000	Isolated tracheal tuberculosis
A12y300	Tuberculosis of nasal sinus
A154.00	Tuberculous mastoiditis
A32yz00	Other specified diphtheria NOS
Ayu3700	[X]Other diphtheria
Ayu3800	[X]Diphtheria, unspecified
Ayu3900	[X]Whooping cough due to other Bordetella species
Ayu3A00	[X]Whooping cough, unspecified
Ayu5500	[X]Other Vincent's infections
F511000	Chronic tubotympanic catarrh
F511100	Serosanguinous chronic otitis media
F511200	Bilateral chronic serous otitis
F511300	Unilateral chronic serous otitis
F511z00	Chronic serous otitis media NOS
F512.00	Chronic otitis media with effusion, mucoid
F512000	Glue ear, unspecified
F512100	Mucosanguinous chronic otitis media
F512z00	Chronic mucoid otitis media NOS
F513.00	Chronic otitis media with effusion, other
F513100	Chronic otitis media with effusion, purulent
F513z00	Other chronic nonsuppurative otitis media NOS
F514.00	Unspecified nonsuppurative otitis media
F514100	Serous otitis media NOS
F514200	Catarrhal otitis media NOS
F514300	Mucoid otitis media NOS
F514z00	Nonsuppurative otitis media NOS
F515.00	Eustachian tube salpingitis
F515000	Unspecified eustachian tube salpingitis
F515100	Acute eustachian tube salpingitis
F515200	Chronic eustachian tube salpingitis
F515z00	Eustachian tube salpingitis NOS
F518.00	Chronic otitis media with effusion, unspecified
F52..00	Suppurative and unspecified otitis media
F521.00	Chronic suppurative otitis media, tubotympanic
F522.00	Chronic suppurative otitis media, atticoantral
F523.00	Chronic suppurative otitis media NOS
F540100	Unspecified acute tympanitis
F540200	Bullous myringitis
F540z00	Acute myringitis NOS
F543.00	Tympanic atelectasis
F551.00	Adhesive middle ear disease
F551000	Unspecified adhesive middle ear disease
F551100	Adhesions drum head to incus
F551200	Adhesions drum head to stapes
F551300	Adhesions drum head to promontory
F551z00	Adhesive middle ear disease NOS
F55y000	Cholesterol granuloma
FyuP000	[X]Other acute nonsuppurative otitis media
FyuP100	[X]Other chronic nonsuppurative otitis media
FyuPD00	[X]Mastoiditis in infectious and parasitic diseases classified elsewhere
FyuU600	[X]Other disorders following mastoidectomy
H044.00	Croup
H060500	Acute tracheobronchitis
H13..00	Chronic sinusitis
H13y.00	Other chronic sinusitis
H13yz00	Other chronic sinusitis NOS
H13z.00	Chronic sinusitis NOS
H16..00	Chronic laryngitis and laryngotracheitis
H161.00	Chronic laryngotracheitis
H300.00	Tracheobronchitis NOS
H301.00	Laryngotracheobronchitis
H31y000	Chronic tracheitis
H31y100	Chronic tracheobronchitis
H0405	Acute pneumococcal laryngitis
