var1	var2
94574005	Secondary malignant neoplasm of skin of toe (disorder)
94444000	Secondary malignant neoplasm of nipple of male breast (disorder)
94376006	Secondary malignant neoplasm of left upper lobe of lung (disorder)
94305009	Secondary malignant neoplasm of foot (disorder)
314988008	Metastasis from malignant tumor of skin (disorder)
369488002	Secondary malignant neoplasm of seminal vesicle (disorder)
702392008	Metastatic renal cell carcinoma (disorder)
94328005	Secondary malignant neoplasm of hepatic flexure of colon (disorder)
94637003	Secondary malignant neoplasm of tip and lateral border of tongue (disorder)
94630001	Secondary malignant neoplasm of third cuneiform bone of foot (disorder)
94584006	Secondary malignant neoplasm of soft tissues of buttock (disorder)
372152003	Sarcoma  metastatic (morphologic abnormality)
94607007	Secondary malignant neoplasm of subglottis (disorder)
1081561000119108	Recurrent primary malignant neoplasm of right female breast (disorder)
94400003	Secondary malignant neoplasm of major salivary gland (disorder)
94680007	Secondary malignant neoplasm of vomer (disorder)
94439007	Secondary malignant neoplasm of navicular bone of foot (disorder)
369555007	Malignant tumor involving right fallopian tube by separate metastasis from ovary (disorder)
94590005	Secondary malignant neoplasm of soft tissues of neck (disorder)
423384009	Secondary malignant neoplasm of lacrimal gland duct (disorder)
94279001	Secondary malignant neoplasm of endocervix (disorder)
94339008	Secondary malignant neoplasm of inguinal lymph nodes (disorder)
94341009	Secondary malignant neoplasm of inner aspect of lip (disorder)
94285008	Secondary malignant neoplasm of epitrochlear lymph nodes (disorder)
94194009	Secondary malignant neoplasm of blood vessel of forearm (disorder)
94613003	Secondary malignant neoplasm of superior wall of nasopharynx (disorder)
94551006	Secondary malignant neoplasm of skin of external auditory canal (disorder)
94552004	Secondary malignant neoplasm of skin of eyebrow (disorder)
94422005	Secondary malignant neoplasm of muscle of hip (disorder)
94519005	Secondary malignant neoplasm of retroperitoneal lymph nodes (disorder)
94676002	Secondary malignant neoplasm of vestibule of mouth (disorder)
722707001	Metastatic malignant neoplasm of peripheral nervous system (disorder)
94302007	Secondary malignant neoplasm of first cuneiform bone of foot (disorder)
94236003	Secondary malignant neoplasm of calcaneus (disorder)
369588000	Malignant tumor involving vulva by separate metastasis from endometrium (disorder)
94675003	Secondary malignant neoplasm of vermilion border of upper lip (disorder)
94390009	Secondary malignant neoplasm of lunate bone (disorder)
443144000	Metastatic sarcoma (disorder)
94296000	Secondary malignant neoplasm of false vocal cord (disorder)
94651003	Secondary malignant neoplasm of undescended testis (disorder)
94191001	Secondary malignant neoplasm of blood vessel of face (disorder)
443493003	Metastatic malignant melanoma (disorder)
94322006	Secondary malignant neoplasm of hamate bone (disorder)
94326009	Secondary malignant neoplasm of head (disorder)
94311007	Secondary malignant neoplasm of fundus of stomach (disorder)
369491002	Malignant tumor involving seminal vesicle by separate metastasis from bladder (disorder)
94320003	Secondary malignant neoplasm of greater curvature of stomach (disorder)
94257006	Secondary malignant neoplasm of clitoris (disorder)
94307001	Secondary malignant neoplasm of prepuce (disorder)
94345000	Secondary malignant neoplasm of intestinal lymph nodes (disorder)
94501001	Secondary malignant neoplasm of preauricular lymph nodes (disorder)
94214001	Secondary malignant neoplasm of body of stomach (disorder)
1681000119102	Metastasis to lymph node from adenocarcinoma (disorder)
94389000	Secondary malignant neoplasm of lumbar vertebral column (disorder)
94427004	Secondary malignant neoplasm of muscle of perineum (disorder)
94379004	Secondary malignant neoplasm of lingual tonsil (disorder)
369578001	Malignant tumor involving uterine corpus by separate metastasis from vagina (disorder)
94388008	Secondary malignant neoplasm of lower third of esophagus (disorder)
369563008	Malignant tumor involving left ovary by separate metastasis from uterine cervix (disorder)
94653000	Secondary malignant neoplasm of upper inner quadrant of female breast (disorder)
767444009	Germline BRCA-mutated human epidermal growth factor receptor 2 negative metastatic carcinoma of breast (disorder)
94373003	Secondary malignant neoplasm of lateral wall of oropharynx (disorder)
314954002	Local recurrence of malignant tumor of lung (disorder)
94369001	Secondary malignant neoplasm of laryngeal surface of epiglottis (disorder)
94561004	Secondary malignant neoplasm of skin of hip (disorder)
94164003	Secondary malignant neoplasm of ampulla of Vater (disorder)
94221001	Secondary malignant neoplasm of bone of upper limb (disorder)
369514009	Secondary malignant neoplasm of left fallopian tube (disorder)
94165002	Secondary malignant neoplasm of anal canal (disorder)
372093008	Secondary malignant neoplasm of axillary tail of breast (disorder)
94558000	Secondary malignant neoplasm of skin of forehead (disorder)
94372008	Secondary malignant neoplasm of lateral wall of nasopharynx (disorder)
94533005	Secondary malignant neoplasm of second cuneiform bone of foot (disorder)
94564007	Secondary malignant neoplasm of skin of lip (disorder)
94252000	Secondary malignant neoplasm of cheek (disorder)
94619004	Secondary malignant neoplasm of talus (disorder)
94529003	Secondary malignant neoplasm of scapula (disorder)
94537006	Secondary malignant neoplasm of shoulder (disorder)
94622002	Secondary malignant neoplasm of temporal lobe (disorder)
1691000119104	Metastasis to liver from adenocarcinoma (disorder)
94498001	Secondary malignant neoplasm of posterior wall of nasopharynx (disorder)
94310008	Secondary malignant neoplasm of frontal sinus (disorder)
418529003	Secondary malignant neoplasm of lacrimal drainage structure (disorder)
269616004	Secondary nodes - axilla/arm (disorder)
94470004	Secondary malignant neoplasm of parietal bone (disorder)
94456004	Secondary malignant neoplasm of palate (disorder)
94184004	Secondary malignant neoplasm of base of tongue (disorder)
94660006	Secondary malignant neoplasm of ureteric orifice of urinary bladder (disorder)
94443006	Secondary malignant neoplasm of nipple of female breast (disorder)
94229004	Secondary malignant neoplasm of bronchus of left upper lobe (disorder)
94520004	Secondary malignant neoplasm of retropharyngeal lymph nodes (disorder)
94267001	Secondary malignant neoplasm of craniopharyngeal duct (disorder)
94361003	Secondary malignant neoplasm of labia majora (disorder)
94657004	Secondary malignant neoplasm of upper third of esophagus (disorder)
369560006	Malignant tumor involving left ovary by separate metastasis from endometrium (disorder)
369603003	Malignant tumor involving an organ by separate metastasis from endometrium (disorder)
94167005	Secondary malignant neoplasm of anterior mediastinum (disorder)
94384005	Secondary malignant neoplasm of lower gum (disorder)
94666000	Secondary malignant neoplasm of uveal tract (disorder)
94570001	Secondary malignant neoplasm of skin of scalp (disorder)
