Y5903	Cervical spond.with myelopathy
N05z8	Osteoarthritis NOS, other specified site
XE1De	Osteoarthritis NOS, pelvic region/thigh
N054z	Osteoarthritis of more than one site, unspecified, NOS
X703A	Osteoarthritis of spinal facet joint
XaYQD	Patellofemoral osteoarthritis
N0529	Post-traumatic coxarthrosis, bilateral
N0519	Primary coxarthrosis, bilateral
X7034	Thumb osteoarthritis NOS
X702z	Toe osteoarthritis NOS
Nyu23	[X]Other post-traumatic coxarthrosis
N0501	(Heberden nodes) or (Bouchard nodes) or (gen osteoarth hand)
N11z.	(Spondylosis NOS) or (osteoarthritis spine)
X7031	Ankle osteoarthritis NOS
X76G5	Bouchard's node
X76G5	Bouchard's node
X704R	Endemic osteoarthritis
XaIna	Exacerbation of osteoarthritis
X7035	Finger osteoarthritis NOS
X7030	Foot osteoarthritis NOS
N050.	Generalised osteoarthritis
XE1DW	Generalised osteoarthritis of the hand
XM05w	Heberden's node
XM05w	Heberden's node
N0504	Idiopathic osteoarthritis
X7038	Idiopathic osteoarthritis
X7041	Localised osteoarthritis
XE1DZ	Localised osteoarthritis, unspecified, of the lower leg
XE1DY	Localised osteoarthritis, unspecified, pelvic region/thigh
XaBzh	O/E - Heberden's nodes
XE1DV	Osteoarthritis
N05..	Osteoarthritis (& [allied disorders])
Xa3gR	Osteoarthritis - ankle/foot
Xa3gQ	Osteoarthritis - hand joint
Xa3gS	Osteoarthritis - other joint
XE1Gm	Osteoarthritis -multiple joint
XE1Da	Osteoarthritis NOS
N05zS	Osteoarthritis NOS, of 1st metatarsophalangeal joint
XE1Dg	Osteoarthritis NOS, of ankle and foot
N05zD	Osteoarthritis NOS, of distal radioulnar joint
N05zC	Osteoarthritis NOS, of elbow
N05zJ	Osteoarthritis NOS, of hip
N05zU	Osteoarthritis NOS, of interphalangeal joint of toe
N05zL	Osteoarthritis NOS, of knee
N05zT	Osteoarthritis NOS, of lesser metatarsophalangeal joint
N05zF	Osteoarthritis NOS, of metacarpophalangeal joint
N05zK	Osteoarthritis NOS, of sacroiliac joint
XE1Dc	Osteoarthritis NOS, of the forearm
XE1Dd	Osteoarthritis NOS, of the hand
XE1Df	Osteoarthritis NOS, of the lower leg
XE1Db	Osteoarthritis NOS, of the upper arm
N05zM	Osteoarthritis NOS, of tibiofibular joint
N05zE	Osteoarthritis NOS, of wrist
XE1De	Osteoarthritis NOS, pelvic region/thigh
N05z7	Osteoarthritis NOS: [ankle &/or foot] or [toe]
N05z4	Osteoarthritis NOS: [hand] or [finger] or [thumb]
N05z6	Osteoarthritis NOS: [lower leg] or [knee]
N05z3	Osteoarthritis NOS: [of the forearm] or [wrist]
N05z2	Osteoarthritis NOS: [of the upper arm] or [elbow]
N05z5	Osteoarthritis NOS: [pelvic region and/or thigh] or [hip]
X703C	Osteoarthritis of acromioclavicular joint
X703M	Osteoarthritis of ankle
X703H	Osteoarthritis of distal interphalangeal joint
X703D	Osteoarthritis of elbow
X703G	Osteoarthritis of finger joint
X703F	Osteoarthritis of first carpometacarpal joint
X703O	Osteoarthritis of first metatarsalphalangeal joint
XaBmY	Osteoarthritis of foot joint
X703K	Osteoarthritis of hip
X703L	Osteoarthritis of knee
XM1NQ	Osteoarthritis of metacarpophalangeal joint
X703J	Osteoarthritis of metacarpophalangeal joint of finger
X703I	Osteoarthritis of proximal interphalangeal joint
X703B	Osteoarthritis of shoulder joint
X703N	Osteoarthritis of subtalar joint
X703P	Osteoarthritis of toe joint
X703E	Osteoarthritis of wrist
N0536	Osteoarthritis: [localised low leg unsp] or [patellofemoral]
XaYQD	Patellofemoral osteoarthritis
X703Q	Secondary osteoarthritis
X7034	Thumb osteoarthritis NOS
X702z	Toe osteoarthritis NOS
N05z.	[Joint degeneration] or [osteoarthritis NOS]
N0535	(Otto pel)(hip osteoart NOS)(loc osteoart uns pel reg/thigh)
X7042	Otto's pelvis
