13S..	Maternity allowances
L1221	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium - delivered
L1222	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication
L1223	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium - not delivered
L1224	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication
L122z	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium NOS
L128.	Pre-existing hypertension complicating pregnancy, childbirth and puerperium
L1280	Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium
L1282	Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium
L12z.	Unspecified hypertension complicating pregnancy, childbirth and the puerperium
L12z0	Unspecified hypertension complicating pregnancy, childbirth and the puerperium unspecified
L12z1	Unspecified hypertension complicating pregnancy, childbirth and the puerperium - delivered
L12z3	Unspecified hypertension complicating pregnancy, childbirth and the puerperium - not delivered
L12zz	Unspecified hypertension complicating pregnancy, childbirth and the puerperium NOS
L16..	Other pregnancy complication NEC
L162.	Nephropathy NOS in pregnancy without hypertension
L162.	Unspecified renal disease in pregnancy
L1620	Unspecified renal disease in pregnancy unspecified
L1621	Unspecified renal disease in pregnancy - delivered
L1622	Unspecified renal disease in pregnancy - delivered with postnatal complication
L1623	Unspecified renal disease in pregnancy - not delivered
L1624	Unspecified renal disease in pregnancy with postnatal complication
L162z	Unspecified renal disease in pregnancy NOS
L169.	Herpes gestationis
L169.	Pemphigoid gestationis
L1690	Herpes gestationis unspecified
L169z	Herpes gestationis NOS
L16y.	Other pregnancy complications
L16y0	Other pregnancy complication unspecified
L16yz	Other pregnancy complication NOS
L16z.	Pregnancy complication NOS
L17..	Infective/parasitic disease in preg/childbirth/puerperium
L170.	Maternal syphilis during pregnancy, childbirth and the puerperium
L1700	Maternal syphilis, unspecified whether during pregnancy or the puerperium
L170z	Maternal syphilis during pregnancy, childbirth or the puerperium NOS
L171.	Maternal gonorrhoea during pregnancy, childbirth and the puerperium
L1710	Maternal gonorrhoea, unspecified whether during pregnancy or the puerperium
L171z	Gonorrhoea during pregnancy, childbirth or the puerperium NOS
L172.	Other maternal venereal diseases during pregnancy, childbirth and the puerperium
L1720	Other maternal venereal disease, unspecified whether during pregnancy or the puerperium
L1721	Other maternal venereal disease in pregnancy - baby delivered
L1722	Other maternal venereal disease in the puerperium - baby delivered during current episode of care
L1723	Other maternal venereal disease during pregnancy - baby not yet delivered
L1724	Other maternal venereal disease during the puerperium - baby delivered during previous episode of care
L172z	Other maternal venereal disease during pregnancy, childbirth or the puerperium NOS
L173.	Maternal tuberculosis during pregnancy, childbirth and the puerperium
L1730	Maternal tuberculosis, unspecified whether during pregnancy or the puerperium
L173z	Maternal tuberculosis during pregnancy, childbirth or the puerperium NOS
L174.	Maternal malaria during pregnancy, childbirth and the puerperium
L1740	Maternal malaria, unspecified whether during pregnancy or puerperium
L174z	Maternal malaria during pregnancy, childbirth or the puerperium NOS
L175.	Maternal rubella in pregnancy, childbirth and the puerperium
L175.	Rubella contact in pregnancy
L1750	Maternal rubella, unspecified whether during pregnancy or the puerperium
L175z	Maternal rubella during pregnancy, childbirth or the puerperium NOS
L176.	Other maternal viral disease during pregnancy, childbirth and the puerperium
L1760	Other maternal viral disease, unspecified whether during pregnancy or the puerperium
L1761	Other maternal viral disease during pregnancy - baby delivered
L1762	Other maternal viral disease in the puerperium - baby delivered during current episode of care
L1763	Other maternal viral disease during pregnancy - baby not yet delivered
L1764	Other maternal viral disease in the puerperium - baby delivered during previous episode of care
L1765	Viral hepatitis complicating pregnancy, childbirth and the puerperium
L176z	Other maternal viral disease during pregnancy, childbirth or the puerperium NOS
L17y.	Other maternal infective or parasitic disease during pregnancy, childbirth and the puerperium
L17y0	Other maternal infective or parasitic disease, unspecified whether during pregnancy or the puerperium
L17y1	Other maternal infective or parasitic disese during pregnancy - baby delivered
L17y2	Other maternal infective or parasitic disease in the puerperium - baby delivered during current episode of care
L17y3	Other maternal infective or parasitic disease during pregnancy - baby not yet delivered
L17y4	Other maternal infective or parasitic disease in the puerperium - baby delivered during previous episode of care
L17yz	Other maternal infective or parasitic disease during pregnancy, childbirth or the puerperium NOS
L17z.	Maternal infective or parasitic disease NOS in pregnancy, childbirth and the puerperium
L17z0	Maternal infective or parasitic disease NOS, unspecified whether during pregnancy or the puerperium
L17z1	Maternal infective or parasitic disease NOS, during pregnancy - baby delivered
L17z2	Maternal infective or parasitic disease NOS, in the puerperium - baby delivered during current episode of care
L17z3	Maternal infective or parasitic disease NOS, during pregnancy - baby not yet delivered
L17z4	Maternal infective or parasitic disease NOS, in the puerpium - baby delivered during previous episode of care
L17zz	Maternal infective or parasitic disease NOS, during pregnancy, childbirth or the puerperium NOS
L18..	Other medical condition during pregnancy, childbirth and the puerperium
L180.	Diabetes mellitus during pregnancy, childbirth and the puerperium
L1800	Diabetes mellitus - unspecified whether during pregnancy or the puerperium
L180z	Diabetes mellitus during pregnancy, childbirth or the puerperium NOS
L181.	Thyroid dysfunction during pregnancy, childbirth and the puerperium
L1810	Thyroid dysfunction - unspecified whether during pregnancy or the puerperium
L181z	Thyroid dysfunction durin pregnancy, childbirth or the puerperium NOS
L182.	Anaemia during pregnancy, childbirth and the puerperium
L1820	Anaemia - unspecified whether during pregnancy or the puerperium
L182z	Anaemia during pregnancy/childbirth/puerperium NOS
L183.	Drug dependence during pregnancy, childbirth and the puerperium
L183.	Pregnancy and drug dependence
L1830	Drug dependence - unspecified whether during pregnancy or the puerperium
L183z	Drug dependence during pregnancy, childbirth or the puerperium NOS
L184.	Mental disorders during pregnancy, childbirth and the puerperium
L1840	Mental disorder - unspecified whether during pregnancy or the puerperium
L184z	Mental disorder during pregnancy, childbirth or the puerperium NOS
L185.	Congenital cardiovascular disorders during pregnancy, childbirth and the puerperium
L185.	Congenital heart disease in pregnancy
L1850	Congenital cardiovascular disorder - unspecified whether during pregnancy or the puerperium
L185z	Congenital cardiovascular disorder during pregnancy, childbirth or the puerperium NOS
L186.	Heart disease during pregnancy
L186.	Other cardiovascular diseases during pregnancy, childbirth and the puerperium
L186.	Other CVS diseases in pregnancy, childbirth and the puerperium (& [heart disease])
L1860	Other cardiovascular disease - unspecified whether during pregnancy or the puerperium
L1861	Other cardiovascular disease during pregnancy - baby delivered
L1862	Other cardiovascular disease in the puerperium - baby delivered during current episode of care
L1863	Other cardiovascular disease during pregnancy - baby not yet delivered
L1864	Other cardiovascular disese in the puerperium - baby delivered during previous episode of care
L186z	Other cardiovascular disease during pregnancy, childbirth or the puerperium NOS
L187.	Orthopaedic disorders during pregnancy, childbirth and the puerperium
L1870	Orthopaedic disorder - unspecified whether during pregnancy or the puerperium
L187z	Orthopaedic disorder during pregnancy, childbirth or the puerperium NOS
L188.	Abnormal glucose tolerance test during pregnancy, childbirth and the puerperium
L1880	Abnormal glucose tolerance test - unspecified whether during pregnancy or the puerperium
L188z	Abnormal glucose tolerance test during pregnancy, childbirth or the puerperium NOS
L189.	Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium
L18A.	Diseases of the digestive system complicating pregnancy, childbirth and the puerperium
L18B.	Diseases of the skin and subcutaneous tissue complicating pregnancy, childbirth and the puerperium
L18C.	Endocrine, nutritional and metabolic disease complicating pregnancy, childbirth and puerperium
L18D.	Disease of nervous system complicating pregnancy, childbirth and puerperium
L18z.	Medical condition NOS during pregnancy, childbirth and the puerperium
L18z0	Medical condition NOS, unspecified whether during pregnancy or the puerperium
L18z1	Medical condition NOS during pregnancy - baby delivered
L18z2	Medical condition NOS, in the puerperium - baby delivered during current episode of care
L18z3	Medical condition NOS, during pregnancy - baby not yet delivered
L18z4	Medical condition NOS, in the puerperium - baby delivered during previous episode of care
L18zz	Medical condition NOS, during pregnancy, childbirth or the puerperium NOS
L1A..	Subluxation of symphysis pubis in pregnancy, childbirth and the puerperium
L24..	Pelvic soft tissue abnormality in pregnancy, childbirth and the puerperium
L240.	Bicornuate uterus in pregnancy, childbirth and the puerperium
L240.	Congenital abnormality of uterus in pregnancy, childbirth and the puerperium
L240.	Double uterus in pregnancy, childbirth and the puerperium
L240z	Bicornuate uterus in pregnancy, childbirth or puerperium NOS
L240z	Congenital abnormality of uterus in pregnancy, childbirth or the puerperium NOS
L240z	Congenital uterus abnormality (& [bicornuate]) in pregnancy, childbirth or the puerperium NOS
L241.	Tumour of uterine body in pregnancy, childbirth and the puerperium
L241.	Uterine fibroids in pregnancy, childbirth and the puerperium
L241z	Tumour of uterine body in pregnancy, childbirth or the puerperium NOS
L241z	Uterine body tumour (& [uterine fibroid]) in pregnancy or childbirth or the puerperium NOS
L241z	Uterine fibroid in pregnancy, childbirth or the puerperium NOS
L242.	Uterine scar from previous surgery in pregnancy, childbirth and the puerperium
L2420	Uterine scar from previous surgery in pregnancy, childbirth and the puerperium unspecified
L242z	Uterine scar from previous surgery in pregnancy, childbirth and the puerperium NOS
L244.	Cystocele in pregnancy, childbirth and the puerperium
L244.	Other uterine or pelvic floor abnormality in pregnancy, childbirth and the puerperium
L244.	Pendulous abdomen in pregnancy,childbirth and the puerperium
L244.	Rectocele in pregnancy, childbirth and the puerperium
L2440	Cystocele affecting obstetric care
L2440	Other uterine or pelvic floor abnormality affecting obstetric care
L2440	Rectocele affecting obstetric care
L2442	Other uterine or pelvic floor abnormality - delivered with postpartum complication
L2443	Other uterine or pelvic floor abnormality - baby not yet delivered
L2444	Other uterine or pelvic floor abnormality complicating postpartum care - baby delivered during previous episode of care
L244z	Cystocele in pregnancy, childbirth or the puerperium NOS
L244z	Other uterine or pelvic floor abnormality (& [cystocele] or [rectocele]) in pregnancy, childbirth or the puerperium NOS
L244z	Other uterine or pelvic floor abnormality in pregnancy, childbirth or the puerperium NOS
L244z	Rectocele in pregnancy, childbirth or the puerperium NOS
L246.	Other cervical abnormality in pregnancy, childbirth and the puerperium
L246.	Polyp of cervix in pregnancy, childbirth and the puerperium
L246.	Stenosis of cervix in pregnancy, childbirth and the puerperium
L2460	Other cervical abnormality affecting obstetric care
L2461	Other cervical abnormality - baby delivered
L2462	Other cervical abnormality - baby delivered with postpartum complication
L2463	Other cervical abnormality complicating antenatal care - baby not yet delivered
L2464	Other cervical abnormality complicating postpartum care - baby delivered during previous episode of care
L246z	Other cervical abnormality in pregnancy, childbirth or the puerperium NOS
L246z	Polyp of cervix in pregnancy, childbirth or the puerperium NOS
L246z	Stenosis of cervix in pregnancy, childbirth or the puerperium NOS
L247.	Congenital or acquired abnormality of vagina in pregnancy, childbirth and the puerperium
L247.	Septate vagina in pregnancy, childbirth and the puerperium
L247.	Stenosis of vagina in pregnancy, childbirth and the puerperium
L247.	Vaginal abnormality in pregnancy, childbirth and the puerperium
L2470	Septate vagina affecting obstetric care
L2470	Stenosis of vagina affecting obstetric care
L247z	Congenital or acquired abnormality of vagina in pregnancy, childbirth or the puerperium NOS
L247z	Septate vagina in pregnancy, childbirth or the puerperium NOS
L247z	Stenosis of vagina in pregnancy, childbirth or the puerperium NOS
L248.	Congenital or acquired abnormality of vulva in pregnancy, childbirth and the puerperium
L248.	Persistent hymen in pregnancy, childbirth and the puerperium
L248.	Rigid perineum in pregnancy, childbirth and the puerperium
L248.	Vulval abnormality in pregnancy, childbirth and the puerperium
L2480	Congenital or acquired abnormality of vulva affecting obstetric care
L2480	Persistent hymen affecting obstetric care
L2480	Rigid perineum affecting obstetric care
L2483	Congenital or acquired abnormality of vulva complicating antenatal care - baby not yet delivered
L248z	Congenital or acquired abnormality of vulva in pregnancy, childbirth or the puerperium NOS
L248z	Persistent hymen in pregnancy, childbirth or the puerperium NOS
L248z	Rigid perineum in pregnancy, childbirth or the puerperium NOS
L24z0	Pelvic soft tissue abnormality in pregnancy, childbirth and the puerperium unspecified
L24zz	Pelvic soft tissue abnormality in pregnancy, childbirth and the puerperium NOS
L2553	Maternal care for (suspected) damage to fetus from alcohol
L261.	Anti-D antibodies
L261.	Rhesus isoimmunisation
L2610	Rhesus isoimmunisation unspecified
L261z	Rhesus isoimmunisation NOS
L2633	(Labour and delivery complicated by fetal heart rate anomaly) or (maternal care for fetal hypoxia)
L2633	Maternal care for fetal hypoxia
L2637	Maternal care for fetal hypoxia
L28y.	Amniotic cyst
L356.	Obstetric pelvic joint damage
L356.	Obstetric pelvic ligament damage
L356.	Obstetric trauma damaging pelvic joints and ligaments
L356.	Pubic symphysis separation
L356.	Symphysis pubis separation
L3560	Obstetric damage to pelvic joints and ligaments unspecified
L356z	Obstetric damage to pelvic joints and ligaments NOS
L390.	Maternal distress in labour
L3900	Maternal distress unspecified
L390z	Maternal distress NOS
L394.	Other complications of obstetric procedures
L3940	Other complications of obstetric procedures unspecified
L394z	Other complications of obstetric procedures NOS
L39y5	Exhaustion during labour
L39y5	Maternal exhaustion in labour
L41..	Varicose veins - obstetric
L41..	Venous complications of pregnancy and the puerperium
L410.	Varicose veins of legs in pregnancy and the puerperium
L4100	Varicose veins of legs in pregnancy and the puerperium unspecified
L410z	Varicose veins of legs in pregnancy and puerperium NOS
L411.	Perineal obstetric varicose veins
L411.	Varicose veins of perineum and vulva in pregnancy and the puerperium
L411.	Vulval obstetric varicose veins
L4110	Varicose veins of perineum and vulva in pregnancy and the puerperium unspecified
L4113	Varicose veins of perineum and vulva in pregnancy and the puerperium with antenatal complication
L411z	Varicose veins of perineum and vulva in pregnancy and the puerperium NOS
L412.	Superficial thrombophlebitis in pregnancy and the puerperium
L4120	Superficial thrombophlebitis in pregnancy and the puerperium unspecified
L4123	Superficial thrombophlebitis in pregnancy and the puerperium with antenatal complication
L412z	Superficial thrombophlebitis in pregnancy and the puerperium NOS
L415.	Other phlebitis and thrombosis in pregnancy and the puerperium
L4150	Other phlebitis and thrombosis in pregnancy and the puerperium unspecified
L4151	Other phlebitis and thrombosis in pregnancy and the puerperium - delivered
L4152	Other phlebitis and thrombosis in pregnancy and the puerperium - delivered with postnatal complication
L4153	Other phlebitis and thrombosis in pregnancy and the puerperium with antenatal complication
L4154	Other phlebitis and thrombosis in pregnancy and the puerperium with postnatal complication
L415z	Other phlebitis and thrombosis in pregnancy and the puerperium NOS
L416.	Haemorrhoids in pregnancy and the puerperium
L416.	Piles - obstetric
L4160	Haemorrhoids in pregnancy and the puerperium unspecified
L4163	Haemorrhoids in pregnancy and the puerperium with antenatal complication
L416z	Haemorrhoids in pregnancy and the puerperium NOS
L417.	Obstetric cerebral venous thrombosis
L41y.	Other venous complication of pregnancy and the puerperium
L41y0	Other venous complication of pregnancy and the puerperium unspecified
L41y1	Other venous complication of pregnancy and the puerperium - delivered
L41y2	Other venous complication of pregnancy and the puerperium - delivered with postnatal complication
L41y3	Other venous complication of pregnancy and the puerperium with antenatal complication
L41y4	Other venous complication of pregnancy and the puerperium with postnatal complication
L41yz	Other venous complication of pregnancy and the puerperium NOS
L41z.	Venous complications of pregnancy and puerperium NOS
L41z0	Venous complication of pregnancy and the puerperium NOS, unspecified
L41z1	Venous complication of pregnancy and the puerperium NOS - delivered
L41z2	Venous complication of pregnancy and the puerperium NOS - delivered with postnatal complication
L41z3	Venous complication of pregnancy and the puerperium NOS with antenatal complication
L41z4	Venous complication of pregnancy and the puerperium NOS with postnatal complication
L41z5	Gestational phlebitis NOS
L41z5	Gestational phlebopathy NOS
L41z5	Gestational thrombosis NOS
L41z6	Venous complication in the puerperium, unspecified
L41zz	Venous complication of pregnancy and puerperium NOS
L43..	Obstetric pulmonary embolism
L43..	Obstetric pulmonary embolus
L430.	Obstetric air pulmonary embolism
L4300	Obstetric air pulmonary embolism unspecified
L430z	Obstetric air pulmonary embolism NOS
L432.	Obstetric blood-clot pulmonary embolism
L4320	Obstetric blood-clot pulmonary embolism unspecified
L432z	Obstetric blood-clot pulmonary embolism NOS
L433.	Obstetric pyaemic &/or septic pulmonary embolism
L433.	Obstetric pyaemic and septic pulmonary embolism
L433.	Pyaemic obstetric embolism
L433.	Septic obstetric embolism
L4330	Obstetric pyaemic and septic pulmonary embolism unspecified
L433z	Obstetric pyaemic and septic pulmonary embolism NOS
L43y.	Fat embolism - obstetric
L43y.	Obstetric embolism: [other pulmonary] or [fat]
L43y.	Other obstetric pulmonary embolism
L43y0	Other obstetric pulmonary embolism unspecified
L43y1	Other obstetric pulmonary embolism - delivered
L43y2	Other obstetric pulmonary embolism - delivered with postnatal complication
L43y3	Other obstetric pulmonary embolism with antenatal complication
L43y4	Other obstetric pulmonary embolism with postnatal complication
L43yz	Other obstetric pulmonary embolism NOS
L43z.	Obstetric pulmonary embolism NOS
L43z0	Obstetric pulmonary embolism NOS, unspecified
L43z1	Obstetric pulmonary embolism NOS - delivered
L43z2	Obstetric pulmonary embolism NOS - delivered with postnatal complication
L43z3	Obstetric pulmonary embolism NOS with antenatal complication
L43z4	Obstetric pulmonary embolism NOS with postnatal complication
L443.	Other complication of obstetric surgical wound
L4430	Other complication of obstetric surgical wound unspecified
L443z	Other complication of obstetric surgical wound NOS
L45..	Obstetric breast infections
L450.	Abscess of nipple - obstetric
L450.	Nipple infection - obstetric
L450.	Obstetric nipple infection
L4500	Obstetric nipple infection unspecified
L450z	Obstetric nipple infection NOS
L451.	Obstetric breast abscess
L451.	Obstetric breast abscess (& purulent mastitis)
L451.	Purulent mastitis - obstetric
L4510	Obstetric breast abscess unspecified
L451z	Obstetric breast abscess NOS
L452.	Lymphangitis of breast - obstetric
L45y.	Other obstetric breast infections
L45y0	Other obstetric breast infection unspecified
L45y1	Other obstetric breast infection - delivered
L45y2	Other obstetric breast infection - delivered with postnatal complication
L45y3	Other obstetric breast infection with antenatal complication
L45y4	Other obstetric breast infection with postnatal complication
L45yz	Other obstetric breast infection NOS
L45z.	Obstetric breast infection NOS
L45z0	Obstetric breast infection NOS, unspecified
L45z1	Obstetric breast infection NOS - delivered
L45z2	Obstetric breast infection NOS - delivered with postnatal complication
L45z3	Obstetric breast infection NOS with antenatal complication
L45z4	Obstetric breast infection NOS with postnatal complication
L46..	Lactation problems
L46..	Lactation: [problems] or [& obstetric breast disorders NOS])
L46..	Obstetric breast and lactation disorders NOS
L460.	Retracted nipple in pregnancy, the puerperium or lactation
L4600	Retracted nipple in pregnancy, the puerperium or lactation unspecified
L4603	Retracted nipple in pregnancy, the puerperium or lactation with antenatal complication
L460z	Retracted nipple in pregnancy, the puerperium or lactation NOS
L461.	Cracked nipple in pregnancy, the puerperium or lactation
L461.	Fissure of nipple
L4610	Cracked nipple in pregnancy, the puerperium or lactation unspecified
L4613	Cracked nipple in pregnancy, the puerperium or lactation with antenatal complication
L461z	Cracked nipple in pregnancy, the puerperium or lactation NOS
L462.	Breast engorgement in pregnancy, the puerperium or lactation
L4620	Breast engorgement in pregnancy, the puerperium or lactation unspecified
L4623	Breast engorgement in pregnancy, the puerperium or lactation with antenatal complication
L4624	Breast engorgement in pregnancy/puerperium/lact + p/n comp
L462z	Breast engorgement
L462z	Breast engorgement (& in pregnancy, puerperium or lactation NOS)
L462z	Breast engorgement in pregnancy, the puerperium or lactation NOS
L463.	Other breast disorder in pregnancy, the puerperium or lactation
L4630	Other breast disorder in pregnancy, the puerperium or lactation unspecified
L4631	Other breast disorder in pregnancy, the puerperium or lactation - delivered
L4632	Other breast disorder in pregnancy, the puerperium or lactation - delivered with postnatal complication
L4633	Other breast disorder in pregnancy, the puerperium or lactation with antenatal complication
L4634	Other breast disorder in pregnancy, the puerperium or lactation with postnatal complication
L463z	Other breast disorder in pregnancy, the puerperium or lactation NOS
L466.	Galactorrhoea in pregnancy and the puerperium
L4660	Galactorrhoea in pregnancy and the puerperium unspecified
L4663	Galactorrhoea in pregnancy and the puerperium with antenatal complication
L466z	Galactorrhoea in pregnancy and the puerperium NOS
L46y.	Galactocele - obstetric
L46y.	Other disorders of lactation
L46y.	Other disorders of lactation (& obstetric galactocele)
L46y0	Other disorder of lactation unspecified
L46y1	Other disorder of lactation - delivered
L46y2	Other disorder of lactation - delivered with postnatal complication
L46y3	Other disorder of lactation with antenatal complication
L46y4	Other disorder of lactation with postnatal complication
L46yz	Other disorder of lactation NOS
L46z.	Disorders of lactation NOS
L46z0	Disorder of lactation NOS, unspecified
L46z1	Disorder of lactation NOS - delivered
L46z2	Disorder of lactation NOS - delivered with postnatal complication
L46z3	Disorder of lactation NOS with antenatal complication
L46z4	Disorder of lactation NOS with postnatal complication
L46zz	Disorder of lactation NOS
L5...	Maternal care for fetus
L50..	Maternal care for compound presentation
L51..	Maternal care for other known or suspected fetal problems
L510.	Maternal care for hydrops fetalis
L511.	Maternal care for viable fetus in abdominal pregnancy
L512.	Maternal care for diminished fetal movements
L514.	Maternal care for intrauterine growth retardation
L514.	Maternal care for poor fetal growth
Ly...	Other specified complications of pregnancy, childbirth or the puerperium
Lyu1.	[X]Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium
Lyu2.	[X]Other maternal disorders predominantly related to pregnancy
Lyu27	[X]Other complications of spinal and epidural anaesthesia during pregnancy
Lyu28	[X]Other complications of anaesthesia during pregnancy
Lyu33	[X]Maternal care for other abnormalities of cervix
Lyu3A	[X]Maternal care for known or suspected fetal problem, unspecified
Lyu63	[X]Other venous complications in the puerperium
Lyu64	[X]Other obstetric embolism
Lyu68	[X]Other and unspecified disorders of breast associated with childbirth
Lyu69	[X]Other and unspecified disorders of lactation
Lyu7.	[X]Other obstetric conditions, not elsewhere classified
Lyu70	[X]Other infections with a predominantly sexual mode of transmission complicating pregnancy childbirth and the puerperium
Lyu71	[X]Other viral diseases complicating pregnancy, childbirth and the puerperium
Lyu72	[X]Other infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium
Lyu74	[X] Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium
Lz...	Complications of pregnancy, childbirth and the puerperium NOS
PK80.	FAS - Fetal alcohol syndrome
PK80.	Fetal alcohol syndrome
PK83.	Fetus and newborn affected by maternal use of alcohol
Q....	Fetal and neonatal conditions
Q....	Fetus and neonate conditions
Q....	Perinatal conditions
Q0...	Fetus or neonate affected by maternal problem unrelated to pregnancy
Q00..	Fetus or neonate affected by maternal medical problems
Q000.	Fetus affected by maternal toxaemia
Q000.	Fetus or neonate affected by maternal hypertensive disease
Q000.	Fetus or neonate affected by maternal hypertensive disease (& [fetus affected by maternal toxaemia])
