A175.	Tuberculosis of thyroid gland
XA06b	Fragmentation of thyroid gland
XA06Z	Thyroid gland haematoma
Xa08e	Perinatal thyroid disorder
Xa08f	Neonatal goitre
Xa08g	Transient neonatal hypothyroidism
Xa09v	Transient neonatal hyperthyroidism
Xa09w	Transient hypothyroxinaemia
Xa09x	Transient hypothyrotropinaemia
Xa0bR	Malignant lymphoma of thyroid gland
Xa0l7	Congenital hypothyroidism with diffuse goitre
Xa3ea	Goitre, non-toxic NOS
Xa3eb	Thyrotoxicosis with or without goitre
Xa3ec	Hypothyroidism - congenital and acquired
Xa3ed	Acquired hypothyroidism NOS
Xa6bK	Retrosternal thyroid gland
Xa6bL	Sublingual thyroid gland
Xa9Am	Hypersecretion of calcitonin
Xa9DE	Laceration of thyroid gland
XaDuT	Thyroid infection
XaFr6	Local recurrence of malignant tumour of thyroid gland
XaJ9F	Subclinical hypothyroidism
XaQ8R	Allgrove syndrome
XaZtG	Subclinical hyperthyroidism
XC0fX	Thyroid dysfunction
XE100	Disorder of thyroid gland
XE101	Non-toxic simple goitre
XE102	Goitre NOS
XE103	Non-toxic nodular goitre NOS
XE104	Thyrotoxicosis
XE105	Toxic diffuse goitre
XE106	Thyrotoxicosis of other specified origin
XE107	Congenital hypothyroidism NOS
XE108	Acquired hypothyroidism
XE109	Post-surgical hypothyroidism
XE10A	Hypothyroidism NOS
XE10B	Subacute thyroiditis
XE10C	Autoimmune thyroiditis
XE10D	Chronic fibrous thyroiditis
XE120	Non-toxic goitre
XE122	Graves' disease
XE124	Hypothyroidism
XE126	Hashimoto's disease
XE1Mj	Aberrant thyroid gland
XE1wD	Benign tumour of thyroid gland
XE20r	Benign thyroid tumour
XM0tJ	Thyroid disease in pregnancy
C063.	Thyroid haemorrhage and infarction
C063z	Thyroid haemorrhage or infarction NOS
Cyu16	[X]Iodine-deficiency-related (endemic) goitre, unspecified
F3816	Myasthenic syndrome due to thyrotoxicosis
F3954	Myopathy due to thyrotoxicosis
X40OO	Thyroid-associated dermopathy
XM0Ap	Iodine-deficiency-related endemic goitre
X40HA	Congenital thyroid hypoplasia
X40HC	Congenital hypothyroidism with ectopic thyroid
X40HD	Hypothyroid goitre, acquired
X40HE	Autoimmune hypothyroidism
X40HF	Hypothyroidism due to Hashimoto's thyroiditis
X40HG	Hypothyroidism due to TSH receptor blocking antibody
X40HH	Borderline hypothyroidism
X40HK	Euthyroid with thyroid antibodies
X40HL	Iatrogenic hypothyroidism
X40HM	Postablative hypothyroidism
X40HN	Radioactive iodine-induced hypothyroidism
X40HO	Drug-induced hypothyroidism
X40HP	Post-infectious hypothyroidism
X40HR	Acute viral thyroiditis
X40HS	De Quervain's thyroiditis
X40HT	Giant-cell thyroiditis
X40HU	Granulomatous thyroiditis
X40HV	Non-suppurative subacute thyroiditis
X40HW	Hashimoto's thyroiditis
X40IA	Congenital iodine deficiency syndrome - neurological type
X40IB	Subclinical iodine deficiency hypothyroidism
X005I	Hypothyroid coma
X005I	Myxoedema coma
X40HI	Compensated hypothyroidism
X40HJ	Compensated euthyroidism
