^ESCT1170559	Hyperthyroidism in pregnancy
^ESCTHY391826	Hyperthyroidism due to ectopic thyroid nodule
^ESCTHY475778	Hyperthyroidism due to ectopic thyroid tissue
^ESCTHY489633	Hypothyroid dwarfism
^ESCTHY510834	Hypothyroid goiter, acquired
^ESCTHY510838	Hypothyroidism with positive thyroid antibodies
^ESCTHY510839	Hypothyroidism due to Hashimoto's thyroiditis
^ESCTHY510840	Hypothyroidism due to Hashimoto thyroiditis
^ESCTHY510841	Hypothyroidism due to TSH receptor blocking antibody
^ESCTHY510842	Hypothyroidism due to thyroid stimulating hormone receptor blocking antibody
^ESCTHY510876	Hypothyroidism due to iodide trapping defect
^ESCTHY510877	Hypothyroidism due to iodide organification defect
^ESCTHY629831	Hypoplasia of thyroid
^ESCTHY708432	Hypothyroidism in pregnancy
^ESCTHY736468	Hyperfunctioning follicular adenoma of thyroid gland
^ESCTHY776898	Hypothyroidism due to mutation in transcription factor of pituitary development
^ESCTHY783052	Hypothyroidism and cleft palate syndrome
^ESCTHY803212	Hypothyroidism due to thyroiditis
^ESCTHY803732	Hypothyroxinaemia of prematurity
^ESCTHY803733	Hypothyroxinemia of prematurity
^ESCTHY811865	Hypothyroidism caused by drug
^ESCTHY932490	Hyperthyroidism in childbirth
^ESCTHY933128	Hypothyroidism in childbirth
^ESCTIA510817	Iatrogenic thyrotoxicosis
^ESCTIA510818	Iatrogenic hyperthyroidism
^ESCTID386126	Idiopathic atrophic hypothyroidism
^ESCTID386128	Idiopathic atrophic myxedema
^ESCTID386130	Idiopathic atrophic myxoedema
^ESCTID511124	Idiopathic TSH deficiency
^ESCTID511125	Idiopathic thyroid stimulating hormone deficiency
^ESCTID775964	Idiopathic congenital hypothyroidism
^ESCTIN255492	Infectious thyroiditis
^ESCTIN268881	Infarction of thyroid
^ESCTIN309589	Inherited disorder of thyroid metabolism
^ESCTIN357958	Intrathoracic goiter
^ESCTIN357959	Intrathoracic goitre
^ESCTIN380630	Intrathyroidal calcification AND goitre syndrome
^ESCTIN380631	Intrathyroidal calcification AND goiter syndrome
^ESCTIN394698	Invasive fibrous thyroiditis
^ESCTIN490441	Infantile hypothyroidism
^ESCTIN510907	Injury of thyroid gland
^ESCTIN671639	Infant hypothyroidism
^ESCTIN671640	Infant hypothyroidism to 24 months of age
^ESCTIN751006	Infant hypothyroidism due to maternal drug
^ESCTIN751007	Infant hypothyroidism caused by maternal drug
^ESCTIN802487	Incidentaloma of thyroid gland
^ESCTIO278371	Iodotyrosine deiodination defect
^ESCTIO278376	Iodotyrosine deiodinase deficiency
^ESCTIO278377	Iodotyrosine dehalogenase deficiency
^ESCTIO285940	Iodide transport defect
^ESCTIO285943	Iodine accumulation defect
^ESCTIO285946	Iodide transport failure
^ESCTIO285947	Iodine transport defect
^ESCTIO287562	Iodotyrosyl coupling defect
^ESCTIO323377	Iodine deficiency disease, non goitre
^ESCTIO323378	Iodine deficiency disease, non goiter
^ESCTIO323379	Iodine deficiency disease, non-goitre
^ESCTIO323380	Iodine deficiency disease, non-goiter
^ESCTIO335487	Iodide oxidation defect
^ESCTIO335489	Iodide organification defect I
^ESCTIO383141	Iodide peroxidase defect
^ESCTIO510820	Iodine-induced hyperthyroidism
^ESCTIO510822	Iodine-induced thyrotoxicosis
^ESCTIO510824	Iodide-induced hyperthyroidism
^ESCTIO510905	Iodine-deficiency-related multinodular endemic goitre
^ESCTIO510906	Iodine-deficiency-related multinodular endemic goiter
^ESCTIO553183	Iodine-deficiency-related diffuse (endemic) goiter
^ESCTIO553184	Iodine-deficiency-related endemic goiter
^ESCTIS395088	Isolated thyrotropin deficiency
^ESCTIS395089	Isolated thyrotropic hormone deficiency
^ESCTIS395090	Isolated TSH deficiency
^ESCTJO510821	Jod-Basedow thyrotoxicosis
^ESCTJO510823	Jod-Basedow phenomenon
^ESCTJO510825	Jod Basedow iodine induced hyperthyroidism
^ESCTJU267042	Juvenile myxoedema
^ESCTJU267043	Juvenile myxedema
^ESCTJU511286	Juvenile Graves' disease
^ESCTKO774583	Kocher Debre Semelaigne syndrome
^ESCTLA591374	Laceration of thyroid gland
^ESCTLI283836	Lingual thyroid
^ESCTLI373034	Lingual goitre
^ESCTLI373035	Lingual goiter
^ESCTLI394697	Ligneous thyroiditis
^ESCTLO605188	Local recurrence of malignant tumour of thyroid gland
^ESCTLO605189	Local recurrence of malignant tumor of thyroid gland
^ESCTLY284977	Lymphocytic thyroiditis
^ESCTMA560804	Malignant lymphoma of thyroid gland
^ESCTMA624693	Malignant tumour of thyroid gland
^ESCTMA735159	Malignant epithelial neoplasm of thyroid
^ESCTME404126	Metastatic malignant neoplasm to thyroid gland
^ESCTME404127	Metastasis to thyroid
^ESCTME535481	Medullary thyroid carcinoma
^ESCTME535482	Medullary carcinoma of thyroid
^ESCTMI535477	Mixed follicular and papillary thyroid carcinoma
^ESCTMO755809	Monocarboxylate transporter 8 deficiency
^ESCTMT535483	MTC - Medullary thyroid carcinoma
^ESCTMU308412	Multinodular non-toxic goiter
^ESCTMU308413	Multinodular non-toxic goitre
^ESCTMU367244	Mumps thyroiditis
^ESCTMU510900	Multinodular goitre
^ESCTMU510901	Multiple thyroid nodules
^ESCTMU510902	Multinodular goiter
^ESCTMU731534	Multifocal granulomatous folliculitis of the thyroid
^ESCTMU774582	Muscular pseudohypertrophy and hypothyroidism syndrome
^ESCTMU784373	Multinodular goitre, cystic kidney, polydactyly syndrome
^ESCTMU784374	Multinodular goiter, cystic kidney, polydactyly syndrome
^ESCTMY257301	Myxoedema heart disease
^ESCTMY257302	Myxedema heart disease
^ESCTMY319547	Myxedema
^ESCTMY354873	Myxoedematous form of cretinism
^ESCTMY354874	Myxedematous form of cretinism
^ESCTNE258897	Neonatal transient hyperthyroidism
^ESCTNE347373	Neonatal Graves' disease
^ESCTNE405157	Neoplasm of uncertain behavior of thyroid gland
^ESCTNE439224	Neoplasm of thyroid gland
^ESCTNE558715	Neonatal goitre
^ESCTNO308411	Non-toxic multinodular goiter
^ESCTNO349176	Non-toxic colloid goiter
^ESCTNO349177	Non-toxic diffuse colloid goiter
^ESCTNO349178	Non-toxic colloid goitre
^ESCTNO349179	Non-toxic diffuse colloid goitre
^ESCTNO387254	Noninvasive fibrous thyroiditis
^ESCTNO475757	Non-toxic nodular goiter
^ESCTNO475758	Nontoxic nodular thyroid goitre
^ESCTNO475759	Nontoxic nodular thyroid goiter
^ESCTNO475761	Non-toxic single thyroid nodule
^ESCTNO475762	Non-toxic uninodular goiter
^ESCTNO475763	Nontoxic uninodular thyroid goiter
^ESCTNO475764	Nontoxic uninodular thyroid goitre
^ESCTNO549997	Non-toxic goiter
^ESCTNO549998	Non-toxic simple goiter
^ESCTNO550000	Non-toxic simple goitre
^ESCTNO550001	Non-toxic goitre
^ESCTNO693269	Nodular goitre
^ESCTNO693270	Nodular goiter
^ESCTNO693271	Nodular hyperplasia of thyroid
^ESCTNO708252	Non-suppurative subacute thyroiditis
^ESCTNO811882	Nontoxic diffuse thyroid goiter
^ESCTNO811883	Nontoxic diffuse thyroid goitre
^ESCTOB782663	Obesity, colitis, hypothyroidism, cardiac hypertrophy, developmental delay syndrome
^ESCTOH751987	Ohdo syndrome, Say-Barber-Biesecker-Young-Simpson variant
^ESCTOP390330	Open wound of thyroid gland without complication
^ESCTPA510858	Painless thyroiditis
^ESCTPA535475	Papillary thyroid carcinoma
^ESCTPA535478	Papillary thyroid carcinoma, follicular variant
^ESCTPA731533	Palpation thyroiditis
^ESCTPA776160	Papillary thyroid carcinoma with renal papillary neoplasia
^ESCTPE364409	Pendred syndrome
^ESCTPE776897	Peripheral resistance to thyroid hormone
^ESCTPI384369	Pituitary hypothyroidism
^ESCTPI621228	Pituitary thyroid hormone resistance
^ESCTPL343882	Plummer's disease
^ESCTPO293332	Postoperative hypothyroidism
^ESCTPO293334	Postsurgical hypothyroidism
^ESCTPO510849	Post-infectious hypothyroidism
^ESCTPR402903	Primary malignant neoplasm of thyroid gland
^ESCTPR419734	Primary hypothyroidism
^ESCTPR785774	Primary poorly differentiated carcinoma of thyroid gland
^ESCTPR785775	Primary undifferentiated carcinoma of thyroid gland
^ESCTPS312342	Pseudogranulomatous thyroiditis
^ESCTPT535476	PTC - Papillary thyroid carcinoma
^ESCTPY290753	Pyogenic thyroiditis
^ESCTRA315265	Radioactive iodine-induced hypothyroidism
^ESCTRE357960	Retrosternal goitre
^ESCTRE357961	Retrosternal goiter
^ESCTRE419735	Refetoff syndrome
^ESCTRE510886	Resistance to thyrotropin
^ESCTRE510887	Resistance to thyroid stimulating hormone
^ESCTRE786931	Resistance to thyrotropin-releasing hormone syndrome
^ESCTRI394699	Riedel thyroiditis
^ESCTSA751989	Say-Barber-Biesecker-Young-Simpson syndrome
^ESCTSA751991	Say-Barber-Biesecker-Young-Simpson variant of Ohdo syndrome
^ESCTSE292247	Secondary thyroid hyperplasia
^ESCTSE384367	Secondary hypothyroidism
^ESCTSE386630	Severe hypothyroidism
^ESCTSE404125	Secondary malignant neoplasm of thyroid gland
^ESCTSE783843	Secondary hyperthyroidism
^ESCTSI342270	Simple iodine deficiency goiter
^ESCTSI342271	Simple iodine deficiency goitre
^ESCTSI510857	Silent thyroiditis
^ESCTSI510859	Sick-euthyroid syndrome
^ESCTSI510860	Sick euthyroid syndrome
^ESCTSI549999	Simple goiter
^ESCTSP387890	Sporadic cretinism
^ESCTSP389080	Sporadic goitre
^ESCTSP389081	Sporadic goiter
^ESCTST255812	Struma of thyroid
^ESCTST255817	Struma - goiter
^ESCTST284978	Struma lymphomatosa
^ESCTST284980	Struma lymphomatosis
^ESCTST394696	Struma fibrosa thyroid
^ESCTSU283837	Sublingual thyroid gland
^ESCTSU357956	Substernal goitre
^ESCTSU357962	Substernal thyroid goiter
^ESCTSU621977	Subacute autoimmune thyroiditis
^ESCTSU621978	Subacute lymphocytic thyroiditis
^ESCTSU708250	Subacute granulomatous thyroiditis
^ESCTSW255814	Swelling of thyroid gland
^ESCTT3285624	T>3< thyrotoxicosis
^ESCTT3285625	T3 toxicosis
^ESCTTH254702	Thyroid hemorrhage
^ESCTTH255813	Thyromegaly
^ESCTTH255818	Thyroid goiter
^ESCTTH255819	Thyroid goitre
^ESCTTH272651	Thyroid disease
^ESCTTH287565	Thyroid hormone coupling defect
^ESCTTH289950	Thyrotoxicosis due to struma ovarii
^ESCTTH292248	Thyrotoxicosis due to multinodular goiter
^ESCTTH292249	Thyrotoxicosis with toxic multinodular goiter
^ESCTTH292250	Thyrotoxicosis due to multinodular goitre
^ESCTTH292251	Thyrotoxicosis with toxic multinodular goitre
^ESCTTH294177	Thyrotoxicosis due to Hashimoto's thyroiditis
^ESCTTH296680	Thyrotoxic crisis
^ESCTTH296681	Thyroid storm
^ESCTTH319994	Thyroglobulin proteolysis defect
^ESCTTH331574	Thyroid hormone responsiveness defect
^ESCTTH331575	Thyroid hormone unresponsiveness
^ESCTTH335490	Thyroid hormone organification defect II A
^ESCTTH341172	Thyroxine transport defect
^ESCTTH346069	Thyroid disease in mother complicating pregnancy, childbirth AND/OR puerperium
^ESCTTH352641	Thyroglobulin synthesis defect
^ESCTTH361354	Thyrotoxic myopathy
^ESCTTH364404	Thyroid hormone organification defect II B
^ESCTTH370096	Thyrotoxicosis with toxic single thyroid nodule
^ESCTTH370097	Thyrotoxicosis due to uninodular goitre
^ESCTTH370098	Thyrotoxicosis due to uninodular goiter
^ESCTTH379267	Thyroxine plasma membrane transport defect
^ESCTTH391828	Thyrotoxicosis from ectopic thyroid tissue
^ESCTTH394199	Thyrotoxicosis factitia with thyrotoxic crisis
^ESCTTH394200	Thyrotoxicosis factitia with thyrotoxic storm
^ESCTTH395846	Thyrotoxicosis without goitre OR other cause
^ESCTTH395847	Thyrotoxicosis without goiter OR other cause
^ESCTTH439225	Thyroid tumour
^ESCTTH439227	Thyroid tumor
^ESCTTH475796	Thyroid hemorrhage and infarction
^ESCTTH510803	Thyrotoxicosis due to Graves' disease
^ESCTTH510806	Thyrotoxicosis due to acute thyroiditis
^ESCTTH510811	Thyrotoxicosis in pregnancy
^ESCTTH510819	Thyrotoxicosis on thyroxine therapy
