C00..00	Simple and unspecified goitre
Cyu1400	[X]Other chronic thyroiditis
L181500	Postpartum thyroiditis
C000.13	Thyroid nodule
C00z.11	Thyroid enlargement
C02..11	Hyperthyroidism
C020.11	Basedow's disease
C020.12	Graves' disease
C020200	Thyroid-associated dermopathy
C02y300	Thyroid crisis
C045.00	Acquired atrophy of thyroid
C050200	Abscess of thyroid
C052.12	Hashimoto's disease
C06..00	Other disorders of thyroid
C060.00	Disorder of thyrocalcitonin secretion
C062.00	Thyroid cyst
C063.00	Thyroid haemorrhage and infarction
C063000	Thyroid haemorrhage
C063100	Thyroid infarction
C063z00	Thyroid haemorrhage or infarction NOS
C06y.00	Other specified thyroid disorders
C06y000	Thyroid-binding globulin abnormality
C06y100	Thyroid atrophy
C06yz00	Other specified thyroid disorder NOS
C06z.00	Thyroid disorder NOS
C0A..00	Congenital iodine deficiency syndrome
C0A0.00	Congenital iodine-deficiency syndrome, neurological type
C0A2.00	Congenital iodine-deficiency syndrome, mixed type
Cyu1.00	[X]Disorders of thyroid gland
Cyu1000	[X]Other iodine-deficiency related thyroid disorders and allied conditions
Cyu1500	[X]Other specified disorders of thyroid
Cyu4J00	[X]Disorders of thyroid gland in diseases classified elsewhere
A175.00	Tuberculosis of thyroid gland
AC22.00	Thyroid echinococcus granulosus
B53..00	Malignant neoplasm of thyroid gland
B7G..00	Benign neoplasm of thyroid gland
B7G..11	Adenoma of thyroid gland
B8yy000	Carcinoma in situ of thyroid gland
B924000	Neoplasm of uncertain behaviour of thyroid gland
C0...00	Disorders of thyroid gland
C0...11	Struma - goitre
C025.00	Subclinical hyperthyroidism
C03..00	Congenital hypothyroidism
C03..11	Cretinism
C030.00	Pendred's syndrome
C031.00	Goitrous cretin
C03y.00	Other specified congenital hypothyroidism
C03y000	Congenital hypothyroidism with diffuse goitre
C03y100	Congenital hypothyroidism without goitre
C03z.00	Congenital hypothyroidism NOS
C03z.11	Congenital thyroid insufficiency
C03z.12	Cretinism
C04..00	Acquired hypothyroidism
C04..11	Myxoedema
C04..12	Thyroid deficiency
C04..13	Hypothyroidism
C040.00	Postsurgical hypothyroidism
C040.11	Post ablative hypothyroidism
C041.00	Other postablative hypothyroidism
C041000	Irradiation hypothyroidism
C041z00	Postablative hypothyroidism NOS
C042.00	Iodine hypothyroidism
C043.00	Other iatrogenic hypothyroidism
C043000	Hypothyroidism resulting from para-aminosalicylic acid
C043100	Hypothyroidism resulting from phenylbutazone
C043200	Hypothyroidism resulting from resorcinol
C043z00	Iatrogenic hypothyroidism NOS
C044.00	Postinfectious hypothyroidism
C046.00	Autoimmune myxoedema
C047.00	Subclinical hypothyroidism
C04y.00	Other acquired hypothyroidism
C0A1.00	Congenital iodine-deficiency syndrome, myxoedematous type
C0A5.00	Subclinical iodine-deficiency hypothyroidism
C134300	TSH - thyroid-stimulating hormone deficiency
C3A..00	Iodine-deficiency syndromes
Cyu1100	[X]Other sp cified hypothyroidism
L181.00	Thyroid dysfunction during pregnancy, childbirth and the puerperium
L181000	Thyroid dysfunction - unspecified whether during pregnancy or the puerperium
L181z00	Thyroid dysfunction durin pregnancy, childbirth or the puerperium NOS
PK21.00	Accessory thyroid gland
PK25.00	Anomalies of thyroid gland NEC
PK25000	Aberrant thyroid gland
PK25011	Retrosternal thyroid gland
PK25100	Congenital absence of thyroid gland
PK25z00	Anomaly of thyroid gland NEC NOS
Q433700	Neonatal jaundice with congenital hypothyroidism
Q443.00	Neonatal thyrotoxicosis
Q44V.00	Neonatal goitre, not elsewhere classified
Qyu6400	[X]Other transitory neonatal disorders of thyroid function, not elsewhere classified
Qyu6A00	[X]Neonatal goitre, not elsewhere classified
S842.00	Open wound of thyroid
S843.00	Open wound of thyroid with complication
C04z.00	Hypothyroidism NOS
C04z100	Myxoedema coma
