bA12.	TRIAPIN 5mg/5mg tablets
bi3e.	ZESTRIL 5mg tablets 28CP
bi3g.	ZESTRIL 10mg tablets 28CP
bi3i.	ZESTRIL 20mg tablets 28CP
bi3k.	CARACE 20 PLUS tablets
bi3l.	*CARACE 10 PLUS tablets
bi3m.	*ZESTORETIC tablets 28CP
bi3n.	ZESTORETIC 20/12.5mg tablets
bi3p.	LISINOPRIL+HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets
bi3t.	LISINOPRIL+HYDROCHLOROTHIAZIDE 10mg/12.5mg tablets
bi3u.	*CARALPHA 10/12.5mg tablets
bi3v.	*CARALPHA 20/12.5mg tablets
bi3y.	LISINOPRIL 1mg/mL oral solution
bi41.	QUINAPRIL 5mg tablets
bi42.	QUINAPRIL 10mg tablets
bi43.	QUINAPRIL 20mg tablets
bi47.	ACCURETIC tablets
bi48.	QUINAPRIL+HYDROCHLOROTHIAZIDE 10/12.5mg tablets
bi49.	ACCUPRO 40mg tablets
bi4A.	QUINAPRIL 40mg tablets
bi4B.	QUINIL 5mg tablets
bi4C.	QUINIL 10mg tablets
bi4D.	QUINIL 20mg tablets
bi4E.	QUINIL 40mg tablets
bi51.	PERINDOPRIL ERBUMINE 2mg tablets
bi52.	PERINDOPRIL ERBUMINE 4mg tablets
bi53.	*COVERSYL 2mg tablets
bi54.	*COVERSYL 4mg tablets
bi56.	COVERSYL PLUS 4mg/1.25mg tablets
bi58.	*COVERSYL 8mg tablets
bi61.	RAMIPRIL 1.25mg capsules
bi62.	RAMIPRIL 2.5mg capsules
bi63.	RAMIPRIL 5mg capsules
bi64.	*TRITACE 1.25mg capsules
bi65.	*TRITACE 2.5mg capsules
bi66.	*TRITACE 5mg capsules
bi67.	RAMIPRIL 10mg capsules
bi68.	*TRITACE 10mg capsules
bi6A.	TRITACE Titration Pack capsules
bi6B.	RAMIPRIL 1.25mg tablets
bi6C.	RAMIPRIL 2.5mg tablets
bi6D.	RAMIPRIL 5mg tablets
bi6E.	RAMIPRIL 10mg tablets
bi6t.	*LOPACE 2.5mg capsules
bi6u.	*LOPACE 5mg capsules
bi6v.	*LOPACE 10mg capsules
bi6w.	TRITACE 10mg tablets
bi6x.	TRITACE 5mg tablets
bi6y.	TRITACE 2.5mg tablets
bi6z.	TRITACE 1.25mg tablets
bi71.	FOSINOPRIL 10mg tablets
bi72.	FOSINOPRIL 20mg tablets
bi73.	*STARIL 10mg tablets
bi74.	*STARIL 20mg tablets
bi82.	CILAZAPRIL 500micrograms tablets
bi83.	*CILAZAPRIL 1mg tablets
bi84.	*CILAZAPRIL 2.5mg tablets
bi86.	*VASCACE 500micrograms tablets
bi87.	*VASCACE 1mg tablets
bi88.	*VASCACE 2.5mg tablets
bi89.	*VASCACE 5mg tablets
bi8a.	CILAZAPRIL 5mg tablets
bi91.	TRANDOLAPRIL 500micrograms capsules
bi92.	TRANDOLAPRIL 1mg capsules
bi93.	TRANDOLAPRIL 2mg capsules
bi94.	*GOPTEN 500micrograms capsules
bi95.	*GOPTEN 1mg capsules
bi96.	*GOPTEN 2mg capsules
bi97.	*ODRIK 500micrograms capsules
bi98.	*ODRIK 1mg capsules
bi99.	*ODRIK 2mg capsules
bi9A.	*GOPTEN 4mg capsules
bi9z.	TRANDOLAPRIL 4mg capsules
biA1.	MOEXIPRIL HYDROCHLORIDE 7.5mg tablets
biA2.	MOEXIPRIL HYDROCHLORIDE 15mg tablets
biA3.	PERDIX 7.5mg tablets
biA4.	PERDIX 15mg tablets
biB1.	TANATRIL 5mg tablets
biB2.	TANATRIL 10mg tablets
biB3.	TANATRIL 20mg tablets
biBx.	IMIDAPRIL HYDROCHLORIDE 20mg tablets
biBy.	IMIDAPRIL HYDROCHLORIDE 5mg tablets
biBz.	IMIDAPRIL HYDROCHLORIDE 10mg tablets
biC1.	COVERSYL ARGININE 2.5mg tablets
biC2.	PERINDOPRIL ARGININE 2.5mg tablets
biC3.	COVERSYL ARGININE 5mg tablets
biC4.	PERINDOPRIL ARGININE 5mg tablets
biC5.	COVERSYL ARGININE 10mg tablets
biC6.	PERINDOPRIL ARGININE 10mg tablets
biC7.	COVERSYL ARGININE PLUS 5mg/1.25mg tablets
biC8.	PERINDOPRIL ARGININE+INDAPAMIDE 5mg/1.25mg tablets
bk31.	LOSARTAN POTASSIUM 25mg tablets
bk32.	LOSARTAN POTASSIUM 50mg tablets
bk33.	COZAAR HALF-STRENGTH 25mg tablets
bk34.	COZAAR 50mg tablets
bk35.	LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 50mg/12.5mg tablets
bk36.	COZAAR-COMP 50mg/12.5mg tablets
bk37.	LOSARTAN POTASSIUM 100mg tablets
bk38.	COZAAR 100mg tablets
bk39.	COZAAR-COMP 100mg/25mg tablets
bk3A.	COZAAR-COMP 100mg/12.5mg tablets
bk3B.	COZAAR 12.5mg tablets
bk3C.	LOSARTAN POTASSIUM 12.5mg tablets
bk3D.	COZAAR 2.5mg/mL oral suspension
bk3E.	LOSARTAN POTASSIUM 2.5mg/mL oral suspension
bk3y.	LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 100mg/12.5mg tablets
bk3z.	LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 100mg/25mg tablets
bk41.	VALSARTAN 40mg capsules
bk42.	VALSARTAN 80mg capsules
bk43.	VALSARTAN 160mg capsules
bk44.	DIOVAN 40mg capsules
bk45.	DIOVAN 80mg capsules
bk46.	DIOVAN 160mg capsules
bk47.	CO-DIOVAN 160mg/12.5mg tablets
bk48.	CO-DIOVAN 160mg/25mg tablets
bk49.	CO-DIOVAN 80mg/12.5mg tablets
bk4A.	DIOVAN 40mg tablets
bk4B.	DIOVAN 320mg tablets
bk4C.	DIOVAN 3mg/mL oral solution
bk4s.	VALSARTAN 80mg tablets
bk4t.	VALSARTAN 160mg tablets
bk4u.	VALSARTAN 3mg/mL oral solution
bk4v.	VALSARTAN 320mg tablets
bk4w.	VALSARTAN 40mg tablets
bk4x.	VALSARTAN+HYDROCHLOROTHIAZIDE 80mg/12.5mg tablets
bk4y.	VALSARTAN+HYDROCHLOROTHIAZIDE 160mg/25mg tablets
bk4z.	VALSARTAN+HYDROCHLOROTHIAZIDE 160mg/12.5mg tablets
bk51.	IRBESARTAN 75mg tablets
bk52.	IRBESARTAN 150mg tablets
bk53.	IRBESARTAN 300mg tablets
bk54.	APROVEL 75mg tablets
bk55.	APROVEL 150mg tablets
bk56.	APROVEL 300mg tablets
bk57.	COAPROVEL 150mg/12.5mg tablets
bk58.	COAPROVEL 300mg/12.5mg tablets
bk59.	COAPROVEL 300mg/25mg tablets
bk5x.	IRBESARTAN+HYDROCHLOROTHIAZIDE 300mg/25mg tablets
bk5y.	IRBESARTAN+HYDROCHLOROTHIAZIDE 300mg/12.5mg tablets
bk5z.	IRBESARTAN+HYDROCHLOROTHIAZIDE 150mg/12.5mg tablets
bk61.	TRANDOLAPRIL+VERAPAMIL HYDROCHLORIDE 2mg/180mg m/r capsules
bk62.	*TARKA 2mg/180mg m/r capsules
bk71.	CANDESARTAN CILEXETIL 2mg tablets
bk72.	CANDESARTAN CILEXETIL 4mg tablets
bk73.	CANDESARTAN CILEXETIL 8mg tablets
bk74.	CANDESARTAN CILEXETIL 16mg tablets
bk75.	AMIAS 2mg tablets
bk76.	AMIAS 4mg tablets
bk77.	AMIAS 8mg tablets
bk78.	AMIAS 16mg tablets
bk79.	AMIAS 32mg tablets
bk7z.	CANDESARTAN CILEXETIL 32mg tablets
bk81.	TELMISARTAN 40mg tablets
bk82.	TELMISARTAN 80mg tablets
bk83.	MICARDIS 40mg tablets
bk84.	MICARDIS 80mg tablets
bk85.	MICARDIS 20mg tablets
bk86.	MICARDISPLUS 40mg/12.5mg tablets
bk87.	MICARDISPLUS 80mg/12.5mg tablets
bk88.	MICARDISPLUS 80mg/25mg tablets
bk8x.	TELMISARTAN+HYDROCHLOROTHIAZIDE 40mg/12.5mg tablets
bk8y.	TELMISARTAN+HYDROCHLOROTHIAZIDE 80mg/12.5mg tablets
bk8z.	TELMISARTAN 20mg tablets
bk91.	TEVETEN 300mg tablets
bk92.	*TEVETEN 400mg tablets
bk93.	TEVETEN 600mg tablets
bk9x.	EPROSARTAN 300mg tablets
bk9y.	EPROSARTAN 400mg tablets
bk9z.	EPROSARTAN 600mg tablets
bkB1.	OLMESARTAN MEDOXOMIL 10mg tablets
bkB2.	OLMESARTAN MEDOXOMIL 20mg tablets
bkB3.	OLMESARTAN MEDOXOMIL 40mg tablets
bkB4.	OLMETEC 10mg tablets
bkB5.	OLMETEC 20mg tablets
bkB6.	OLMETEC 40mg tablets
bkC1.	OLMETEC PLUS 20mg/12.5mg tablets
bkC2.	OLMETEC PLUS 20mg/25mg tablets
bkC3.	OLMETEC PLUS 40mg/12.5mg tablets
bkCx.	OLMESARTAN+HYDROCHLOROTHIAZIDE 40mg/12.5mg tablets
bkCy.	OLMESARTAN + HYDROCHLOROTHIAZIDE 20mg/25mg tablets
bkCz.	OLMESARTAN + HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets
bkF1.	RASILEZ 150mg tablets
bkF2.	RASILEZ 300mg tablets
bkFy.	ALISKIREN 300mg tablets
bkFz.	ALISKIREN 150mg tablets
bkH1.	SEVIKAR 20mg/5mg tablets
bkH2.	SEVIKAR 40mg/5mg tablets
bkH3.	SEVIKAR 40mg/10mg tablets
bkHx.	OLMESARTAN MEDOXOMIL+AMLODIPINE 40mg/10mg tablets
bkHy.	OLMESARTAN MEDOXOMIL+AMLODIPINE 40mg/5mg tablets
bkHz.	OLMESARTAN MEDOXOMIL+AMLODIPINE 20mg/5mg tablets
bkI1.	SEVIKAR HCT 20mg/5mg/12.5mg tablets
bkI2.	SEVIKAR HCT 40mg/5mg/12.5mg tablets
bkI3.	SEVIKAR HCT 40mg/10mg/12.5mg tablets
bkI4.	SEVIKAR HCT 40mg/5mg/25mg tablets
bkI5.	SEVIKAR HCT 40mg/10mg/25mg tablets
bkJ1.	EDARBI 20mg tablets
bkJ2.	AZILSARTAN MEDOXOMIL 20mg tablets
bkJ3.	EDARBI 40mg tablets
bkJ4.	AZILSARTAN MEDOXOMIL 40mg tablets
bkJ5.	EDARBI 80mg tablets
bkJ6.	AZILSARTAN MEDOXOMIL 80mg tablets
