136a.00	Increasing risk drinking
Eu12600	[X]Mental and behavioural disorders due to use of cannabinoids: amnesic syndrome
Eu12700	[X]Mental and behavioural disorders due to use of cannabinoids: residual and late-onset psychotic disorder
Eu13.00	[X]Mental and behavioural disorders due to use of sedatives or hypnotics
Eu13000	[X]Mental and behavioural disorders due to use of sedatives or hypnotics: acute intoxication
Eu13100	[X]Mental and behavioural disorders due to use of sedatives or hypnotics: harmful use
Eu13300	[X]Mental and behavioural disorders due to use of sedatives or hypnotics: withdrawal state
Eu13400	[X]Mental and behavioural disorders due to use of sedatives or hypnotics: withdrawal state with delirium
Eu13600	[X]Mental and behavioural disorders due to use of sedatives or hypnotics: amnesic syndrome
Eu13700	[X]Mental and behavioural disorders due to use of sedatives or hypnotics: residual and late-onset psychotic disorder
Eu13y00	[X]Mental and behavioural disorders due to use of sedatives or hypnotics: other mental and behavioural disorders
Eu13z00	[X]Mental and behavioural disorders due to use of sedatives or hypnotics: unspecified mental and behavioural disorder
Eu14000	[X]Mental and behavioural disorders due to use of cocaine: acute intoxication
Eu14300	[X]Mental and behavioural disorders due to use of cocaine: withdrawal state
Eu14400	[X]Mental and behavioural disorders due to use of cocaine: withdrawal state with delirium
Eu14600	[X]Mental and behavioural disorders due to use of cocaine: amnesic syndrome
Eu14700	[X]Mental and behavioural disorders due to use of cocaine: residual and late-onset psychotic disorder
Eu14z00	[X]Mental and behavioural disorders due to use of cocaine: unspecified mental and behavioural disorder
Eu15.00	[X]Mental and behavioural disorders due to use of other stimulants, including caffeine
Eu15100	[X]Mental and behavioural disorders due to use of other stimulants, including caffeine: harmful use
Eu15200	[X]Mental and behavioural disorders due to use of other stimulants, including caffeine: dependence syndrome
Eu15300	[X]Mental and behavioural disorders due to use of other stimulants, including caffeine: withdrawal state
Eu15400	[X]Mental and behavioural disorders due to use of other stimulants, including caffeine: withdrawal state with delirium
Eu15600	[X]Mental and behavioural disorders due to use of other stimulants, including caffeine: amnesic syndrome
Eu16.00	[X]Mental and behavioural disorders due to use of hallucinogens
Eu16000	[X]Mental and behavioural disorders due to use of hallucinogens: acute intoxication
Eu16100	[X]Mental and behavioural disorders due to use of hallucinogens: harmful use
Eu16300	[X]Mental and behavioural disorders due to use of hallucinogens: withdrawal state
Eu16400	[X]Mental and behavioural disorders due to use of hallucinogens: withdrawal state with delirium
Eu16600	[X]Mental and behavioural disorders due to use of hallucinogens: amnesic syndrome
Eu16700	[X]Mental and behavioural disorders due to use of hallucinogens: residual and late-onset psychotic disorder
Eu16y00	[X]Mental and behavioural disorders due to use of hallucinogens: other mental and behavioural disorders
Eu16z00	[X]Mental and behavioural disorders due to use of hallucinogens: unspecified mental and behavioural disorder
Eu18100	[X]Mental and behavioural disorders due to use of volatile solvents: harmful use
Eu18200	[X]Mental and behavioural disorders due to use of volatile solvents: dependence syndrome
Eu18600	[X]Mental and behavioural disorders due to use of volatile solvents: amnesic syndrome
Eu18700	[X]Mental and behavioural disorders due to use of volatile solvents: residual and late-onset psychotic disorder
Eu18y00	[X]Mental and behavioural disorders due to use of volatile solvents: other mental and behavioural disorders
Eu18z00	[X]Mental and behavioural disorders due to use of volatile solvents: unspecified mental and behavioural disorder
Eu19000	[X]Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: acute intoxication
Eu19200	[X]Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: dependence syndrome
Eu19300	[X]Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: withdrawal state
Eu19400	[X]Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: withdrawal state with delirium
Eu19700	[X]Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: residual and late-onset psychotic
Eu19y00	[X]Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: other mental and behavioural disorders
Eu19z00	[X]Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: unspecified mental and behavioural disorder
F11x000	Cerebral degeneration due to alcoholism
F144000	Cerebellar ataxia due to alcoholism
F25B.00	Alcohol-induced epilepsy
F375.00	Alcoholic polyneuropathy
F394100	Alcoholic myopathy
G555.00	Alcoholic cardiomyopathy
G852300	Oesophageal varices in alcoholic cirrhosis of the liver
J153.00	Alcoholic gastritis
J610.00	Alcoholic fatty liver
J611.00	Acute alcoholic hepatitis
J612.00	Alcoholic cirrhosis of liver
J612000	Alcoholic fibrosis and sclerosis of liver
J613.00	Alcoholic liver damage unspecified
J613000	Alcoholic hepatic failure
J617.00	Alcoholic hepatitis
J617000	Chronic alcoholic hepatitis
J670800	Alcohol-induced acute pancreatitis
J671000	Alcohol-induced chronic pancreatitis
ZV11300	[V]Personal history of alcoholism
ZV11400	[V]Personal history of psychoactive substance abuse
ZV57A00	[V]Alcohol rehabilitation
ZV6D600	[V]Alcohol abuse counselling and surveillance
