A164.	Tuberculous epididymitis
X50Ej	Sclerosing lymphangitis of penis
X50Em	Plasma cell vulvitis
X70H8	Tuberculosis of male genital organs
X70H9	Tuberculosis of female genital organs
X70Mo	Gonococcal Skenitis
X70Mp	Gonococcal Tysonitis
X70Mq	Gonococcal Cowperitis
X70Mr	Gonococcal Littritis
X784Z	Congenital hydrosalpinx
Xa0Er	Trichomonal vaginitis
Xa0ke	Myometritis
Xa16P	Infective vulvitis
Xa1Qp	Oophoritis
Xa1Qu	Salpingitis
Xa1Qx	Salpingo-oophoritis
Xa1Qz	Parametritis
Xa1R2	Female pelvic cellulitis
Xa3g0	Endometritis, excluding cervix
Xa40N	Acute pelvic inflammatory disease NOS
Xa4cK	Inflammation of cervix
Xa4X6	Scalling of vulva
Xa4XX	Inflammation of clitoris
Xa4Xy	Inflammation of vaginal wall
Xa6aS	Inflammation of testis
Xa89S	Gonococcal seminal vesiculitis
Xa9CH	Uterine inflammatory disease
Xa9CI	Endomyometritis
XaaiP	Infection and inflammation associated with retained intrauterine contraceptive device
XaaiQ	Inflammation associated with retained intrauterine contraceptive device
XaC1D	[X]Cervicitis following delivery
XaC1E	[X]Vaginitis following delivery
XaDbk	Genitourinary chlamydia infection
XaDma	Infective epididymitis
XaDmW	Infective epididymo-orchitis
XaDmZ	Infective orchitis
XaJM2	Perimenopausal atrophic vaginitis
XaLWl	Chlamydial infection of genital organs NEC
XC0d5	Granulomatous orchitis
XE0e7	Prostatic inflammatory disease
XE0eO	Acute salpingo-oophoritis
XE0eP	Acute pelvic cellulitis
XE0eR	Female pelvic inflammatory diseases NOS
XE0eS	Cervicitis and endocervicitis NOS
XE0eT	Vulvitis unspecified
XE0eV	Carbuncle of vulva
XE0gB	(Chronic salpingitis/oophoritis) or (hydrosalpinx)
XE0gD	Salpingitis/oophoritis NOS
XE0gJ	(Endometritis NOS) or (pyometra)
XE0gP	(Cervix/vagina/vulva inflammation NOS) or (vulval: [abscess] or [boil])
XE0Rv	Acute gonococcal epididymo-orchitis
XSE9o	Allergic vaginitis
XSE9s	Vulval vestibulitis
