bi3x.00	LISICOSTAD HCT 10/12.5mg tablets
bk5y.00	IRBESARTAN+HYDROCHLOROTHIAZIDE 300mg/12.5mg tablets
bk5x.00	IRBESARTAN+HYDROCHLOROTHIAZIDE 300mg/25mg tablets
bk88.00	MICARDISPLUS 80mg/25mg tablets
bk87.00	MICARDISPLUS 80mg/12.5mg tablets
bk86.00	MICARDISPLUS 40mg/12.5mg tablets
bk8y.00	TELMISARTAN+HYDROCHLOROTHIAZIDE 80mg/12.5mg tablets
bk8x.00	TELMISARTAN+HYDROCHLOROTHIAZIDE 40mg/12.5mg tablets
bk8w.00	TELMISARTAN+HYDROCHLOROTHIAZIDE 80mg/25mg tablets
bl5j.00	*ADIZEM-XL PLUS m/r capsules
bl5K.00	ADIZEM-XL 120mg m/r capsules
bl5J.00	ADIZEM-XL 180mg m/r capsules
bl5I.00	ADIZEM-XL 240mg m/r capsules
bl5E.00	ADIZEM-XL 300mg m/r capsules
bl5i.00	DILTIAZEM HYDROCHLORIDE+HYDROCHLOROTHIAZIDE 150mg/12.5mg m/r capsules
bi47.00	ACCURETIC tablets
bi4F.00	QUINAPRIL+HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets
bi48.00	QUINAPRIL+HYDROCHLOROTHIAZIDE 10/12.5mg tablets
bdf7.00	*MONOZIDE-10 tablets
bdf8.00	BISOPROLOL FUMARATE+HYDROCHLOROTHIAZIDE 10mg/6.25mg tablets
bf2f.00	*HYDROMET tablets
bf2j.00	METHYLDOPA+HYDROCHLOROTHIAZIDE 250mg/15mg tablets
bi28.00	INNOZIDE 20/12.5mg tablets
bi2b.00	ENALAPRIL MALEATE+HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets
b915.00	*ESIDREX K tablets
bf3c.00	*SERPASIL-ESIDREX tablets
bljP.00	ADIZEM-XL 200mg m/r capsules
b51A.	CO-TRIAMTERZIDE 50/25mg tablets
b51j.	CO-AMILOZIDE 2.5/25mg tablets
b51k.	CO-AMILOZIDE 5/50mg tablets
