^ESCT1167914	Hydralazine and hydrochlorothiazide
^ESCT1183185	Product containing only benazepril hydrochloride 10 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1183189	Product containing only candesartan cilexetil 16 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1183190	Product containing only captopril 25 mg and hydrochlorothiazide 15 mg/1 each oral tablet
^ESCT1183191	Product containing only captopril 50 mg and hydrochlorothiazide 15 mg/1 each oral tablet
^ESCT1183232	Product containing only guanethidine monosulfate 10 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1183233	Product containing only hydralazine hydrochloride 25 mg and hydrochlorothiazide 15 mg and reserpine 0.1 mg/1 each oral tablet
^ESCT1183234	Product containing only hydrochlorothiazide 15 mg and methyldopa 250 mg/1 each oral tablet
^ESCT1183235	Product containing only hydrochlorothiazide 25 mg and methyldopa 250 mg/1 each oral tablet
^ESCT1183236	Product containing only hydrochlorothiazide 50 mg and methyldopa 500 mg/1 each oral tablet
^ESCT1183237	Product containing only hydrochlorothiazide 25 mg and propranolol hydrochloride 40 mg/1 each oral tablet
^ESCT1183238	Product containing only hydrochlorothiazide 25 mg and reserpine 0.125 mg/1 each oral tablet
^ESCT1183239	Product containing only hydrochlorothiazide 25 mg and spironolactone 25 mg/1 each oral tablet
^ESCT1183341	Product containing only aliskiren 300 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1183342	Product containing only aliskiren 300 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1183343	Product containing only aliskiren 150 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1183360	Product containing amlodipine and hydrochlorothiazide and valsartan
^ESCT1183361	Amlodipine and hydrochlorothiazide and valsartan
^ESCT1184123	Quinapril + Hydrochlorothiazide
^ESCT1184477	Product containing only metoprolol tartrate 25 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1184480	Product containing only metoprolol tartrate 50 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1185283	Product containing only telmisartan 40 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1185308	Product containing only hydrochlorothiazide 25 mg and valsartan 160 mg/1 each oral tablet
^ESCT1185319	Product containing only fosinopril 20 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1185335	Amlodipine and hydrochlorothiazide and olmesartan medoxomil
^ESCT1185336	Product containing amlodipine and hydrochlorothiazide and olmesartan medoxomil
^ESCT1185368	Product containing only hydrochlorothiazide 50 mg/1 each oral tablet
^ESCT1185433	Product containing only bisoprolol fumarate 5 mg and hydrochlorothiazide 6.25 mg/1 each oral tablet
^ESCT1185435	Product containing only captopril 25 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1185468	Product containing only hydrochlorothiazide 25 mg and labetalol hydrochloride 300 mg/1 each oral tablet
^ESCT1185469	Product containing only hydrochlorothiazide 25 mg and lisinopril 20 mg/1 each oral tablet
^ESCT1185470	Product containing only hydrochlorothiazide 50 mg and reserpine 0.125 mg/1 each oral tablet
^ESCT1185475	Product containing only amiloride 5 mg and hydrochlorothiazide 50 mg/1 each oral tablet
^ESCT1187207	Product containing only captopril 50 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1187670	Product containing only benazepril hydrochloride 20 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1187671	Product containing only benazepril hydrochloride 20 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1187709	Product containing only hydrochlorothiazide 25 mg and valsartan 320 mg/1 each oral tablet
^ESCT1187724	Product containing only hydrochlorothiazide 12.5 mg and valsartan 320 mg/1 each oral tablet
^ESCT1187848	Aliskiren and hydrochlorothiazide
^ESCT1187849	Product containing aliskiren and hydrochlorothiazide
^ESCT1188065	Product containing only olmesartan medoxomil 40 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1188278	Product containing eprosartan and hydrochlorothiazide
^ESCT1188279	Eprosartan and hydrochlorothiazide
^ESCT1188280	Product containing only timolol maleate 10 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1188283	Product containing only moexipril hydrochloride 15 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1188340	Product containing only metoprolol tartrate 100 mg and hydrochlorothiazide 50 mg/1 each oral tablet
^ESCT1188526	Product containing only enalapril maleate 10 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1188534	Product containing only hydralazine hydrochloride 100 mg and hydrochlorothiazide 50 mg/1 each oral capsule
^ESCT1188535	Product containing only hydralazine hydrochloride 25 mg and hydrochlorothiazide 25 mg/1 each oral capsule
^ESCT1188536	Product containing only hydralazine hydrochloride 50 mg and hydrochlorothiazide 50 mg/1 each oral capsule
^ESCT1188538	Product containing only hydrochlorothiazide 12.5 mg and quinapril hydrochloride 20 mg/1 each oral tablet
^ESCT1188539	Product containing only hydrochlorothiazide 25 mg and quinapril hydrochloride 20 mg/1 each oral tablet
^ESCT1188540	Product containing only hydrochlorothiazide 25 mg and triamterene 37.5 mg/1 each oral capsule
^ESCT1188541	Product containing only hydrochlorothiazide 25 mg and triamterene 37.5 mg/1 each oral tablet
^ESCT1203248	Hydrochlorothiazide 25 mg and metoprolol tartrate 200 mg prolonged-release oral tablet
^ESCT1203249	Product containing precisely hydrochlorothiazide 25 milligram and metoprolol tartrate 200 milligram/1 each prolonged-release oral tablet
^ESCT1206107	Hydrochlorothiazide and metoprolol in oral dosage form
^ESCT1206108	Product containing hydrochlorothiazide and metoprolol in oral dosage form
^ESCT1206145	Aliskiren and hydrochlorothiazide in oral dosage form
^ESCT1206146	Product containing aliskiren and hydrochlorothiazide in oral dosage form
^ESCT1206201	Amiloride and hydrochlorothiazide in oral dosage form
^ESCT1206202	Product containing amiloride and hydrochlorothiazide in oral dosage form
^ESCT1206267	Amiloride and atenolol and hydrochlorothiazide in oral dosage form
^ESCT1206268	Product containing amiloride and atenolol and hydrochlorothiazide in oral dosage form
^ESCT1206297	Acebutolol and hydrochlorothiazide in oral dosage form
^ESCT1206298	Product containing acebutolol and hydrochlorothiazide in oral dosage form
^ESCT1206352	Bisoprolol and hydrochlorothiazide in oral dosage form
^ESCT1206353	Product containing bisoprolol and hydrochlorothiazide in oral dosage form
^ESCT1206466	Benazepril and hydrochlorothiazide in oral dosage form
^ESCT1206467	Product containing benazepril and hydrochlorothiazide in oral dosage form
^ESCT1206550	Candesartan and hydrochlorothiazide in oral dosage form
^ESCT1206551	Product containing candesartan and hydrochlorothiazide in oral dosage form
^ESCT1206554	Captopril and hydrochlorothiazide in oral dosage form
^ESCT1206555	Product containing captopril and hydrochlorothiazide in oral dosage form
^ESCT1206721	Enalapril and hydrochlorothiazide in oral dosage form
^ESCT1206722	Product containing enalapril and hydrochlorothiazide in oral dosage form
^ESCT1206842	Hydrochlorothiazide and telmisartan in oral dosage form
^ESCT1206843	Product containing hydrochlorothiazide and telmisartan in oral dosage form
^ESCT1206885	Hydrochlorothiazide and quinapril in oral dosage form
^ESCT1206886	Product containing hydrochlorothiazide and quinapril in oral dosage form
^ESCT1206895	Eprosartan and hydrochlorothiazide in oral dosage form
^ESCT1206896	Product containing eprosartan and hydrochlorothiazide in oral dosage form
^ESCT1207216	Fosinopril and hydrochlorothiazide in oral dosage form
^ESCT1207217	Product containing fosinopril and hydrochlorothiazide in oral dosage form
^ESCT1207437	Guanethidine and hydrochlorothiazide product
^ESCT1207438	Product containing guanethidine and hydrochlorothiazide
^ESCT1207439	Guanethidine and hydrochlorothiazide in oral dosage form
^ESCT1207440	Product containing guanethidine and hydrochlorothiazide in oral dosage form
^ESCT1207537	Hydrochlorothiazide and losartan product
^ESCT1207538	Product containing hydrochlorothiazide and losartan
^ESCT1207553	Hydrochlorothiazide and losartan in oral dosage form
^ESCT1207554	Product containing hydrochlorothiazide and losartan in oral dosage form
^ESCT1207572	Hydralazine and hydrochlorothiazide in oral dosage form
^ESCT1207573	Product containing hydralazine and hydrochlorothiazide in oral dosage form
^ESCT1207865	Amiloride and hydrochlorothiazide and timolol product
^ESCT1207866	Product containing amiloride and hydrochlorothiazide and timolol
^ESCT1207915	Candesartan and hydrochlorothiazide product
^ESCT1207916	Product containing candesartan and hydrochlorothiazide
^ESCT1207917	Hydrochlorothiazide and propranolol product
^ESCT1207918	Product containing hydrochlorothiazide and propranolol
^ESCT1207919	Hydrochlorothiazide and propranolol in oral dosage form
^ESCT1207920	Product containing hydrochlorothiazide and propranolol in oral dosage form
^ESCT1207921	Hydrochlorothiazide and valsartan in oral dosage form
^ESCT1207922	Product containing hydrochlorothiazide and valsartan in oral dosage form
^ESCT1207934	Amiloride and hydrochlorothiazide and timolol in oral dosage form
^ESCT1207935	Product containing amiloride and hydrochlorothiazide and timolol in oral dosage form
^ESCT1208002	Hydrochlorothiazide and lisinopril in oral dosage form
^ESCT1208003	Product containing hydrochlorothiazide and lisinopril in oral dosage form
^ESCT1208004	Hydrochlorothiazide and moexipril product
^ESCT1208005	Product containing hydrochlorothiazide and moexipril
^ESCT1208006	Hydrochlorothiazide and moexipril in oral dosage form
^ESCT1208007	Product containing hydrochlorothiazide and moexipril in oral dosage form
^ESCT1220492	Hydrochlorothiazide
^ESCT1220493	Hydrochlorothiazide product
^ESCT1221927	Product containing precisely hydrochlorothiazide 12.5 milligram and irbesartan 300 milligram/1 each conventional release oral tablet
^ESCT1221928	Hydrochlorothiazide 12.5 mg and irbesartan 300 mg oral tablet
^ESCT1221929	Hydrochlorothiazide 12.5 mg and irbesartan 150 mg oral tablet
^ESCT1221930	Product containing precisely hydrochlorothiazide 12.5 milligram and irbesartan 150 milligram/1 each conventional release oral tablet
^ESCT1222783	Amiloride hydrochloride 2.5 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1222784	Product containing precisely amiloride hydrochloride 2.5 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
^ESCT1222859	Hydrochlorothiazide 12.5 mg and metoprolol tartrate 100 mg oral tablet
^ESCT1222860	Product containing precisely hydrochlorothiazide 12.5 milligram and metoprolol tartrate 100 milligram/1 each conventional release oral tablet
^ESCT1222867	Product containing precisely amiloride hydrochloride 2.5 milligram and hydrochlorothiazide 25 milligram and timolol maleate 10 milligram/1 each conventional release oral tablet
^ESCT1222868	Amiloride hydrochloride 2.5 mg and hydrochlorothiazide 25 mg and timolol maleate 10 mg oral tablet
^ESCT1222876	Product containing precisely acebutolol 200 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
^ESCT1222877	Product containing precisely amiloride hydrochloride 2.5 milligram and atenolol 50 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral capsule
^ESCT1222878	Amiloride hydrochloride 2.5 mg and atenolol 50 mg and hydrochlorothiazide 25 mg oral capsule
^ESCT1222881	Bisoprolol 10 mg and hydrochlorothiazide 6.25 mg oral tablet
^ESCT1222882	Product containing precisely bisoprolol 10 milligram and hydrochlorothiazide 6.25 milligram/1 each conventional release oral tablet
^ESCT1222954	Product containing precisely captopril 25 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
^ESCT1222955	Product containing precisely captopril 50 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
^ESCT1222959	Enalapril 20 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1222960	Product containing precisely enalapril 20 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
^ESCT1222969	Hydrochlorothiazide 12.5 mg and lisinopril 20 mg oral tablet
^ESCT1222970	Product containing precisely hydrochlorothiazide 12.5 milligram and lisinopril 20 milligram/1 each conventional release oral tablet
^ESCT1222971	Product containing precisely hydrochlorothiazide 12.5 milligram and lisinopril 10 milligram/1 each conventional release oral tablet
^ESCT1222972	Hydrochlorothiazide 12.5 mg and lisinopril 10 mg oral tablet
^ESCT1222979	Hydrochlorothiazide 12.5 mg and quinapril 10 mg oral tablet
^ESCT1222980	Product containing precisely hydrochlorothiazide 12.5 milligram and quinapril 10 milligram/1 each conventional release oral tablet
^ESCT1223021	Product containing precisely hydrochlorothiazide 12.5 milligram and losartan potassium 50 milligram/1 each conventional release oral tablet
^ESCT1223022	Hydrochlorothiazide 12.5 mg and losartan potassium 50 mg oral tablet
^ESCT1227257	Atenolol + amiloride + hydrochlorothiazide
^ESCT1227258	Amiloride and atenolol and hydrochlorothiazide product
^ESCT1227810	Hydrochlorothiazide 12.5 mg/1 each oral capsule
^ESCT1227811	Product containing precisely hydrochlorothiazide 12.5 milligram/1 each conventional release oral capsule
^ESCT1227812	Hydrochlorothiazide 12.5 mg oral capsule
^ESCT1228560	Product containing precisely hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
^ESCT1228632	Product containing precisely hydrochlorothiazide 50 milligram/1 each conventional release oral tablet
^ESCT1228978	Product containing precisely benazepril hydrochloride 10 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
^ESCT1228979	Bisoprolol fumarate 5 mg and hydrochlorothiazide 6.25 mg oral tablet
^ESCT1228980	Bisoprolol 5 mg and hydrochlorothiazide 6.25 mg oral tablet
^ESCT1228981	Product containing precisely bisoprolol 5 milligram and hydrochlorothiazide 6.25 milligram/1 each conventional release oral tablet
^ESCT1228990	Product containing precisely candesartan cilexetil 16 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
^ESCT1228991	Product containing precisely captopril 25 milligram and hydrochlorothiazide 15 milligram/1 each conventional release oral tablet
^ESCT1228992	Product containing precisely captopril 25 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
^ESCT1228993	Product containing precisely captopril 50 milligram and hydrochlorothiazide 15 milligram/1 each conventional release oral tablet
^ESCT1229079	Enalapril maleate 10 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1229080	Enalapril 10 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1229081	Product containing precisely enalapril 10 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
^ESCT1229082	Enalapril maleate 5 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1229083	Product containing precisely enalapril 5 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
^ESCT1229084	Enalapril 5 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1229151	Product containing precisely guanethidine monosulfate 10 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
^ESCT1229153	Hydralazine hydrochloride 25 mg and hydrochlorothiazide 15 mg and reserpine 0.1 mg oral tablet
^ESCT1229154	Product containing precisely hydralazine hydrochloride 25 milligram and hydrochlorothiazide 15 milligram and reserpine 100 microgram/1 each conventional release oral tablet
^ESCT1229155	Hydralazine hydrochloride 25 mg and hydrochlorothiazide 15 mg and reserpine 100 microgram oral tablet
^ESCT1229156	Hydralazine hydrochloride 100 mg and hydrochlorothiazide 50 mg/1 each oral capsule
^ESCT1229157	Product containing precisely hydralazine hydrochloride 100 milligram and hydrochlorothiazide 50 milligram/1 each conventional release oral capsule
^ESCT1229158	Hydralazine hydrochloride 100 mg and hydrochlorothiazide 50 mg oral capsule
^ESCT1229159	Hydralazine hydrochloride 25 mg and hydrochlorothiazide 25 mg/1 each oral capsule
^ESCT1229160	Product containing precisely hydralazine hydrochloride 25 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral capsule
^ESCT1229161	Hydralazine hydrochloride 25 mg and hydrochlorothiazide 25 mg oral capsule
^ESCT1229162	Hydralazine hydrochloride 50 mg and hydrochlorothiazide 50 mg/1 each oral capsule
^ESCT1229163	Product containing precisely hydralazine hydrochloride 50 milligram and hydrochlorothiazide 50 milligram/1 each conventional release oral capsule
^ESCT1229164	Hydralazine hydrochloride 50 mg and hydrochlorothiazide 50 mg oral capsule
^ESCT1229165	Product containing precisely hydrochlorothiazide 25 milligram and labetalol hydrochloride 300 milligram/1 each conventional release oral tablet
^ESCT1229166	Product containing precisely hydrochlorothiazide 25 milligram and lisinopril 20 milligram/1 each conventional release oral tablet
^ESCT1229169	Product containing precisely hydrochlorothiazide 15 milligram and methyldopa 250 milligram/1 each conventional release oral tablet
^ESCT1229170	Product containing precisely hydrochlorothiazide 25 milligram and methyldopa 250 milligram/1 each conventional release oral tablet
^ESCT1229171	Product containing precisely hydrochlorothiazide 30 milligram and methyldopa 500 milligram/1 each conventional release oral tablet
^ESCT1229172	Product containing precisely hydrochlorothiazide 50 milligram and methyldopa 500 milligram/1 each conventional release oral tablet
^ESCT1229173	Product containing precisely hydrochlorothiazide 25 milligram and propranolol hydrochloride 40 milligram/1 each conventional release oral tablet
^ESCT1229174	Hydrochlorothiazide 12.5 mg and quinapril hydrochloride 20 mg oral tablet
^ESCT1229175	Product containing precisely hydrochlorothiazide 12.5 milligram and quinapril 20 milligram/1 each conventional release oral tablet
^ESCT1229176	Hydrochlorothiazide 12.5 mg and quinapril 20 mg oral tablet
^ESCT1229177	Hydrochlorothiazide 25 mg and quinapril hydrochloride 20 mg oral tablet
^ESCT1229178	Hydrochlorothiazide 25 mg and quinapril 20 mg oral tablet
^ESCT1229179	Product containing precisely hydrochlorothiazide 25 milligram and quinapril 20 milligram/1 each conventional release oral tablet
^ESCT1229180	Hydrochlorothiazide 25 mg and reserpine 0.125 mg oral tablet
^ESCT1229181	Hydrochlorothiazide 25 mg and reserpine 125 microgram oral tablet
^ESCT1229182	Product containing precisely hydrochlorothiazide 25 milligram and reserpine 125 microgram/1 each conventional release oral tablet
^ESCT1229183	Hydrochlorothiazide 50 mg and reserpine 0.125 mg oral tablet
^ESCT1229184	Product containing precisely hydrochlorothiazide 50 milligram and reserpine 125 microgram/1 each conventional release oral tablet
^ESCT1229185	Hydrochlorothiazide 50 mg and reserpine 125 microgram oral tablet
^ESCT1229186	Product containing precisely hydrochlorothiazide 25 milligram and spironolactone 25 milligram/1 each conventional release oral tablet
^ESCT1229187	Hydrochlorothiazide 25 mg and triamterene 37.5 mg/1 each oral capsule
^ESCT1229188	Hydrochlorothiazide 25 mg and triamterene 37.5 mg oral capsule
^ESCT1229189	Product containing precisely hydrochlorothiazide 25 milligram and triamterene 37.5 milligram/1 each conventional release oral capsule
^ESCT1229190	Product containing precisely hydrochlorothiazide 25 milligram and triamterene 37.5 milligram/1 each conventional release oral tablet
^ESCT1229191	Product containing precisely hydrochlorothiazide 12.5 milligram and valsartan 80 milligram/1 each conventional release oral tablet
^ESCT1229238	Product containing precisely amiloride hydrochloride 5 milligram and hydrochlorothiazide 50 milligram/1 each conventional release oral tablet
^ESCT1229239	Amiloride hydrochloride 5 mg and hydrochlorothiazide 50 mg oral tablet
^ESCT1229646	Product containing precisely hydrochlorothiazide 25 milligram and losartan potassium 100 milligram/1 each conventional release oral tablet
^ESCT1229647	Hydrochlorothiazide 25 mg and losartan potassium 100 mg oral tablet
^ESCT1229649	Product containing precisely hydrochlorothiazide 50 milligram and spironolactone 50 milligram/1 each conventional release oral tablet
^ESCT1229650	Product containing precisely hydrochlorothiazide 25 milligram and propranolol hydrochloride 80 milligram/1 each conventional release oral tablet
^ESCT1229654	Product containing precisely hydrochlorothiazide 12.5 milligram and valsartan 160 milligram/1 each conventional release oral tablet
^ESCT1229657	Product containing precisely benazepril hydrochloride 5 milligram and hydrochlorothiazide 6.25 milligram/1 each conventional release oral tablet
^ESCT1229658	Product containing precisely benazepril hydrochloride 20 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
^ESCT1229659	Product containing precisely benazepril hydrochloride 20 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
^ESCT1229798	Hydrochlorothiazide + spironolactone
^ESCT1229799	Hydrochlorothiazide and spironolactone product
^ESCT1229830	Hydrochlorothiazide and valsartan product
^ESCT1229834	Hydrochlorothiazide and telmisartan product
^ESCT1229907	Hydrochlorothiazide + reserpine
^ESCT1229908	Hydrochlorothiazide and reserpine product
^ESCT1229933	Hydrochlorothiazide and lisinopril product
^ESCT1229969	Acebutolol and hydrochlorothiazide product
^ESCT1229970	Hydrochlorothiazide and irbesartan product
^ESCT1229991	Hydrochlorothiazide + methyldopa
^ESCT1229992	Hydrochlorothiazide and methyldopa product
^ESCT1230226	Captopril + hydrochlorothiazide
^ESCT1230227	Captopril and hydrochlorothiazide product
^ESCT1230247	Hydrochlorothiazide + triamterene
^ESCT1230248	Hydrochlorothiazide and triamterene product
^ESCT1230426	Hydrochlorothiazide 12.5 mg and telmisartan 40 mg oral tablet
^ESCT1230427	Product containing precisely hydrochlorothiazide 12.5 milligram and telmisartan 40 milligram/1 each conventional release oral tablet
^ESCT1230428	Hydrochlorothiazide 12.5 mg and telmisartan 80 mg oral tablet
^ESCT1230429	Product containing precisely hydrochlorothiazide 12.5 milligram and telmisartan 80 milligram/1 each conventional release oral tablet
^ESCT1230611	Product containing precisely candesartan cilexetil 32 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
^ESCT1230612	Product containing precisely hydrochlorothiazide 12.5 milligram and olmesartan medoxomil 20 milligram/1 each conventional release oral tablet
^ESCT1230613	Hydrochlorothiazide 12.5 mg and olmesartan medoxomil 20 mg oral tablet
^ESCT1230614	Hydrochlorothiazide 12.5 mg and olmesartan medoxomil 40 mg oral tablet
^ESCT1230615	Product containing precisely hydrochlorothiazide 12.5 milligram and olmesartan medoxomil 40 milligram/1 each conventional release oral tablet
^ESCT1230616	Olmesartan medoxomil 40 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1230617	Hydrochlorothiazide 25 mg and olmesartan medoxomil 40 mg oral tablet
^ESCT1230618	Product containing precisely hydrochlorothiazide 25 milligram and olmesartan medoxomil 40 milligram/1 each conventional release oral tablet
^ESCT1230687	Product containing precisely hydrochlorothiazide 25 milligram and valsartan 160 milligram/1 each conventional release oral tablet
^ESCT1230818	Fosinopril+hydrochlorothiazide
^ESCT1230819	Fosinopril and hydrochlorothiazide product
^ESCT1230820	Product containing precisely fosinopril 10 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
^ESCT1230821	Product containing precisely fosinopril 20 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
^ESCT1230883	Eprosartan and hydrochlorothiazide
^ESCT1230884	Eprosartan and hydrochlorothiazide product
^ESCT1230885	Eprosartan 600 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1230886	Product containing precisely eprosartan mesylate 600 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
^ESCT1230887	Eprosartan mesylate 600 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1230888	Eprosartan mesilate 600 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1230889	Eprosartan 600 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1230890	Eprosartan mesilate 600 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1230891	Product containing precisely eprosartan mesylate 600 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
^ESCT1230892	Eprosartan mesylate 600 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1230897	Timolol maleate 10 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1230898	Hydrochlorothiazide 25 mg and timolol maleate 10 mg oral tablet
^ESCT1230899	Product containing precisely hydrochlorothiazide 25 milligram and timolol maleate 10 milligram/1 each conventional release oral tablet
^ESCT1230904	Product containing precisely hydrochlorothiazide 25 milligram and triamterene 50 milligram/1 each conventional release oral tablet
