62...00	Patient pregnant
Z22A400	Early stage of pregnancy
Z212.11	Pregnancy care
62N..00	Antenatal examinations
Z23D200	Pregnant abdomen observation
67A3.00	Pregnancy smoking advice
L13..00	Excessive pregnancy vomiting
Z271.11	CTG observations
L2...00	Risk factors in pregnancy
L180800	Diabetes mellitus arising in pregnancy
Z22C314	Weeks pregnant
8B74.00	Iron supplement in pregnancy
271..12	O/E - uterus size - obstetric
L270.00	Polyhydramnios
Z226.00	Pregnancy problem
L13z.00	Unspecified pregnancy vomiting
8HHV.00	Referral for termination of pregnancy
L268000	Reduced fetal movements
L126.00	Eclampsia
L263900	Maternal care for fetal tachycardia during pregnancy
62H..00	A/N Rh antibody screen
L161.11	Excessive weight gain in pregnancy
7F25.00	Obstetric monitoring
7F2B100	Ultrasound monitoring of early pregnancy
Z227.00	Confirmation of pregnancy
62B..00	Delivery booking place
62BZ.00	Delivery booking - place NOS
621..00	Patient currently pregnant
62N3.00	A/N 16 week examination
62N2.00	A/N 12 weeks examination
62NZ.00	Antenatal examination NOS
62N5.00	A/N 24 week examination
62N9.00	A/N 34 week examination
62N8.00	A/N 32 week examination
L263.00	Fetal distress - affecting management
2722.00	O/E - breech presentation
2721.00	O/E - vertex presentation
Q42X.00	Hydrops fetalis due to other+unspcfd haemolytic disease
Q408500	Group B haemolytic streptococcal intra-amniotic infect. NEC
625..00	A/N care: social risk
277..00	O/E - VE for pelvic assessment
271..11	O/E - fundus size - obstetric
62U..00	Downs screen - blood test
62A4.00	A/N care midwifery led
62M..00	Antenatal sickle cell screen
62K..00	Antenatal syphilis screen
62W..00	Antenatal blood tests
62L..00	Antenatal blood group screen
8HHf.00	Refer to early pregnancy unit
62F..00	Antenatal amniocentesis
7F05100	Diagnostic amniocentesis
62F6.00	A/N amniocentesis - normal
62F7.00	A/N amniocentesis - abnormal
584..13	Ultra-sound scan - obstetric
584D.00	Antenatal ultrasound confirms intra-uterine pregnancy
584G.00	Nuchal scan
62GZ.00	Antenatal ultrasound scan NOS
62GC.00	Antenatal ultrasound scan at 9-16 weeks
62GB.00	Antenatal ultrasounds scan at 4-8 weeks
62G8.00	A/N U/S scan abnormal
4H...00	Amniotic fluid examination
4JL3.11	Amniotic fluid for C/S
L166z11	UTI - urinary tract infection in pregnancy
13H8.00	Illegitimate pregnancy
L23..00	Cephalo-pelvic disproportion
L11..00	Antepartum haemorrhage, abruptio placentae, placenta praevia
6217.00	Pregnant - unplanned - wanted
L124.11	Mild pre-eclampsia
621B.00	Pregnant - ? planned
621Z.00	Patient pregnant NOS
L10z.00	Early pregnancy haemorrhage NOS
6174.00	Pregnant, sheath failure
ZV61900	[V]Other unwanted pregnancy
L13..12	Hyperemesis of pregnancy
8B7..11	Pregnancy vitamin/iron prophyl
6214.00	Pregnant - on history
621A.00	Pregnancy unplanned ? wanted
L166300	Genitourinary tract infection in pregnancy - not delivered
L21..00	Multiple pregnancy
L27..11	Hydramnios
6218.00	Pregnant -unplanned-not wanted
7F06300	External version of breech
L166z00	Genitourinary tract infection in pregnancy NOS
L130.00	Mild hyperemesis gravidarum
L2A..00	Abnormal findings on antenatal screening of mother
6211.00	Pregnant - urine test confirms
L414.12	Phlegmasia alba dolens - obstetric
L294.00	Grand multiparity
ZV22300	[V]Pregnant state, incidental
584C.00	Antenatal ultrasound result received
6221.00	Antenatal care: primigravida
L16E.00	Pregnancy pruritus
L33..00	Umbilical cord complications
L124500	Mild pre-eclampsia
7F00000	Fetoscopic blood transfusion of fetus
L21..11	Gestation - multiple
2724.00	O/E - transverse lie
6776.13	Termination counselling
L111.00	Placenta praevia with haemorrhage
L16B.00	Braxton-Hicks contractions
L129.00	Moderate pre-eclampsia
62a..00	Pregnancy review
957..00	FW 8-applic for presc exempt
L167.00	Liver disorder in pregnancy
Z22D100	Viable pregnancy
62b..00	Antenatal HIV screening
62X..00	Length of gestation
62E..11	Feeding intention -baby
Z265.00	Umbilical cord observations
L267.00	Other placental conditions
Z271200	Normal CTG tracing
614C.00	Progestogen-only Pill failure
614B.00	Combined O.C. pill failure
Q10z.00	Fetal growth retardation NOS
62O1.00	Fetal movements felt
62O6.00	Vaginal 'show'
7F25.11	Fetal monitoring
62F3.00	A/N amniocentesis - not wanted
584..00	Ultrasound in obstetric diagn.
62O..12	Static weight gain pregnancy
L211.00	Triplet pregnancy
6216.00	Pregnant - planned
279..00	O/E - VE - cervical dilatation
L130000	Mild hyperemesis unspecified
L241311	Uterine fibroid complicating a/n care, baby not delivered
L123.00	Transient hypertension of pregnancy
2734.11	O/E - ROP
539..00	Abdominal obstetric X-ray
ZV4J000	[V]Problems related to unwanted pregnancy
7F0..11	Fetus operations
7N61300	[SO]Placenta
L14..00	Early or threatened labour
L241011	Uterine fibroid affecting obstetric care
L244011	Cystocele affecting obstetric care
6776.00	Preg. termination counselling
L182300	Anaemia during pregnancy - baby not yet delivered
ZV23.00	[V]High-risk pregnancy supervision
2725.11	O/E - triplet present.
L2A5.00	Abnormal chromosomal and genet find/antenat screen of mother
27B..00	O/E - viable fetus
L123500	Gestational hypertension
622..00	Antenatal care: gravida No.
L510.00	Maternal care for hydrops fetalis
L245.00	Cervical incompetence
62I..11	AFP test - antenatal
62E3.11	Intends to breast feed
Q100.00	Fetus small-for-dates, without mention of malnutrition
957..11	Prescription exempt form-preg
Z229100	Intrauterine pregnancy
Z22A200	High risk pregnancy
Z22C300	Length of gestation
Z6U4.00	Breathing awareness for childbirth
L221.00	Cephalic version NOS
Z22B100	Single pregnancy
L243.00	Retroverted incarcerated gravid uterus
L11y.00	Other antepartum haemorrhage
275..00	O/E - fetal movements
62B3.00	G.P. unit delivery booking
62B2.00	Home delivery booked
6231.00	A/N care: uncertain dates
539Z.00	Abdominal obstetric X-ray NOS
L261.11	Anti-D antibodies
4444.00	Serum oestriol level
L140.11	False labour
6312.00	GP unit birth
L162.11	Albuminuria in pregnancy without hypertension
L295.00	Elderly primigravida
L150.00	Post-term pregnancy
L28y.13	Amniotic fluid leaking
615C.00	IUD failure - pregnant
L2z..00	Risk factors in pregnancy NOS
L265.00	Small-for-dates fetus in pregnancy
L141.00	Other threatened labour
L25..00	Known or suspected fetal abnormality
L22..00	Malposition and malpresentation of fetus
L413.00	Antenatal deep vein thrombosis
L266.00	Large-for-dates fetus in pregnancy
ZV22y00	[V]Other specified pregnant state
PK80.00	Fetal alcohol syndrome
L15..11	Post-term pregnancy
2684.00	O/E - VE - gravid uterus
13S..00	Pregnancy benefits
62O7.00	Pregnancy prolonged - 41 weeks
L110.00	Placenta praevia without haemorrhage
2723.00	O/E - oblique lie
L15..00	Prolonged or post-term pregnancy
62A1.00	A/N care from G.P.
62A..00	A/N care provider
62AZ.00	A/N care provider NOS
7N61400	[SO]Amniotic membrane
Z22AE00	Baby overdue
Z271G11	Type 1 dip
L10y.00	Other haemorrhage in early pregnancy
7F04200	Percutaneous sampling of chorionic villus
2754.00	O/E - fetus very active
Z265200	Umbilical cord problem
Z234200	Gravid uterus small-for-dates
L163300	Pregnancy care of habitual aborter
Z23AP00	Premature uterine contraction
Z262R00	Placenta problem
Z22AD11	Reported conception - pregnancy
2753.00	O/E - fetal movements felt
2725.12	O/E - twin presentation
9Ea2.00	Less 24 wk involv risk injury physic/mentl health preg woman
62O6.11	Vaginal 'show' - A/N
Z234100	Gravid uterus large-for-dates
62I..12	Alpha-feto protein test - A/N
Z22A100	Low risk pregnancy
Z212300	Delivery place booked
9511.00	FP24 signed by patient
L100z00	Threatened abortion NOS
9592.00	GMS2 claim completed by Dr.
9514.00	FP24 sent to FPC
Z27..00	Obstetric investigative observation
L16yz00	Other pregnancy complication NOS
Z234400	Fundal height high for dates
L284.12	Chorioamnionitis
L263A00	Maternal care for fetal bradycardia during pregnancy
Z22AC00	Pregnancy with uncertain dates
L18A000	Cholestasis of pregnancy
9542.00	Mat B1 signed
62B1.00	Delivery: no place booked
62A2.00	A/N care from consultant
62NE.00	A/N 39 week examination
62NC.00	A/N 37 week examination
62ND.00	A/N 38 week examination
62N6.00	A/N 28 week examination
62X0.00	Gestation <24 weeks
62X2.00	Gestation >24 weeks
623Z.00	A/N care: obstetric risk NOS
6235.00	A/N care: H/O perinatal death
6236.00	A/N care: poor obstetr history
626..00	A/N care: medical risk
6251.00	A/N care: poor home conditions
625Z.00	A/N care: social risk NOS
6253.00	A/N care: late booker
2717.00	O/E - fundus 34-36 week size
2713.00	O/E - fundus 20-24 week size
2711.00	O/E - fundus 12-16 week size
2718.00	O/E - fundus 36-38 week size
2766.00	O/E - fetal heart 120-160
271B.00	O/E - fundal size = dates
2714.00	O/E - fundus 24-28 week size
272..00	O/E - fetal presentation
ZV23400	[V]Pregnancy with other poor obstetric history
L2y..00	Other specified risk factors in pregnancy
L413.11	DVT - deep venous thrombosis, antenatal
6232.00	A/N care: recurrent aborter
5841.00	U-S obstetric scan requested
62GD.00	Antenatal ultrasound scan at 17-22 weeks
62G9.00	A/N U/S scan for ? abnormality
4H5..00	Amniotic fluid AFP
4443.11	HPL - Human placental lactogen level
444..00	Feto/placental hormones
7F06z00	Operation on gravid uterus NOS
L166000	Genitourinary tract infection in pregnancy unspecified
62U..12	Triple test
L255300	Maternal care for (suspected) damage to fetus from alcohol
L16..00	Other pregnancy complication NEC
L124300	Mild or unspecified pre-eclampsia - not delivered
2755.00	O/E - fetal movemnt.diminished
L13y.00	Other pregnancy vomiting
2761.00	O/E - fetal heart not heard
62V..00	Delivery place planned
L166700	Infections of the genital tract in pregnancy
62V0.00	Home delivery planned
Z22A300	Concealed pregnancy
L161.00	Oedema or excessive weight gain in pregnancy no hypertension
L11..12	Antepartum bleeding
L130z00	Mild hyperemesis gravidarum NOS
7F06200	Repositioning of retroverted gravid uterus
L2A3.00	Abnormal ultrasonic finding on antenatal screening of mother
62c..00	Antenatal screening
Z242.00	Labour not established
L140.00	Threatened premature labour
L237.00	Other fetal abnormality causing disproportion
7F27300	Nuchal translucency scan
62A3.00	A/N - shared care
7F25z00	Obstetric monitoring NOS
4453.00	Serum pregnancy test positive
62NF.00	A/N 40 week examination
62N4.00	A/N 20 week examination
L370.11	Placenta accreta without haemorrhage
L161.13	Gestational oedema
6223.00	Antenatal care: 3rd pregnancy
62NB.00	A/N 36 week examination
L11z.00	Antepartum haemorrhage NOS
62H4.00	Rh screen - 2nd preg. sample
62N7.00	A/N 30 week examination
6222.00	Antenatal care: 2nd pregnancy
5843.00	U-S obstetric scan abnormal
615C.11	Pregnant, IUD failure
62NA.00	A/N 35 week examination
8B75.00	Vitamin supplement - pregnancy
L416600	Haemorrhoids in pregnancy
2725.00	O/E - multiple presentation
7F06011	McDonald cerclage of cervix
9562.00	HSA1- form signed
7F...12	Pregnancy operations
Z22AA00	Wanted pregnancy
L244312	Rectocele complicating antenatal care - baby not delivered
2736.11	O/E - RSA
Z22AB00	Unplanned pregnancy
L251.00	Fetus with chromosomal abnormality
956..00	HSA1-therap. abort. green form
62B8.00	Midwife unit delivery booking
6233.00	A/N care: grand multip
277Z.00	O/E - VE-pelvic assessment NOS
62OZ.00	Misc. antenatal data NOS
2715.00	O/E - fundus 28-32 week size
2716.00	O/E - fundus 32-34 week size
271..00	O/E - gravid uterus size
6212.00	Pregnant - blood test confirms
62G4.00	A/N U/S scan wanted
7N61200	[SO]Fetus
L227.00	High head at term
7F03100	Percutaneous insertion of fetal pleuroamniotic shunt
Z234500	Fundal height equal to dates
L165.00	Asymptomatic bacteriuria in pregnancy
L265000	Small-for-dates unspecified
6283.00	A/N care: primip. < 17 years
627..00	A/N care: gynae. risk
6294.00	No A/N care: not known preg.
6224.00	Antenatal care: multip
L280.00	Oligohydramnios
L130200	Mild hyperemesis-not delivered
278..00	O/E - VE - cervix ripeness
955..00	Mat B2 - cert of confinement
L267500	Other fetal problems
Z212200	Home delivery planned
Z22AD00	Presentation of pregnancy
Z263400	Blood clots in membranes
Z28..00	Obstetric pelvic observation
6166.00	Pregnant, diaphragm failure
62B5.00	Private home delivery booking
62C1.00	Short stay delivery booking
6285.00	A/N care: multip. > 35 years
6254.00	A/N care: H/O child abuse
L512.00	Maternal care for diminished fetal movements
62F1.00	A/N amniocentesis -not offered
L12A.00	HELLP - Syndrome haemolysis, elev liver enzyme low platelets
Z262C00	Retroplacental clot
L0A4.00	Failed medical abortion, without complication
7F2..00	Other obstetric operations
L280z00	Oligohydramnios NOS
7Fz..00	Obstetric operations NOS
L12B.00	Proteinuric hypertension of pregnancy
L240011	Bicornuate uterus affecting obstetric care
L392.00	Maternal hypotension syndrome
L16C000	Gestational proteinuria
62X1.00	Gestation = 24 weeks
62X3.00	Full term gestation - 40 weeks
62U9.00	Downs screen blood test normal
8HV6.00	Private referral to obstetrician
L22..11	Malpresentation of fetus
Q10..00	Slow fetal growth and fetal malnutrition
L212.00	Quadruplet pregnancy
Z23A100	Intermittent uterine contractions
Z23AO00	Irritable uterus
Z225.00	Normal pregnancy
Z271912	FHRV - Fetal heart rate variability
679E.00	Antenatal education
4H...11	Liquor examination
624..00	A/N care: precious pregnancy
6241.00	A/N care: elderly primip.
6234.00	A/N care: H/O stillbirth
6281.00	A/N care: under 5ft tall
6284.00	A/N care: primip. > 30 years
624Z.00	A/N care: precious preg. NOS
584..12	U-S scan - obstetric, diagn.
6213.00	Pregnant - V.E. confirms
L123z00	Transient hypertension of pregnancy NOS
Q423.00	Hydrops fetalis due to isoimmunisation
L100000	Threatened abortion unspecified
62G6.00	A/N U/S scan normal += dates
L15z.00	Prolonged pregnancy NOS
67A5.00	Pregnancy alcohol advice
ZV22200	[V]Pregnancy confirmed
939..00	Kick chart
7F06000	Cerclage of cervix of gravid uterus
3188.00	Placental localisation
L16z.00	Pregnancy complication NOS
L268.00	Other fetal problems
2743.00	O/E - partial engagement - 3/5
L220z00	Unstable lie NOS
L2A1.00	Abnormal biochemical finding on antenatal screen of mother
67A4.00	Pregnancy exercise advice
62U..11	Barts test
938..00	Obstetric coop card
Z23A700	Niggling uterine contractions
L16C.00	Pregnancy induced oedema+proteinuria without hypertension
L167z00	Liver disorder in pregnancy NOS
ZV28000	[V]Amniocentesis to screen for chromosomal anomalies
62F4.00	A/N amniocentesis wanted
62E4.11	Intends to bottle feed
Z245100	Maternal blood loss minimal
L265300	Maternal care for poor fetal growth
Q21..11	Intrauterine hypoxia
Z239200	Uterine contractions absent
Q100.11	Fetus small-for-dates (SFD), without mention of malnutrition
61H1.00	Female sterilisation failure
62NG.00	A/N 41 week examination
Z23D100	Girth of pregnant abdomen
Z234600	Fundal height low for dates
628Z.00	A/N risk NOS
6242.00	A/N care: H/O infertility
6282.00	A/N care:10yrs+since last preg
271A.00	O/E - fundus = term size
2719.00	O/E -fundus 38 weeks-term size
2712.00	O/E - fundus 16-20 week size
L304.00	Persistent occipitoposterior or occipitoanterior position
274..12	O/E - presenting part engaged
584B.00	Viability US scan
L150z00	Post-term pregnancy NOS
272..11	O/E - lie of fetus
L16C100	Gestational oedema with proteinuria
62G2.00	A/N U/S scan offered
62G7.00	A/N U/S scan normal +? dates
62G1.00	A/N U/S scan not offered
4H13.00	Amniotic fluid - abnormality
Lyu2500	[X]Other specified pregnancy-related conditions
8B68.00	Pregnancy prophylactic therapy
Z22B900	Continuing pregnancy after abortion of sibling fetus
13Hd.00	Teenage pregnancy
Z22A.00	Observation of pattern of pregnancy
62O3.00	Fetal maturity: dates = size
L264z00	Intrauterine death NOS
L11zz00	Antepartum haemorrhage NOS
L2AX.00	Abnormal finding on antenatal screening of mother
Z22CF00	Date symptom of pregnancy first noted
6237.00	A/N care: H/O trophoblast.dis.
L162.12	Nephropathy NOS in pregnancy without hypertension
ZV22000	[V]First normal pregnancy supervision
62UA.00	Downs screen blood test abnormal
67A7.00	Pregnancy dental advice
L250.11	Suspect fetal anencephaly
5844.11	Placenta U-S scan
Lyu2200	[X]Other venous complications in pregnancy
L265.11	Placental insufficiency
L33z.00	Umbilical cord complications NOS
Z271D00	Normal fetal heart baseline pattern
L160.00	Papyraceous fetus
L123600	Transient hypertension of pregnancy
7F...00	Obstetric operations
Z221.11	Primip
L126500	Eclampsia in pregnancy
62L2.00	A/N blood group screen done
62Uz.00	Downs screening blood test NOS
63D4.00	Placental infarct
5858200	Ultrasonic doppler for fetal heart sounds
4HZ..00	Amniotic fluid exam. NOS
Q408400	Group A haemolytic streptococcal intra-amniotic infect. NEC
L385.00	Failed or difficult intubation during pregnancy
L08..00	Failed attempted abortion
62GE.00	Antenatal ultrasound scan at 22-40 weeks
62O..11	Fetal maturity - A/N
L33zz00	Umbilical cord complications NOS
L234.00	Mixed feto-pelvic disproportion
Q420.11	Erythroblastosis fetalis
444Z.00	Feto/placental hormones NOS
4442.00	Feto/placen. hormones normal
L2D..00	Retained intrauterine contraceptive device in pregnancy
ZV28y00	[V]Other specified antenatal screening
Z22A600	Teenage pregnancy
L223.00	Oblique presentation
Z28..11	Pelvic assessment - childbirth
L125000	Severe pre-eclampsia unspecified
7F06100	Removal of cerclage from cervix of gravid uterus
L125z00	Severe pre-eclampsia NOS
Z265C00	Number of umbilical veins
Z22B800	Undiagnosed multiple pregnancy
61B6.00	Depot contraceptive failure
Q020.00	Fetus or neonate affected by placenta previa
4H51.00	Amniotic fluid AFP normal
L192.00	Continuing preg after intrauterine death one fetus or more
Z22A700	Surrogate pregnancy
Z246B00	Estimated maternal blood loss
L08z.00	Failed attempted abortion NOS
L10zz00	Early pregnancy haemorrhage NOS
9531.00	Complete mat. services claimed
62B6.00	Delivery booking place changed
L13y000	Other pregnancy vomiting unspecified
L210z00	Twin pregnancy NOS
L112200	Placental abruption - not delivered
L13yz00	Other pregnancy vomiting NOS
Z23A200	Occasional uterine tightenings
L240000	Congenital abnormality of uterus affecting obstetric care
5849.00	U-S scan - fetal presentation
5848.00	U-S scan - multiple fetus
Z23A400	Irregular uterine contractions
62F5.00	A/N amniocentesis - awaited
L171300	Maternal gonorrhoea in pregnancy - baby not yet delivered
L16y.00	Other pregnancy complications
5846.00	U-S scan - fetal maturity
L140z00	Threatened premature labour NOS
L2A0.00	Abnormal haematologic find on antenatal screening of mother
Q021100	Fetus or neonate affected by abruptio placentae
62KZ.00	Antenatal syphilis screen NOS
Z22..00	Pregnancy observations
Q021011	Fetus affected by APH - antepartum haemorrhage
L16D.00	Excessive weight gain in pregnancy
67A2.00	Diet in pregnancy advice
L336.00	Vascular lesions of cord
ZV61800	[V]Illegitimate pregnancy
ZV28400	[V]Screening for fetal growth retardation using ultrasonics
2742.00	O/E - presenting part free-4/5
2745.00	O/E - presentation engaged-1/5
2744.00	O/E - partial engagement - 2/5
2741.00	O/E - presenting part free-5/5
L127.00	Pre-eclampsia or eclampsia with pre-existing hypertension
951..11	FP24 - mat claim-on obst.list
Z22C312	Duration of gestation
Q470.00	Idiopathic hydrops fetalis
Z23F.00	Gravid uterus problem
ZV23111	[V]Pregnancy with history of hydatidiform mole
Q479.00	Non-immune hydrops fetalis
5391.00	Obstetric X-ray - fetus
9Ea4.00	Unborn child at risk physi/ment abnormal serious handicap
Z271H11	Type 2 dip
L236.00	Hydrocephalic disproportion
L250.00	Fetus with central nervous system malformation
62O8.00	Pregnancy prolonged - 42 weeks
7F05200	Amnioscopy
L191.00	Continuing pregnancy after abortion of one fetus or more
L263200	Fetal distress with antenatal problem
7F06111	Removal of Shirodkar suture
62O..00	Misc. antenatal data
62Y..00	Routine antenatal care
62E3.00	Feeding intention - breast
L263A11	Maternal care for reduced fetal heart rate during pregnancy
Lyu3900	[X]Maternal care/oth spcf known or suspected fetal problems
7F00.00	Therapeutic fetoscopic operations on fetus
274..11	O/E - PP free - not engaged
Z22D.00	Observation of viability of pregnancy
7F24y00	Other specified other obstetric operation
5847.00	U-S scan - fetal abnormality
Z22C311	Pregnancy duration
62U..13	Double test
61F3.00	Post-coital OCP failure
ZV22z00	[V]Unspecified pregnant state
L280300	Anhydramnios
7F0..00	Fetus and gravid uterus operations
L222z00	Breech presentation NOS
L250.12	Suspect fetal hydrocephaly
7F04100	Percutaneous sampling of fetal blood
L232.00	Inlet pelvic contraction
L263700	Maternal care for fetal hypoxia
Z221.00	Primigravida
66AX.00	Diabetes: shared care in pregnancy - diabetol and obstet
Q022200	Fetus or neonate affected by placental insufficiency
Z262E00	Old retroplacental clot
Z245300	Maternal blood loss moderate
Z26..00	Observation of structures of conception
Z264400	Normal liquor volume
Z288.00	Problem of pelvis for delivery
L162.00	Unspecified renal disease in pregnancy
Z223.00	Primiparous
7F28000	Placental localisation scan
62E4.00	Feeding intention - bottle
L28..00	Other problems of amniotic cavity and membranes
Z271F00	Fetal heart deceleration
L220.00	Fetus - unstable lie
Z264500	Reduced amniotic fluid
L0A1.00	Failed medical abortion complic by genital tract/pelvic infn
62G5.00	A/N U/S scan awaited
Z22A800	Undiagnosed pregnancy
L177.00	Infections of bladder in pregnancy
L127000	Pre-eclampsia or eclampsia with hypertension unspecified
4443000	Human placental lactogen level normal
Z262J11	Placental infection
4443100	HPL - Human placental lactogen abnormal
L280200	Oligohydramnios with antenatal problem
9521.00	FP24A signed by patient
67B..00	Ante-natal relaxation classes
Z22D200	Non-viable pregnancy
L10z200	Early pregnancy haemorrhage NOS - not delivered
Z261.00	Observation of gestational sac
L161.12	Maternal obesity syndrome
Q410.00	Fetal blood loss
ZV23100	[V]Pregnancy with history of trophoblastic disease
L22y.00	Other fetal malposition and malpresentation
62O4.00	Fetal maturity: dates not=size
L140100	Threatened premature labour - not delivered
L113.00	Antepartum haemorrhage with coagulation defect
L284.11	Amnionitis
67A7.11	Care of teeth advice -in preg.
L26..00	Other fetal and placental problems
L2B..00	Low weight gain in pregnancy
62O1.11	Quickening
L228.00	Multiple pregnancy with malpresentation
Z229.00	Observation of position of pregnancy
L180300	Diabetes mellitus during pregnancy - baby not yet delivered
622Z.00	Antenatal care: gravida NOS
Z237200	Tender scar of gravid uterus
7Fy..00	Other specified obstetric operations
Z261100	Gestational sac present
ZV28600	[V]Antenatal screening for chromosomal anomalies
ZV23700	[V]Supervision of very young primigravida
L245.11	Shirodkar suture present
L0A..00	Failed attempted abortion
7F01111	Foetoscopic examination foetus and sampling of foetal blood
L33y.00	Other umbilical cord complications
Z271600	Reactive CTG tracing
13SZ.00	Pregnancy benefit NOS
L131.00	Hyperemesis gravidarum with metabolic disturbance
9595.00	GMS2 claim paid by HA - checked
Z265A00	Number of blood vessels in umbilical cord
Z22A900	Unwanted pregnancy
Z22A500	Biochemical pregnancy
7F0y.00	Other specified operations on fetus or gravid uterus
7F05000	Drainage of amniotic cavity
7F26000	Dating scan
Q012.00	Fetus or neonate affected by maternal oligohydramnios
2733.11	O/E - LOP
L335.00	Vasa praevia
L263.12	Fetal bradycardia
4H45.00	Amniotic fluid cholinesterase
L0A2.00	Failed medical abortion comp by delayed/excessive haem'ge
5391.11	Fetus - abdominal X-ray, obst.
62CZ.00	Delivery booking - stay NOS
9532.00	Mat booking before 16th week
L5...00	Maternal care for fetus
6215.00	Pregnant - on abdom. palpation
62FZ.00	Antenatal amniocentesis NOS
629..00	No ante-natal care
L254.12	Suspect fetal damage from maternal toxoplasmosis
ZV61600	[V]Multiparity
L212200	Quadruplet pregnancy with antenatal problem
Z265B00	Number of umbilical arteries
L255.00	Fetus with drug damage
7F04.11	Diagnostic percutaneous examination of placenta
Z263900	Number of chorions in membranes
6252.00	A/N care: poor A/N attender
Z22AB11	Accidental pregnancy
62G3.00	A/N U/S scan not wanted
9512.00	FP24 completed by Dr.
2732.11	O/E - ROA
Z224.00	Multiparous
L168.00	Fatigue during pregnancy
Q021111	Fetus affected by placental abruption
4445.00	Placental function test
ZV23000	[V]Pregnancy with history of infertility
7N61100	[SO]Gravid uterus
275Z.00	O/E - fetal movements NOS
L336000	Vascular lesions of cord unspecified
L266000	Large-for-dates unspecified
Q013.00	Fetus or neonate affected by maternal polyhydramnios
L251z00	Fetus with chromosomal abnormality NOS
2734.00	O/E - presenting part ROP
7F25y00	Other specified obstetric monitoring
Z22C313	Duration of pregnancy
954Z.00	Mat B1 certificate NOS
L127300	Pre-eclampsia or eclampsia with hypertension - not delivered
L188300	Abnormal GTT during pregnancy - baby not yet delivered
42YG.00	Fetal cell test
539..11	Obstet. X-ray abdomen
L263.13	Fetal tachycardia
L178.00	Infections of urethra in pregnancy
Z22D300	Uncertain viability of pregnancy
2731.11	O/E - LOA
L13z200	Unspecified pregnancy vomiting - not delivered
L410500	Varicose veins of legs in pregnancy
2752.00	O/E - fetal movements seen
L281z00	Premature rupture of membranes NOS
L16y000	Other pregnancy complication unspecified
L263z00	Fetal distress NOS
L161000	Oedema or excessive weight gain in pregnancy, unspecified
7F03000	Percutaneous insertion of fetal vesicoamniotic shunt
61G1.00	Vasectomy failure
L169300	Herpes gestationis - not delivered
Z271.00	Cardiotochogram observation
L10z000	Early pregnancy haemorrhage NOS unspecified
Z22D311	Query viability of pregnancy
Q02..00	Fetus/neonate affected by complic of placenta/cord/membrane
9515.00	FP24 paid by FPC - checked
Z252.00	Mother not delivered
L210000	Twin pregnancy unspecified
Z246B11	EBL - Estimated maternal blood loss
Z23E.00	Gravid uterus normal
L140200	False labour at or after 37 completed weeks of gestation
L167200	Liver disorder in pregnancy - not delivered
