^ESCT1190324	Toxemia of pregnancy
^ESCT1247708	[X]Other antenatal screening
^ESCT1248178	A/N care from G.P.
^ESCT1248179	A/N care: grand multip
^ESCT1248181	A/N U/S scan normal += dates
^ESCT1248265	Antenatal care: gravida No.
^ESCT1248420	Combined O.C. pill failure
^ESCT1248480	Delayed/excess haemorrhage NOS following abortive pregnancy
^ESCT1248792	Mat B1 due
^ESCT1248793	Mat booking 17-30 weeks
^ESCT1248794	Mat booking before 16th week
^ESCT1248795	Mat. anaesth. service claim
^ESCT1249041	Percutaneous serial amnio drainage
^ESCT1270245	Threatened premature labour
^ESCT1270449	Nonreassuring foetal status
^ESCT1270516	Ultrasound scan for amniotic fluid volume
^ESCT1271726	Known or suspected fetal abnormality
^ESCT1271918	[X]Maternal care for other specified known or suspected fetal problems
^ESCT1276234	Ultrasound scan for foetal nuchal translucency
^ESCT1303163	Ultrasound scan for foetal nuchal translucency
^ESCT1378903	Meconium stained liquor
^ESCT1378904	Meconium stained amniotic fluid
^ESCT1379208	Fetal spina bifida suspected
^ESCT1379209	Foetal spina bifida suspected
^ESCT1379210	Fetal hydrocephalus suspected
^ESCT1379211	Fetal hydrocephaly suspected
^ESCT1379212	Foetal hydrocephaly suspected
^ESCT1379213	Foetal hydrocephalus suspected
^ESCT1379649	Amniotic fluid sent for organism evaluation
^ESCT1379676	Amniotic fluid sent for culture and sensitivity
^ESCT1382089	Foetal surgery
^ESCT1382090	Fetal surgery
^ESCT1405968	Head of foetus not engaged
^ESCT1405969	Head of fetus not engaged
^ESCT1406875	Pregnancy on intrauterine contraceptive device
^ESCT1406876	Pregnancy unplanned but wanted
^ESCT1406877	Pregnancy unplanned and unwanted
^ESCT1407088	Therapeutic fetoscopic operation on fetus
^ESCT1407089	Therapeutic foetoscopic operation on foetus
^ESCT1412735	Cardiotocogram (CTG)
^ESCT1419537	Foetal valproate spectrum disorder
^ESCT1419538	Fetal valproate spectrum disorder
^ESCT1419692	Amnioreduction
^ESCT1419932	Toxaemia of pregnancy
^ESCT1421085	Fetal disorder due to disease in mother
^ESCT1421086	Foetal disorder due to disease in mother
^ESCT1421087	Foetal disorder due to maternal disease
^ESCT1421088	Fetal disorder due to maternal disease
^ESCTAB252470	Abnormality of organs AND/OR soft tissues of pelvis affecting pregnancy
^ESCTAB252471	Abnormal pelvic organ affecting pregnancy
^ESCTAB266519	Abortion counseling
^ESCTAB277590	Abnormal dilatation of cervix before onset of labor
^ESCTAB277591	Abnormal dilatation of cervix before onset of labour
^ESCTAB303987	Abnormal placenta
^ESCTAB479897	Abnormal hematologic finding on antenatal screening of mother
^ESCTAB687019	Ablatio placentae
^ESCTAB687020	Abruptio placentae
^ESCTAC288227	Acromion presentation
^ESCTAC305605	AC - Amniocentesis
^ESCTAC385186	Accidental pregnancy
^ESCTAC479845	Accelerated fetal growth
^ESCTAC479850	Accelerated foetal growth
^ESCTAL293610	Alpha-1-Fetoprotein measurement, amniotic fluid
^ESCTAL647612	Alloimmune haemolytic disease of newborn
^ESCTAL647615	Alloimmune hemolytic disease of newborn
^ESCTAM293611	Amniotic fluid AFP
^ESCTAM365231	Amnion
^ESCTAM365232	Amniotic sac
^ESCTAM410767	Amniotic fluid appearance, evaluation
^ESCTAM461075	Amniotic fluid sent for examination
^ESCTAM461078	Amniotic fluid - bloodstained
^ESCTAM461082	Amniotic fluid microscopy - no abnormality detected
^ESCTAM461087	Amniotic fluid chemistry procedure
^ESCTAM461090	Amniotic fluid chemistry: no abnormality detected
^ESCTAM461097	Amniotic fluid alpha-fetoprotein normal
^ESCTAM461101	Amniotic fluid alpha-fetoprotein abnormal
^ESCTAM461103	Amniotic foetal cell study
^ESCTAM461104	Amniotic foetal cell study: NAD
^ESCTAM461106	Amniotic fetal cell study: no abnormality detected
^ESCTAM461107	Amniotic foetal cell abnormal
^ESCTAM678862	Amniotic fluid examination abnormal
^ESCTAM705663	Amniocentesis for possible neural tube defect
^ESCTAM707094	Amniocentesis for possible chromosomal abnormality
^ESCTAM837126	Amnicator test
^ESCTAN278770	Antepartum care of mother
^ESCTAN303986	Anomaly of placenta
^ESCTAN306114	Antepartum hemorrhage
^ESCTAN330895	Antepartum deep vein thrombosis
^ESCTAN330896	Antepartum deep phlebothrombosis
^ESCTAN462437	Antenatal care categorised by gravida number
^ESCTAN462439	A/N care categorised by gravida number
^ESCTAN462440	A/N care categorized by gravida number
^ESCTAN462441	Antenatal care categorized by gravida number
^ESCTAN462443	Antenatal care of primigravida
^ESCTAN462444	Antenatal care of second pregnancy
^ESCTAN462446	Antenatal care of 2nd pregnancy
^ESCTAN462447	A/N care of 2nd pregnancy
^ESCTAN462448	Antenatal care of third pregnancy
^ESCTAN462450	Antenatal care of 3rd pregnancy
^ESCTAN462451	A/N care of 3rd pregnancy
^ESCTAN462453	Antenatal care of multipara
^ESCTAN462454	Antenatal care: obstetric risk
^ESCTAN462456	Antenatal care: uncertain dates
^ESCTAN462458	Antenatal care: recurrent aborter
^ESCTAN462460	Antenatal care: grand multiparity
^ESCTAN462462	Antenatal care: history of stillbirth
^ESCTAN462464	Antenatal care: history of perinatal death
^ESCTAN462466	Antenatal care: poor obstetric history
^ESCTAN462468	Antenatal care: history of trophoblastic disease
^ESCTAN462470	Antenatal care: precious pregnancy
^ESCTAN462472	Antenatal care: elderly primiparous
^ESCTAN462473	A/N care: elderly primiparous
^ESCTAN462474	Antenatal care: history of infertility
^ESCTAN462476	Antenatal care: social risk
^ESCTAN462478	Antenatal care: poor home conditions
^ESCTAN462480	Antenatal care: poor antenatal attender
^ESCTAN462484	Antenatal care: late booker
^ESCTAN462485	Antenatal care: history of child abuse
^ESCTAN462487	Antenatal care: medical risk
^ESCTAN462489	Antenatal care: gynaecological risk
^ESCTAN462490	A/N care: gynecological risk
^ESCTAN462491	A/N care: gynaecological risk
^ESCTAN462492	Antenatal care: gynecological risk
^ESCTAN462493	Antenatal care: under 5ft tall
^ESCTAN462496	Antenatal care: 10 years plus since last pregnancy
^ESCTAN462497	A/N care: 10 years plus since last pregnancy
^ESCTAN462498	Antenatal care: primiparous, under 17 years
^ESCTAN462499	A/N care: primiparous, under 17 years
^ESCTAN462500	Antenatal care: primipara, under 17 years
^ESCTAN462501	A/N care: primipara, under 17 years
^ESCTAN462502	Antenatal care: primiparous, older than 30 years
^ESCTAN462504	Antenatal care: multiparous, older than 35 years
^ESCTAN462508	Antenatal care: not wanted
^ESCTAN462509	Antenatal care: not attended
^ESCTAN462512	Antenatal care provider
^ESCTAN462514	Antenatal care from general practitioner
^ESCTAN462516	Antenatal care from consultant
^ESCTAN462518	Antenatal - shared care
^ESCTAN462544	Antenatal amniocentesis - not wanted
^ESCTAN462546	Antenatal amniocentesis wanted
^ESCTAN462548	Antenatal amniocentesis - awaited
^ESCTAN462550	Antenatal amniocentesis - normal
^ESCTAN462552	Antenatal amniocentesis - abnormal
^ESCTAN462557	Antenatal ultrasound scan not wanted
^ESCTAN462559	Antenatal ultrasound scan wanted
^ESCTAN462561	Antenatal ultrasound scan awaited
^ESCTAN462563	Antenatal ultrasound scan normal and appropriate for dates
^ESCTAN462565	A/N U/S scan normal and appropriate for dates
^ESCTAN462566	Antenatal ultrasound scan abnormal
^ESCTAN462569	Antenatal ultrasound scan for slow growth
^ESCTAN462574	Antenatal RhD antibody screening
^ESCTAN462607	Antenatal syphilis screening not done
^ESCTAN462608	Antenatal syphilis screen-blood sent
^ESCTAN462612	Antenatal blood group screening not done
^ESCTAN462615	Antenatal sickle screening not done
^ESCTAN462619	Antenatal 16 week examination
^ESCTAN462634	Antenatal 42 week examination
^ESCTAN464039	Antenatal relaxation class
^ESCTAN479474	Antepartum hemorrhage with trauma
^ESCTAN479480	Antepartum hemorrhage with uterine leiomyoma
^ESCTAN479481	Antepartum hemorrhage with fibroid
^ESCTAN479482	Antepartum hemorrhage with uterine fibroid
^ESCTAN479512	Antepartum eclampsia
^ESCTAN479647	Anemia during pregnancy - baby not yet delivered
^ESCTAN510503	Antepartum hemorrhage with hypofibrinogenemia
^ESCTAN510505	Antepartum hemorrhage with hyperfibrinolysis
^ESCTAN510507	Antepartum hemorrhage with afibrinogenemia
^ESCTAN519220	Antenatal RhD antibody status
^ESCTAN519221	Antenatal Rhesus antibody status
^ESCTAN549895	Antepartum hemorrhage, abruptio placentae and placenta previa
^ESCTAN549896	Antepartum haemorrhage associated with coagulation defect
^ESCTAN549898	Antepartum hemorrhage associated with coagulation defect
^ESCTAN557191	Antenatal/postnatal care
^ESCTAN558541	Antenatal risk factors
^ESCTAN599819	Antenatal care midwifery led
^ESCTAN634061	Antenatal screening finding
^ESCTAN651458	Antenatal screening for human immunodeficiency virus
^ESCTAN700451	Antenatal ultrasound scan normal and possibly inconsistent with estimated date of delivery
^ESCTAN749813	Antenatal care for woman with history of recurrent miscarriage
^ESCTAN752919	Anti-D isoimmunization affecting pregnancy
^ESCTAP306115	APH - Antepartum haemorrhage
^ESCTAP306116	APH - Antepartum hemorrhage
^ESCTBA390413	Baby keeps changing position
^ESCTBA548771	Banding of uterine cervix
^ESCTBA558424	Baby moving less
^ESCTBA558425	Baby kicking less
^ESCTBI284396	Biophysical profile of foetus
^ESCTBR302588	Braxton Hicks' contraction
^ESCTCA326162	Cardiotachometry
^ESCTCA337417	Calcified fetus
^ESCTCA337418	Calcified foetus
^ESCTCA464028	Care of teeth advice in pregnancy
^ESCTCA556029	Cardiac disease in pregnancy
^ESCTCE363492	Cervical cerclage suture present
^ESCTCE479730	Cephalopelvic disproportion
^ESCTCE548770	Cerclage of uterine cervix
^ESCTCE548772	Cerclage of cervix
^ESCTCH645864	Childbirth operation
^ESCTCI277594	CI - Cervical incompetence
^ESCTCO251247	Contracted pelvis
^ESCTCO251572	Congenital sepsis
^ESCTCO260709	Cordocentesis
^ESCTCO260712	Cord blood sampling
^ESCTCO266510	Counselling for termination of pregnancy
^ESCTCO266511	Counseling for termination of pregnancy
^ESCTCO266512	Counseling for abortion
^ESCTCO266513	Counselling for abortion
^ESCTCO277333	Congenital malformation due to valproate
^ESCTCO436958	Compound presentation of fetus
^ESCTCO462329	Combined oral contraceptive pill failure
^ESCTCO462355	Contraceptive IUD failure - pregnant
^ESCTCO462356	Contraceptive intrauterine device failure - pregnant
^ESCTCO479688	Continuing pregnancy after abortion of one foetus or more
^ESCTCO479689	Continuing pregnancy after intrauterine death of one or more fetuses
^ESCTCO479691	Continuing pregnancy after intrauterine death of one or more foetuses
^ESCTCO479692	Continuing pregnancy after intrauterine death one foetus or more
^ESCTCO493934	Counseling prior to the termination of pregnancy
^ESCTCO493935	Counselling prior to the termination of pregnancy
^ESCTCO510559	Complete breech delivery
^ESCTCO549905	Congenital malformation of uterus affecting obstetric care
^ESCTCP479732	CPD - Cephalopelvic disproportion
^ESCTCR558396	CRL - Crown rump length
^ESCTCT647545	CTG - Cardiotochography
^ESCTCV592129	CVB - Chorionic villus biopsy
^ESCTCV592130	CVS - Chorionic villus sampling
^ESCTDE346754	Deficient liquor
^ESCTDE730996	Dead fetus in utero
^ESCTDI291196	Disproportion between foetal head and pelvis
^ESCTDI291197	Disproportion between fetal head and pelvis
^ESCTDI291200	Disproportion between fetus and pelvis
^ESCTDI291201	Disproportion between foetus and pelvis
^ESCTDI353008	Disorder of uterine cervix
^ESCTDI353009	Disease of cervix
^ESCTDI353010	Disorder of cervix
^ESCTDI368490	Disorder of amniotic cavity AND/OR membrane
^ESCTDI368491	Disorder of amniotic fluid and membranes
^ESCTDI437847	Disorder of placenta
^ESCTDI437848	Disorder of placenta and placental transfusion
^ESCTDI464015	Dietary advice for pregnancy
^ESCTDI465457	Disorder of pregnancy
^ESCTDI479731	Disproportion of mixed maternal AND fetal origin with normally formed fetus
^ESCTDI479733	Disproportion of mixed maternal AND foetal origin with normally formed foetus
^ESCTDI510489	Disorder of pelvic size and disproportion
^ESCTDI514543	Diagnostic endoscopic examination of foetus using foetoscope
^ESCTDI548768	Diagnostic percutaneous examination of foetus
^ESCTDO462705	Down screening - blood sent
^ESCTDO519227	Down's screening status
^ESCTDO519228	Down screening status
^ESCTDO550525	Down screening - blood test
^ESCTDO600177	Down screening blood test normal
^ESCTDO600179	Down screening blood test abnormal
^ESCTDO704984	Doppler ultrasound scan of middle cerebral artery of foetus
^ESCTDO823868	Downs syndrome antenatal screening information leaflet given
^ESCTDR635362	Drainage of liquor
^ESCTEC275292	Eclamptic toxemia
^ESCTEC275293	Eclamptic toxaemia
^ESCTEC390823	Echography, scan B-mode for placental localisation
^ESCTEC390824	Echography, scan B-mode for placental localization
^ESCTEC390825	Echoplacentogram
^ESCTEC467647	ECV - External cephalic version of breech
^ESCTEC514539	ECV - External cephalic version
^ESCTEF647608	EF - Erythroblastosis foetalis
^ESCTEF647613	EF - Erythroblastosis fetalis
^ESCTEL297265	Elderly primip
^ESCTEL647542	Electronic fetal monitoring
^ESCTEN521545	Entire delivered uterus
^ESCTEP660068	EPH - Oedema, proteinuria and hypertension of pregnancy
^ESCTEP660071	EPH - Edema, proteinuria and hypertension of pregnancy
^ESCTER647606	Erythroblastosis foetalis
^ESCTES483720	Escherichia coli intra-amniotic fetal infection
^ESCTES483722	Escherichia coli intra-amniotic foetal infection
^ESCTEX272330	Excessive vomiting in pregnancy
^ESCTEX390144	Excessive liquor
^ESCTEX729419	Exposure to rubella in pregnancy
^ESCTFA302590	False uterine contractions
^ESCTFA350905	Failure of fetal head to enter pelvic brim
^ESCTFA350907	Failure of head to engage
^ESCTFA350909	Failure of foetal head to enter pelvic brim
^ESCTFA479411	Failed attempted termination of pregnancy with genital tract or pelvic infection
^ESCTFA479413	Failed attempted termination of pregnancy with delayed or excessive hemorrhage
^ESCTFA479415	Failed attempted abortion with delayed or excessive hemorrhage
^ESCTFA479416	Failed attempted termination of pregnancy with delayed or excessive haemorrhage
^ESCTFA479417	Failed attempted termination of pregnancy with damage to pelvic organ or tissues
^ESCTFA479419	Failed attempted termination of pregnancy with renal failure
^ESCTFA479421	Failed attempted pregnancy termination with kidney failure
^ESCTFA479422	Failed attempted termination of pregnancy with metabolic disorder
^ESCTFA479424	Failed attempted termination of pregnancy with shock
^ESCTFA479426	Failed attempted termination of pregnancy with embolism
^ESCTFA479438	Failed medical termination of pregnancy, complicated by genital tract or pelvic infection
^ESCTFA479440	Failed medical termination of pregnancy, complicated by delayed or excessive hemorrhage
^ESCTFA479442	Failed medical abortion, complicated by delayed or excessive hemorrhage
^ESCTFA479443	Failed medical termination of pregnancy, complicated by delayed or excessive haemorrhage
^ESCTFA479444	Failed medical termination of pregnancy, complicated by embolism
^ESCTFA479446	Failed medical termination of pregnancy, without complication
^ESCTFA479539	False premature labor
^ESCTFA479540	False premature labour
^ESCTFA479542	False labor at or after 37 completed weeks of gestation
^ESCTFA483174	FAS - Fetal alcohol syndrome
^ESCTFA483176	FAS - Foetal alcohol syndrome
^ESCTFE284393	Fetal biophysical profile
^ESCTFE285067	Fetal growth restriction
^ESCTFE285068	Fetal growth retardation
^ESCTFE291198	Fetopelvic disproportion
^ESCTFE323343	Fetal transfusion
^ESCTFE340051	Fetal part
^ESCTFE364809	Fetal disorder
^ESCTFE364810	Fetal disease
^ESCTFE365526	Fetal-maternal hemorrhage
^ESCTFE365528	Fetomaternal transfusion
^ESCTFE365529	Fetomaternal haemorrhage
^ESCTFE365531	Fetal maternal haemorrhage
^ESCTFE365532	Fetal hemorrhage into mother's circulation
^ESCTFE365533	Fetomaternal hemorrhage
^ESCTFE365534	Fetal maternal hemorrhage
^ESCTFE365535	Fetal-maternal haemorrhage
^ESCTFE375670	Fetal blood vessels in membranes
^ESCTFE386786	Fetal blood loss from placenta
^ESCTFE386788	Fetoplacental hemorrhage
^ESCTFE386789	Fetoplacental haemorrhage
^ESCTFE388046	Fetal or neonatal effect of complication of placenta, cord and/or membranes
^ESCTFE396506	Fetus papyraceous
^ESCTFE396507	Fetus compressus
^ESCTFE396508	Fetus papyraceus
^ESCTFE445193	Fetal distress
^ESCTFE459824	Fetoplacental hormones abnormal
^ESCTFE459825	Fetoplacental hormones normal
^ESCTFE462416	Female sterilization failure
^ESCTFE462636	Fetal movements observed
^ESCTFE462639	Fetal size accords with dates
^ESCTFE462640	Fetus size equals dates
^ESCTFE462645	Fetal size does not accord with dates
^ESCTFE462646	Fetal size not equal to date
^ESCTFE467625	Fetoscopic biopsy of fetus
^ESCTFE467627	Fetoscopic sampling of foetal blood
^ESCTFE467628	Fetoscopic sampling of fetal blood
^ESCTFE479812	Fetal-maternal hemorrhage with antenatal problem
^ESCTFE479847	Fetal growth acceleration
^ESCTFE483273	Fetal or neonatal effect of maternal incompetent cervix
^ESCTFE483276	Fetal or neonatal effect of maternal premature rupture of membrane
^ESCTFE483279	Fetal or neonatal effect of maternal oligohydramnios
^ESCTFE483282	Fetal or neonatal effect of oligohydramnios
^ESCTFE483335	Fetal or neonatal effect of placenta praevia
^ESCTFE483338	Fetal or neonatal effect of placenta previa
^ESCTFE483339	Fetal or neonatal effect of placental damage caused by amniocentesis
^ESCTFE483342	Fetal or neonatal effect of damage to placenta from amniocentesis
^ESCTFE483361	Fetal or neonatal effect of placental dysfunction
^ESCTFE483364	Fetal or neonatal effect of functional abnormality of placenta
^ESCTFE483369	Fetal or neonatal effect of placental insufficiency
^ESCTFE483562	Fetus small-for-dates SFD - with signs of malnutrition
^ESCTFE483736	Fetal hemorrhage
^ESCTFE483737	Fetal haemorrhage
^ESCTFE514540	Fetoscopic procedure
^ESCTFE514542	Fetoscopic examination of fetus
^ESCTFE514618	Fetal effect of placental insufficiency
^ESCTFE526561	Fetal heart observation
^ESCTFE549940	Fetal distress-affecting care
^ESCTFE549949	Fetus small-for-dates
^ESCTFE550512	Feeding intention - baby
^ESCTFE550688	Fetal or neonatal effect of maternal hypertensive disease
^ESCTFE550691	Fetal or neonatal effect of maternal hypertensive disorder
^ESCTFE550702	Fetal or neonatal effect of maternal polyhydramnios
^ESCTFE550707	Fetal effect of hydramnios
^ESCTFE550708	Fetal or neonatal effect of maternal death
^ESCTFE550712	Fetal or neonatal effect of malpresentation before labour
^ESCTFE550715	Fetal or neonatal effect of malpresentation before labor
^ESCTFE550723	Fetal effect of placental abruption
^ESCTFE551389	Fetoplacental hormone measurement
^ESCTFE551390	Fetoplacental hormone level
^ESCTFE552471	Fetal anomaly study
^ESCTFE558616	Fetal death
^ESCTFE646227	Fetal operation
^ESCTFE646230	Fetal procedure
^ESCTFE647544	Fetal monitoring
^ESCTFE685483	Fetus affected by maternal antepartum hemorrhage
^ESCTFE685484	Fetus affected by maternal antepartum haemorrhage
^ESCTFE685486	Fetal effects of maternal antepartum hemorrhage
^ESCTFE685487	Fetal effects of maternal antepartum haemorrhage
^ESCTFE706506	Fetal biometry using ultrasound
^ESCTFE747841	Fetal chromosomal abnormality screening
^ESCTFG285075	FGR - Fetal growth retardation
^ESCTFG285078	FGR - Foetal growth retardation
^ESCTFI295753	Finding of arrangement of foetus
^ESCTFI295755	Finding of arrangement of fetus
^ESCTFI628862	Finding of duration of pregnancy
^ESCTFI628863	Finding of duration of gestation
^ESCTFM550517	FMF - Fetal movements felt
^ESCTFM550518	FMF - Foetal movements felt
^ESCTFO251478	Foetoscopy
^ESCTFO284395	Foetal biophysical profile
^ESCTFO291199	Foetopelvic disproportion
^ESCTFO301224	Foetal disproportion
^ESCTFO323347	Foetal transfusion
^ESCTFO335907	Foetal exsanguination
^ESCTFO340050	Foetal part
^ESCTFO363927	Foetal hydantoin syndrome
^ESCTFO364808	Foetal disorder
^ESCTFO364811	Foetal disease
^ESCTFO365525	Foetal-maternal haemorrhage
^ESCTFO365536	Foetal haemorrhage into mother's circulation
^ESCTFO365537	Foetal maternal haemorrhage
^ESCTFO365538	Foetomaternal haemorrhage
^ESCTFO375671	Foetal blood vessels in membranes
^ESCTFO382371	Foetal or neonatal effect of condition of umbilical cord
^ESCTFO386790	Foetal placental blood loss
^ESCTFO388047	Foetal or neonatal effect of complication of placenta, cord and/or membranes
^ESCTFO390415	Foetus - unstable lie
^ESCTFO396505	Foetus papyraceous
^ESCTFO396509	Foetus compressus
^ESCTFO462637	Foetal movements seen
^ESCTFO462638	Foetal movements observed
^ESCTFO462642	Foetal maturity: dates = size
^ESCTFO462643	Foetal size accords with dates
^ESCTFO462644	Foetus size equals dates
^ESCTFO462648	Foetal maturity: dates not=size
^ESCTFO462649	Foetal size does not accord with dates
^ESCTFO462650	Foetal size not equal to date
^ESCTFO467624	Foetoscopic blood transfusion of foetus
^ESCTFO467626	Foetoscopic biopsy of foetus
^ESCTFO479781	Foetus with hereditary disease
^ESCTFO479793	Foetus with drug damage with antenatal problem
^ESCTFO479797	Foetus with radiation damage
^ESCTFO479804	Foetus with damage due to coil
^ESCTFO479813	Foetal-maternal haemorrhage with antenatal problem
^ESCTFO479821	Foetal distress with antenatal problem
^ESCTFO479851	Foetal growth acceleration
^ESCTFO483175	Foetal alcohol syndrome
^ESCTFO483275	Foetal or neonatal effect of maternal incompetent cervix
^ESCTFO483278	Foetal or neonatal effect of maternal premature rupture of membrane
^ESCTFO483281	Foetal or neonatal effect of maternal oligohydramnios
^ESCTFO483283	Foetal or neonatal effect of oligohydramnios
^ESCTFO483337	Foetal or neonatal effect of placenta praevia
^ESCTFO483341	Foetal or neonatal effect of placental damage caused by amniocentesis
^ESCTFO483343	Foetal or neonatal effect of damage to placenta from amniocentesis
^ESCTFO483363	Foetal or neonatal effect of placental dysfunction
^ESCTFO483365	Foetal or neonatal effect of functional abnormality of placenta
^ESCTFO483371	Foetal or neonatal effect of placental insufficiency
^ESCTFO483563	Foetus small-for-dates with signs of malnutrition
^ESCTFO483564	Foetus small-for-dates SFD - with signs of malnutrition
^ESCTFO483734	Foetal blood loss
^ESCTFO483738	Foetal haemorrhage
^ESCTFO510390	Foetus with suspected rubella damage via mother
^ESCTFO514544	Foetoscopic procedure
^ESCTFO514545	Foetoscopic examination of foetus
^ESCTFO514581	Foetal tachycardia
^ESCTFO514583	Foetal bradycardia
^ESCTFO514603	Foetal acidosis
^ESCTFO514620	Foetal effect of placental insufficiency
^ESCTFO516149	Foetal US scan
^ESCTFO526562	Foetal heart observation
^ESCTFO526563	Foetal heart finding
^ESCTFO548764	Foetus and gravid uterus operations
^ESCTFO549935	Foetus with central nervous system malformation
^ESCTFO549937	Foetus with chromosomal abnormality
^ESCTFO549938	Foetus with viral damage via mother
^ESCTFO549942	Foetal distress-affecting care
^ESCTFO549956	Foetus small-for-dates
^ESCTFO550519	Foetal movements felt
^ESCTFO550692	Foetal or neonatal effect of maternal hypertensive disease
^ESCTFO550705	Foetal or neonatal effect of maternal polyhydramnios
^ESCTFO550706	Foetal effect of hydramnios
^ESCTFO550711	Foetal or neonatal effect of maternal death
^ESCTFO550716	Foetal or neonatal effect of malpresentation before labour
^ESCTFO550721	Foetal effect of placental abruption
^ESCTFO550722	Foetal or neonatal effect of abruptio placentae
^ESCTFO552472	Foetal anomaly study
^ESCTFO552474	Foetal anatomy study
^ESCTFO558615	Foetal death
^ESCTFO558772	Foetal malnutrition
^ESCTFO646226	Foetal operation
^ESCTFO685482	Foetal effects of maternal antepartum haemorrhage
^ESCTFO685485	Foetus affected by maternal antepartum haemorrhage
^ESCTFO706507	Foetal biometry using ultrasound
^ESCTFO749788	Foetal damage from disease in the mother
^ESCTFP797471	FP24 signed by patient
^ESCTFP797474	FP24 maternity claim sent to family practitioner committee
^ESCTFP797475	FP24 maternity claim sent to FPC (family practitioner committee)
^ESCTFP797476	FP24 maternity claim underpaid by family practitioner committee
^ESCTFP797477	FP24 maternity claim underpaid by FPC (family practitioner committee)
^ESCTFP797479	FP24 maternity claim family practitioner committee make up payment
^ESCTFP797480	FP24 maternity claim FPC (family practitioner committee) make up payment
^ESCTFP797481	FP24A maternity claim status
^ESCTFP799044	FP24A maternity claim checked by staff
^ESCTFP799045	FP24A maternity claim sent to family practitioner committee
^ESCTFP799046	FP24A maternity claim paid by family practitioner committee checked
^ESCTFP799047	FP24A maternity claim underpaid by family practitioner committee
^ESCTFP799050	FP24A maternity claim family practitioner committee make up payment
^ESCTFP799051	FP24A maternity claim family practitioner committee dispute fee due
^ESCTFP800943	FP24 maternity fee claim form status
^ESCTFP800944	FP24 maternity claim completed by doctor
^ESCTFP800946	FP24 maternity claim checked by staff
^ESCTFP800947	FP24 maternity claim paid by Family Practitioner Committee - checked
^ESCTFP800948	FP24 maternity claim overpaid by Family Practitioner Committee
^ESCTFP800949	FP24 maternity claim - Family Practitioner Committee contacted regarding mistake
^ESCTFP800950	FP24 maternity claim - Family Practitioner Committee dispute fee due
^ESCTFP800955	FP24A maternity claim signed by patient
^ESCTFP800956	FP24A maternity claim completed by doctor
^ESCTFW798684	FW 8-applic for presc exempt
^ESCTGD268606	GDM
^ESCTGD268610	GDM - Gestational diabetes mellitus
^ESCTGE251248	Generally contracted pelvis
^ESCTGE268607	Gestational diabetes
^ESCTGE375888	Gestation
^ESCTGE462713	General practice unit birth
^ESCTGE479587	Gestational edema with proteinuria
^ESCTGE510529	Gestational edema
^ESCTGE602702	Gestation less than 24 weeks
^ESCTGE602704	Gestation period, 24 weeks
^ESCTGE602706	Gestation period, 6 months
