13H7.	Pregnancy unwanted
L10..	Bleeding in early pregnancy
L10..	Haemorrhage in early pregnancy
L100.	Threatened abortion
L100.	Threatened miscarriage
L1000	Threatened abortion unspecified
L1001	Threatened abortion - delivered
L1002	Threatened abortion - not delivered
L100z	Threatened abortion NOS
L10y.	Bleeding in early pregnancy
L10y.	Bleeding in early pregnancy (& [other haemorrhage])
L10y.	Other haemorrhage in early pregnancy
L10y0	Other haemorrhage in early pregnancy unspecified
L10y2	Other haemorrhage in early pregnancy - not delivered
L10yz	Other haemorrhage in early pregnancy NOS
L10z.	Early pregnancy haemorrhage NOS
L10z0	Early pregnancy haemorrhage NOS unspecified
L10z1	Early pregnancy haemorrhage NOS - delivered
L10z2	Early pregnancy haemorrhage NOS - not delivered
L10zz	(Inevitable abortion) or (early pregnancy haemorrhage NOS)
L10zz	Early pregnancy haemorrhage NOS
L10zz	Inevitable abortion
L11..	Antepartum bleeding
L11..	Antepartum haemorrhage
L11..	Antepartum haemorrhage, abruptio placentae and placenta praevia
L110.	Placenta praevia without haemorrhage
L1100	Placenta praevia without haemorrhage unspecified
L1102	Placenta praevia without haemorrhage - not delivered
L110z	Placenta praevia without haemorrhage NOS
L111.	Placenta praevia with haemorrhage
L1110	Placenta praevia with haemorrhage unspecified
L1112	Placenta praevia with haemorrhage - not delivered
L111z	Placenta praevia with haemorrhage NOS
L112.	Ablatio placentae
L112.	Couvelaire uterus
L112.	Placental abruption
L112.	Placental abruption (& [couvelaire uterus])
L1120	Placental abruption unspecified
L1122	Placental abruption - not delivered
L1123	Premature separation of placenta with coagulation defect
L112z	Placental abruption NOS
L113.	Antepartum haemorrhage with afibrinogenaemia
L113.	Antepartum haemorrhage with coagulation defect
L113.	Antepartum haemorrhage with hyperfibrinolysis
L113.	Antepartum haemorrhage with hypofibrinogenaemia
L1130	Antepartum haemorrhage with coagulation defect unspecified
L113z	Antepartum haemorrhage with coagulation defect NOS
L114.	Antepartum haemorrhage with trauma
L1140	Antepartum haemorrhage with trauma unspecified
L114z	Antepartum haemorrhage with trauma NOS
L115.	Antepartum haemorrhage with fibroid
L115.	Antepartum haemorrhage with uterine fibroid
L115.	Antepartum haemorrhage with uterine leiomyoma
L1150	Antepartum haemorrhage with uterine leiomyoma unspecified
L115z	Antepartum haemorrhage with uterine leiomyoma NOS
L11y.	Other antepartum haemorrhage
L11y0	Other antepartum haemorrhage unspecified
L11y1	Other antepartum haemorrhage - delivered
L11y2	Other antepartum haemorrhage - not delivered
L11yz	Other antepartum haemorrhage NOS
L11z0	Antepartum haemorrhage NOS, unspecified
L11z1	Antepartum haemorrhage NOS - delivered
L11z2	Antepartum haemorrhage NOS - not deliv
L11zz	Antepartum haemorrhage NOS
L1200	Benign essential hypertension complicating pregnancy, childbirth and the puerperium unspecified
L1203	Benign essential hypertension complicating pregnancy, childbirth and the puerperium - not delivered
L120z	Benign essential hypertension complicating pregnancy, childbirth and the puerperium NOS
L1213	Renal hypertension complicating pregnancy, childbirth and the puerperium - not delivered
L122.	Other pre-existing hypertension in preg/childbirth/puerp
L1220	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium unspecified
L1221	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium - delivered
L1222	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication
L1223	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium - not delivered
L1224	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication
L122z	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium NOS
L123.	Hypertension of pregnancy (& [gestational] or [transient])
L123.	Transient hypertension of pregnancy
L1230	Transient hypertension of pregnancy unspecified
L1233	Transient hypertension of pregnancy - not delivered
L123z	Transient hypertension of pregnancy NOS
L124.	Mild &/or unspecified pre-eclampsia (& [toxaemia NOS])
L1240	Mild or unspecified pre-eclampsia unspecified
L1242	Mild or unspecified pre-eclampsia - delivered with postnatal complication
L1243	Mild or unspecified pre-eclampsia - not delivered
L1244	Mild or unspecified pre-eclampsia with postnatal complication
L124z	Mild or unspecified pre-eclampsia NOS
L125.	PET - Severe pre-eclamptic toxaemia
L1250	Severe pre-eclampsia unspecified
L1253	Severe pre-eclampsia - not delivered
L125z	Severe pre-eclampsia NOS
L126.	Eclampsia
L1260	Eclampsia unspecified
L1263	Antepartum eclampsia
L126z	Eclampsia NOS
L127.	Pre-eclampsia or eclampsia with pre-existing hypertension
L1270	Pre-eclampsia or eclampsia with pre-existing hypertension unspecified
L1273	Pre-eclampsia or eclampsia with pre-existing hypertension - not delivered
L127z	Pre-eclampsia or eclampsia with pre-existing hypertension NOS
L12z0	Unspecified hypertension complicating pregnancy, childbirth and the puerperium unspecified
L12z1	Unspecified hypertension complicating pregnancy, childbirth and the puerperium - delivered
L12z3	Unspecified hypertension complicating pregnancy, childbirth and the puerperium - not delivered
L12zz	Unspecified hypertension complicating pregnancy, childbirth and the puerperium NOS
L13..	Excessive pregnancy vomiting
L130.	Mild hyperemesis gravidarum
L1300	Mild hyperemesis unspecified
L1302	Mild hyperemesis-not delivered
L130z	Mild hyperemesis gravidarum NOS
L131.	Hyperemesis gravidarum with metabolic disturbance
L1310	Hyperemesis gravidarum with metabolic disturbance unspecified
L1312	Hyperemesis gravidarum with metabolic disturbance - not delivered
L131z	Hyperemesis gravidarum with metabolic disturbance NOS
L132.	Late vomiting of pregnancy
L1320	Late pregnancy vomiting unspecified
L1321	Late pregnancy vomiting - delivered
L1322	Late pregnancy vomiting - not delivered
L132z	Late pregnancy vomiting NOS
L13y.	Other pregnancy vomiting
L13y0	Other pregnancy vomiting unspecified
L13y1	Other pregnancy vomiting - delivered
L13y2	Other pregnancy vomiting - not delivered
L13yz	Other pregnancy vomiting NOS
L13z.	Unspecified pregnancy vomiting
L13z0	Unspecified pregnancy vomiting unspecified
L13z1	Unspecified pregnancy vomiting - delivered
L13z2	Unspecified pregnancy vomiting - not delivered
L13zz	Unspecified pregnancy vomiting NOS
L14..	Early or threatened labour
L140.	False labour
L1400	Threatened premature labour unspecified
L1401	Threatened premature labour - not delivered
L1402	False labour at or after 37 completed weeks of gestation
L140z	Threatened premature labour NOS
L141.	Other threatened labour
L1410	Other threatened labour unspecified
L1411	Other threatened labour - not delivered
L141z	Other threatened labour NOS
L142.	Early onset of delivery
L1420	Early onset of delivery unspecified
L142z	Early onset of delivery NOS
L14z.	Early or threatened labour NOS
L15..	Post-dates
L1500	Post-term pregnancy unspecified
L1502	Post-term pregnancy - not delivered
L150z	Post-term pregnancy NOS
L15z.	Prolonged pregnancy NOS
L16..	Other pregnancy complication NEC
L160.	Papyraceous fetus
L1600	Papyraceous fetus unspecified
L160z	Papyraceous fetus NOS
L161.	Excessive weight gain in pregnancy
L161.	Gestational oedema
L161.	Maternal obesity syndrome
L161.	Oedema or excessive weight gain in pregnancy without mention of hypertension
L1610	Oedema or excessive weight gain in pregnancy without mention of hypertension, unspecified as to episode of care
L1611	Oedema or excessive weight gain in pregnancy without mention of hypertension, delivered, with or without mention of antepartum condition
L1612	Oedema or excessive weight gain in pregnancy without mention of hypertension, delivered with mention of postpartum complication
L1613	Oedema or excessive weight gain in pregnancy without mention of hypertension, not delivered during current episode of care
L1614	Oedema or excessive weight gain in pregnancy without mention of hypertension with postnatal complication
L161z	Oedema or excessive weight gain in pregnancy NOS
L162.	Albuminuria in pregnancy without hypertension
L1620	Unspecified renal disease in pregnancy unspecified
L1621	Unspecified renal disease in pregnancy - delivered
L1622	Unspecified renal disease in pregnancy - delivered with postnatal complication
L1623	Unspecified renal disease in pregnancy - not delivered
L1624	Unspecified renal disease in pregnancy with postnatal complication
L162z	Unspecified renal disease in pregnancy NOS
L1633	Pregnancy care of habitual aborter
L164.	Peripheral neuritis in pregnancy
L1640	Peripheral neuritis in pregnancy unspecified
L164z	Peripheral neuritis in pregnancy NOS
L165.	Asymptomatic bacteriuria of pregnancy
L1650	Asymptomatic bacteriuria in pregnancy unspecified
L1653	Asymptomatic bacteriuria in pregnancy - not delivered
L165z	Asymptomatic bacteriuria in pregnancy NOS
L166.	Cystitis of pregnancy
L166.	Genitourinary tract infections in pregnancy
L1660	Genitourinary tract infection in pregnancy unspecified
L1663	Genitourinary tract infection in pregnancy - not delivered
L1665	Infections of kidney in pregnancy
L1667	Infections of the genital tract in pregnancy
L166z	Genitourinary tract infection in pregnancy NOS
L167.	Liver disorder in pregnancy
L1670	Liver disorder in pregnancy unspecified
L1672	Liver disorder in pregnancy - not delivered
L167z	Liver disorder in pregnancy NOS
L168.	Fatigue during pregnancy
L1680	Fatigue during pregnancy unspecified
L1683	Fatigue during pregnancy - not delivered
L168z	Fatigue during pregnancy NOS
L1693	Herpes gestationis - not delivered
L16A.	Glycosuria during pregnancy
L16A.	Pregnancy-related glycosuria
L16A0	Glycosuria during pregnancy unspecified
L16A3	Glycosuria during pregnancy - not delivered
L16Az	Glycosuria during pregnancy NOS
L16B.	Braxton Hicks contractions
L16C.	Pregnancy-induced oedema and proteinuria without hypertension
L16C1	Gestational oedema with proteinuria
L16D.	Excessive weight gain in pregnancy
L16y.	Other pregnancy complications
L16y0	Other pregnancy complication unspecified
L16y1	Other pregnancy complication - delivered
L16y2	Other pregnancy complication - delivered with postnatal complication
L16y3	Other pregnancy complication - not delivered
L16yz	Other pregnancy complication NOS
L16z.	Pregnancy complication NOS
