14G8.00	H/O: vertebral fracture
7J43y00	Other specified fixation of fracture of spine
7J43z00	Fixation of fracture of spine NOS
7K1D.00	Primary open reduction fracture bone & intramedull fixation
7K1D000	Prmy open red+int fxn prox femoral #+screw/nail+plate device
7K1D011	Prim open reduct # neck femur & op fix - Blount nail plate
7K1D012	Prim op red # nck femur & op fix- Charnley compression screw
7K1D013	Prim op red # nck femur & op fix - Deyerle multiple hip pin
7K1D014	Prim open reduct # neck femur & op fix - Holt nail
7K1D015	Prim open reduct # neck femur & op fix - Jewett nail plate
7K1D017	Prim open red # neck femur & op fix - McLaughlin nail plate
7K1D018	Prim open reduct # neck femur & op fix - Neufield nail plate
7K1D019	Prim open reduct # neck femur & op fix - Pugh nail plate
7K1D01A	Prim open reduct # neck femur & op fix - Richards screw
7K1D01B	Prim open reduct # neck femur & op fix - Ross Brown nail
7K1D01D	Prim op red # nck femur & op fix- Zickel intramed nail plate
7K1D01E	DHS - Dynamic hip screw primary fixation of neck of femur
7K1D01F	Dynamic hip screw primary fixation of neck of femur
7K1D100	Prim open reduct fract long bone & fixation rigid
7K1D400	Prim open reduction fragment of bone & fixation using
7K1D511	K wiring of fracture
7K1D600	Prmy open red+int fxn prox femoral #+screw/nail device alone
7K1D700	Prmy open red+int fxn prox fem #+screw/nail+intramed device
7K1D800	Prmy open reduction #+locked reamed intramedullary nail fxtn
7K1DE00	Prim op red frac neck fem op fix us prox fem nail antirotatn
7K1Dy00	Prim open reduction fracture bone & intramedullary fixatn OS
7K1Dz00	Prim open reduction fracture bone & intramedull fixation NOS
7K1E000	Prmy open reduction of #+internal fixation with plate NEC
7K1E800	Prmy open reduction of #+internal fixation with screw(s)
7K1Ez00	Prim open reduction fracture bone & extramedull fixation NOS
7K1F.00	Primary open reduction of intraarticular fracture of bone
7K1F300	Primary intraarticular fixation intraartic fracture bone NEC
7K1F400	Prim extraarticular reduction intraartic fracture bone NEC
7K1F500	Primary open reduction fracture patella fixat tension band
7K1Fy00	Primary open reduction of intraarticular fracture bone OS
7K1Fz00	Primary open reduction of intraarticular fracture bone NOS
7K1G.00	Other primary open reduction of fracture of bone
7K1G000	Prmy open reduction of fracture and skeletal traction
7K1G100	Prmy open reduction of fracture and external fixation
7K1G200	Primary open reduction+external fixation of femoral fracture
7K1G300	Primary open reduction of fracture alone
7K1G400	Primary open reduction of fracture and cast immobilisation
7K1G500	Primary open reduction of fracture and functional bracing
7K1G600	Primary open reduction of fracture and skin traction
7K1Gy11	Primary open reduction of bone fracture & external fixation
7K1Gz00	Other primary open reduction of fracture of bone NOS
7K1H.00	Secondary open reduction of fracture of bone
7K1H.11	Revision to open reduction of fracture of bone
7K1H200	Secondary open reduction of intraarticular fracture of bone
7K1H400	Secondary open reduct fracture bone & external fixation HFQ
7K1H900	Revision to open reduction of fracture alone
7K1HD00	Revision to open reduction of fracture and skeletal traction
7K1HE00	Revision to open reduction of fracture and external fixation
7K1Hy00	Other specified secondary open reduction of fracture of bone
7K1Hz00	Secondary open reduction of fracture of bone NOS
7K1J.00	Closed (or no) reduction of fracture and internal fixation
7K1J000	Cls red+int fxn proximal femoral #+screw/nail device alone
7K1J011	Cl red intracaps frac neck femur fix-Garden cannulated screw
7K1J012	Cl red intracaps fract neck femur fix - Smith-Petersen nail
7K1J013	Cls red+int fxn prox femoral #+Richard's cannulat hip screw
7K1J300	Closed reduction fracture small bone & fixation using screw
7K1J500	Primary int fxn(no red) prox fem #+screw/nail device alone
7K1J600	Primary int fxn(no red) prox fem #+scrw/nail+intramed device
7K1J700	Primary int fxn(no red) prox fem #+screw/nail+plate device
7K1JB00	Primary cls red+int fxn prox fem #+screw/nail device alone
7K1JC00	Prim cls rd+int fxn prox fem #+screw/nail+intramdulry device
7K1Jd00	Closed reduction of intracapsular # NOF internal fixat DHS
7K1JD00	Primary cls red+int fxn prox fem #+screw/nail+plate device
7K1JH00	Primary wire fixation of fracture
7K1JJ00	Revision to wire fixation of fracture
7K1JK00	Primary closed reduction of fracture and wire fixation
7K1JL00	Revision to closed reduction of fracture and wire fixation
7K1Jy00	Closed reduction of bone fracture and internal fixation OS
7K1Jz00	Closed reduction of bone fracture and internal fixation NOS
7K1K.00	Closed (or no) reduction of fracture and external fixation
7K1K000	Closed reduction fracture bone and fixation to skeleton HFQ
7K1K200	Remanipulation of fracture of bone and external fixation HFQ
7K1K300	Primary external fixation(without reduction) prox femoral #
7K1K500	Primary cls reduction+external fixation proximal femoral #
7K1K700	Primary functional bracing of fracture
7K1K800	Primary external fixation of fracture
7K1K900	Other primary external immobilisation of fracture
7K1KA00	Revision to functional bracing of fracture
7K1KB00	Revision to external fixation of fracture
7K1KC00	Other revision to external immobilisation of fracture
7K1KE00	Primary closed reduction of fracture and external fixation
7K1Ky00	Closed reduction of bone fracture and external fixation OS
7K1Kz00	Closed reduction of bone fracture and external fixation NOS
7K1L.00	Other closed reduction of fracture of bone
7K1L011	Manipulation of fracture and skeletal traction NEC
7K1L100	Manipulation of fracture of bone NEC
7K1L211	Remanipulation of fracture and skeletal traction NEC
7K1L300	Remanipulation of fracture of bone NEC
7K1L400	Closed reduction of fracture of hip
7K1L500	Closed reduction of fracture of femur
7K1L600	Closed reduction of fracture of knee
7K1L700	Closed reduction of fracture of tibia and or fibula
7K1L800	Closed reduction of fracture of ankle
7K1L900	Closed reduction of fracture of metatarsus
7K1La00	Revision to skin traction of fracture
7K1LA00	Closed reduction of fracture of toe
7K1Lb00	Primary cast immobilisation of fracture
7K1LB00	Closed reduction of fracture of hallux
7K1Lc00	Revision to cast immobilisation of fracture
7K1LC00	Closed reduction of fracture of lower limb
7K1Ld00	Primary arthroscopic reduction of fracture
7K1LD00	Closed reduction of fracture of nasal bone
7K1Le00	Primary arthroscopic reduction and fixation of fracture
7K1LE00	Closed reduction of fracture of elbow
7K1Lf00	Revision to arthroscopic reduction of fracture
7K1LF00	Closed reduction of fracture of humerus
7K1Lg00	Revision to arthroscopic reduction and fixation of fracture
7K1LG00	Closed reduction of fracture of shoulder
7K1LH00	Closed reduction of fracture of finger
7K1LJ00	Closed reduction of fracture of thumb
7K1LK00	Closed reduction of fracture of metacarpus
7K1LL00	Closed reduction of fracture of radius and or ulna
7K1LM00	Closed reduction of fracture of wrist
7K1LN00	Closed reduction of fracture of upper limb
7K1LT00	Primary closed reduction of fracture and cast immobilisation
7K1LV00	Primary closed reduction of fracture alone
7K1LW00	Primary closed reduction of fracture and skin traction
7K1LX00	Revision to closed reduction of fracture alone
7K1Ly00	Other specified other closed reduction of fracture of bone
7K1Lz00	Other closed reduction of fracture of bone NOS
7K1LZ00	Primary skin traction of fracture
7K1N900	Primary skeletal traction of fracture
7K1T100	Debridement of open fracture
7K1Y.00	Second closed reduction fracture bone and internal fixation
7K1Y100	Remanip fracture long bone and rigid internal fixation NEC
7K1Yy00	OS second closed reduct fracture bone and internal fixation
7K6F200	Primary open reduction of fracture dislocation of joint NEC
7K6FE00	Primary open reduction of fracture dislocation alone
7K6GN00	Closed reduction fracture disloc joint & internal fixation
7K6GX00	Primary closed reduction of fracture dislocation alone
7K6H200	Secondary open reduction fracture dislocation of joint NEC
7K6H400	Revision to closed reduction of fracture dislocation alone
7K6H411	Remanipulation of fracture dislocation alone
7K6H700	Secondary open reduction fracture disloc joint & fixation
7K6Hh00	Sec open red fracture dislocat joint and intern fixation NEC
7K6HX00	Revision to open reduction fracture dislocation alone
82...11	Closed reduction of fracture
N1y1.00	Fatigue fracture of vertebra
N1y2.00	Pars interarticularis stress fracture
N331.00	Pathological fracture
N331000	Pathological fracture of thoracic vertebra
N331011	Collapse of thoracic vertebra
N331100	Pathological fracture of lumbar vertebra
N331.11	Collapse of spine NOS
N331111	Collapse of lumbar vertebra
N331.12	Collapse of vertebra NOS
N331.13	Sponanteous fracture
N331.14	Osteoporotic vertebral collapse
N331200	Postoophorectomy osteoporosis with pathological fracture
N331300	Osteoporosis of disuse with pathological fracture
N331400	Postsurgical malabsorption osteoporosis with path fracture
N331500	Drug-induced osteoporosis with pathological fracture
N331600	Idiopathic osteoporosis with pathological fracture
N331700	Fracture of bone in neoplastic disease
N331800	Osteoporosis + pathological fracture lumbar vertebrae
N331900	Osteoporosis + pathological fracture thoracic vertebrae
N331A00	Osteoporosis + pathological fracture cervical vertebrae
N331B00	Postmenopausal osteoporosis with pathological fracture
N331C00	Pathological fracture of cervical vertebra
N331D00	Collapsed vertebra NOS
N331E00	Collapse of cervical vertebra
N331F00	Collapse of thoracic vertebra
N331G00	Collapse of lumbar vertebra
N331H00	Collapse of cervical vertebra due to osteoporosis
N331J00	Collapse of lumbar vertebra due to osteoporosis
N331K00	Collapse of thoracic vertebra due to osteoporosis
N331L00	Collapse of vertebra due to osteoporosis NOS
N331M00	Fragility fracture due to unspecified osteoporosis
N331M11	Minimal trauma fracture due to unspecified osteoporosis
N331N00	Fragility fracture
N331N11	Minimal trauma fracture
N331y00	Other specified pathological fracture
N331z00	Pathological fracture NOS
N338.00	Malunion and nonunion of fracture
N338000	Malunion of fracture
N338100	Pseudoarthrosis - fracture nonunion
N338111	Nonunion of fracture
N338200	Hypertrophic non-union of fracture
N338300	Atrophic non-union of fracture
N338400	Angular mal-union of fracture
N338500	Rotational mal-union of fracture
N338600	Delayed union of fracture
Nyu6700	[X]Collapsed vertebra in diseases classified elsewhere
NyuB000	[X]Other osteoporosis with pathological fracture
NyuB800	[X]Unspecified osteoporosis with pathological fracture
S0...00	Fracture of skull
S000.00	Closed fracture vault of skull without intracranial injury
S001.00	Closed fracture vault of skull with intracranial injury
S00..11	Frontal bone fracture
S00..12	Parietal bone fracture
S002.00	Open fracture vault of skull without intracranial injury
S003.00	Open fracture vault of skull with intracranial injury
S01..00	Fracture of base of skull
S010.00	Closed fracture base of skull without intracranial injury
S011.00	Closed fracture base of skull with intracranial injury
S01..11	Anterior fossa fracture
S01..12	Ethmoid sinus fracture
S01..13	Frontal sinus fracture
S01..14	Middle fossa fracture
S01..15	Occiput bone fracture
S01..16	Orbital roof fracture
S01..17	Posterior fossa fracture
S01..18	Sphenoid bone fracture
S01..19	Temporal bone fracture
S012.00	Open fracture base skull without mention intracranial injury
S013.00	Open fracture base of skull with intracranial injury
S01z.00	Fracture of base of skull NOS
S02..00	Fracture of face bones
S020.00	Closed fracture nose
S020.11	Closed fracture nasal bone
S021.00	Open fracture nose
S021.11	Open fracture nasal bone
S022.00	Fracture of mandible; closed
S022000	Closed fracture mandible (site unspecified)
S022100	Closed fracture of mandible; condylar process
S022.12	Fracture of lower jaw; closed
S022200	Closed fracture of mandible; subcondylar
S022300	Closed fracture of mandible; coronoid process
S022400	Closed fracture of mandible; ramus; unspecified
S022500	Closed fracture of mandible; angle of jaw
S022600	Closed fracture of mandible; symphysis of body
S022700	Closed fracture of mandible; alveolar border of body
S022800	Closed fracture of mandible; body; other and unspecified
S022x00	Closed fracture of mandible; multiple sites
S022z00	Fracture of mandible; closed; NOS
S023000	Open fracture mandible (site unspecified)
S023100	Open fracture of mandible; condylar process
S023200	Open fracture of mandible; subcondylar
S023400	Open fracture of mandible; ramus; unspecified
S023500	Open fracture of mandible; angle of jaw
S023600	Open fracture of mandible; symphysis of body
S023700	Open fracture of mandible; alveolar border of body
S023800	Open fracture of mandible; body; other and unspecified
S023x00	Open fracture of mandible; multiple sites
S024.00	Fracture of malar or maxillary bones; closed
S024000	Closed fracture maxilla
S024100	Closed fracture zygoma
S025000	Open fracture maxilla
S025100	Open fracture zygoma
S026.00	Closed orbital blow-out fracture
S027.00	Open orbital blow-out fracture
S028000	Fracture of nasal bones
S028100	Fracture of orbital floor
S028300	Fracture of mandible
S02A.00	Le Fort I fracture maxilla
S02B.00	Le Fort II fracture maxilla
S02C.00	Le Fort III fracture maxilla
S02x.00	Closed fracture other facial bone
S02x000	Fracture of alveolus; closed
S02x100	Fracture of orbit NOS; closed
S02y.00	Open fracture other facial bone
S02z.11	Jaw fracture NOS
S03..00	Other and unqualified skull fractures
S030.00	Closed fracture of skull NOS without intracranial injury
S031.00	Closed fracture of skull NOS with intracranial injury
S033.00	Open fracture of skull NOS with intracranial injury
S03z.00	Skull fracture NOS
S03z.11	Depressed skull fracture NOS
S04..00	Multiple fractures involving skull or face with other bones
S04..11	Multiple face fractures
S04..12	Multiple skull fractures
S044.00	Multiple fractures involving skull and facial bones
S04z.00	Multiple fractures involving skull/face with other bones NOS
S1...00	Fracture of neck and trunk
S10..00	Fracture of spine without mention of spinal cord injury
S100.00	Closed fracture of cervical spine
S100000	Closed fracture of unspecified cervical vertebra
S100100	Closed fracture atlas
S100111	C1 vertebra closed fracture - no spinal cord lesion
S100200	Closed fracture axis
S100211	C2 vertebra closed fracture without spinal cord lesion
S100300	Closed fracture of third cervical vertebra
S100311	C3 vertebra closed fracture without spinal cord lesion
S100400	Closed fracture of fourth cervical vertebra
S100411	C4 vertebra closed fracture without spinal cord lesion
S100500	Closed fracture of fifth cervical vertebra
S100511	C5 vertebra closed fracture without spinal cord lesion
S100600	Closed fracture of sixth cervical vertebra
S100611	C6 vertebra closed fracture without spinal cord lesion
S100700	Closed fracture of seventh cervical vertebra
S100711	C7 vertebra closed fracture without spinal cord lesion
S100800	Closed fracture atlas; isolated arch or articular process
S100900	Closed fracture atlas; comminuted
S100A00	Closed fracture axis; odontoid process
S100B00	Closed fracture axis; spondylolysis
S100C00	Closed fracture axis; spinous process
S100D00	Closed fracture axis; transverse process
S100E00	Closed fracture axis; posterior arch
S100G00	Closed fracture cervical vertebra; burst
S100H00	Closed fracture cervical vertebra; wedge
S100J00	Closed fracture cervical vertebra; spondylolysis
S100K00	Closed fracture cervical vertebra; spinous process
S100L00	Closed fracture cervical vertebra; transverse process
S100M00	Closed fracture cervical vertebra; posterior arch
S100x00	Multiple closed fractures of cervical vertebrae
S100z00	Closed fracture of cervical spine not otherwise specified
S101.00	Open fracture of cervical spine
S101000	Open fracture of unspecified cervical vertebra
S10..11	Fracture of transverse process spine - no spinal cord lesion
S101100	Open fracture atlas
S101111	C1 vertebra open fracture without spinal cord lesion
S10..12	Fracture of vertebra without spinal cord lesion vert
S101200	Open fracture axis
S101211	C2 vertebra open fracture without spinal cord lesion
S101311	C3 vertebra open fracture without spinal cord lesion
S101500	Open fracture of fifth cervical vertebra
S101511	C5 vertebra open fracture without spinal cord lesion
S101600	Open fracture of sixth cervical vertebra
S101611	C6 vertebra open fracture without spinal cord lesion
S101711	C7 vertebra open fracture without spinal cord lesion
S101900	Open fracture atlas; comminuted
S101A00	Open fracture axis; odontoid process
S101x00	Multiple open fractures of cervical vertebrae
S102.00	Closed fracture thoracic vertebra
S102000	Closed fracture thoracic vertebra; burst
S102100	Closed fracture thoracic vertebra; wedge
S102200	Closed fracture thoracic vertebra; spondylolysis
S102300	Closed fracture thoracic vertebra; spinous process
S102400	Closed fracture thoracic vertebra; transverse process
S102500	Closed fracture thoracic vertebra; posterior arch
S102y00	Other specified closed fracture thoracic vertebra
S102z00	Closed fracture thoracic vertebra not otherwise specified
S103.00	Open fracture thoracic vertebra
S103100	Open fracture thoracic vertebra; wedge
S103500	Open fracture thoracic vertebra; posterior arch
S104.00	Closed fracture lumbar vertebra
S104000	Closed fracture lumbar vertebra; burst
S104100	Closed fracture lumbar vertebra; wedge
S104200	Closed fracture lumbar vertebra; spondylolysis
S104300	Closed fracture lumbar vertebra; spinous process
S104400	Closed fracture lumbar vertebra; transverse process
S104500	Closed fracture lumbar vertebra; posterior arch
S104600	Closed fracture lumbar vertebra; tricolumnar
S105.00	Open fracture lumbar vertebra
S105000	Open fracture lumbar vertebra; burst
S105100	Open fracture lumbar vertebra; wedge
S105400	Open fracture lumbar vertebra; transverse process
S106.00	Closed fracture sacrum
S106000	Closed compression fracture sacrum
S106100	Closed vertical fracture of sacrum
S107.00	Open fracture sacrum
S107000	Open compression fracture sacrum
S107100	Open vertical fracture of sacrum
S108.00	Closed fracture pelvis; coccyx
S109.00	Open fracture pelvis; coccyx
S10A.00	Fracture of neck
S10A000	Fracture of first cervical vertebra
S10A100	Fracture of second cervical vertebra
S10A200	Multiple fractures of cervical spine
S10B.00	Fracture of lumbar spine and pelvis
S10B000	Fracture of lumbar vertebra
S10B200	Fracture of coccyx
S10B400	Fracture of acetabulum
S10B500	Fracture of pubis
S10B600	Multiple fractures of lumbar spine and pelvis
S10x.00	Closed fracture of spine; unspecified;
S10y.00	Open fracture of spine; unspecified;
S10z.00	Fracture of spine without mention of spinal cord lesion NOS
S11..00	Fracture of spine with spinal cord lesion
S110.00	Closed fracture of cervical spine with cord lesion
S110000	Cls spinal fracture with unspec cervical cord lesion; C1-4
S110100	Cls spinal fracture with complete cervcl cord lesion; C1-4
S110600	Cls spinal fracture with unspec cervical cord lesion; C5-7
S110700	Cls spinal fracture with complete cervcl cord lesion; C5-7
S110800	Cls spinal fracture with anterior cervcl cord lesion; C5-7
S110z00	Closed fracture of cervical spine with cord lesion NOS
S111.00	Open fracture of cervical spine with spinal cord lesion
S11..12	Fracture of vertebra with spinal cord lesion
S112.00	Closed fracture of thoracic spine with spinal cord lesion
S112000	Cls spinal fracture with unspec thoracic cord lesion;T1-6
S112100	Cls spinal fracture wth complete thoracic cord lesion;T1-6
S112600	Cls spinal fracture with unspec thoracic cord lesion; T7-12
S112700	Cls spinal fracture with complete thorac cord lesion; T7-12
S112A00	Cls spinal fracture with posterior thorac cord lesion; T7-12
S112z00	Closed fracture of thoracic spine with cord lesion NOS
S113.00	Open fracture of thoracic spine with spinal cord lesion
S113000	Opn spinal fracture with unspec thoracic cord lesion; T1-6
S113A00	Opn spinal fracture with posterior thorac cord lesion; T7-12
S114.00	Closed fracture of lumbar spine with spinal cord lesion
S114000	Closed spinal fracture with unspecified lumbar cord lesion
S114100	Closed spinal fracture with complete lumbar cord lesion
S114500	Closed spinal fracture with cauda equina lesion
S115.00	Open fracture of lumbar spine with spinal cord lesion
S116.00	Closed fracture of sacrum with spinal cord lesion
S116z00	Closed fracture of sacrum with spinal cord lesion NOS
S117.00	Open fracture of sacrum with spinal cord lesion
S117300	Open fracture of sacrum with other spinal cord injury
S118.00	Closed fracture of coccyx with spinal cord lesion
S118z00	Closed fracture of coccyx with spinal cord lesion NOS
S11x.00	Closed fracture of spine with spinal cord lesion unspecified
S11z.00	Fracture of spine with spinal cord lesion NOS
S120.00	Closed fracture rib
S120000	Closed fracture of rib; unspecified
S120100	Closed fracture of one rib
S120200	Closed fracture of two ribs
S120300	Closed fracture of three ribs
S120400	Closed fracture of four ribs
S120500	Closed fracture of five ribs
S120600	Closed fracture of six ribs
S120700	Closed fracture of seven ribs
S120800	Closed fracture of eight or more ribs
S120900	Closed fracture multiple ribs
S120A00	Cough fracture
S120z00	Closed fracture of rib(s) NOS
S121.00	Open fracture rib
S121000	Open fracture of rib; unspecified
S121200	Open fracture of two ribs
S121700	Open fracture of seven ribs
S121900	Open fracture multiple ribs
S121z00	Open fracture of rib(s) NOS
S122.00	Closed fracture sternum
S123.00	Open fracture sternum
S125100	Closed fracture of hyoid bone
S126100	Open fracture of hyoid bone
S127.00	Fracture of rib
S127000	Multiple fractures of ribs
S127100	Cough fracture of ribs
S128.00	Fracture of sternum
S12X000	Closed fracture of bony thorax part unspecified
S12y000	Closed fracture of other parts of bony thorax
S12z.11	Rib fracture NOS
S12z.12	Sternum fracture NOS
S13..00	Fracture or disruption of pelvis
S130.00	Closed fracture acetabulum
S130000	Closed fracture acetabulum; anterior lip alone
S130100	Closed fracture acetabulum; posterior lip alone
S130200	Closed fracture acetabulum; anterior column
S130300	Closed fracture acetabulum; posterior column
S130400	Closed fracture acetabulum; floor
S130600	Closed fracture acetabulum; double column unspecified
S130y00	Other specified closed fracture acetabulum
S130z00	Closed fracture acetabulum NOS
S131.00	Open fracture acetabulum
S131y00	Other specified open fracture acetabulum
S131z00	Open fracture acetabulum NOS
S132.00	Closed fracture pubis
S132000	Closed fracture pelvis; single pubic ramus
S132100	Closed fracture pelvis; multiple pubic rami - stable
S132200	Closed fracture pelvis; multiple pubic rami - unstable
S132y00	Other specified closed fracture pubis
S132z00	Closed fracture pubis NOS
S133.00	Open fracture of pubis
S133000	Open fracture pelvis; single pubic ramus
S133100	Open fracture pelvis; multiple pubic rami - stable
S133200	Open fracture pelvis; multiple pubic rami - unstable
S133y00	Other specified open fracture of pubis
S133z00	Open fracture of pubis NOS
S134.00	Other or multiple closed fracture of pelvis
S134000	Closed fracture of ilium; unspecified
S134100	Closed fracture pelvis; ischium
S134300	Closed fracture pelvis; ischial tuberosity
S134400	Closed fracture pelvis; anterior superior iliac spine
S134500	Closed fracture pelvis; anterior inferior iliac spine
S134600	Closed fracture pelvis; iliac wing
S134700	Closed vertical fracture of ilium
S134800	Closed fracture dislocation of sacro-iliac joint
S134z00	Other or multiple closed fracture of pelvis NOS
S135.00	Other or multiple open fracture of pelvis
S135000	Open fracture of ilium; unspecified
S135100	Open fracture pelvis; ischium
S135300	Open fracture pelvis; ischial tuberosity
S135400	Open fracture pelvis; anterior superior iliac spine
S135600	Open fracture pelvis; iliac wing
S135800	Open fracture dislocation of sacro-iliac joint
S135y00	Other open fracture of pelvis
S135z00	Other/multiple open fracture of pelvis NOS
S13y.00	Closed fracture of pelvis NOS
S13z.00	Open fracture of pelvis NOS
S140.00	Closed fracture of ill-defined bone of trunk
S15..00	Fracture of thoracic vertebra
S150.00	Multiple fractures of thoracic spine
S150000	Closed multiple fractures of thoracic spine
S150100	Open multiple fracture of thoracic spine
S2...00	Fracture of upper limb
S20..00	Fracture of clavicle
S200.00	Closed fracture of clavicle
S200000	Closed fracture of clavicle; unspecified part
S200100	Closed fracture clavicle; medial end
S200200	Closed fracture clavicle; shaft
S200300	Closed fracture clavicle; lateral end
S200z00	Closed fracture of clavicle NOS
S201.00	Open fracture of clavicle
S201000	Open fracture of clavicle; unspecified part
S20..11	Collar bone fracture
S201100	Open fracture clavicle; medial end
S201200	Open fracture clavicle; shaft
S201300	Open fracture clavicle; lateral end
S201z00	Open fracture of clavicle NOS
S21..00	Fracture of scapula
S210.00	Closed fracture of scapula
S210000	Closed fracture of scapula; unspecified part
S210100	Closed fracture scapula; acromion
S210200	Closed fracture scapula; coracoid
S210300	Closed fracture scapula; glenoid
S210400	Closed fracture scapula; blade
S210500	Closed fracture scapula; spine
S210600	Closed fracture scapula; neck
S210z00	Closed fracture of scapula NOS
S2...11	Arm fracture
S211.00	Open fracture of scapula
S211000	Open fracture of scapula; unspecified part
S21..11	Shoulder blade fracture
S211100	Open fracture scapula; acromion
S211200	Open fracture scapula; coracoid
S211300	Open fracture scapula; glenoid
S211400	Open fracture scapula; blade
S211600	Open fracture scapula; neck
S211z00	Open fracture of scapula NOS
S22..00	Fracture of humerus
S220.00	Closed fracture of the proximal humerus
S220000	Closed fracture of proximal humerus; unspecified part
S220100	Closed fracture proximal humerus; neck
S220200	Closed fracture of proximal humerus; anatomical neck
S220300	Closed fracture proximal humerus; greater tuberosity
S220400	Closed fracture proximal humerus; head
S220500	Closed fracture of humerus; upper epiphysis
S220600	Closed fracture proximal humerus; three part
S220700	Closed fracture proximal humerus; four part
S220z00	Closed fracture of proximal humerus not otherwise specified
S221.00	Open fracture of the proximal humerus
S221000	Open fracture of proximal humerus; unspecified part
S221100	Open fracture proximal humerus; neck
S221.11	Shoulder fracture - open
S221200	Open fracture of proximal humerus; anatomical neck
S221300	Open fracture proximal humerus; greater tuberosity
S221400	Open fracture proximal humerus; head
S221500	Open fracture of humerus; upper epiphysis
S221600	Open fracture proximal humerus; three part
S221700	Open fracture proximal humerus; four part
S221z00	Open fracture of proximal humerus not otherwise specified
S222.00	Closed fracture of humerus; shaft or unspecified part
S222000	Closed fracture of humerus NOS
S222100	Closed fracture of humerus; shaft
S222z00	Closed fracture of humerus; shaft or unspecified part NOS
S223.00	Open fracture of humerus; shaft or unspecified part
S223000	Open fracture of humerus NOS
S223100	Open fracture of humerus; shaft
S223z00	Open fracture of humerus; shaft or unspecified part NOS
S224.00	Closed fracture of the distal humerus
S224000	Closed fracture of elbow; unspecified part
S224100	Closed fracture distal humerus; supracondylar
S224.11	Elbow fracture - closed
S224200	Closed fracture distal humerus; lateral condyle
S224300	Closed fracture distal humerus; medial condyle
