^ESCT1177960	Tertiary hypothyroidism
^ESCTOB782663	Obesity, colitis, hypothyroidism, cardiac hypertrophy, developmental delay syndrome
^ESCTPE364409	Pendred syndrome
^ESCTPE776897	Peripheral resistance to thyroid hormone
^ESCTPI384369	Pituitary hypothyroidism
^ESCTPI621228	Pituitary thyroid hormone resistance
^ESCTPO293332	Postoperative hypothyroidism
^ESCTPO293334	Postsurgical hypothyroidism
^ESCTPO510849	Post-infectious hypothyroidism
^ESCTPR419734	Primary hypothyroidism
^ESCTRA315265	Radioactive iodine-induced hypothyroidism
^ESCTRE510886	Resistance to thyrotropin
^ESCTRE510887	Resistance to thyroid stimulating hormone
^ESCTRE786931	Resistance to thyrotropin-releasing hormone syndrome
^ESCTSE384367	Secondary hypothyroidism
^ESCTSE386630	Severe hypothyroidism
^ESCTSP387890	Sporadic cretinism
^ESCTTH287565	Thyroid hormone coupling defect
^ESCTTH331574	Thyroid hormone responsiveness defect
^ESCTTH331575	Thyroid hormone unresponsiveness
^ESCTTH335490	Thyroid hormone organification defect II A
^ESCTTH352641	Thyroglobulin synthesis defect
^ESCTTH364404	Thyroid hormone organification defect II B
^ESCTTH510884	Thyroid hormone resistance syndrome
^ESCTTH510885	Thyroid hormone resistance
^ESCTTH773694	Thyroid hemiagenesis
^ESCTTR254547	Transient hypothyroidism
^ESCTTR279546	Transient decreased production of T>4<
^ESCTTR318132	Transient decreased production of T>3<
^ESCTTR558813	Transient hypothyrotropinaemia
^ESCTTR558814	Transient hypothyrotropinemia
^ESCTTR786932	TRH (thyrotropin-releasing hormone) resistance syndrome
^ESCTTS384368	TSH - Thyroid stimulating hormone deficiency
^ESCTTS510888	TSH resistance
^ESCTUN331578	Unresponsiveness of thyroid gland to thyrotropin
EMISNQSE16	Secondary hypothyroidism
^ESCTEU510870	Euthyroid hypothyroxinaemia
^ESCTEU510871	Euthyroid hypothyroxinemia
^ESCTTR558811	Transient hypothyroxinaemia
^ESCTTR558812	Transient hypothyroxinemia
^ESCT1349322	Genetic transient congenital hypothyroidism
^ESCT1352912	Transient neonatal hypothyroidism due to neonatal iodine exposure
^ESCT1362794	Congenital hypothyroidism due to maternal intake of antithyroid drug
^ESCT1368622	Hypothyroidism caused by amiodarone
^ESCTAP401284	Aplasia of thyroid with myxedema
^ESCTAP401286	Aplasia of thyroid with myxoedema
^ESCTCO401285	Congenital thyroid aplasia
^ESCTHY629831	Hypoplasia of thyroid
^ESCTHY803732	Hypothyroxinaemia of prematurity
^ESCTHY803733	Hypothyroxinemia of prematurity
^ESCTTR558717	Transient neonatal hypothyroidism
