1475	h/o: trigeminal neuralgia
Fyu6D00	[x]other mononeuropathies in diseases classified elsewhere
Fyu7.00	[x]polyneuropathies & other disord of peripheral nerv syst
Fyu7000	[x]other hereditary and idiopathic neuropathies
Fyu7200	[x]other specified polyneuropathies
Fyu7500	[x]polyneuropathy/other endocrine+metabolic diseases ce
Fyu7800	[x]polyneuropathy/other musculoskeletal disorders ce
FyuAC00	[x]autonomic neuropathy/endocrine+metabolic diseases ce
M271100	neuropathic diabetic ulcer - foot
M271700	neuropathic foot ulcer
M2y1500	painful operation scar
N035.00	neuropathic arthropathy
N035.12	neuropathic arthritis
N119.00	cervical spondylosis with radiculopathy
N119000	single-level cervical spondylosis with radiculopathy
N119100	two-level cervical spondylosis with radiculopathy
N119200	multiple-level cervical spondylosis with radiculopathy
N11B.00	thoracic spondylosis with radiculopathy
N11B000	single-level thoracic spondylosis with radiculopathy
N11B100	two-level thoracic spondylosis with radiculopathy
N11B200	multiple-level thoracic spondylosis with radiculopathy
N11C.00	lumbosacral spondylosis with radiculopathy
N11C000	single-level lumbosacral spondylosis with radiculopathy
N11C100	two-level lumbosacral spondylosis with radiculopathy
N11C200	multiple-level lumbosacral spondylosis with radiculopathy
N11y200	neuropathic spondylopathy
N12C.00	disc prolapse with radiculopathy
N12C000	cervical disc prolapse with radiculopathy
N12C100	thoracic disc prolapse with radiculopathy
N12C200	lumbar disc prolapse with radiculopathy
N12C400	prolapsed lumbar intervertebral disc with sciatica
N12zH00	cervical disc disorder with radiculopathy
N142000	lumbago with sciatica
N143.00	sciatica
N143.11	acute back pain with sciatica
N242.00	neuralgia; neuritis and radiculitis unspecified
N242000	neuralgia unspecified
N242300	neuropathic pain
N242z00	neuralgia; neuritis or radiculitis nos
N337111	reflex sympathetic dystrophy
N337.12	reflex sympathetic dystrophy
N33C.00	complex regional pain syndrome type i
Nyu6300	[x]other spondylosis with radiculopathy
SD72200	neuropathic foot blister
SP07300	internal prosthetic device causing pain
SP07A00	pain due to hip joint prosthesis
SP07B00	pain due to knee joint prosthesis
SP07C00	pain due to shoulder joint prosthesis
SyuKE11	[x] pain due to internal orthopaedic prosthesis
B7Fy1	Morton neuroma
F17..	Autonomic nervous system disorders
F2620	Cluster headache
F3...	Peripheral nervous system disorders
F344.	Causalgia
F34z.	Mononeuritis upper limb NOS
F35..	Mononeuritis lower limb
F3560	Morton's metatarsalgia
F35x.	Other mononeuritis lower limb
F35y.	Unspecified mononeuritis lower limb
F3600	Dejerine-Sottas disease
F361.	Peroneal muscular atrophy
F3610	Charcot-Marie-Tooth disease
F361z	Peroneal muscular atrophy NOS
F3y..	Other specified disorders of peripheral nervous system
F3z..	Peripheral nervous system disorder NOS
Fyu66	[X]Nerve root and plexus compressions in neoplastic disease classified elsewhere
Fyu68	[X]Nerve root and plexus compressions in other diseases classified elsewhere
Fyu74	[X]Polyneuropathy in neoplastic disease classified elsewhere
Fyu77	[X]Polyneuropathy in systemic connective tissue disorders classified elsewhere
Fyu79	[X]Polyneuropathy in other diseases classified elsewhere
Fyu7A	[X]Other disorders of the peripheral nervous system
Fyu7C	[X] Polyneuropathy, unspecified
FyuA0	[X]Other disorders of the autonomic nervous system
FyuAD	[X]Other disorders of the autonomic nervous system in other diseases classified elsewhere
KyuA0	[X]Other postprocedural disorders of the genitourinary system
N0301	Diabetic Charcot arthropathy
N11D.	Osteoarthritis of spine
N11D3	Osteoarthritis of spine NOS
N11y.	Other spondyloses and allied disorders
N11z.	Spondylosis NOS
N11zz	Spondylosis NOS
N2172	Metatarsalgia NOS
