1DC1.	Burning pain
N12zH	Cervical disc disorder with radiculopathy
N1420	Lumbago with sciatica
N2172	Metatarsalgia NOS
N242.	Neuralgia, neuritis and radiculitis unspecified
N2420	Neuralgia unspecified
N337.	Complex regional pain syndrome type I
Nyu62	[X]Other spondylosis with myelopathy
Nyu63	[X]Other spondylosis with radiculopathy
Nyu64	[X]Other spondylosis
Nyu74	[X]Lumbar and other intervertebral disc disorders with radiculopathy
SD722	Neuropathic foot blister
SP073	Internal prosthetic device causing pain
SyuK1	[X]Other complications following infusion, transfusion and therapeutic injection
SyuK2	[X]Other complications of procedures, not elsewhere classified
SyuK3	[X]Mechanical complication of other vascular grafts
SyuK4	([X] Mechanical complication of other cardiac and vascular devices and implants) or ([X] mechanical complication of vascular catheter)
SyuK5	([X]Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts) or ([X] vascular graft infection)
SyuK6	([X] Other complications of cardiac and vascular prosthetic devices, implants and grafts) or ([X] embolism from prosthetic heart valve)
SyuK7	[X]Unspecified complication of cardiac and vascular prosthetic device, implant and graft
SyuK8	[X]Mechanical complication of other urinary devices and implants
SyuK9	[X]Mechanical complication of other devices, implants and grafts of genital tract
SyuKA	[X]Other complications of genitourinary prosthetic devices, implants and grafts
SyuKD	[X]Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts
SyuKE	[X] Other complications of internal orthopaedic prosthetic devices, implants and grafts (& [prosthesis: [pain due to] or [fibrosis due to]] or [stiffness following joint replacement])
SyuKF	[X]Mechanical complication of other ocular prosthetic devices, implants and grafts
SyuKG	[X]Mechanical complication of other specified internal prosthetic devices, implants and grafts
SyuKH	[X]Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts
SyuKJ	[X]Other complications of internal prosthetic devices, implants and grafts, not elsewhere classified
SyuKL	[X]Complications of other reattached body part
SyuKN	[X]Other complications following immunization, not elsewhere classified
SyuKQ	[X]Other specified complications and adverse effects of surgical and medical care, not elsewhere classified
U633.	[X]Surgical operation with formation of external stoma as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
U640.	[X]Cardiac catheterisation as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
U644.	[X]Aspiration of fluid as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
U645.	[X]Insertion of gastric or duodenal sound as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
U647.	[X]Blood sampling as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
X00A8	Peripheral neuropathy - hereditary or idiopathic
X00A9	Hereditary motor and sensory neuropathy type I
X00AA	Hereditary motor and sensory neuropathy type II
X00Af	Neuropathy associated with endocrine disorder
X00Ag	Diabetic neuropathy
X00Al	Diabetic mononeuropathy
X00AZ	Neuropathies and neuromyelopathies associated with systemic disorder
X00B2	Critical illness polyneuropathy
X00B5	Diphtheritic neuropathy
X00BG	Toxic neuropathy
X40Pq	Familial amyloid polyneuropathy type III
X40YD	Neuropathic beriberi
X50Bj	Neuropathic foot ulcer
X702P	Charcot's arthropathy
X7039	Spondylosis
X707a	Metatarsalgia
X75rz	Acute back pain with sciatica
X75sa	Neuralgia
X75sv	Post-herpetic neuralgia
X75sy	Neuropathic pain
Xa0Ml	Central post-stroke pain
Xa0t5	Morton neuroma
Xa0y5	Complex regional pain syndrome
Xa0y8	Shortlasting, unilateral, neuralgiform pain with conjunctival injection and tearing syndrome
Xa3fB	Other peripheral neuropathy
Xa3fC	Other peripheral nerve disease
Xa8I0	Peripheral nerve disease
XaA1H	Mononeuropathy
XaB3q	Polyneuropathy unspecified
Xac0x	Diabetic peripheral neuropathic pain
XaC1M	Pain due to hip joint prosthesis
XaC1N	Pain due to knee joint prosthesis
XaC1O	Pain due to shoulder joint prosthesis
XaD2p	Prolapsed lumbar intervertebral disc with sciatica
XaEnp	Type II diabetes mellitus with mononeuropathy
XaEnq	Type II diabetes mellitus with polyneuropathy
XaFn9	Type II diabetes mellitus with neuropathic arthropathy
XaIrg	Ulnar neuropathy
XC0eJ	Neuropathy
XE15i	Mononeuritis of unspecified site NOS
XE15j	Inflammatory and toxic neuropathy
XE15k	Diabetic polyneuropathy
XE15m	Toxic or inflammatory neuropathy NOS
XE15R	Autonomic nervous system disorder NOS
XE18P	Drug &/or toxic polyneuropathy
XE1Ey	Spondylosis NOS
XE1FC	Sciatica
XE1Fn	Neuralgia, neuritis or radiculitis NOS
XE1HO	(Spondylosis NOS) or (Kummell's disease/spondylitis)
XE1IY	(Neuralgia/neuritis - NOS) or (nerve root pain NEC)
XE1pI	[X]Mechanical complication of other cardiac and vascular devices and implants
XE1pJ	[X]Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts
XE1pK	[X]Other complications of cardiac and vascular prosthetic devices, implants and grafts
XE1pL	[X]Other complications of internal orthopaedic prosthetic devices, implants and grafts
XE1tn	Medical care complication
XE2sp	Neuropathic arthropathy
