2DC2.	O/E - granular pharyngitis
H27y0	Influenza with encephalopathy
H27y1	Influenza with gastrointestinal tract involvement
H27yz	Influenza with other manifestations NOS
H2y..	Other specified pneumonia or influenza
H2z..	Pneumonia or influenza NOS
H301.	Laryngotracheobronchitis
Hyu01	[X]Acute pharyngitis due to other specified organisms
Hyu02	[X]Acute tonsillitis due to other specified organisms
Hyu04	[X]Influenza with other respiratory manifestations, influenza virus identified
Hyu05	[X]Influenza with other manifestations, influenza virus identified
Hyu06	[X]Influenza with other respiratory manifestations, virus not identified
Hyu07	[X]Influenza with other manifestations, virus not identified
Hyu2.	[X]Other diseases of the upper respiratory tract
Hyu2A	[X]Other specified diseases of upper respiratory tract
X00kv	Acute rhinitis
X00kx	Acute irritant rhinitis
X00ky	Rhinitis sicca
X00kz	Rhinitis caseosa
X00l0	Rhinitis medicamentosa
X00lY	Tornwaldt's disease
X00mG	Pharyngitis
X00mH	Acute herpes simplex pharyngitis
X00mI	Acute herpes zoster pharyngitis
X00mJ	Enteroviral lymphonodular pharyngitis
X00mL	Glandular fever pharyngitis
X00mP	Chlamydial pharyngitis
X00ms	Acute peritonsillitis
X00mT	Chronic ulcerative pharyngitis
X00mu	Chronic adenoiditis
X00mU	Chronic pharyngeal candidiasis
X00n1	Acute simple laryngitis
X00n4	Acute membranous laryngitis
X00n5	Acute subglottic laryngitis
X00n7	Viral epiglottitis
X00n8	Paediatric acute epiglottitis and supraglottitis
X00n9	Adult acute epiglottitis and supraglottitis
X00nA	Chronic fungal laryngitis
X00nF	Relapsing polychondritis of larynx
X00nm	Laryngeal sarcoidosis
X00np	Wegener's granulomatosis of larynx
X1002	Acute upper respiratory infection
X1003	Viral upper respiratory tract infection NOS
X1004	Infection of lower respiratory tract
X20GM	Nasopharyngeal sarcoidosis
X70Ln	Lymphonodular coxsackie pharyngitis
XA03t	Post-radiotherapy laryngitis
Xa05b	Acute laryngitis and tracheitis
Xa0BK	Respiratory syncytial virus infection
Xa0BL	Congenital syphilitic rhinitis
Xa0lW	Acute laryngotracheobronchitis
Xa1sb	Viral upper respiratory tract infection
Xa2dV	Ozaena
Xa2o8	Infection of the upper respiratory tract
Xa7I0	Tonsillitis
Xa7tQ	Observation of discharge of nose
Xa86D	Acute viral laryngotracheitis
Xa97e	Adenoviral pharygoconjunctival fever
Xa9Bt	Acute epiglottitis and supraglottitis
Xa9Bu	Acute lingual tonsillitis
Xa9zW	Sore throat
Xaaum	Westley Croup Score
XaB8d	Cricoarytenoid joint arthritis
XaDcY	Viral ear infection
XaDuG	Infective pharyngitis
XaDuH	Infective laryngitis
XaDuI	Infective tonsillitis
XaeVK	Influenza due to zoonotic influenza virus
XaeVL	Influenza due to pandemic influenza virus
XaeVM	Influenza due to seasonal influenza virus
XaeVN	Influenza with pneumonia due to seasonal influenza virus
XaIBK	Influenza-like symptoms
XaMe7	Viral wheeze
XaMih	Avian influenza
XaNkV	Acute rhinosinusitis
XaPIL	Positive virology findings
XaPIN	Influenza H1 virus detected
XaPIO	Influenza H2 virus detected
XaPIP	Influenza H3 virus detected
XaPIQ	Influenza H5 virus detected
XaPIR	Influenza A virus, other or untyped strain detected
XaPIS	Influenza B virus detected
XaPOa	Respiratory syncytial virus A detected
XaPOb	Respiratory syncytial virus B detected
XaPOc	Respiratory syncytial virus untyped strain detected
XaPOk	Human parainfluenza virus detected
XaPOn	Other respiratory virus detected
XaQQp	Influenza due to Influenza A virus subtype H1N1
XaQSm	Suspected influenza A virus subtype H1N1 infection
XaQVc	Possible influenza A virus H1N1 subtype
XaQVd	Influenza A virus H1N1 subtype detected
XE0RY	Other specific viral infection
XE0S5	Vincent's angina NOS
XE0Tc	(Other coxsackie disease) or (herpangina)
XE0Xl	Common cold
XE0Xn	Acute pharyngitis
XE0Xo	Acute laryngotracheitis
XE0Xp	Acute epiglottitis (non-streptococcal)
XE0Xq	Upper respiratory infection NOS
XE0Xs	Chest infection NOS
XE0Xx	Chronic rhinitis
XE0Xy	Chronic catarrhal rhinitis
XE0Xz	Chronic pharyngitis
XE0Y3	Chronic tonsillitis
XE0YK	Influenza NOS
XE0Yl	Respiratory infection: [acute] or [upper]
XE0Yv	Acute respiratory infection: [NOS] or [pharyngotracheitis] or [tracheopharyngitis]
XE0Yx	Upper respiratory disease (& upper)
XE2aC	Acute tonsillitis
XM0rz	Influenza-like illness
XM0s0	Flu-like illness NOS
XM1OJ	Congenital syphilitic chronic coryza
XM1QM	Sore throat - chronic
XM1QS	Laryngotracheitis
XM1QT	Acute fibrinous laryngotracheobronchitis
X00l1	Eosinophilic non-allergic rhinitis
X00l2	Non-infective non-allergic rhinitis
