H05z.00	Upper respiratory infection NOS
H043100	Acute epiglottitis with obstruction
H043z00	Acute epiglottitis NOS
H120700	Chronic fibrinous rhinitis
H121300	Hypertrophic pharyngitis
H121400	Pharyngitis keratosa
H121500	Pharyngitis sicca
H143.00	Chronic adenotonsillitis
H14y500	Caseous tonsillitis
H14y600	Lingular tonsillitis
H161.00	Chronic laryngotracheitis
H18..00	Vasomotor rhinitis
H1y2100	Pharynx or nasopharynx cellulitis
H1y5100	Cellulitis of vocal cords
H1y5200	Granuloma of vocal cords
H1y5400	Singers' chorditis
H1y5500	Fibrinous chorditis
H1y5700	Chorditis vocalis inferior
H1y7100	Cellulitis of larynx
H1y7200	Perichondritis of larynx
H1yz.00	Other upper respiratory tract diseases NOS
H1yzz00	Other upper respiratory tract disease NOS
H1z..00	Upper respiratory tract disease NOS
H2...00	Pneumonia and influenza
H270.00	Influenza with pneumonia
H270000	Influenza with bronchopneumonia
H270100	Influenza with pneumonia, influenza virus identified
H270z00	Influenza with pneumonia NOS
H27y000	Influenza with encephalopathy
H2D..00	Influenza due to zoonotic influenza virus
H2E..00	Influenza due to pandemic influenza virus
H2F..00	Influenza due to seasonal influenza virus
H2F0.00	Influenza with pneumonia due to seasonal influenza virus
H2Fy.00	Influenza with other respiratory manifestation due to seasonal influenza virus
H2Fz.00	Influenza with other manifestations due to seasonal influenza virus
H2y..00	Other specified pneumonia or influenza
H2z..00	Pneumonia or influenza NOS
H301.00	Laryngotracheobronchitis
Hyu0200	[X]Acute tonsillitis due to other specified organisms
Hyu0400	[X]Influenza with other respiratory manifestations, influenza virus identified
