^ESCT1193099	Westley Croup Score
^ESCTUL309102	Ulcerative nasal mucositis
^ESCTUL310305	Ulcerative laryngitis
^ESCTUL313190	Ulcerative pharyngitis
^ESCTUP337838	Upper respiratory tract infection
^ESCTUP480667	Upper respiratory disease
^ESCTUP804535	Upper respiratory tract infection due to H1N1 influenza
^ESCTUP804536	Upper respiratory symptoms due to H1N1 influenza
^ESCTUP804537	Upper respiratory symptoms caused by H1N1 influenza
^ESCTUP804538	Upper respiratory tract infection caused by H1N1 influenza
^ESCTUP810602	Upper respiratory tract infection due to Influenza A
^ESCTUP810603	Upper respiratory symptoms due to Influenza A
^ESCTUP810604	Upper respiratory symptoms caused by Influenza A
^ESCTUP810605	Upper respiratory tract infection caused by Influenza A
^ESCTUP931653	Upper respiratory tract infection due to Influenza
^ESCTUP931654	Upper respiratory symptoms due to Influenza
^ESCTUP931655	Upper respiratory symptoms caused by Influenza
^ESCTUP931656	Upper respiratory tract infection caused by Influenza
^ESCTUR337837	URTI - Infection of the upper respiratory tract
^ESCTUR337839	URI - Upper respiratory infection
^ESCTUR565587	URTI - Viral upper respiratory tract infection
^ESCTVI252297	Viral pharyngitis
^ESCTVI332990	Viral tonsillitis
^ESCTVI474383	Vincent's angina - pharyngitis
^ESCTVI474384	Vincent angina - pharyngitis
^ESCTVI729831	Viral sinusitis
^ESCTVM263133	VMR - Vasomotor rhinitis
^ESCTWE503682	Wegener's granulomatosis of larynx
^ESCTWE503683	Wegener granulomatosis of larynx
^ESCTYA288428	Yaws gumma of nose
EGTONAC2	Acute tonsilitis/pharyngitis
EGTONPO1	Post influenzal debility
EMISNQBI5	Bilateral basal pneumonia
EMISNQBR25	Bronchopneumonia
EMISNQCO132	Community acquired pneumonia
EMISNQHO51	Hospital acquired pneumonia
EMISNQLE7	Left lower zone pneumia
EMISNQLI34	Lingular pneumonia
EMISNQLO10	Lobar pneumonia
EMISNQRI4	Right lower zone pneumonia
EMISNQRI5	Right middle zone pneumonia
EMISNQRI6	Right upper zone pneumonia
^ESCTCO668138	Congestive non-allergic rhinitis
^ESCTEO402075	Eosinophilic nonallergic rhinitis
^ESCTEO402076	Eosinophilic non-allergic rhinitis
^ESCTNA402077	NARES - Non-allergic rhinitis with eosinophilia
^ESCTNI503504	NINA - Non-infective non-allergic rhinitis
^ESCTNO402078	Non-allergic rhinitis with eosinophilia
^ESCTNO503503	Non-infective non-allergic rhinitis
^ESCTNO796525	Non-allergic rhinitis
