Xa5dk	Allergy to over-the-counter drug
Xa5yV	Haemostatic allergy
Xa5yc	Iron allergy
Xa5yp	Intravenous nutrition allergy
Xa5yx	L-Carnitine allergy
Xa5yy	Iodine compounds allergy
Xa5z2	Multiple electrolyte infusion allergy
Xa5z3	Enteral and supplement feeds allergy
Xa5z4	Oral rehydration salts allergy
Xa5z5	Vitamin products allergy
Xa5zQ	Ion exchange resin allergy
Xa5zV	Potassium allergy
Xa5zY	Electrolyte anion allergy
Xa5zZ	Zinc allergy
Xa5za	Fluoride allergy
Xa5zd	Lipid-lowering drug allergy
Xa5zw	Antiarrhythmic drug allergy
Xa60C	Diuretic allergy
Xa60r	Antihypertensive allergy
Xa61B	Cardiac inotropic agent allergy
Xa61L	Vasoconstrictor allergy
Xa61R	Vasodilator allergy
Xa620	Antivaricose agent allergy
Xa623	Medicinal enzyme allergy
XacIR	Aliskiren allergy
XacIS	Prasugrel allergy
XacIT	Ticagrelor allergy
Xa5dn	Non-opioid analgesic allergy
Xa5dr	Opioid analgesic allergy
Xa5eF	Acemetacin allergy
Xa5eG	Azapropazone allergy
Xa5eH	Diclofenac allergy
Xa5eI	Etodolac allergy
Xa5eJ	Felbinac allergy
Xa5eK	Fenbufen allergy
Xa5eL	Fenoprofen allergy
Xa5eM	Flurbiprofen allergy
Xa5eN	Ibuprofen allergy
Xa5eO	Indomethacin allergy
Xa5eP	Ketoprofen allergy
Xa5eQ	Ketorolac allergy
Xa5eR	Mefenamic acid allergy
Xa5eS	Nabumetone allergy
Xa5eT	Naproxen allergy
Xa5eU	Nefopam allergy
Xa5eV	Oxyphenbutazone allergy
Xa5eW	Phenylbutazone allergy
Xa5eX	Piroxicam allergy
Xa5eY	Sulindac allergy
Xa5eZ	Tenoxicam allergy
Xa5ea	Tiaprofenic acid allergy
Xa5eb	Tolmetin allergy
Xa5eg	X-ray contrast media allergy
Xa5eh	Magnetic resonance imaging contrast media allergy
Xa5em	Bismuth chelate allergy
Xa5en	Sucralfate allergy
Xa5eo	Liquorice allergy
Xa5ep	Misoprostol allergy
Xa5eq	H2 receptor antagonist allergy
Xa5ev	Proton pump inhibitor allergy
Xa5ey	Carbenoxolone allergy
Xa5ez	Pirenzepine allergy
Xa5f2	Mesalazine allergy
Xa5f3	Olsalazine allergy
Xa5f4	Sulphasalazine allergy
Xa5f6	Magnesium trisilicate allergy
Xa5f7	Aluminium hydroxide allergy
Xa5f9	Loperamide allergy
Xa5fA	Kaolin allergy
Xa5fC	Cisapride allergy
Xa5fE	Nabilone allergy
Xa5fF	Domperidone allergy
Xa5fG	Metoclopramide allergy
Xa5fH	5-HT3-receptor antagonist allergy
Xa5fJ	Bisacodyl allergy
Xa5fK	Danthron allergy
Xa5fL	Sodium picosulphate allergy
Xa5fM	Lactulose allergy
Xa5fN	Magnesium sulphate allergy
Xa5fO	Bulk-forming laxative allergy
Xa5fP	Anthraquinone laxative allergy
Xa5fS	Docusate allergy
Xa5fU	Hyoscine butylbromide allergy
Xa5fV	Peppermint oil allergy
Xa5fW	Alverine allergy
Xa5fX	Mebeverine allergy
Xa5fY	Dicyclomine allergy
Xa5fZ	Mepenzolate allergy
Xa5fa	Pipenzolate allergy
Xa5fb	Poldine allergy
Xa5fc	Propantheline allergy
Xa5fe	Chenodeoxycholic acid allergy
Xa5ff	Dehydrocholic acid allergy
Xa5fg	Ursodeoxycholic acid allergy
Xa5fh	Chenodeoxycholic and ursodeoxycholic acid allergy
Xa5fk	Intravenous anaesthetics allergy
Xa5fq	Inhalational anaesthetics allergy
Xa5fy	Bupivacaine allergy
Xa5fz	Cinchocaine allergy
Xa5g0	Prilocaine allergy
Xa5g1	Lignocaine allergy
Xa5g2	Cocaine allergy
Xa5g3	Benzocaine allergy
Xa5g4	Amethocaine allergy
Xa5g5	Oxybuprocaine allergy
Xa5g6	Procaine allergy
Xa5g7	Proxymetacaine allergy
Xa5gA	Amifostine allergy
Xa5gB	Aldesleukin allergy
Xa5gC	Colony stimulating factors allergy
Xa5gG	Levamisole allergy
Xa5gI	Alkylating drug allergy
Xa5ga	Cytotoxic antibiotic allergy
Xa5gk	Antimetabolite allergy
Xa5gs	Etoposide allergy
Xa5gt	Amsacrine allergy
Xa5gu	Carboplatin allergy
Xa5gv	Cisplatin allergy
Xa5gw	Hydroxyurea allergy
Xa5gx	Procarbazine allergy
Xa5gy	Razoxane allergy
Xa5gz	Crisantaspase allergy
Xa5h0	Paclitaxel allergy
Xa5h1	Fludarabine allergy
Xa5h2	Aminoglutethimide allergy
Xa5h3	Oestrogen antagonist allergy
Xa5h7	Vinca alkaloid allergy
Xa5hB	Dimethyl sulphoxide allergy
Xa5hD	Cyclosporin allergy
Xa5hE	Azathioprine allergy
Xa5hH	Mazindol allergy
Xa5hI	Phentermine allergy
Xa5hJ	Dexfenfluramine allergy
Xa5hL	Fenfluramine allergy
Xa5hN	Levodopa allergy
Xa5hO	Co-beneldopa allergy
Xa5hP	Co-careldopa allergy
Xa5hQ	Amantadine allergy
Xa5hR	Apomorphine allergy
Xa5hS	Lysuride allergy
Xa5hT	Pergolide allergy
Xa5hU	Bromocriptine allergy
Xa5hW	Lithium allergy
Xa5hZ	Tricyclic antidepressant drug allergy
Xa5hn	Monoamine oxidase inhibitor allergy
Xa5ht	Compound antidepressants allergy
Xa5hu	Tryptophan allergy
Xa5hv	Venlafaxine allergy
Xa5hw	Selective serotonin re-uptake inhibitor allergy
Xa5i3	Tetracyclic antidepressant drug allergy
Xa5i6	Trazodone allergy
Xa5i7	Viloxazine allergy
Xa5i9	Beclamide allergy
Xa5iA	Lamotrigine allergy
Xa5iB	Piracetam allergy
Xa5iC	Gabapentin allergy
Xa5iD	Sodium valproate allergy
Xa5iE	Barbiturate antiepileptic allergy
Xa5iI	Carbamazepine allergy
Xa5iJ	Vigabatrin allergy
Xa5iK	Phenytoin allergy
Xa5iL	Ethosuximide allergy
Xa5iM	Clonazepam allergy
Xa5iO	Sedative allergy
Xa5j2	Neuroleptic allergy
Xa5je	Selegiline allergy
Xa5jg	Pemoline allergy
Xa5jh	Methylphenidate allergy
Xa5ji	Prolintane allergy
Xa5jj	Amphetamine group allergy
Xa5jm	Disulfiram allergy
Xa5jp	Cardioselective beta-blocker allergy
Xa5jx	Non-cardioselective beta-blocker allergy
Xa5kC	Alfuzosin allergy
Xa5kD	Doxazosin allergy
Xa5kE	Indoramin allergy
Xa5kF	Phenoxybenzamine allergy
Xa5kG	Phentolamine allergy
Xa5kH	Prazosin allergy
Xa5kI	Terazosin allergy
Xa5kL	Lidoflazine allergy
Xa5kM	Nifedipine allergy
Xa5kN	Prenylamine allergy
Xa5kO	Isradipine allergy
Xa5kP	Felodipine allergy
Xa5kQ	Lacidipine allergy
Xa5kR	Nimodipine allergy
Xa5kS	Amlodipine allergy
Xa5kT	Diltiazem allergy
Xa5kU	Nicardipine allergy
Xa5kV	Verapamil allergy
Xa5kX	Pilocarpine allergy
Xa5kY	Acetylcholine chloride allergy
Xa5kZ	Methacholine allergy
Xa5ka	Anticholinesterase parasympathomimetic allergy
Xa5ki	Bethanechol allergy
Xa5kj	Carbachol allergy
Xa5kl	Isoetharine hydrochloride allergy
Xa5km	Phenylpropanolamine hydrochloride allergy
Xa5kn	Pseudoephedrine allergy
Xa5ko	Alpha-adrenoceptor agonist allergy
Xa5kw	Beta-adrenoceptor agonist allergy
Xa5lG	Central alpha-adrenoceptor agonist allergy
Xa5lM	Dipivefrine allergy
Xa5lN	Dopamine allergy
Xa5lO	Ephedrine allergy
Xa5lP	Oxymetazoline allergy
Xa5lQ	Xamoterol allergy
Xa5lS	Antimuscarinic allergy
Xa5lt	Tyloxapol allergy
Xa5lu	Bromhexine hydrochloride allergy
Xa5lv	Carbocisteine allergy
Xa5lw	Methylcysteine allergy
Xa5lx	Acetylcysteine allergy
Xa5lz	Nikethamide allergy
Xa5m0	Ethamivan allergy
Xa5m1	Doxapram allergy
Xa5m3	Beractant allergy
Xa5m4	Phospholipid fraction allergy
Xa5m5	Pumactant allergy
Xa5m6	Colfosceril allergy
Xa5m8	Topical antihistamine allergy
Xa5m9	H1 antihistamine allergy
Xa5mf	Cromoglycate and related antiallergenic allergy
Xa5ml	Cough suppressant allergy
Xa5ms	Proprietary decongestant allergy
Xa5mt	Expectorant allergy
Xa5mv	Aminophylline allergy
Xa5mw	Choline theophyllinate allergy
Xa5mx	Theophylline allergy
Xa5n2	Urea creams allergy
Xa5n3	Emollient bath additives allergy
Xa5n4	Dusting powders allergy
Xa5n5	Calamine allergy
Xa5n6	Coal tar allergy
Xa5n9	Bufexamac allergy
Xa5nA	Dithranol allergy
Xa5nE	Ichthammol allergy
Xa5nF	Calcipotriol allergy
Xa5nG	Sulphur allergy
Xa5nH	Azelaic acid allergy
Xa5nI	Bromine complexes allergy
Xa5nJ	Podophyllum resin allergy
Xa5nK	Podophyllotoxin allergy
Xa5nN	Benzoic acid allergy
Xa5nO	Desloughing agents allergy
Xa5nQ	Surgical tissue adhesive allergy
Xa5nS	Collodion allergy
Xa5nT	Counter irritants allergy
Xa5nU	Emollient allergy
Xa5nV	Poultices allergy
Xa5nW	Anionic surfactant allergy
Xa5nY	Astringent allergy
Xa5na	Topical selenium allergy
Xa5nb	Crotamiton allergy
Xa5nc	Topical salicylic acid allergy
Xa5nd	Topical abrasive agent allergy
Xa5ne	Benzoyl peroxide allergy
Xa5nf	Silver nitrate allergy
Xa5nh	Gamolenic acid allergy
Xa5nj	Etretinate allergy
Xa5nk	Acitretin allergy
Xa5nl	Tretinoin allergy
Xa5nm	Isotretinoin allergy
Xa5np	Colchicum alkaloid allergy
Xa5nr	Uricosuric agent allergy
Xa5nu	Xanthine oxidase inhibitor allergy
Xa5nx	Neuromuscular transmission drug allergy
Xa5o9	Baclofen allergy
Xa5oA	Carisoprodol allergy
Xa5oB	Methocarbamol allergy
Xa5oC	Dantrolene allergy
Xa5oE	Sodium aurothiomalate allergy
Xa5oF	Auranofin allergy
Xa5oH	Papaverine allergy
Xa5oI	Flavoxate allergy
Xa5oM	Nonoxinol allergy
Xa5oN	Octoxinol allergy
Xa5oP	A series prostaglandin allergy
Xa5oQ	E series prostaglandin allergy
Xa5oU	F series prostaglandin allergy
Xa5oX	I series prostaglandin allergy
Xa5oc	Ipecacuanha allergy
Xa5od	Charcoal-activated allergy
Xa5oe	Sodium nitrite allergy
Xa5of	Sodium thiosulphate allergy
Xa5og	Digoxin-specific-antibody allergy
Xa5oh	Mesna allergy
Xa5oi	Benzodiazepine antagonist allergy
Xa5ok	Cholinesterase reactivator allergy
Xa5om	Hydrofluoric acid burn antidote allergy
Xa5on	Opioid antagonist allergy
Xa5oq	Protamine allergy
Xa5or	Antidotes for pesticides allergy
Xa5ov	Dimercaprol allergy
Xa5ow	Desferrioxamine allergy
Xa5ox	Edetate allergy
Xa5p2	Trientine allergy
Xa5p3	Penicillamine allergy
Xa5pC	Peritoneal dialysis solution allergy
Xa5pD	Haemodialysis fluid allergy
Xa5pE	Haemofiltration solution allergy
Xa5pO	Artificial saliva allergy
Xa5pR	Olive oil allergy
Xa5pS	Arachis oil allergy
Xa5pT	Castor oil allergy
Xa5pV	Glycerol allergy
Xa5pY	Barrier preparation allergy
Xa5pZ	Paraffin allergy
Xa5pd	Silicone allergy
Xa5pf	Wool alcohol allergy
Xa5ph	Polyvinyl alcohol allergy
Xa5pi	Carbomer-940 allergy
Xa5pj	Cellulose-derived viscosity modifier allergy
Xa5pr	Flucytosine allergy
Xa5ps	Terbinafine allergy
Xa5pt	Nitrophenol allergy
Xa5pu	Tolnaftate allergy
Xa5pv	Amorolfine allergy
Xa5pw	Antibiotic antifungal allergy
Xa5q1	Azole antifungal allergy
Xa5qG	Inosine pranobex allergy
Xa5qH	Zidovudine allergy
Xa5qI	Ganciclovir allergy
Xa5qJ	Famciclovir allergy
Xa5qK	Didanosine allergy
Xa5qL	Zalcitabine allergy
Xa5qM	Valaciclovir allergy
Xa5qN	Interferons allergy
Xa5qS	Tribavirin allergy
Xa5qT	Trifluorothymidine allergy
Xa5qU	Foscarnet allergy
Xa5qV	Vidarabine allergy
Xa5qW	Aciclovir allergy
Xa5qX	Idoxuridine allergy
Xa5qa	Pyrimethamine allergy
Xa5qb	Aminoquinoline antimalarial allergy
Xa5qh	Biguanide antimalarial allergy
Xa5qj	Cinchona antimalarial allergy
Xa5ql	Halofantrine allergy
Xa5qm	Mepacrine allergy
Xa5qq	Acetic acid allergy
Xa5qr	Hydragaphen allergy
Xa5qs	Polynoxylin allergy
Xa5qt	Hexetidine allergy
Xa5qu	Sodium perborate allergy
Xa5qv	Chlorinated solutions allergy
Xa5qw	Potassium permanganate allergy
Xa5qx	Bismuth subnitrate and iodoform paste impregnated gauze allergy
Xa5qy	Phenolics allergy
Xa5r5	Alcoholic disinfectant allergy
Xa5r8	Aldehyde disinfectant allergy
Xa5rD	Amidine disinfectant allergy
Xa5rG	Biguanide disinfectant allergy
Xa5rJ	Borate allergy
Xa5rL	Cationic surfactant allergy
Xa5rU	Disinfectant dye allergy
Xa5rZ	Hydrogen peroxide allergy
Xa5rb	Piperazine allergy
Xa5rc	Pyrantel allergy
Xa5rd	Niclosamide allergy
Xa5re	Bephenium allergy
Xa5rg	Benzimidazole anthelmintic allergy
Xa5rl	Aminoglycosides allergy
Xa5ru	Macrolide allergy
Xa5ry	Sodium fusidate allergy
Xa5rz	Spectinomycin allergy
Xa5s0	Vancomycin allergy
Xa5s1	Teicoplanin allergy
Xa5s2	Trimethoprim allergy
Xa5s3	Nitrofurantoin allergy
Xa5s4	Hexamine hippurate allergy
Xa5s5	Mupirocin allergy
Xa5s6	Nitrofurazone allergy
Xa5s7	Fusidic acid allergy
Xa5s8	4-quinolones allergy
Xa5sH	Penicillin allergy
Xa5sr	Polymyxins allergy
Xa5su	Carbapenem allergy
Xa5sv	Cephalosporin allergy
Xa5tJ	Cephamycin allergy
Xa5tL	Fosfomycin allergy
Xa5tM	Lincomycin and derivatives allergy
Xa5tP	Mandelic acid allergy
Xa5tQ	Monobactam allergy
Xa5tS	Nitroimidazole allergy
Xa5tW	Sulphonamide allergy
Xa5tk	Tetracyclines group allergy
Xa5tu	Chloramphenicol allergy
Xa5tv	Co-trimoxazole allergy
Xa5tx	Atovaquone allergy
Xa5ty	Antimony antiprotozoal allergy
Xa5u0	Diamidine antiprotozoal allergy
Xa5u2	Dichloroacetamide antiprotozoal allergy
Xa5u4	Hydroxyquinoline antiprotozoal allergy
Xa5u7	Antituberculous drug allergy
Xa5uH	Antileprotic drug allergy
Xa5uL	Benzyl benzoate allergy
Xa5uM	Monosulfiram allergy
Xa5uN	Carbamate pesticide allergy
Xa5uP	Chlorinated pesticide allergy
Xa5uR	Organophosphate pesticide allergy
Xa5uT	Pyrethroid pesticides allergy
Xa5uY	Human immunoglobulin allergy
Xa5ub	Anti-D (Rh) immunoglobulin allergy
Xa5uc	Hepatitis B immunoglobulin allergy
Xa5ud	Tetanus immunoglobulin allergy
Xa5ue	Varicella-zoster immunoglobulin allergy
Xa5ug	Anthrax vaccine allergy
Xa5uh	Diphtheria vaccines allergy
Xa5ul	Hepatitis B vaccine allergy
Xa5um	Influenza vaccine allergy
Xa5up	Mumps vaccine allergy
Xa5uq	Pertussis vaccine allergy
Xa5ur	Pneumococcal vaccine allergy
Xa5us	Poliomyelitis vaccine allergy
Xa5ut	Rabies vaccine allergy
Xa5uu	Rubella vaccine allergy
Xa5uv	Smallpox vaccine allergy
Xa5uw	Tetanus vaccine allergy
Xa5ux	Typhoid vaccine allergy
Xa5v0	Measles/mumps/rubella vaccine allergy
Xa5v1	Hepatitis A vaccine allergy
Xa5v2	Haemophilus influenzae Type B vaccine allergy
Xa5v3	Meningococcal polysaccharide vaccine allergy
Xa5v5	Clostridium botulinum allergy
Xa5v6	Botulism antitoxin allergy
Xa5v7	Diphtheria antitoxin allergy
Xa5vB	Thiourea antithyroid agent allergy
Xa5vD	Thiouracil antithyroid agent allergy
Xa5vG	Betamethasone allergy
Xa5vH	Hydrocortisone allergy
Xa5vK	Prednisone allergy
Xa5vL	Fluorometholone allergy
Xa5vM	Flunisolide allergy
Xa5vN	Desonide allergy
Xa5vO	Desoxymethasone allergy
Xa5vP	Fluocinonide allergy
Xa5vQ	Fluocortolone allergy
Xa5vR	Flurandrenolone allergy
Xa5vS	Halcinonide allergy
Xa5vT	Alclometasone allergy
Xa5vU	Beclomethasone allergy
Xa5vV	Clobetasol allergy
Xa5vW	Clobetasone allergy
Xa5vX	Cortisone allergy
Xa5vY	Diflucortolone allergy
Xa5vZ	Fluclorolone allergy
Xa5va	Fludrocortisone allergy
Xa5vb	Fluocinolone allergy
Xa5vc	Fluticasone allergy
Xa5vd	Mometasone allergy
Xa5ve	Dexamethasone allergy
Xa5vh	Methylprednisolone allergy
Xa5vi	Prednisolone allergy
Xa5vm	Triamcinolone allergy
Xa5vn	Budesonide allergy
Xa5vq	Soluble neutral insulin allergy
Xa5vr	Biphasic insulin allergy
Xa5vs	Insulin zinc suspension allergy
Xa5vt	Insulin zinc suspension (amorphous) allergy
Xa5vu	Insulin zinc suspension (crystalline) allergy
Xa5vv	Isophane insulin allergy
Xa5vw	Protamine zinc insulin allergy
Xa5vx	Biphasic isophane insulin allergy
Xa5w3	Sulphonylurea allergy
Xa5wE	Biguanide allergy
Xa5wG	Guar gum allergy
Xa5wH	Acarbose allergy
Xa5wJ	Progestogen allergy
Xa5wU	Anabolic steroids allergy
Xa5wa	Cyclofenil allergy
Xa5wb	Danazol allergy
Xa5wc	Gestrinone allergy
Xa5wd	Anti-androgens allergy
Xa5wj	Combined oral contraceptive allergy
Xa5wk	Androgen allergy
Xa5ws	Oestrogen allergy
Xa5x8	Oestrogen and progestogen preparation allergy
Xa5x9	Clomiphene allergy
Xa5xB	Cabergoline allergy
Xa5xC	Quinagolide allergy
Xa5xE	Liothyronine allergy
Xa5xF	Thyroxine allergy
Xa5xH	Antidiuretic hormone allergy
Xa5xM	Corticotrophic hormone allergy
Xa5xP	Gonad regulating hormone allergy
Xa5xX	Oxytocic hormone allergy
Xa5xa	Somatrophic hormone allergy
Xa5xd	Thyrotrophic hormone allergy
Xa5xh	Biphosphonates allergy
Xa5xm	Calcium regulating hormone allergy
Xa5xs	Epoetin alfa allergy
Xa5xt	Epoetin beta allergy
Xa5xv	Gelatin allergy
Xa5xw	Hetastarch allergy
Xa5xx	Pentastarch allergy
Xa5xy	Dextran allergy
Xa5xz	Perfluorochemical allergy
Xa5y0	Plasma protein solution allergy
Xa5y2	Albumin solution allergy
Xa5y3	Antithrombin III allergy
Xa5y4	Blood clotting factor allergy
Xa5yH	Direct acting anticoagulant allergy
Xa5yP	Indirect acting anticoagulant allergy
Xa5yW	Ethamsylate allergy
Xa5yX	Thromboplastin allergy
Xa5yY	Tranexamic acid allergy
Xa5yZ	Collagen allergy
Xa5ya	Aprotinin allergy
Xa5yd	Iron and folic acid allergy
Xa5ye	Polysaccharide iron complex allergy
Xa5yf	Sodium ironedetate allergy
Xa5yh	Iron sorbitol allergy
Xa5yi	Ferrous salt allergy
Xa5yq	Supplementary preparations for parenteral nutrition allergy
Xa5yt	Intravenous nutrition (amino acids) allergy
Xa5yu	Intravenous nutrition (carbohydrate) allergy
Xa5yv	Intravenous nutrition (fats) allergy
Xa5yw	Intravenous nutrition (ready mixed) allergy
Xa5yz	Iodine allergy
Xa5z0	Iodophore allergy
Xa5z7	Fat soluble vitamin allergy
Xa5zC	Water soluble vitamin allergy
Xa5zR	Cation exchange resin allergy
Xa5zW	Oral potassium allergy
Xa5zX	Parenteral potassium allergy
Xa5zb	Sodium fluoride allergy
Xa5ze	Dextrothyroxine sodium allergy
Xa5zf	Gemfibrozil allergy
Xa5zg	Probucol allergy
Xa5zh	Acipimox allergy
Xa5zi	Anion exchange resins allergy
Xa5zl	Clofibrate group allergy
Xa5zq	Fish oils allergy
Xa5zs	HMG COA reductase inhibitor allergy
Xa5zx	Adenosine allergy
Xa5zy	Class I antiarrhythmic allergy
Xa607	Class II antiarrhythmic allergy
Xa609	Class III antiarrhythmic allergy
Xa60B	Class IV antiarrhythmic allergy
Xa60D	Thiazide diuretic allergy
Xa60L	Loop diuretic allergy
Xa60R	Potassium sparing diuretic allergy
Xa60X	Potassium sparing compound diuretic allergy
Xa60e	Osmotic diuretic allergy
Xa60g	Mercurial diuretic allergy
Xa60i	Thiazide-related diuretic allergy
Xa60o	Carbonic anhydrase inhibitor allergy
Xa60s	Adrenergic neurone blocking drug allergy
Xa60w	Angiotensin-converting-enzyme inhibitor allergy
Xa616	Ganglion-blocking drug allergy
Xa618	Metirosine allergy
Xa619	Losartan allergy
Xa61A	Rauwolfia antihypertensive allergy
Xa61C	Cardiac glycoside allergy
Xa61I	Phosphodiesterase inhibitor allergy
Xa61M	Ergot compound allergy
Xa61S	Vasodilator antihypertensive drug allergy
Xa61Y	Nicorandil allergy
Xa61Z	Dipyridamole allergy
Xa61a	Nitrate vasodilator allergy
Xa61o	Peripheral/cerebral vasodilator allergy
Xa61x	Alpha blocking vasodilator allergy
Xa61z	Betahistine allergy
Xa621	Sodium tetradecyl sulphate allergy
Xa622	Ethanolamine allergy
Xa624	Streptokinase allergy
Xa625	Urokinase allergy
Xa626	Alteplase allergy
Xa627	Anistreplase allergy
Xa628	Bromelains allergy
Xa629	Deoxyribonuclease allergy
Xa62A	Hyaluronidase allergy
Xa62B	Streptokinase streptodornase allergy
Xa62C	Chymotrypsin allergy
Xa5do	Paracetamol allergy
Xa5dp	Salicylate allergy
Xa6mG	Paracetamol and dextropropoxyphene allergy
Xa5ds	Pentazocine allergy
Xa5dt	Phenazocine allergy
Xa5du	Methadone analogue allergy
Xa5dz	Morphinan opioid allergy
Xa5e6	Opium alkaloid allergy
Xa5e7	Pethidine analogue allergy
Xa5eC	Meptazinol allergy
Xa5eD	Levorphanol allergy
XaYOi	Tramadol allergy
Xa5er	Cimetidine allergy
Xa5es	Famotidine allergy
Xa5et	Nizatidine allergy
Xa5eu	Ranitidine allergy
Xa5ew	Omeprazole allergy
Xa5ex	Lansoprazole allergy
Xa5fQ	Cascara allergy
Xa5fR	Senna allergy
Xa5fl	Etomidate allergy
Xa5fm	Ketamine allergy
Xa5fn	Propofol allergy
Xa5fo	Thiopentone allergy
Xa5fp	Methohexitone allergy
Xa5fr	Enflurane allergy
Xa5fs	Ether, anaesthetic allergy
Xa5ft	Halothane allergy
Xa5fu	Isoflurane allergy
Xa5fv	Trichloroethylene allergy
Xa5fw	Desflurane allergy
Xa5gD	Molgramostim allergy
Xa5gE	Lenograstim allergy
Xa5gF	Filgrastim allergy
Xa5gJ	Mitobronitol allergy
Xa5gK	Busulphan allergy
Xa5gL	Treosulfan allergy
Xa5gM	Thiotepa allergy
Xa5gN	Nitrogen mustard derivative allergy
Xa5gV	Nitrosurea allergy
Xa5gY	Triazene antineoplastic allergy
Xa5gb	Dactinomycin allergy
Xa5gc	Bleomycin allergy
Xa5gd	Mitomycin allergy
Xa5ge	Plicamycin allergy
Xa5gf	Aclarubicin allergy
Xa5gg	Mitozantrone allergy
