o42..	Fentanyl
o4dH.	FENTANYL 200micrograms buccal film
o4dG.	BREAKYL 200micrograms buccal film
o4dF.	FENCINO 100micrograms/hr patches
o4dE.	FENCINO 75micrograms/hr patches
o4dD.	FENCINO 50micrograms/hr patches
o4dC.	FENCINO 25micrograms/hr patches
o4dB.	FENCINO 12micrograms/hr patches
o4dA.	FENTANYL 400micrograms nasal spray
o4d9.	ABSTRAL 200micrograms sublingual tablets
o4d8.	FENTANYL 100micrograms sublingual tablets
o4d7.	ABSTRAL 100micrograms sublingual tablets
o4d6.	FENTANYL 800micrograms buccal tablets
o4d5.	EFFENTORA 800micrograms buccal tablets
o4d4.	FENTANYL 600micrograms buccal tablets
o4d3.	EFFENTORA 600micrograms buccal tablets
o4d2.	FENTANYL 400micrograms buccal tablets
o4d1.	EFFENTORA 400micrograms buccal tablets
o4e..	FENTANYL (3)
o4e8.	YEMEX 100micrograms/hour transdermal patches
o4e7.	YEMEX 75micrograms/hour transdermal patches
o4e6.	YEMEX 50micrograms/hour transdermal patches
o4e5.	YEMEX 25micrograms/hour transdermal patches
o4e4.	YEMEX 12micrograms/hour transdermal patches
o4e3.	FENTANYL 37.5micrograms/hour transdermal patches
o4e2.	MEZOLAR MATRIX 37.5micrograms/hour patches
o4e1.	OPIODUR 100micrograms/hour transdermal patches
oa2N.	BUPIVACAINE HCL+FENTANYL 1.25mg/2micrograms/mL injection
x02al	Durogesic
x05wN	Durogesic DTrans
x05yH	Tilofyl
x05EG	Actiq
x02rg	Sublimaze
oa2K.	BUFYL 1mg/2micrograms/mL solution for infusion 250mL
oa2L.	BUFYL 1mg/2micrograms/mL solution for infusion 500mL
oa2M.	BUFYL 1.25mg/2micrograms/mL solution for infusion 250mL
oa2O.	BUFYL 1.25mg/2micrograms/mL solution for infusion 500mL
