173f.00	Anxiety about breathlessness
E292000	Separation anxiety disorder
E292400	Adjustment reaction with anxious mood
E29y100	Other post-traumatic stress disorder
E2D0.00	Disturbance of anxiety and fearfulness in childhood and adolescence
E2D0000	Childhood and adolescent overanxiousness disturbance
E2D0z00	Disturbance of anxiety and fearfulness in childhood and adolescence NOS
E2y..00	Other specified neuroses or other mental disorders
E2z..00	Neuroses or other mental disorder NOS
Eu05400	[X]Organic anxiety disorder
Eu22y11	[X]Delusional dysmorphophobia
Eu34111	[X]Depressive neurosis
Eu34114	[X]Persistant anxiety depression
Eu4..00	[X]Neurotic, stress - related and somoform disorders
Eu40.00	[X]Phobic anxiety disorders
Eu40000	[X]Agoraphobia
Eu40012	[X]Panic disorder with agoraphobia
Eu40111	[X]Anthropophobia
Eu40112	[X]Social neurosis
Eu40200	[X]Specific (isolated) phobias
Eu40211	[X]Acrophobia
Eu40213	[X]Claustrophobia
Eu40214	[X]Simple phobia
Eu40300	[X]Needle phobia
Eu40y00	[X]Other phobic anxiety disorders
Eu40z00	[X]Phobic anxiety disorder, unspecified
Eu40z11	[X]Phobia NOS
Eu40z12	[X]Phobic state NOS
Eu41.00	[X]Other anxiety disorders
Eu41000	[X]Panic disorder [episodic paroxysmal anxiety]
Eu41011	[X]Panic attack
Eu41100	[X]Generalized anxiety disorder
Eu41111	[X]Anxiety neurosis
Eu41112	[X]Anxiety reaction
Eu41113	[X]Anxiety state
Eu41200	[X]Mixed anxiety and depressive disorder
Eu41211	[X]Mild anxiety depression
Eu41300	[X]Other mixed anxiety disorders
Eu41y00	[X]Other specified anxiety disorders
Eu41y11	[X]Anxiety hysteria
Eu41z00	[X]Anxiety disorder, unspecified
Eu41z11	[X]Anxiety NOS
Eu42.00	[X]Obsessive - compulsive disorder
Eu42.11	[X]Anankastic neurosis
Eu42.12	[X]Obsessive-compulsive neurosis
Eu42000	[X]Predominantly obsessional thoughts or ruminations
Eu42100	[X]Predominantly compulsive acts [obsessional rituals]
Eu42200	[X]Mixed obsessional thoughts and acts
Eu42y00	[X]Other obsessive-compulsive disorders
Eu42z00	[X]Obsessive-compulsive disorder, unspecified
Eu43.00	[X]Reaction to severe stress, and adjustment disorders
Eu43000	[X]Acute stress reaction
Eu43012	[X]Acute reaction to stress
Eu43013	[X]Combat fatigue
Eu43100	[X]Post - traumatic stress disorder
Eu43111	[X]Traumatic neurosis
Eu43300	[X]Acute post-traumatic stress disorder following military combat
Eu43400	[X]Chronic post-traumatic stress disorder following military combat
Eu43500	[X]Delayed post-traumatic stress disorder following military combat
Eu43y00	[X]Other reactions to severe stress
Eu43z00	[X]Reaction to severe stress, unspecified
Eu45212	[X]Dysmorphophobia nondelusional
Eu45213	[X]Hypochondriacal neurosis
Eu45215	[X]Nosophobia
Eu45311	[X]Cardiac neurosis
Eu46.00	[X]Other neurotic disorders
Eu46y00	[X]Other specified neurotic disorders
Eu46y15	[X]Psychasthenia neurosis
Eu46z00	[X]Neurotic disorder, unspecified
Eu46z11	[X]Neurosis NOS
Eu51511	[X]Dream anxiety disorder
Eu60513	[X]Obsessive-compulsive personality disorder
Eu60600	[X]Anxious [avoidant] personality disorder
Eu60z11	[X]Character neurosis NOS
Eu92y12	[X]Conduct disorder associated with neurotic disorder
Eu93000	[X]Separation anxiety disorder of childhood
Eu93100	[X]Phobic anxiety disorder of childhood
Eu93200	[X]Social anxiety disorder of childhood
