1B13.	Anxiousness
Xa0XS	Anxiety about losing emotional control
Xa0XU	Anxiety about becoming fat
Xa0XX	Anxiety about fainting
Xa0XY	Anxiety about having a heart attack
Xa0Xc	Anxiety about appearing ridiculous
Xa0Xd	Anxiety about saying the wrong thing
Xa0lF	Delusional dysmorphophobia
Xa0lG	Nondelusional dysmorphophobia
Xa18j	Combat fatigue
Xa19B	Performance anxiety
Xa1Ev	Fear of needles
Xa1a8	Examination phobia
Xa3Vk	Fear of insects
Xa3Vl	Fear of birds
Xa3WI	Fear of blood
Xa3WJ	Fear of getting cancer
Xa3Xk	Level of anxiety
Xa3Ys	Character trait observations of level of anxiety
Xa3Yt	Anxious character
Xa3Yu	Over-anxious character
Xa7k9	Anxious parents
Xa7kB	Anxiety attack
Xa7lj	Cancer phobia
XaAA1	Anxious avoidant attachment
XaABU	Castration anxiety complex
XaEC1	Phobia counselling
XaECG	Anxiety counselling
XaED5	Desensitisation - phobia
XaED8	Flooding - agoraphobia
XaEFB	Chronic post-traumatic stress disorder
XaEG0	Dysmorphophobia
XaEKL	Phonophobia
XaIo7	C/O - panic attack
XaIvf	Fear of falling
XaKVA	O/E - panic attack
XaL0q	Referral for guided self-help for anxiety
XaP8d	Stranger anxiety
XaX55	Acute post-traumatic stress disorder following military combat
XaX56	[X]Chronic post-traumatic stress disorder following military combat
XaX58	Delayed post-traumatic stress disorder following military combat
Xaafv	Anxiety about breathlessness
Xab9G	Patient given advice about management of anxiety
XaboM	Referral for guided self-help for anxiety declined
Xaef0	Referral for psychological management of anxiety
Xaef1	Referral for psychological management of anxiety declined
XafF0	Signposting to Anxiety UK
XafMI	Signposting to OCD-UK (Obsessive-Compulsive Disorder-UK)
XafMJ	Signposting to OCD (Obsessive-Compulsive Disorder) Action
