d7f..00	TRIMIPRAMINE
d71a.00	*LENTIZOL 50mg m/r capsules
d719.00	*LENTIZOL 25mg m/r capsules
d718.00	ELAVIL 25mg tablets
d717.00	ELAVIL 10mg tablets
d716.00	*DOMICAL 50mg tablets
d715.00	*DOMICAL 25mg tablets
d714.00	*DOMICAL 10mg tablets
d4b..00	PERPHENAZINE [CENTRAL NERVOUS SYSTEM USE]
d4bz.00	*PERPHENAZINE 8mg tablets
d4by.00	PERPHENAZINE 4mg tablets
d4bx.00	PERPHENAZINE 2mg tablets
d4b6.00	PERPHENAZINE 4mg/5mL sugar free solution
d4b5.00	PERPHENAZINE 2mg/5mL sugar free solution
d4b4.00	*FENTAZIN 5mg/1mL injection
d4b3.00	*FENTAZIN 8mg tablets
d4b2.00	FENTAZIN 4mg tablets
d4b1.00	FENTAZIN 2mg tablets
o58..00	*PERPHENAZINE [ANAESTHESIA]
o58z.00	PERPHENAZINE 5mg/1mL injection
o581.00	*FENTAZIN 5mg/1mL injection
m35..00	DOXEPIN HYDROCHLORIDE [ANTIPRURITIC]
m351.00	DOXEPIN HYDROCHLORIDE 5% cream
m352.00	XEPIN 5% cream 30g
