^ESCT1164493	Trimipramine mesylate
^ESCT1207063	Trimipramine in oral dosage form
^ESCT1207064	Product containing trimipramine in oral dosage form
^ESCT1207133	Lofepramine in oral dosage form
^ESCT1207134	Product containing lofepramine in oral dosage form
^ESCT1207214	Fluphenazine and nortriptyline in oral dosage form
^ESCT1207215	Product containing fluphenazine and nortriptyline in oral dosage form
^ESCT1208078	Clomipramine in parenteral dosage form
^ESCT1208079	Product containing clomipramine in parenteral dosage form
^ESCT1208088	Protriptyline in oral dosage form
^ESCT1208089	Product containing protriptyline in oral dosage form
^ESCT1208430	Imipramine hydrochloride 5 mg/mL oral solution
^ESCT1208431	Product containing precisely imipramine hydrochloride 5 milligram/1 milliliter conventional release oral solution
^ESCT1209173	Clomipramine hydrochloride 25 mg/2 mL solution for injection ampoule
^ESCT1209174	Clomipramine hydrochloride 25 mg/2 mL solution for injection ampule
^ESCT1209175	Product containing precisely clomipramine hydrochloride 25 milligram/2 milliliter conventional release solution for injection ampule
^ESCT1214686	Amitriptyline 25mg modified-release capsules
^ESCT1214688	Amitriptyline 25mg/5ml oral solution sugar free
^ESCT1214689	Amitriptyline 50mg modified-release capsules
^ESCT1214690	Amitriptyline 50mg/5ml oral solution sugar free
^ESCT1215121	Clomipramine 75mg modified-release tablets 1 tablet
^ESCT1215122	Clomipramine 75mg modified-release tablets (Special Order)
^ESCT1215123	Clomipramine 75mg modified-release tablets (Special Order) 1 tablet
^ESCT1215498	Lofepramine 70mg/5ml oral suspension sugar free
^ESCT1215540	Nortriptyline 10mg tablets (Medreich Plc)
^ESCT1215543	Nortriptyline 10mg tablets (Medreich Plc) 100 tablet 10 x 10 tablets
^ESCT1215545	Nortriptyline 25mg tablets (Medreich Plc)
^ESCT1215548	Nortriptyline 25mg tablets (Medreich Plc) 100 tablet 10 x 10 tablets
^ESCT1215559	Imipramine 25mg/5ml oral solution
^ESCT1215861	Clomipramine 25mg/2ml solution for injection ampoules
^ESCT1215862	Clomipramine 75mg modified-release tablets
^ESCT1216923	Doxepin
^ESCT1216924	Doxepin product
^ESCT1216973	Nortriptyline
^ESCT1216974	Nortriptyline product
^ESCT1217849	Desipramine
^ESCT1217850	Desipramine product
^ESCT1217964	Imipramine
^ESCT1217965	Imipramine product
^ESCT1218158	Amitriptyline
^ESCT1218159	Amitriptyline product
^ESCT1218537	Protriptyline
^ESCT1218538	Protriptyline product
^ESCT1220427	Trimipramine
^ESCT1220428	Trimipramine product
^ESCT1220623	Clomipramine
^ESCT1220624	Clomipramine product
^ESCT1221498	Butriptyline
^ESCT1221499	Product containing butriptyline
^ESCT1221500	Butriptyline product
^ESCT1223509	Product containing precisely amitriptyline hydrochloride 10 milligram/1 each conventional release oral tablet
^ESCT1223510	Product containing precisely amitriptyline hydrochloride 25 milligram/1 each conventional release oral tablet
^ESCT1223511	Product containing precisely amitriptyline hydrochloride 50 milligram/1 each conventional release oral tablet
^ESCT1223512	Clomipramine hydrochloride 10 mg oral capsule
^ESCT1223513	Product containing precisely clomipramine hydrochloride 10 milligram/1 each conventional release oral capsule
^ESCT1223514	Clomipramine hydrochloride 25 mg oral capsule
^ESCT1223515	Product containing precisely clomipramine hydrochloride 25 milligram/1 each conventional release oral capsule
^ESCT1223516	Clomipramine hydrochloride 50 mg oral capsule
^ESCT1223517	Product containing precisely clomipramine hydrochloride 50 milligram/1 each conventional release oral capsule
^ESCT1223518	Dothiepin hydrochloride 25 mg oral capsule
^ESCT1223519	Product containing precisely dosulepin hydrochloride 25 milligram/1 each conventional release oral capsule
^ESCT1223520	Dosulepin hydrochloride 25 mg oral capsule
^ESCT1223521	Product containing precisely dosulepin hydrochloride 75 milligram/1 each conventional release oral tablet
^ESCT1223522	Product containing precisely doxepin (as doxepin hydrochloride) 10 milligram/1 each conventional release oral capsule
^ESCT1223523	Doxepin (as doxepin hydrochloride) 10 mg oral capsule
^ESCT1223524	Doxepin (as doxepin hydrochloride) 25 mg oral capsule
^ESCT1223525	Product containing precisely doxepin (as doxepin hydrochloride) 25 milligram/1 each conventional release oral capsule
^ESCT1223526	Doxepin (as doxepin hydrochloride) 50 mg oral capsule
^ESCT1223527	Product containing precisely doxepin (as doxepin hydrochloride) 50 milligram/1 each conventional release oral capsule
^ESCT1223528	Doxepin (as doxepin hydrochloride) 75 mg oral capsule
^ESCT1223529	Product containing precisely doxepin (as doxepin hydrochloride) 75 milligram/1 each conventional release oral capsule
^ESCT1223530	Product containing precisely imipramine hydrochloride 10 milligram/1 each conventional release oral tablet
^ESCT1223531	Product containing precisely imipramine hydrochloride 25 milligram/1 each conventional release oral tablet
^ESCT1223532	Iprindole
^ESCT1223533	Product containing iprindole
^ESCT1223534	Iprindole product
^ESCT1223535	Lofepramine
^ESCT1223536	Lofepramine product
^ESCT1223537	Product containing precisely lofepramine 70 milligram/1 each conventional release oral tablet
^ESCT1223545	Product containing precisely nortriptyline 10 milligram/1 each conventional release oral tablet
^ESCT1223546	Product containing precisely nortriptyline 25 milligram/1 each conventional release oral tablet
^ESCT1223552	Trimipramine (as trimipramine maleate) 50 mg oral capsule
^ESCT1223553	Product containing precisely trimipramine (as trimipramine maleate) 50 milligram/1 each conventional release oral capsule
^ESCT1223554	Trimipramine (as trimipramine maleate) 10 mg oral tablet
^ESCT1223555	Product containing precisely trimipramine (as trimipramine maleate) 10 milligram/1 each conventional release oral tablet
^ESCT1223556	Product containing precisely trimipramine (as trimipramine maleate) 25 milligram/1 each conventional release oral tablet
^ESCT1223557	Trimipramine (as trimipramine maleate) 25 mg oral tablet
^ESCT1223568	Product containing precisely fluphenazine hydrochloride 1.5 milligram and nortriptyline 30 milligram/1 each conventional release oral tablet
^ESCT1223569	Fluphenazine hydrochloride 500 microgram and nortriptyline 10 mg oral tablet
^ESCT1223570	Product containing precisely fluphenazine hydrochloride 500 microgram and nortriptyline 10 milligram/1 each conventional release oral tablet
^ESCT1223571	Product containing precisely amitriptyline 25 milligram and perphenazine 2 milligram/1 each conventional release oral tablet
^ESCT1223572	Amitriptyline 25 mg and perphenazine 2 mg oral tablet
^ESCT1223573	Product containing precisely amitriptyline 10 milligram and perphenazine 2 milligram/1 each conventional release oral tablet
^ESCT1223574	Amitriptyline 10 mg and perphenazine 2 mg oral tablet
^ESCT1226763	Dosulepin
^ESCT1226764	Dothiepin product
^ESCT1226765	Dosulepin product
^ESCT1227729	Trimipramine maleate 25 mg/1 each oral capsule
^ESCT1227730	Trimipramine maleate 25 mg oral capsule
^ESCT1227731	Product containing precisely trimipramine maleate 25 milligram/1 each conventional release oral capsule
^ESCT1227732	Trimipramine maleate 100 mg/1 each oral capsule
^ESCT1227733	Product containing precisely trimipramine maleate 100 milligram/1 each conventional release oral capsule
^ESCT1227734	Trimipramine maleate 100 mg oral capsule
^ESCT1227772	Product containing precisely amitriptyline hydrochloride 75 milligram/1 each conventional release oral tablet
^ESCT1227774	Product containing precisely amitriptyline hydrochloride 100 milligram/1 each conventional release oral tablet
^ESCT1227775	Product containing precisely amitriptyline hydrochloride 150 milligram/1 each conventional release oral tablet
^ESCT1227829	Imipramine pamoate 100 mg/1 each oral capsule
^ESCT1227830	Imipramine pamoate 100 mg oral capsule
^ESCT1227831	Product containing precisely imipramine pamoate 100 milligram/1 each conventional release oral capsule
^ESCT1227832	Imipramine pamoate 125 mg/1 each oral capsule
^ESCT1227833	Imipramine pamoate 125 mg oral capsule
^ESCT1227834	Product containing precisely imipramine pamoate 125 milligram/1 each conventional release oral capsule
^ESCT1227835	Imipramine pamoate 150 mg/1 each oral capsule
^ESCT1227836	Imipramine pamoate 150 mg oral capsule
^ESCT1227837	Product containing precisely imipramine pamoate 150 milligram/1 each conventional release oral capsule
^ESCT1227991	Doxepin hydrochloride 150 mg/1 each oral capsule
^ESCT1227992	Doxepin hydrochloride 150 mg oral capsule
^ESCT1227993	Product containing precisely doxepin hydrochloride 150 milligram/1 each conventional release oral capsule
^ESCT1228025	Imipramine pamoate 75 mg/1 each oral capsule
^ESCT1228026	Product containing precisely imipramine pamoate 75 milligram/1 each conventional release oral capsule
^ESCT1228027	Imipramine pamoate 75 mg oral capsule
^ESCT1228030	Product containing precisely imipramine hydrochloride 50 milligram/1 each conventional release oral tablet
^ESCT1228159	Nortriptyline hydrochloride 50 mg/1 each oral capsule
^ESCT1228160	Product containing precisely nortriptyline hydrochloride 50 milligram/1 each conventional release oral capsule
^ESCT1228161	Nortriptyline hydrochloride 50 mg oral capsule
^ESCT1228272	Doxepin hydrochloride 100 mg/1 each oral capsule
^ESCT1228273	Doxepin hydrochloride 100 mg oral capsule
^ESCT1228274	Product containing precisely doxepin hydrochloride 100 milligram/1 each conventional release oral capsule
^ESCT1228361	Product containing precisely desipramine hydrochloride 10 milligram/1 each conventional release oral tablet
^ESCT1228362	Product containing precisely desipramine hydrochloride 25 milligram/1 each conventional release oral tablet
^ESCT1228363	Product containing precisely desipramine hydrochloride 50 milligram/1 each conventional release oral tablet
^ESCT1228364	Product containing precisely desipramine hydrochloride 75 milligram/1 each conventional release oral tablet
^ESCT1228365	Product containing precisely desipramine hydrochloride 100 milligram/1 each conventional release oral tablet
^ESCT1228366	Product containing precisely desipramine hydrochloride 150 milligram/1 each conventional release oral tablet
^ESCT1228497	Nortriptyline hydrochloride 75 mg/1 each oral capsule
^ESCT1228498	Product containing precisely nortriptyline hydrochloride 75 milligram/1 each conventional release oral capsule
^ESCT1228499	Nortriptyline hydrochloride 75 mg oral capsule
^ESCT1228628	Nortriptyline hydrochloride 10 mg/1 each oral capsule
^ESCT1228629	Nortriptyline hydrochloride 10 mg oral capsule
^ESCT1228630	Product containing precisely nortriptyline hydrochloride 10 milligram/1 each conventional release oral capsule
^ESCT1228637	Clomipramine hydrochloride 75 mg/1 each oral capsule
^ESCT1228638	Product containing precisely clomipramine hydrochloride 75 milligram/1 each conventional release oral capsule
^ESCT1228639	Clomipramine hydrochloride 75 mg oral capsule
^ESCT1228643	Nortriptyline hydrochloride 25 mg/1 each oral capsule
^ESCT1228644	Product containing precisely nortriptyline hydrochloride 25 milligram/1 each conventional release oral capsule
^ESCT1228645	Nortriptyline hydrochloride 25 mg oral capsule
^ESCT1228686	Product containing precisely protriptyline hydrochloride 5 milligram/1 each conventional release oral tablet
^ESCT1228687	Product containing precisely protriptyline hydrochloride 10 milligram/1 each conventional release oral tablet
^ESCT1229245	Product containing precisely amitriptyline hydrochloride 12.5 milligram and chlordiazepoxide 5 milligram/1 each conventional release oral tablet
^ESCT1229246	Amitriptyline hydrochloride 10 mg and perphenazine 4 mg oral tablet
^ESCT1229247	Product containing precisely amitriptyline 10 milligram and perphenazine 4 milligram/1 each conventional release oral tablet
^ESCT1229248	Amitriptyline 10 mg and perphenazine 4 mg oral tablet
^ESCT1229447	Amitriptyline hydrochloride 25 mg and perphenazine 4 mg oral tablet
^ESCT1229448	Amitriptyline 25 mg and perphenazine 4 mg oral tablet
^ESCT1229449	Product containing precisely amitriptyline 25 milligram and perphenazine 4 milligram/1 each conventional release oral tablet
^ESCT1229450	Amitriptyline hydrochloride 50 mg and perphenazine 4 mg oral tablet
^ESCT1229451	Amitriptyline 50 mg and perphenazine 4 mg oral tablet
^ESCT1229452	Product containing precisely amitriptyline 50 milligram and perphenazine 4 milligram/1 each conventional release oral tablet
^ESCT1233410	Fluphenazine and nortriptyline product
^ESCT1233412	Amitriptyline and perphenazine product
^ESCT1234738	Amitriptyline 12.5 mg and chlordiazepoxide 10 mg oral tablet
^ESCT1234739	Amitriptyline hydrochloride 12.5 mg and chlordiazepoxide 10 mg oral tablet
^ESCT1234740	Product containing precisely amitriptyline hydrochloride 12.5 milligram and chlordiazepoxide 10 milligram/1 each conventional release oral tablet
^ESCT1235343	Product containing precisely doxepin 3 milligram/1 each conventional release oral tablet
^ESCT1235344	Product containing precisely doxepin 6 milligram/1 each conventional release oral tablet
^ESCT1250043	Triptafen tablets (Advanz Pharma)
^ESCT1250127	Triptafen tablets (Advanz Pharma) 100 tablet 10 x 10 tablets
^ESCT1250822	Trimipramine 50mg capsules (Advanz Pharma)
^ESCT1250823	Trimipramine 50mg capsules (Advanz Pharma) 28 capsule 2 x 14 capsules
^ESCT1250824	Trimipramine 10mg tablets (Advanz Pharma)
^ESCT1250825	Trimipramine 10mg tablets (Advanz Pharma) 28 tablet 2 x 14 tablets
^ESCT1250826	Trimipramine 25mg tablets (Advanz Pharma)
^ESCT1250827	Trimipramine 25mg tablets (Advanz Pharma) 28 tablet 2 x 14 tablets
^ESCT1250873	Nortriptyline 10mg tablets (Advanz Pharma)
^ESCT1250874	Nortriptyline 25mg tablets (Advanz Pharma)
^ESCT1250875	Nortriptyline 25mg tablets (Advanz Pharma) 30 tablet 3 x 10 tablets
^ESCT1250876	Nortriptyline 10mg tablets (Advanz Pharma) 30 tablet 3 x 10 tablets
^ESCT1250877	Nortriptyline 25mg tablets (Advanz Pharma) 100 tablet
^ESCT1250878	Nortriptyline 10mg tablets (Advanz Pharma) 100 tablet
^ESCT1250879	Nortriptyline 50mg tablets (Advanz Pharma)
^ESCT1250880	Nortriptyline 50mg tablets (Advanz Pharma) 30 tablet 3 x 10 tablets
^ESCT1254487	Imipramine 10mg tablets (Dalkeith Laboratories Ltd)
^ESCT1254488	Imipramine 10mg tablets (Dalkeith Laboratories Ltd) 28 tablet
^ESCT1254489	Imipramine 25mg tablets (Dalkeith Laboratories Ltd)
^ESCT1254490	Imipramine 25mg tablets (Dalkeith Laboratories Ltd) 28 tablet
^ESCT1255914	Amitriptyline 10mg tablets (Bristol Laboratories Ltd)
^ESCT1255915	Amitriptyline 10mg tablets (Bristol Laboratories Ltd) 28 tablet 2 x 14 tablets
^ESCT1255924	Amitriptyline 25mg tablets (Bristol Laboratories Ltd)
^ESCT1255925	Amitriptyline 25mg tablets (Bristol Laboratories Ltd) 28 tablet 2 x 14 tablets
^ESCT1255926	Amitriptyline 50mg tablets (Bristol Laboratories Ltd)
^ESCT1255927	Amitriptyline 50mg tablets (Bristol Laboratories Ltd) 28 tablet 2 x 14 tablets
^ESCT1255950	Nortriptyline 10mg tablets (Ria Generics Ltd)
^ESCT1255951	Nortriptyline 10mg tablets 28 tablet
^ESCT1255953	Nortriptyline 10mg tablets 84 tablet
^ESCT1255954	Nortriptyline 10mg tablets (Ria Generics Ltd) 28 tablet 2 x 14 tablets
^ESCT1255957	Nortriptyline 10mg tablets (Ria Generics Ltd) 84 tablet 6 x 14 tablets
^ESCT1255960	Nortriptyline 25mg tablets 28 tablet
^ESCT1255961	Nortriptyline 25mg tablets 84 tablet
^ESCT1255962	Nortriptyline 25mg tablets (Ria Generics Ltd)
^ESCT1255963	Nortriptyline 25mg tablets (Ria Generics Ltd) 28 tablet 2 x 14 tablets
^ESCT1255964	Nortriptyline 25mg tablets (Ria Generics Ltd) 84 tablet 6 x 14 tablets
^ESCT1257402	Nortriptyline 10mg tablets (Flamingo Pharma (UK) Ltd)
^ESCT1257403	Nortriptyline 10mg tablets (Flamingo Pharma (UK) Ltd) 100 tablet 10 x 10 tablets
^ESCT1257404	Nortriptyline 25mg tablets (Flamingo Pharma (UK) Ltd)
^ESCT1257407	Nortriptyline 25mg tablets (Flamingo Pharma (UK) Ltd) 100 tablet 10 x 10 tablets
^ESCT1258397	Dosulepin 25mg capsules (Strides Pharma UK Ltd)
^ESCT1258398	Dosulepin 25mg capsules (Strides Pharma UK Ltd) 28 capsule 2 x 14 capsules
^ESCT1258399	Dosulepin 75mg tablets (Strides Pharma UK Ltd)
^ESCT1258400	Dosulepin 75mg tablets (Strides Pharma UK Ltd) 28 tablet 2 x 14 tablets
^ESCT1263041	Clomipramine 250mg/5ml oral suspension 1 ml
^ESCT1263042	Clomipramine 250mg/5ml oral suspension (Special Order)
^ESCT1263060	Clomipramine 250mg/5ml oral suspension (Special Order) 1 ml
^ESCT1263216	Clomipramine 250mg/5ml oral suspension
^ESCT1264366	Nortriptyline 10mg tablets (Ria Generics Ltd) 100 tablet 10 x 10 tablets
^ESCT1264367	Nortriptyline 25mg tablets (Ria Generics Ltd) 100 tablet 10 x 10 tablets
^ESCT1264405	Amitriptyline 10mg/5ml oral solution sugar free (DE Pharmaceuticals)
^ESCT1264406	Amitriptyline 10mg/5ml oral solution sugar free (DE Pharmaceuticals) 150 ml
^ESCT1266153	Doxepin 25mg capsules (DE Pharmaceuticals)
^ESCT1266154	Doxepin 25mg capsules (DE Pharmaceuticals) 28 capsule
^ESCT1266155	Doxepin 50mg capsules (DE Pharmaceuticals)
^ESCT1266156	Doxepin 50mg capsules (DE Pharmaceuticals) 28 capsule
^ESCT1267285	Imipramine 25mg/5ml oral solution sugar free (DE Pharmaceuticals)
^ESCT1267286	Imipramine 25mg/5ml oral solution sugar free (DE Pharmaceuticals) 150 ml
^ESCT1267572	Nortriptyline 10mg tablets (DE Pharmaceuticals)
^ESCT1267573	Nortriptyline 10mg tablets (DE Pharmaceuticals) 100 tablet
^ESCT1267574	Nortriptyline 50mg tablets (DE Pharmaceuticals)
^ESCT1267575	Nortriptyline 50mg tablets (DE Pharmaceuticals) 30 tablet
^ESCT1267777	Nortriptyline 10mg tablets (Macleods Pharma UK Ltd)
^ESCT1267778	Nortriptyline 10mg tablets (Macleods Pharma UK Ltd) 100 tablet
^ESCT1267781	Nortriptyline 25mg tablets (Macleods Pharma UK Ltd)
^ESCT1267782	Nortriptyline 25mg tablets (Macleods Pharma UK Ltd) 100 tablet
^ESCT1269644	Nortriptyline 10mg tablets (Accord Healthcare Ltd)
^ESCT1269645	Nortriptyline 10mg tablets (Accord Healthcare Ltd) 100 tablet
^ESCT1269646	Nortriptyline 25mg tablets (Accord Healthcare Ltd)
^ESCT1269647	Nortriptyline 25mg tablets (Accord Healthcare Ltd) 100 tablet
^ESCT1270588	Nortriptyline 10mg tablets (Mylan)
