f125.	VELOSULIN 100iu/mL injection 10mL
ft37.	PRANDIN 500micrograms tablets
ft38.	PRANDIN 1mg tablets
ft39.	PRANDIN 2mg tablets
ft41.	*AVANDIA 4mg tablets
ft42.	*AVANDIA 8mg tablets
ft43.	*AVANDAMET 1mg / 500mg tablets
ft44.	*AVANDAMET 2mg / 500mg tablets
ft45.	AVANDAMET 2mg / 1000mg tablets
ft46.	AVANDAMET 4mg / 1000mg tablets
ft4u.	ROSIGLITAZONE 2mg / METFORMIN 1000mg tablets
ft4v.	ROSIGLITAZONE 4mg / METFORMIN 1000mg tablets
ft4w.	ROSIGLITAZONE 2mg / METFORMIN 500mg tablets
ft4x.	ROSIGLITAZONE 1mg / METFORMIN 500mg tablets
ft4y.	*ROSIGLITAZONE 8mg tablets
ft4z.	*ROSIGLITAZONE 4mg tablets
ft51.	ACTOS 15mg tablets
ft52.	ACTOS 30mg tablets
ft53.	ACTOS 45mg tablets
ft5x.	PIOGLITAZONE 45mg tablets
ft5y.	PIOGLITAZONE 30mg tablets
ft5z.	PIOGLITAZONE 15mg tablets
ft61.	STARLIX 60mg tablets
ft62.	STARLIX 120mg tablets
ft63.	STARLIX 180mg tablets
ft6x.	NATEGLINIDE 180mg tablets
ft6y.	NATEGLINIDE 120mg tablets
ft6z.	NATEGLINIDE 60mg tablets
ft71.	COMPETACT 15mg/850mg tablets
ft7z.	METFORMIN 850mg/PIOGLITAZONE 15mg tablets
ft81.	JANUVIA 100mg tablets
ft82.	JANUVIA 50mg tablets
ft83.	JANUVIA 25mg tablets
ft8x.	SITAGLIPTIN 25mg tablets
ft8y.	SITAGLIPTIN 50mg tablets
ft8z.	SITAGLIPTIN 100mg tablets
ft91.	BYETTA 5micrograms/0.02mL injection prefilled pen
ft92.	BYETTA 10micrograms/0.04mL injection prefilled pen
ft93.	BYDUREON 2mg powder and solvent for suspension for injection
ft9x.	EXENATIDE 2mg powder+solvent for suspension for injection
ft9y.	EXENATIDE 10micrograms/0.04mL injection prefilled pen
ft9z.	EXENATIDE 5micrograms/0.02mL injection prefilled pen
fta1.	GALVUS 50mg tablets
ftaZ.	VILDAGLIPTIN 50mg tablets
ftb1.	EUCREAS 50mg/850mg tablets
ftb2.	EUCREAS 50mg/1000mg tablets
ftby.	VILDAGLIPTIN/METFORMIN 50mg/1000mg tablets
ftbz.	VILDAGLIPTIN/METFORMIN 50mg/850mg tablets
ftc1.	VICTOZA 6mg/mL solution for injection prefilled pen 3mL
ftc2.	LIRAGLUTIDE 6mg/mL solution for injection prefilled pen
ftd1.	ONGLYZA 5mg tablets
ftd2.	ONGLYZA 2.5mg tablets
ftdy.	SAXAGLIPTIN 2.5mg tablets
ftdz.	SAXAGLIPTIN 5mg tablets
fte1.	JANUMET 50mg/1000mg tablets
ftez.	SITAGLIPTIN/METFORMIN HYDROCHLORIDE 50mg/1000mg tablets
ftf1.	TRAJENTA 5mg tablets
ftf2.	LINAGLIPTIN 5mg tablets
ftg1.	JENTADUETO 2.5mg/850mg tablets
ftg2.	LINAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/850mg tablets
ftg3.	JENTADUETO 2.5mg/1000mg tablets
ftg4.	LINAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/1000mg tablets
fth1.	FORXIGA 5mg tablets
fth2.	FORXIGA 10mg tablets
fth3.	DAPAGLIFLOZIN 5mg tablets
fth4.	DAPAGLIFLOZIN 10mg tablets
fti1.	KOMBOGLYZE 2.5mg/850mg tablets
fti2.	SAXAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/850mg tablets
fti3.	KOMBOGLYZE 2.5mg/1000mg tablets
fti4.	SAXAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/1000mg tablets
ftj1.	LYXUMIA 10micrograms/0.2mL soln for inj prefilled pen 3mL
ftj2.	LIXISENATIDE 10micrograms/0.2mL soln for injection pen 3mL
ftj3.	LYXUMIA 20micrograms/0.2mL soln for inj prefilled pen 3mL
ftj4.	LIXISENATIDE 20micrograms/0.2mL soln for injection pen 3mL
ftj5.	LYXUMIA 10mcg/0.2mL+20mcg/0.2mL soln inj prefilled pens 3mL
ftj6.	LIXISENATIDE 10mcg/0.2mL+20mcg/0.2mL soln for inj pens 3mL
ftk1.	VIPIDIA 6.25mg tablets
ftk2.	ALOGLIPTIN 6.25mg tablets
ftk3.	VIPIDIA 12.5mg tablets
ftk4.	ALOGLIPTIN 12.5mg tablets
ftk5.	VIPIDIA 25mg tablets
ftk6.	ALOGLIPTIN 25mg tablets
ftl1.	VIPDOMET 12.5mg/1000mg tablets
ftl2.	ALOGLIPTIN+METFORMIN HYDROCHLORIDE 12.5mg/1000mg tablets
ftm1.	XIGDUO 5mg/850mg tablets
ftm2.	DAPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/850mg tablets
ftm3.	XIGDUO 5mg/1000mg tablets
ftm4.	DAPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/1000mg tablets
ftn1.	INVOKANA 100mg tablets
ftn2.	CANAGLIFLOZIN 100mg tablets
ftn3.	INVOKANA 300mg tablets
ftn4.	CANAGLIFLOZIN 300mg tablets
fto1.	JARDIANCE 10mg tablets
fto2.	EMPAGLIFLOZIN 10mg tablets
fto3.	JARDIANCE 25mg tablets
fto4.	EMPAGLIFLOZIN 25mg tablets
ftp1.	VOKANAMET 50mg/850mg tablets
ftp2.	CANAGLIFLOZIN+METFORMIN HYDROCHLORIDE 50mg/850mg tablets
ftp3.	VOKANAMET 50mg/1000mg tablets
ftp4.	CANAGLIFLOZIN+METFORMIN HYDROCHLORIDE 50mg/1000mg tablets
ftq1.	TRULICITY 750micrograms/0.5mL soln for injection p/f pen
ftq2.	DULAGLUTIDE 750micrograms/0.5mL soln for injection p/f pen
ftq3.	TRULICITY 1.5mg/0.5mL solution for injection prefilled pen
ftq4.	DULAGLUTIDE 1.5mg/0.5mL soln for injection prefilled pen
ftr1.	SYNJARDY 5mg/850mg tablets
ftr2.	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/850mg tablets
ftr3.	SYNJARDY 5mg/1000mg tablets
ftr4.	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/1000mg tablets
ftr5.	SYNJARDY 12.5mg/850mg tablets
ftr6.	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 12.5mg/850mg tablets
ftr7.	SYNJARDY 12.5mg/1000mg tablets
ftr8.	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 12.5mg/1000mg tablets
fw11.	HUMALOG MIX25 100iu/mL cartridges 3mL
fw13.	HUMALOG MIX50 100iu/mL prefilled pen 3mL
fw14.	HUMALOG MIX50 100iu/mL cartridges 3mL
fw15.	HUMALOG MIX25 KWIKPEN 100iu/mL prefilled pen 3mL
fw16.	HUMALOG MIX50 KWIKPEN 100iu/mL prefilled pen 3mL
fw21.	NOVOMIX 30 PENFILL 100units/mL injection cartridges 3mL
fw22.	NOVOMIX 30 FLEXPEN 100units/mL injection prefilled pen 3mL
