^ESCT1173898	Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
FLVA105396NEMIS	FluMist Quadrivalent vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)
FLVA130397NEMIS	Flucelvax Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
FLVA19006EMIS	Fluzone Vaccine 0.5 ml
FLVA24698EMIS	Fluarix vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd)
FLVA82448NEMIS	Fluarix Tetra vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd)
INSU127173NEMIS	Influenza Tetra MYL vaccine suspension for injection 0.5ml pre-filled syringes (Mylan)
MASU15057NEMIS	Mastaflu vaccine suspension for injection 0.5ml pre-filled syringes (Masta Ltd)
OPSU76843NEMIS	Optaflu vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd)
OPSU76843NEMIS	Optaflu vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
PRSU51924NEMIS	Preflucel vaccine suspension for injection 0.5ml pre-filled syringes (Baxter Healthcare Ltd)
VISU23002NEMIS	Viroflu vaccine suspension for injection 0.5ml pre-filled syringes (Janssen-Cilag Ltd)
ENSU20871NEMIS	Enzira  Suspension For Injection  0.5 ml pre-filled syringe
IMSU22976NEMIS	Imuvac  Suspension For Injection  0.5 ml pre-filled syringe
INVA36708NEMIS	Intanza  Vaccine  15 microgram strain, 0.1 ml pre-filled syringe
INVA40484NEMIS	Intanza  Vaccine  9 microgram strain, 0.1 ml pre-filled syringe
AGIN11649NEMIS	Agrippal  Injection
BEVA30364EMIS	Begrivac  Vaccine
AGIN11649NEMIS	Agrippal  Injection
BEVA30364EMIS	Begrivac  Vaccine
CESU38013NEMIS	Celvapan (H1N1) Vaccine  Suspension For Injection  
ININ12704NEMIS	Inflexal Berna V  Injection  0.5 ml pre-filled syringe
ININ18889NEMIS	Invivac  Injection  0.5 ml pre-filled syringe
^ESCT1188860	Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)
^ESCT1189570	Imuvac vaccine suspension for injection 0.5ml pre-filled syringes (Mylan)
^ESCT1190211	Quadrivalent vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)
^ESCT1199421	Influenza Tetra MYL vaccine suspension for injection 0.5ml pre-filled syringes (Mylan)
^ESCT1199424	Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Mylan)
^ESCT1254465	Flucelvax Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
^ESCT1257726	Trivalent influenza vaccine (split virion, inactivated) High Dose solution for injection 0.5ml pre-filled syringes (Sanofi Pasteur)
^ESCT1260613	Quadrivalent influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)
^ESCT1260719	Trivalent influenza vaccine (split virion, inactivated) High Dose suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)
^ESCT1267880	Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
^ESCT1270958	Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
^ESCT1376173	Fluad Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
^ESCT1410117	Agrippal vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)
^ESCT1410987	Optaflu vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)
^ESCT1412573	Flucelvax Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)
^ESCT1412663	Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)
^ESCT1412666	Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)
^ESCT1412729	Fluad Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)
^ESCT1425009	Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes
^ESCT1425011	Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes
^ESCT1437567	Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)
^ESCT1438045	Imuvac vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)
^ESCT1439014	Influenza Tetra MYL vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)
^ESCT1439017	Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)
^ESCT1439018	Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd) 1 pre-filled disposable injection
^ESCTAG860467	Agrippal vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
^ESCTBE860405	Begrivac vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd)
^ESCTCE983716	Celvapan (H1N1) vaccine (whole virion, Vero cell derived, inactivated) suspension for injection (Baxter Healthcare Ltd)
^ESCTEN919233	Enzira vaccine suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd)
^ESCTFL1023449	Fluenz vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)
^ESCTFL1049909	Fluarix Tetra vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd)
^ESCTFL1091900	Fluenz Tetra vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)
^ESCTFL1127766	FluMist Quadrivalent vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)
^ESCTFL860395	Fluarix vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd)
^ESCTFL860422	Fluvirin vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd)
^ESCTIM933665	Imuvac vaccine suspension for injection 0.5ml pre-filled syringes (Mylan Ltd)
^ESCTIN1023457	Influenza vaccine (live attenuated) nasal suspension 0.2ml unit dose
^ESCTIN1049247	Influvac Desu vaccine suspension for injection 0.5ml pre-filled syringes (Abbott Healthcare Products Ltd)
^ESCTIN860383	Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (sanofi pasteur MSD Ltd)
^ESCTIN860464	Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Mylan Ltd)
^ESCTIN927955	Invivac vaccine suspension for injection 0.5ml pre-filled syringes (Abbott Healthcare Products Ltd)
^ESCTIN927986	Influenza vaccine (surface antigen, inactivated, virosome) suspension for injection 0.5ml pre-filled syringes
^ESCTIN938007	Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd)
^ESCTIN981787	Intanza 9microgram strain vaccine suspension for injection 0.1ml pre-filled syringes (sanofi pasteur MSD Ltd)
^ESCTIN982247	Intanza 15microgram strain vaccine suspension for injection 0.1ml pre-filled syringes (sanofi pasteur MSD Ltd)
^ESCTIN982257	Influenza vaccine (split virion, inactivated) 15microgram strain suspension for injection 0.1ml pre-filled syringes
^ESCTMA869372	Mastaflu vaccine suspension for injection 0.5ml pre-filled syringes (Masta Ltd)
^ESCTOP981118	Optaflu vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
^ESCTPR1027628	Preflucel vaccine suspension for injection 0.5ml pre-filled syringes (Baxter Healthcare Ltd)
^ESCTQU1162893	Quadrivalent vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (sanofi pasteur MSD Ltd)
^ESCTVI929454	Viroflu vaccine suspension for injection 0.5ml pre-filled syringes (Janssen-Cilag Ltd)
