13H7.	Unwanted: [pregnancy] or [child]
L1873	Orthopaedic disorder during pregnancy - baby not yet delivered
L1820	Anaemia - unspecified whether during pregnancy or the puerperium
L182z	Anaemia during pregnancy/childbirth/puerperium NOS
L4112	Varicose veins of perineum and vulva in pregnancy and the puerperium - delivered with postnatal complication
L16A1	Glycosuria during pregnancy - delivered
L3840	Spinal and epidural anaesthesia-induced headache during pregnancy
L2610	Rhesus isoimmunisation unspecified
L4611	Cracked nipple in pregnancy, the puerperium or lactation - delivered
L1883	Abnormal glucose tolerance test during pregnancy - baby not yet delivered
L210z	Twin pregnancy NOS
L188.	Abnormal glucose tolerance test during pregnancy, childbirth and the puerperium
L4152	Other phlebitis and thrombosis in pregnancy and the puerperium - delivered with postnatal complication
L18..	Other medical condition during pregnancy, childbirth and the puerperium
Q486.	Fetal death due to termination of pregnancy
L512.	Maternal care for diminished fetal movements
L462.	Breast engorgement in pregnancy, the puerperium or lactation
L189.	Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium
L262.	Other blood group isoimmunisation
L1A..	Subluxation of symphysis pubis in pregnancy, childbirth and the puerperium
Lyu22	[X]Other venous complications in pregnancy
L184.	Mental disorders during pregnancy, childbirth and the puerperium
ZV222	[V]Pregnancy confirmed
Lyu20	[X]Other haemorrhage in early pregnancy
L466.	Galactorrhoea in pregnancy and the puerperium
L2100	Twin pregnancy unspecified
L3982	Caesarean section - pregnancy at term
L211z	Triplet pregnancy NOS
Lyu23	[X]Infections of other parts of urinary tract in pregnancy
L18A.	Diseases of the digestive system complicating pregnancy, childbirth and the puerperium
ZV22z	[V]Unspecified pregnant state
Lyu25	[X]Other specified pregnancy-related conditions
Lyu21	[X]Other vomiting complicating pregnancy
L2101	Twin pregnancy - delivered
L4110	Varicose veins of perineum and vulva in pregnancy and the puerperium unspecified
L2D..	Retained intrauterine contraceptive device in pregnancy
Lyu7.	[X]Other obstetric conditions, not elsewhere classified
L410.	Varicose veins of legs in pregnancy and the puerperium
ZV23.	[V]High-risk pregnancy supervision
Q0143	Fetus or neonate affected by tubal ectopic pregnancy
ZV23z	[V]Unspecified high-risk pregnancy
L211.	Triplet pregnancy
L412.	Superficial thrombophlebitis in pregnancy and the puerperium
L4100	Varicose veins of legs in pregnancy and the puerperium unspecified
ZV724	[V]Pregnancy examination or test, pregnancy unconfirmed
L461z	Cracked nipple in pregnancy, the puerperium or lactation NOS
L41z.	Venous complications of pregnancy and puerperium NOS
ZV22.	[V]Normal pregnancy
L4621	Breast engorgement in pregnancy, the puerperium or lactation - delivered
L410z	Varicose veins of legs in pregnancy and puerperium NOS
Ly...	Other specified complications of pregnancy, childbirth or the puerperium
L4160	Haemorrhoids in pregnancy and the puerperium unspecified
Lyu1.	[X]Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium
ZV22y	[V]Other specified pregnant state
ZV223	[V]Pregnant state, incidental
ZV232	[V]Pregnancy with history of abortion
L416.	Haemorrhoids in pregnancy and the puerperium
L460.	Retracted nipple in pregnancy, the puerperium or lactation
ZV238	[V]Supervision of high-risk pregnancy due to social problems
L511.	Maternal care for viable fetus in abdominal pregnancy
L4161	Haemorrhoids in pregnancy and the puerperium - delivered
Lz...	Complications of pregnancy, childbirth and the puerperium NOS
ZV23y	[V]Other specified high-risk pregnancy
M2405	Alopecia of pregnancy
L416z	Haemorrhoids in pregnancy and the puerperium NOS
L460z	Retracted nipple in pregnancy, the puerperium or lactation NOS
L4624	Breast engorgement in pregnancy/puerperium/lact + p/n comp
L514.	Maternal care for poor fetal growth
Q01..	Fetus or neonate affected by maternal complication of pregnancy
ZV231	[V]Pregnancy with history of trophoblastic disease
ZV619	[V]Other unwanted pregnancy
