bA...	Calcium-channel blocker+ACE inhibitor
bi84.	Cilazapril 2.5mg tablet
bi88.	Vascace 2.5mg tablet
bi8a.	Cilazapril 5mg tablet
bi89.	Vascace 5mg tablet
x01Qe	Enalapril
bi2a.	Enalapril maleate 2.5mg+5mg tablet starter pack
bi29.	Innovace tablet starter pack
bi2t.	Enalapril maleate 2.5mg tablet
bi21.	Innovace 2.5mg tablet
bi2J.	Pralenal 2.5mg tablet
bi2u.	Enalapril maleate 5mg tablet
bi22.	Innovace 5mg tablet
bi23.	Innovace 5mg tablets x28
bi2K.	Pralenal 5mg tablet
x00fw	Renitec 5mg tablet
bi2v.	Enalapril maleate 5mg tablets x28
bi2w.	Enalapril maleate 10mg tablet
bi24.	Innovace 10mg tablet
bi25.	Innovace 10mg tablets x28
bi2L.	Pralenal 10mg tablet
bi2x.	Enalapril maleate 10mg tablets x28
bi2y.	Enalapril maleate 20mg tablet
bi26.	Innovace 20mg tablet
bi27.	Innovace 20mg tablets x28
bi2M.	Pralenal 20mg tablet
bi2z.	Enalapril maleate 20mg tablets x28
bi2A.	Enalapril maleate 2.5mg wafer
bi2E.	Innovace Melt 2.5mg wafer
bi2B.	Enalapril maleate 5mg wafer
bi2F.	Innovace Melt 5mg wafer
bi2C.	Enalapril maleate 10mg wafer
bi2G.	Innovace Melt 10mg wafer
bi2D.	Enalapril maleate 20mg wafer
bi2H.	Innovace Melt 20mg wafer
x0044	Enalapril maleate+diuretic
bi2b.	Enalapril maleate+hydrochlorothiazide 20mg/12.5mg tablet
bi28.	Innozide tablet
bi2..	Enalapril maleate
x01Qf	Fosinopril
bi71.	Fosinopril sodium 10mg tablet
bi73.	Staril 10mg tablet
bi72.	Fosinopril sodium 20mg tablet
bi74.	Staril 20mg tablet
bi7..	Fosinopril sodium
biB..	Imidapril hydrochloride
biBy.	Imidapril hydrochloride 5mg tablet
biB1.	Tanatril 5mg tablet
biBz.	Imidapril hydrochloride 10mg tablet
biB2.	Tanatril 10mg tablet
biBx.	Imidapril hydrochloride 20mg tablet
biB3.	Tanatril 20mg tablet
bi3..	Lisinopril
bi3r.	Lisinopril 2.5mg tablet starter pack
bi3q.	Zestril 2.5mg starter pack
bi31.	Lisinopril 2.5mg tablet
bi35.	Carace 2.5mg tablet
bi3d.	Zestril 2.5mg tablet
bi3c.	Zestril 2.5mg tablets 28CP
bi32.	Lisinopril 5mg tablet
bi37.	Carace 5mg tablet
bi36.	Carace 5mg tablets 28CP
bi3f.	Zestril 5mg tablet
bi3e.	Zestril 5mg tablets 28CP
bi33.	Lisinopril 10mg tablet
bi39.	Carace 10mg tablet
bi38.	Carace 10mg tablets 28CP
bi3h.	Zestril 10mg tablet
bi3g.	Zestril 10mg tablets 28CP
bi34.	Lisinopril 20mg tablet
bi3b.	Carace 20mg tablet
bi3a.	Carace 20mg tablets 28CP
bi3j.	Zestril 20mg tablet
bi3i.	Zestril 20mg tablets 28CP
x007H	Lisinopril+diuretic
bi3t.	Lisinopril+hydrochlorothiazide 10mg/12.5mg tablet
bi3l.	Carace 10 Plus tablet
bi3u.	Caralpha 10/12.5mg tablet
bi3x.	Lisicostad HCT 10/12.5mg tablet
bi3s.	Zestoretic 10 tablet
bi3p.	Lisinopril+hydrochlorothiazide 20mg/12.5mg tablet
bi3k.	Carace 20 Plus tablet
bi3v.	Caralpha 20/12.5mg tablet
bi3w.	Lisicostad HCT 20/12.5mg tablet
bi3n.	Zestoretic 20 tablet
bi3m.	Zestoretic tablets 28CP
bi3y.	LISINOPRIL 1mg/mL oral solution
biA..	Moexipril
biA1.	Moexipril hydrochloride 7.5mg tablet
biA3.	Perdix 7.5mg tablet
biA2.	Moexipril hydrochloride 15mg tablet
biA4.	Perdix 15mg tablet
x01Qg	Perindopril
bi51.	Perindopril erbumine 2mg tablet
bi53.	Coversyl 2mg tablet
bi52.	Perindopril erbumine 4mg tablet
bi54.	Coversyl 4mg tablet
bi57.	Perindopril erbumine 8mg tablet
bi58.	Coversyl 8mg tablet
x05df	Perindopril+indapamide
bi55.	Perindopril erbumine+indapamide 4mg/1.25mg tablet
bi56.	Coversyl Plus 4mg/1.25mg tablet
bi5..	Perindopril erbumine
bi4..	Quinapril
bi41.	Quinapril 5mg tablet
x00en	Accupro 5mg tablet
bi44.	Accupro 5mg tablets 28CP
bi4B.	Quinil 5mg tablet
bi42.	Quinapril 10mg tablet
x00eo	Accupro 10mg tablet
bi45.	Accupro 10mg tablets 28CP
bi4C.	Quinil 10mg tablet
bi43.	Quinapril 20mg tablet
x00ep	Accupro 20mg tablet
bi46.	Accupro 20mg tablets 28CP
bi4D.	Quinil 20mg tablet
bi4A.	Quinapril 40mg tablet
bi49.	Accupro 40mg tablet
bi4E.	Quinil 40mg tablet
bi48.	Quinalapril+hydrochlorothiazide 10mg/12.5mg tablet
bi47.	Accuretic tablet
bi4F.	QUINAPRIL+HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets
bi6..	Ramipril
bi6B.	Ramipril 1.25mg tablet
bi6z.	Tritace 1.25mg tablet
bi6C.	Ramipril 2.5mg tablet
bi6y.	Tritace 2.5mg tablet
bi6D.	Ramipril 5mg tablet
bi6x.	Tritace 5mg tablet
bi6E.	Ramipril 10mg tablet
bi6w.	Tritace 10mg tablet
bi61.	Ramipril 1.25mg capsule
bi6s.	Ranace 1.25mg capsule
bi64.	Tritace 1.25mg capsule
bi62.	Ramipril 2.5mg capsule
bi6t.	Lopace 2.5mg capsule
bi6r.	Ranace 2.5mg capsule
bi65.	Tritace 2.5mg capsule
bi63.	Ramipril 5mg capsule
bi6u.	Lopace 5mg capsule
bi6q.	Ranace 5mg capsule
bi66.	Tritace 5mg capsule
bi67.	Ramipril 10mg capsule
bi6v.	Lopace 10mg capsule
bi6p.	Ranace 10mg capsule
bi68.	Tritace 10mg capsule
bi69.	Ramipril 2.5mg+5mg+10mg capsules titration pack
bi6A.	Tritace Titration Pack
bi6F.	RAMIPRIL 2.5mg+5mg+10mg tablets titration pack
bi6G.	RAMIPRIL 2.5mg/5mL oral solution
bi6o.	TRITACE Titration Pack tablets
bi9..	Trandolapril
bi91.	Trandolapril 500micrograms capsule
bi94.	Gopten 500micrograms capsule
bi97.	Odrik 500micrograms capsule
bi92.	Trandolapril 1mg capsule
bi95.	Gopten 1mg capsule
bi98.	Odrik 1mg capsule
bi93.	Trandolapril 2mg capsule
bi96.	Gopten 2mg capsule
bi99.	Odrik 2mg capsule
bi9z.	Trandolapril 4mg capsule
bi9A.	Gopten 4mg capsule
bk6..	Trandolapril+verapamil hydrochloride
bk61.	Trandolapril+verapamil hydrochloride 2mg/180mg m/r capsule
bk62.	Tarka 2mg/180mg m/r capsule
bkH..	OLMESARTAN+AMLODIPINE
bkH1.	SEVIKAR 20mg/5mg tablets
bkH2.	SEVIKAR 40mg/5mg tablets
bkH3.	SEVIKAR 40mg/10mg tablets
bkHx.	OLMESARTAN MEDOXOMIL+AMLODIPINE 40mg/10mg tablets
bkHy.	OLMESARTAN MEDOXOMIL+AMLODIPINE 40mg/5mg tablets
bkHz.	OLMESARTAN MEDOXOMIL+AMLODIPINE 20mg/5mg tablets
bkI..	OLMESARTAN+AMLODIPINE+HYDROCHLOROTHIAZIDE
bkI1.	SEVIKAR HCT 20mg/5mg/12.5mg tablets
bkI2.	SEVIKAR HCT 40mg/5mg/12.5mg tablets
bkI3.	SEVIKAR HCT 40mg/10mg/12.5mg tablets
bkI4.	SEVIKAR HCT 40mg/5mg/25mg tablets
bkI5.	SEVIKAR HCT 40mg/10mg/25mg tablets
bkJ..	AZILSARTAN
bkJ1.	EDARBI 20mg tablets
bkJ2.	AZILSARTAN MEDOXOMIL 20mg tablets
bkJ3.	EDARBI 40mg tablets
bkJ4.	AZILSARTAN MEDOXOMIL 40mg tablets
bkJ5.	EDARBI 80mg tablets
bkJ6.	AZILSARTAN MEDOXOMIL 80mg tablets
bkD..	AMLODIPINE + VALSARTAN
bkD1.	AMLODIPINE+VALSARTAN 5mg/80mg tablets
bkDz.	EXFORGE 5mg/80mg tablets
bkD3.	AMLODIPINE+VALSARTAN 10mg/160mg tablets
bkDx.	EXFORGE 10mg/160mg tablets
bkD2.	AMLODIPINE+VALSARTAN 5mg/160mg tablets
bkDy.	EXFORGE 5mg/160mg tablets
x03j2	Angiotensin II receptor antagonist
bk7..	Candesartan cilexetil
bk71.	Candesartan cilexetil 2mg tablet
bk75.	Amias 2mg tablet
bk72.	Candesartan cilexetil 4mg tablet
bk76.	Amias 4mg tablet
bk73.	Candesartan cilexetil 8mg tablet
bk77.	Amias 8mg tablet
bk74.	Candesartan cilexetil 16mg tablet
bk78.	Amias 16mg tablet
bk7z.	Candesartan cilexetil 32mg tablet
bk79.	Amias 32mg tablet
bk9..	Eprosartan
bk9x.	Eprosartan 300mg tablet
bk91.	Teveten 300mg tablet
bk9y.	Eprosartan 400mg tablet
bk92.	Teveten 400mg tablet
bk9z.	Eprosartan 600mg tablet
bk93.	Teveten 600mg tablet
bk5..	Irbesartan
bk51.	Irbesartan 75mg tablet
bk54.	Aprovel 75mg tablet
bk52.	Irbesartan 150mg tablet
bk55.	Aprovel 150mg tablet
bk53.	Irbesartan 300mg tablet
bk56.	Aprovel 300mg tablet
bk3..	Losartan
bk31.	Losartan potassium 25mg tablet
bk33.	Cozaar 25mg tablet
bk32.	Losartan potassium 50mg tablet
bk34.	Cozaar 50mg tablet
bk37.	Losartan potassium 100mg tablet
bk38.	Cozaar 100mg tablet
bk3B.	COZAAR 12.5mg tablets
bk3C.	LOSARTAN POTASSIUM 12.5mg tablets
bk3D.	COZAAR 2.5mg/mL oral suspension
bk3E.	LOSARTAN POTASSIUM 2.5mg/mL oral suspension
bk3F.	ZOVENCAL 25mg tablets
bk3G.	ZOVENCAL 50mg tablets
bk3H.	ZOVENCAL 100mg tablets
bkB..	Olmesartan
bkC..	Hydrochlorothiazide + Olmesartan
bkCz.	Olmesartan + hydrochlorothiazide 20mg/12.5mg tablet
bkC1.	Olmetec Plus 20mg/12.5mg tablet
bkCy.	Olmesartan + hydrochlorothiazide 20mg/25mg tablet
bkC2.	Olmetec Plus 20mg/25mg tablet
bkC3.	OLMETEC PLUS 40mg/12.5mg tablets
bkCx.	OLMESARTAN+HYDROCHLOROTHIAZIDE 40mg/12.5mg tablets
bkB1.	Olmesartan medoxomil 10mg tablet
bkB4.	Olmetec 10mg tablet
bkB2.	Olmesartan medoxomil 20mg tablet
bkB5.	Olmetec 20mg tablet
bkB3.	Olmesartan medoxomil 40mg tablet
bkB6.	Olmetec 40mg tablet
bk8..	Telmisartan
bk8z.	Telmisartan 20mg tablet
bk85.	Micardis 20mg tablet
bk81.	Telmisartan 40mg tablet
bk83.	Micardis 40mg tablet
bk82.	Telmisartan 80mg tablet
bk84.	Micardis 80mg tablet
bk88.	MICARDISPLUS 80mg/25mg tablets
bk8w.	TELMISARTAN+HYDROCHLOROTHIAZIDE 80mg/25mg tablets
bk4..	Valsartan
bk41.	Valsartan 40mg capsule
bk44.	Diovan 40mg capsule
bk4v.	VALSARTAN 320mg tablets
bk4B.	DIOVAN 320mg tablets
bk4w.	Valsartan 40mg tablet
bk4A.	Diovan 40mg tablet
bk42.	Valsartan 80mg capsule
bk45.	Diovan 80mg capsule
bk43.	Valsartan 160mg capsule
bk46.	Diovan 160mg capsule
bk4C.	DIOVAN 3mg/mL oral solution
bk4s.	VALSARTAN 80mg tablets
bk4t.	VALSARTAN 160mg tablets
bk4u.	VALSARTAN 3mg/mL oral solution
x03ls	Angiotensin II receptor antagonist+diuretic
bk5z.	Irbesartan+hydrochlorothiazide 150mg/12.5mg tablet
bk57.	CoAprovel 150mg/12.5mg tablet
bk5y.	Irbesartan+hydrochlorothiazide 300mg/12.5mg tablet
bk58.	CoAprovel 300mg/12.5mg tablet
bk5x.	IRBESARTAN+HYDROCHLOROTHIAZIDE 300mg/25mg tablets
bk59.	COAPROVEL 300mg/25mg tablets
bk35.	Losartan potassium+hydrochlorothiazide 50mg/12.5mg tablet
bk36.	Cozaar-Comp 50mg/12.5mg tablet
bk3y.	LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 100mg/12.5mg tablets
bk3A.	COZAAR-COMP 100mg/12.5mg tablets
bk3z.	Losartan potassium+hydrochlorothiazide 100mg/25mg tablet
bk39.	Cozaar-Comp 100mg/25mg tablet
bk8x.	Telmisartan+hydrochlorothiazide 40mg/12.5mg tablet
bk86.	MicardisPlus 40mg/12.5mg tablet
bk8y.	Telmisartan+hydrochlorothiazide 80mg/12.5mg tablet
bk87.	MicardisPlus 80mg/12.5mg tablet
bk4x.	Valsartan+hydrochlorothiazide 80mg/12.5mg tablet
bk49.	Co-Diovan 80mg/12.5mg tablet
bk4z.	Valsartan+hydrochlorothiazide 160mg/12.5mg tablet
bk47.	Co-Diovan 160mg/12.5mg tablet
bk4y.	Valsartan+hydrochlorothiazide 160mg/25mg tablet
bk48.	Co-Diovan 160mg/25mg tablet
