readcode	Description
7414500	Antral washout - nasal
7414511	BAWO
7414600	Direct closure of defect of nasal sinus
7414700	Reconstruction of defect of nasal sinus with skin graft
7414800	Reconstruction of defect of nasal sinus with local flap
7414900	Reconstruction of defect of nasal sinus with distant flap
7414A00	Reconstruction of defect of nasal sinus with microvascular transfered flap
7414B00	Reconstruction of defect of nasal sinus with bone graft
7414y00	Other specified operation on unspecified nasal sinus
7414z00	Operation on unspecified nasal sinus NOS
7415.00	Functional endoscopic sinus surgery - diagnostic endoscopy of nose and sinus
7415.11	Functional endoscopic sinus surgery - diagnostic nasal antroscopy
7415000	Functional endoscopic sinus surgery - diagnostic antroscopy via canine fossa
7415100	Functional endoscopic sinus surgery - diagnostic antroscopy via inferior meatus
7415200	Functional endoscopic sinus surgery - diagnostic antroscopy via middle meatus
7415y00	Other specified functional endoscopic sinus surgery - diagnostic endoscopy of nose or sinus
7415z00	Functional endoscopic sinus surgery - diagnostic endoscopy of noseor sinus NOS
7416.00	Functional endoscopic sinus surgery - therapeutic endoscopy of nose and sinus
7416.11	Functional endoscopic sinus surgery - therapeutic nasal antroscopy
7416000	Functional endoscopic sinus surgery - therapeutic antroscopy via canine fossa
7416100	Functional endoscopic sinus surgery - therapeutic antroscopy via inferior meatus
7416200	Functional endoscopic sinus surgery - therapeutic antroscopy via middle meatus
7416300	FESS/Uncinectomy
7416400	Functional endoscopic sinus surgery - uncinectomy and excision of bulla
7416500	FESS/Anterior ethmoidectomy
7416600	Functional endoscopic sinus surgery - anterior ethmoidectomy and frontal recess dissection
7416700	Functional endoscopic sinus surgery - anterior and posterior ethmoidectomy
7416800	FESS/Sphenoidectomy
7416900	Functional endoscopic sinus surgery - antrostomy via middle meatus
7416A00	Functional endoscopic sinus surgery - antrostomy via inferior meatus
7416B00	Functional endoscopic sinus surgery - excisional surgery to middle turbinate
7416C00	Functional endoscopic sinus surgery - post operative suction clearance under local anaesthetic
7416D00	Functional endoscopic sinus surgery - post operative removal of polyps under local anaesthetic
7416E00	Functional endoscopic sinus surgery - post operative division of adhesions
7416F00	Functional endoscopic sinus surgery - polypectomy of nasal sinus
7416y00	Other specified functional endoscopic sinus surgery - therapeutic endoscopy of nose or sinus
7416z00	Functional endoscopic sinus surgery - therapeutic endoscopy of nose or sinus NOS
7417.00	Other operations on frontal sinus
7417000	Frontal sinus osteoplasty
7417y00	Other specified other operations on frontal sinus
7417z00	Other operations on frontal sinus NOS
7418.00	Diagnostic nasendoscopy
741y.00	Other specified operations on nasal sinus
741z.00	Nasal sinus operations NOS
7M1B000	Functional endoscopic sinus surgery
7M1B100	Functional endoscopic nasal surgery
H010.00	Acute maxillary sinusitis
H011.00	Acute frontal sinusitis
H111.00	Polypoid sinus degeneration
H111z00	Polypoid sinus degeneration NOS
H11y.00	Other polyp of sinus
H11y.11	Nasal sinus polyps
H11y000	Polyp of frontal sinus
H11y100	Polyp of ethmoidal sinus
H11y200	Polyp of maxillary sinus
H11y300	Polyp of sphenoidal sinus
H11yz00	Other polyp of sinus NOS
H13..00	Chronic sinusitis
H13..11	Chronic rhinosinusitis
H130.00	Chronic maxillary sinusitis
H130.11	Antritis - chronic
H130.12	Maxillary sinusitis
H131.00	Chronic frontal sinusitis
H131.11	Frontal sinusitis
H132.00	Chronic ethmoidal sinusitis
H133.00	Chronic sphenoidal sinusitis
H134.00	Fistula of nasal sinus
H135.00	Recurrent sinusitis
H13y.00	Other chronic sinusitis
H13y000	Chronic pansinusitis
H13yz00	Other chronic sinusitis NOS
H13z.00	Chronic sinusitis NOS
Hyu2200	[X]Other chronic sinusitis
Hyu2300	[X]Other polyp of sinus
J083500	Oroantral fistula
