CTV3PreferredTermDesc	CTV3ID	CTV3Source
Influenza with pneumonia NOS	H270z	CTV3_Children
"Influenza with pneumonia, influenza virus identified"	H2701	CTV3_Children
Influenza with respiratory manifestations NOS	H271z	CTV3Map_Code_And_Term
Influenzal pneumonia	H270.	CTV3_Children
Influenza-like illness	XM0rz	CTV3Map_Code_And_Term
Influenza-like illness	XM0rz	CTV3Map_Code_Only
Influenza-like symptoms	XaIBK	CTV3Map_Code_And_Term
Obliterating fibrous bronchiolitis	H0614	CTV3Map_Code_And_Term
Parainfluenza type 1 nucleic acid detection	XaMB6	CTV3Map_Code_And_Term
Parainfluenza type 2 nucleic acid detection	XaMB7	CTV3Map_Code_And_Term
Parainfluenza type 3 nucleic acid detection	XaMB8	CTV3Map_Code_And_Term
Parainfluenzal pneumonia	H202.	CTV3_Children
Pneumonia and influenza	H2...	CTV3_Children
Possible influenza A virus H1N1 subtype	XaQVc	CTV3Map_Code_And_Term
Postoperative chest infection	SP132	CTV3_Children
Respiratory tract infection (& [acute lower] or [lower])	H06z1	CTV3_Children
Subacute bronchitis unspecified	H060v	CTV3_Children
Suspected influenza A virus subtype H1N1 infection	XaQSm	CTV3Map_Code_Only
Suspected influenza A virus subtype H1N1 infection	XaQSm	CTV3Map_Code_And_Term
Toxic bronchiolitis obliterans	H4641	CTV3_Children
Viral pneumonia (& chest infection)	H20..	CTV3_Children
"[X]Influenza with other manifestations, virus not identified"	Hyu07	CTV3Map_Code_And_Term
