a23v.	Gaviscon Advance s/f susp
bu2B.	Aspirin 75mg e/c tablet
bi6C.	Ramipril 2.5mg tablet
bdf2.	Bisoprolol fumarate 10mg tab
bl3d.	Isosorbide mono 50mg m/r cap
bp1M.	JEXT 300micrograms/0.3mL pen
bl5I.	Adizem-XL 240mg m/r capsule
bk52.	Irbesartan 150mg tablet
b311.	Frusemide 20mg tablet
bxc8.	Fenofibrate 267mg capsule
bk7z.	Candesartan cilexetil 32mg tab
bdmz.	Nebivolol 5mg tablet
bl3y.	Isosorbide mono 60mg m/r tab
bs85.	EDOXABAN 30mg tablets
bo4y.	Naftidrofuryl 100mg capsule
bk71.	Candesartan cilexetil 2mg tab
b312.	Frusemide 40mg tablet
bxcA.	Fenofibrate 160mg m/r tablet
bl8e.	Coracten SR 20mg m/r capsule
bi32.	Lisinopril 5mg tablet
blb1.	Amlodipine 5mg tablet
bxi1.	Atorvastatin 10mg tablet
bs18.	Warfarin sodium 3mg tablet
bk72.	Candesartan cilexetil 4mg tab
bb1x.	Amiodarone HCl 100mg tablet
bxi2.	Atorvastatin 20mg tablet
bl8U.	Nifedipress MR 20 m/r tablet
bi52.	Perindopril tert-butyl 4mg tab
blc2.	Felodipine 10mg m/r tablet
bxiz.	Atorvastatin 80mg tablet
bs4x.	DABIGATRAN ETEXILATE 150mg cap
bl3W.	Chemydur 60XL m/r tablet
bdl4.	Carvedilol 25mg tablet
c14j.	Terbutaline 500mcg bth-act inh
blc1.	Felodipine 5mg m/r tablet
bi57.	Perindopril erbumine 8mg tab
blh1.	Lercanidipine HCl 10mg tablet
c13J.	Salbutamol 100mcg CFC-free inh
bs6y.	RIVAROXABAN 15mg tablets
blkN.	Monomil XL 60mg m/r tablet
bf41.	Moxonidine 200micrograms tab
c331.	Tiotropium 18mcg inhal cap
bxdz.	Simvastatin 80mg tablet
bk37.	Losartan potassium 100mg tab
bu23.	Aspirin 75mg dispersible tab
c13U.	Sal 100 CFC-fr br-act aero inh
bs74.	APIXABAN 5mg tablets
bs86.	EDOXABAN 60mg tablets
bh63.	Doxazosin 4mg tablet
c673.	Symbicort 400/12 Turbohaler
bxe7.	Pravastatin sodium 40mg tablet
bl5g.	Diltiazem HCl 240mg m/r cap
bu51.	Clopidogrel 75mg tablet
c1D6.	Seretide 250 Evohaler
bu25.	Aspirin 75mg tablet
bxd1.	Simvastatin 10mg tablet
bi57.	Perindopril tert-butyl 8mg tab
c6A1.	FOSTAIR 100mcg/6mcg inhaler
c1D5.	Seretide 125 Evohaler
blb2.	Amlodipine 10mg tablet
bxa7.	Omacor 1g capsule
c351.	INCRUSE ELLIPTA 55mcg/dose inh
bxd5.	Simvastatin 40mg tablet
bxd2.	Simvastatin 20mg tablet
bi6D.	Ramipril 5mg tablet
c6B2.	FLUTC FUR+VILANT 184/22mcg inh
c1E8.	Easyhaler Salbut 200mcg inh
bs6x.	RIVAROXABAN 20mg tablets
c19z.	Salmeterol 25mcg CFC-free inh
c51M.	SPIOLTO RESPIMT 2.5/2.5mcg inh
bxi3.	Atorvastatin 40mg tablet
bxkw.	Rosuvastatin 5mg tablet
bk41.	Valsartan 40mg capsule
c6B3.	RELVAR ELLIPTA 92mcg/22mcg inh
c666.	Qvar 100 inhaler
bxl1.	Ezetimibe 10mg tablet
c333.	TIOTROPIUM 2.5mcg carts+device
c665.	Qvar 50 inhaler
c13o.	Salbutamol 5mg/2.5mL neb unit
c1c2.	FLUTIFORM 125mcg/5mcg inhaler
bk73.	Candesartan cilexetil 8mg tab
d1hz.	MELATONIN 2mg m/r tablets
c66c.	CLENIL MODULITE 50mcg inhaler
c13T.	Ventolin 100mcg Evohaler
c64c.	Pulmicort 100mcg turbo 200dose
c6A3.	FOSTAIR 200mcg/6mcg inhaler
c13v.	Salbutamol 100mcg inhaler
c43f.	Uniphyllin Cont 200mg m/r tab
bk74.	Candesartan cilexet 16mg tab
d4s2.	Quetiapine 100mg tablet
da52.	Sertraline 100mg tablet
c31t.	Ipratrop br 20mcg CFC-free inh
c66d.	CLENIL MODULITE 100mcg inhaler
c84w.	Chlorphenir 2mg/5mL s/f syrup
c13w.	Salbutam 2.5mg/2.5mL neb unit
c66f.	CLENIL MODULITE 250mcg inhaler
bs17.	Warfarin sodium 1mg tablet
d4s3.	Quetiapine 200mg tablet
da67.	PAROXETINE 10mg tablets
c61t.	Beclometh dip 250mcg inhaler
c8kx.	Alimemazine tartrate 10mg tab
c8n1.	Cetirizine 10mg tablet
c1A2.	Sodium chloride 0.9% neb unit
d1d1.	Zopiclone 7.5mg tablet
bs72.	APIXABAN 2.5mg tablets
d711.	Amitriptyline HCl 10mg tablet
da71.	Venlafaxine 37.5mg tablet
c84w.	Chlorphena 2mg/5mL s/f syrup
d28y.	Hydroxyzine HCl 25mg tablet
c8p1.	Fexofenadine HCl 120mg tablet
c31w.	Ipratropium 500mcg/2mL neb sol
d4e4.	Promazine HCl 25mg tablet
bxkx.	Rosuvastatin 10mg tablet
da72.	Venlafaxine 75mg tablet
da77.	Venlafaxine 75mg m/r capsule
c8kx.	Trimeprazine tartrate 10mg tab
d4ev.	Promazine HCl 25mg/5mL syrup
d1d3.	Zopiclone 3.75mg tablet
c6B1.	RELVAR ELLIPTA 184/22mcg inh
d4jx.	Zuclopenthixol 2mg tablet
c1Dw.	Salm+flut 25/250 CFC-free inh
dB16.	MEMANTINE HCL 20mg tablets
daC1.	Escitalopram 10mg tablet
d2a1.	Lorazepam 1mg tablet
d616.	Priadel 200mg m/r tablet
d1f3.	Zolpidem tartrate 10mg tablet
c841.	Chlorphenamine 4mg tablet
d4sI.	SONDATE XL 200mg m/r tablets
c61t.	Beclometa dip 250mcg inhaler
dhed.	Prochlor mal 3mg buccal tablet
dia6.	Co-dydramol 10mg/500mg tablet
d75y.	Dothiepin HCl 25mg capsule
d713.	Amitriptyline HCl 50mg tablet
d75z.	Dothiepin HCl 75mg tablet
c8o1.	Loratadine 10mg tablet
d75z.	Dosulepin HCl 75mg tablet
c6A2.	FOSTAIR NEXTHALER 100/6mcg inh
di22.	Paracetamol 500mg sol tab
djkr.	Oxycodone HCl 5mg/5mL s/f liq
d7e5.	Trazodone HCl 150mg tablet
d75y.	Dosulepin HCl 25mg capsule
dh4y.	Cyclizine HCl 50mg tablet
c8rz.	Desloratadine 5mg tablet
da95.	Citalopram 40mg tablet
c841.	Chlorpheniramine 4mg tablet
di2q.	Paracetamol 500mg capsule
dn35.	Tegretol 200mg tablet
da61.	Paroxetine 20mg tablet
da51.	Sertraline 50mg tablet
dia7.	Paracet+dextropropoxy HCl tab
cA1y.	Montelukast 4mg/sachet grans
daB5.	Mirtazapine 15mg disp tab
c8p3.	Fexofenadine HCl 180mg tablet
djzj.	Zomorph 10mg m/r capsule
dn39.	Tegretol Retard 400mg m/r tab
da7q.	VENLAFAXINE 37.5mg m/r tablets
da7Q.	VENSIR XL 150mg m/r capsules
dibB.	Co-codamol 30/500mg eff tablet
ce31.	Carbocisteine 375mg capsule
daB7.	Mirtazapine 45mg disp tab
cA11.	Montelukast 10mg tablet
dnb7.	Sodium valproate 200mg e/c tab
dnk7.	Topiramate 25mg tablet
da7w.	VENLAFAXINE 225mg m/r capsules
da91.	Citalopram 20mg tablet
dj1l.	Oramorph 10mg/5mL liquid 100mL
d214.	Diazepam 5mg tablet
daC3.	Escitalopram 20mg tablet
d1h1.	CIRCADIN 2mg m/r tablets
dnbe.	Epilim Chrono 500 m/r tablet
dnov.	Levetiractam 100mg/mL s/f soln
daB1.	Mirtazapine 30mg tablet
daBy.	Mirtazapine 45mg tablet
dj1L.	Morphine sulph 10mg/5mL soln
d4fz.	Sulpiride 200mg tablet
daE2.	VORTIOXETINE 5mg tablets
d213.	Diazepam 2mg tablet
dnbK.	SODUM VALPROATE 300mg m/r caps
dnpx.	Pregabalin 75mg capsule
dh13.	Betahistine HCl 16mg tablet
di21.	Paracetamol 500mg tablet
dj3a.	Transtec 52.5mcg/hour patch
d4s1.	Quetiapine 25mg tablet
dB11.	Memantine HCl 10mg tablet
d4rz.	Olanzapine 10mg disp tab
dnj1.	Gabapentin 100mg capsule
dw1y.	Methylphenidate HCl 5mg tab
dher.	Prochlor mal 5mg tablet
dibt.	Tylex capsule
dj81.	Dihydrocodeine 30mg tablet
d712.	Amitriptyline HCl 25mg tablet
dB12.	Memantine HCl 10mg/g oral dps
d615.	Priadel 400mg m/r tablet
dnj2.	Gabapentin 300mg capsule
e155.	Phenoxymethylpen 125mg/5mL liq
di9y.	Nefopam HCl 30mg tablet
dj41.	Codeine phosphate 15mg tablet
djk8.	OxyNorm 5mg/5mL liquid
d7ex.	Trazodone HCl 50mg capsule
dheB.	Buccastem M 3mg buccal tablet
di2n.	Paracetamol 120mg/5mL susp
dnoz.	Levetiracetam 250mg tablet
e31v.	Co-amoxiclav 125mg/5mL susp
dibB.	Paracet+cod 500mg/30mg eff tab
djAf.	MAROL 100mg m/r tablets
dm1z.	Clonidine HCl 25mcg tablet
da41.	Fluoxetine 20mg capsule
dia2.	Paracet+codeine 500mg/8mg tab
dia2.	Co-codamol 8mg/500mg tablet
dnpw.	Pregabalin 150mg capsule
e3zk.	Amoxicillin 125mg/5mL s/f susp
dibD.	Co-codamol 30mg/500mg capsule
djiv.	TRAMADOL HCL 50mg m/r tablets
dq3A.	Half-Sinemet CR m/r tablet
da93.	Citalopram 10mg tablet
dia6.	Paracet+dihydroco 500/10mg tab
dian.	Co-codamol 30mg/500mg tablet
dnpz.	Pregabalin 25mg capsule
e782.	Oxytetracycl dihyd 250mg tab
dibD.	Paracet+codeine 500mg/30mg cap
dl5A.	Sumatriptan 50mg tablet
dqEx.	Pramipexole 0.088mg tablet
daBz.	Mirtazapine 15mg tablet
dia7.	Co-proxamol 32.5mg/325mg tab
dibz.	Solpadol Caplet
du8y.	VARENICLINE 500microgram tabs
eh81.	Fluconazole 50mg capsule
dic3.	Zapain Caplet
dnbd.	Epilim Chrono 300 m/r tablet
dqGu.	ROTIGOTINE 1mg/24hours patches
dh1z.	Betahistine HCl 8mg tablet
dic4.	Zapain capsule
dj88.	Dihydrocodeine 60mg m/r tablet
dw16.	Equasym XL 20mg m/r capsule
ej76.	Quinine sulphate 300mg tablet
djAh.	MAROL 200mg m/r tablets
dnf5.	Lamotrigine 25mg tablet
dr6y.	Procyclidine HCl 5mg tablet
dh3z.	Cinnarizine 15mg tablet
dj3o.	Buprenorphine 5mcg/hour patch
dji2.	Tramadol HCl 50mg capsule
dy3u.	Galantamine 16mg m/r capsule
f41u.	METFORMIN HCL 1000mg m/r tabs
djiG.	Tramadol HCl 100mg m/r capsule
dnow.	Levetiracetam 750mg tablet
dy12.	Donepezil HCl 10mg tablet
di2r.	Paracetamol 120mg/5mL s/f soln
dj3p.	Buprenorphine 10mcg/hour patch
dnpt.	Pregabalin 300mg capsule
e15w.	Phenoxymethylpen 125mg/5mL s/f
ff2n.	Evorel 75 patch
dnbc.	Epilim Chrono 200 m/r tablet
e692.	Cephalexin 500mg capsule
e311.	Amoxycillin 250mg capsule
di2s.	Paracetamol 120mg/5mL s/f susp
dj3X.	BUTEC 10mcg/hour patches
dq22.	Madopar 125 capsule
e923.	Clarithromycin 125mg/5mL susp
fh1H.	Elleste Duet 2mg tablet
dnjy.	Gabapentin 600mg tablet
eiM4.	ZYCLARA 3.75% cream 250mg sach
e31t.	Co-amoxiclav 250mg/125mg tab
di2u.	Paracetamol 250mg/5mL s/f susp
dn9z.	Phenytoin sodium 100mg capsule
du8x.	VARENICLINE 500mcg+1mg tablets
ec13.	Co-trimoxazole 960mg tablet
ftk6.	ALOGLIPTIN 25mg tablets
dnox.	Levetiracetam 1g tablet
ff2N.	Elleste-Solo 1mg tablet
e758.	Doxycycline 100mg capsule
dian.	Paracet+codeine 500mg/30mg tab
dnp7.	Lyrica 300mg capsule
dw1r.	METHYLPHENIDATE 27mg m/r tabs
eg1y.	Nitrofurantoin 50mg capsule
g83E.	LEVEST tablets
dnpu.	Pregabalin 200mg capsule
fg53.	Utovlan 5mg tablet
ej75.	Quinine sulphate 200mg tablet
diaU.	Paracet+codeine 500mg/15mg tab
dnpy.	Pregabalin 50mg capsule
dw2w.	Atomoxetine 40mg capsule
f35x.	GLICLAZIDE 40mg tablets
gdA8.	MARIOSEA XL 4mg m/r capsules
dq3b.	Co-careldop 25mg/100mg m/r tab
ftn2.	CANAGLIFLOZIN 100mg tablets
f298.	LANTUS 100iu/mL p/f pen 3mL
dj42.	Codeine phosphate 30mg tablet
dqEx.	Pramipexole HCl 0.125mg tablet
e15x.	Phenoxymethlypen 250mg/5mL s/f
f41y.	Metformin HCl 500mg tablet
gh52.	Sildenafil 50mg tablet
e3zn.	Amoxycillin 250mg/5mL susp
g429.	Clotrimazole 1% cream
f41x.	Metformin HCl 500mg m/r tab
djkN.	LONGTEC 20mg m/r tablets
e311.	Amoxicillin 250mg capsule
e312.	Amoxycillin 500mg capsule
fl1u.	Desmopressin 120mcg wafer
h323.	Efudix cream
e76z.	Lymecycline 408mg capsule
g834.	Microgynon 30 tablet
f929.	LEVOTHYROXINE 100mcg/5mL soln
dnax.	PRIMIDONE 50mg tablets
e77x.	Minocycline 100mg capsule
e3zn.	Amoxicillin 250mg/5mL susp
ft8z.	SITAGLIPTIN 100mg tablets
h324.	Fluorouracil 5% cream
ei18.	Acyclovir 400mg tablet
ga27.	Mirena 52mg i-u system
fe62.	Prednisolone 5mg tablet
dnby.	Sodium valp 200mg/5mL s/f liq
ei18.	Aciclovir 400mg tablet
e927.	Clarithromycin 500mg tablet
g8A5.	LUCETTE tablets
h8E3.	STELARA 45mg/0.5mL inj pfs
f144.	NovoRapid FlexPen 100u/mL 3mL
gc71.	Tamsulosin HCl 400mcg m/r cap
fh1q.	Ethinyl+norel 600mcg/6mg patch
dnf1.	Lamotrigine 50mg tablet
eiM3.	IMIQUIMOD 3.75% cream
f41B.	BOLAMYN SR 500mg m/r tablets
ga36.	Depo-Provera 150mg/1mL syringe
h8E4.	USTEKINUMAB 45mg/0.5mL inj pfs
f2A2.	Levemir 100iu/mL p/f pen 3mL
gc76.	Tabphyn MR 400mcg m/r capsule
fth4.	DAPAGLIFLOZIN 10mg tablets
dnf2.	Lamotrigine 100mg tablet
f2B1.	TRESIBA FLEXTOUCH 100iu/mL pen
f41J.	SUKKARTO SR 1000mg m/r tablets
gddz.	Solifenacin succinate 5mg tab
i11t.	Ferrous fumarate 210mg tablet
f3A3.	Glimepiride 1mg tablet
gda3.	Oxybutynin HCl 5mg tablet
ga8A.	Desogestrel 75mcg tablet
dnjz.	Gabapentin 800mg tablet
f921.	Levothyroxine Na 25mcg tablet
f923.	Thyroxine sodium 100mcg tablet
ip16.	Alfacalcidol 250nanograms cap
ip3f.	Calcichew D3 Forte tablet
f921.	Thyroxine sodium 25mcg tablet
gdh4.	MIRABEGRON 50mg m/r tablets
gdex.	Duloxetine 30mg g/r capsule
dw1n.	METHYLPHENIDATE 54mg m/r tabs
f922.	Levothyroxine Na 50mcg tablet
fa1z.	Carbimazole 5mg tablet
ip29.	Calcitriol 3mcg/g ointment
ip3w.	ACCRETE D3 tablets
f922.	Thyroxine sodium 50mcg tablet
h8E2.	USTEKINUMAB 45mg/0.5mL inj
gh53.	Sildenafil 100mg tablet
dw31.	ELVANSE 30mg capsules
ff41.	Premarin 625micrograms tablet
fe32.	Dexamethasone 2mg tablet
ip3j.	Adcal-D3 1.5g/10mcg chew tab
j612.	Allopurinol 300mg tablet
fh1M.	Elleste Duet 1mg tablet
he42.	Tamoxifen 20mg tablet
h32E.	FLUOROURAC+SALICYLIC 5/100mg/g
e222.	Flucloxacillin 500mg capsule
fg51.	Norethisterone 5mg tablet
ff2z.	Oestradiol 2mg tablet
j28Y.	Ibuprofen 100mg/5mL s/f susp
ja1F.	Voltarol Emulgel gel 20g
fh1O.	Evorel Conti patch
heE1.	Letrozole 2.5mg tablet
h71x.	Azathioprine 50mg tablet
e312.	Amoxicillin 500mg capsule
fg6t.	PROGESTERONE 100mg capsules
fi65.	AINDEEM 1mg tablets
j82z.	Baclofen 5mg/5mL s/f liquid
k3g1.	Fusidic acid 1% m/r eye drops
fi64.	Propecia 1mg tablet
j282.	Ibuprofen 400mg tablet
i332.	Folic acid 5mg tablet
e3zk.	Amoxycillin 125mg/5mL s/f susp
fi63.	Finasteride 1mg tablet
fo44.	Fosamax Once Weekly 70mg tab
ja1Y.	Diclofenac sodium 1% gel
k8o3.	BIMATOPROST 0.1mg/mL eye drops
fl18.	Desmopressin acetat 200mcg tab
j2c1.	Naproxen 250mg tablet
iddP.	NUTILIS CLEAR powder 175g
e692.	Cefalexin 500mg capsule
fl1t.	DESMOPRESSIN 240mcg wafer
ft5x.	Pioglitazone 45mg tablet
k65z.	Fluorometholone 0.1% eye drops
ka33.	XAILIN NIGHT eye ointment 5g
ftf2.	LINAGLIPTIN 5mg tablets
ja2S.	Capsaicin 0.025% cream
if12.	Ketovite liquid 100mL
eg1w.	Nitrofurantoin 100mg m/r cap
fo4y.	Alendronic acid 70mg tablet
ftdz.	SAXAGLIPTIN 5mg tablets
k8r1.	BIMATPRST 0.03%/TIMOL 0.5% e/d
l12z.	Acetic acid 2% ear spray
fth2.	FORXIGA 10mg tablets
k8h1.	Dorzolamide 2% ophthalmic soln
ip3R.	COLECALCIFEROL 20000iu caps
eiM1.	Imiquimod 5% cream
ftl2.	ALOGLP+METFORM 12.5/1000mg tab
g83G.	RIGEVIDON tablets
kb8R.	HYLO-CARE 0.1%/2% e/d 10mL
l864.	Rinatec 0.03% aq nasal spray
gh83.	Vardenafil 20mg tablet
k8i1.	Latanoprost 0.005% eye drops
ip3s.	CALCICHW D3 1.25g/400iu caplet
f143.	NovoRapid Penfill 100u/mL 3mL
fw22.	NovoMix 30 FlexPen pen 3mL
g892.	Ethinyl+norgest 35/250mcg tab
l8Dz.	Mometasone 0.05% nasal spray
le2g.	CEPTON MED 1% skin wash 150mL
i111.	Fersaday 322mg tablet
k8lz.	Brinzolamide 10mg/mL eye drops
j28Y.	Ibuprofen 100mg/5mL s/f syrup
f29C.	ABASAGLAR KWIKPEN 100iu/mL 3mL
g892.	Ethinyl+norges 35/250mcg tab
gddy.	Solifenacin 7.5mg tablet
lb13.	Difflam Sore Throat rnse 200mL
m113.	Cetomacrogol Formula A crm BP
ip3h.	Cacit D3 granules
ka2y.	Hypromellose 0.5% eye drops
j2c2.	Naproxen 500mg tablet
f3A1.	Glimepiride 2mg tablet
gdA1.	Tolterodine L-tart 1mg tablet
gdew.	Duloxetine 60mg g/r capsule
m115.	Diprobase cream 50g
m21L.	Cetraben cream 125g
j29A.	Indomethacin 75mg m/r tablet
ka8z.	Carbomer-980 0.2% liq eye gel
j2pW.	IBUPROFEN 400mg capsules
f41A.	GLUCOPHAGE SR 1000mg m/r tabs
i111.	Fersaday 304mg tablet
h32D.	ACTIKERALL 5/100mg/g soln 25mL
m21A.	E45 lotion
m24w.	UREA 5% cream
j2b1.	Mefenamic acid 250mg capsule
l36w.	Betamethasone+neomycin drops
j85y.	Methocarbamol 750mg tablet
f923.	Levothyroxine Na 100mcg tablet
i151.	Ferrous sulphate 200mg tablet
i119.	Ferrous fumarate 322mg tablet
m21q.	Aveeno cream 100mL
m24y.	Urea 10% lotion
j436.	Depo-Med+Lido 40/10mg/1mL inj
l887.	FLUTICASONE 27.5mcg nasal spry
ja18.	Algesal cream
ff2z.	Estradiol 2mg tablet
i312.	Hydroxocobalamin 1mg/1mL inj
ip3e.	Calc+colecalc 1.25g/10mcg tab
m25g.	Diprobath Emollient 500mL
m25N.	DOUBLEBSE EMLLNT shwr gel 200g
ja2M.	Fenbid 5% gel 30g
m112.	Buffered cream BP
ja1u.	Felbinac 3% gel
fh1S.	Kliovance 1mg/0.5mg tablet
i321.	Cyanocobalamin 1mg/1mL inj
j29A.	Indometacin 75mg m/r tablet
m277.	Dermol cream 100g
m25P.	QV wash lotion 200mL
k321.	Chloramphenicol 0.5% eye drops
m114.	Cetomacrogol Formula B crm BP
ja2h.	Ibuleve Max Strength gel 50g
ft9y.	EXENATIDE 10mcg/0.04mL inj pen
i962.	Water for injections inj 2mL
j2n2.	Meloxicam 7.5mg tablet
m28k.	DOUBLEBASE DAYLEVE gel 100g
m25Q.	DOUBLEBASE EMOL bath add 500mL
k8fy.	Timolol 0.25% eye drops
m128.	Paraffin yellow soft BP
ja2X.	Fenbid Forte 10% gel 100g
g891.	Cilest tablet
idmp.	Glutafin GF pasta spirals 500g
ja1U.	Ibuprofen 5% gel
m417.	Hydrocortisone 0.5% cream 15g
m272.	Dermol 500 lotion
k8i3.	MONOPOST 50mcg/mL e/dps 0.2mL
m128.	Yellow soft paraffin
k8sz.	BRINZOLAMD 1%/TIMOLOL 0.5% e/d
ga27.	Mirena 20mcg/24hrs i-u system
ip3i.	Ca+cholecalcif 1.5g/10mcg tab
ja1y.	Piroxicam 0.5% gel
m454.	Daktacort cream 30g
m28b.	EPADERM cream 500g
ka92.	CELLUVISC 0.5% s-d eye drops
m215.	Zinc+castor oil ointment BP
kb8P.	HYLO-TEAR 0.1% eye drops 10mL
gdAA.	NEDITOL XL 4mg m/r capsules
j54z.	Hydroxychloroq sulph 200mg tab
ja2z.	Ibuprofen 10% gel
m48G.	AUDAVATE RD 0.025% oint 100g
m312.	Calamine 4% aqueous cream BP
m11a.	Diprobase dispenser cream 500g
m21D.	Dermamist spray
kb8Q.	HYLO-FORTE 0.2% eye drops 10mL
gddy.	Solifenacin succinate 10mg tab
j611.	Allopurinol 100mg tablet
k69y.	Sodium cromoglicate 2% e/d
m49r.	BETAMTH+NEOMYCN 0.1%/0.5% oint
m348.	Anthisan Plus Sting Relief spr
m128.	Soft yellow paraffin
m21z.	Epaderm ointment 500g
l8B1.	Triamcinol acetonid 55mcg spry
gddz.	Solifenacin 3.8mg tablet
ja3C.	VOLTAROL 12 HOUR EMULGEL P 30g
ka9B.	XAILIN FRSH 0.5% s-d e/d 0.4mL
m4gz.	Fluocinolone acet 0.025% crm
m351.	Doxepin hydrochloride 5% cream
m12b.	Wool alcohols ointment BP
m24Z.	FLEXITOL HEEL BALM 40g
l8B2.	Nasacort 55mcg aq nasal spray
gde3.	Cymbalta 30mg g/r capsule
ja3E.	DICLOFENAC SODIUM 2% gel
l81z.	Beclometh 50mcg aq nasl spray
m4j2.	Haelan 0.0125% ointment 60g
m421.	Hydrocortisone 0.5% oint 15g
m151.	Zinc compound paste BP
m25j.	Oilatum Emollient 250mL
l8D1.	Nasonex 0.05% aqu nasal spray
h341.	Methotrexate 2.5mg tablet
k32w.	Chloramphenicol 1% eye oint
m111.	Aqueous cream BP
m4kz.	Halcinonide 0.1% cream
m422.	Hydrocortisone 1% ointment 15g
m213.	Zinc 32% cream BP
m25z.	Aveeno Colloidal add 50g sach
le2d.	CHLORHEXDNE GLUCON 0.1% lotion
h82A.	Neoral 25mg capsule
k8i2.	Xalatan 0.005% eye drops 2.5mL
m124.	Hydrous wool fat BP
m4q5.	Mometasone 0.1% lotion 30mL
m45k.	Nystaform-HC 0.5% cream 30g
m214.	Zinc 15% ointment BP
m279.	DERMOL WASH emulsion 200mL
le2f.	CHLORHEX GLUCON 1% wash lotion
h8E1.	STELARA 45mg/0.5mL inj
k8j4.	MIRVASO gel
m127.	Paraffin white soft BP
m518.	Carbo-Dome 10% cream 30g
m45Z.	Hydrocort+clotrimaz 1%/1% crm
m271.	Oilatum Plus bath emollient
m288.	DOUBLEBASE EMOLLIENT gel 200g
m128.	YSP - Yellow soft paraffin
in44.	Thiamine HCl 50mg tablet
