a23n.	GAVISCON-250 tablets
bk74.	CANDESARTAN CILEXET 16mg tabs
bxd5.	SIMVASTATIN 40mg tablets
c1c2.	FLUTIFORM 125mcg/5mcg inhaler
c331.	TIOTROPIUM 18mcg inhal caps
bu23.	ASPIRIN 75mg disp tabs
c66d.	CLENIL MODULITE 100mcg inhaler
d1hz.	MELATONIN 2mg m/r tablets
bs18.	WARFARIN SODIUM 3mg tablets
bl8e.	CORACTEN SR 20mg m/r capsules
bxkw.	ROSUVASTATIN 5mg tablets
c1D6.	SERETIDE 250 Evohaler
c351.	INCRUSE ELLIPTA 55mcg/dose inh
bxdz.	SIMVASTATIN 80mg tablets
c8n1.	CETIRIZINE 10mg tablets
d214.	DIAZEPAM 5mg tablets
bu25.	*ASPIRIN 75mg tablets
blb1.	AMLODIPINE 5mg tablets
c1E8.	EASYHALER SALBUT 200mcg inh
c8kx.	ALIMEMAZINE 10mg tablets
c841.	CHLORPHENAMINE 4mg tablets
bxe7.	PRAVASTATIN SODIUM 40mg tabs
ce31.	CARBOCISTEINE 375mg capsules
d4s1.	QUETIAPINE 25mg tablets
bu2B.	ASPIRIN 75mg e/c tablets
blcr.	CARDIOPLEN XL 2.5mg m/r tabs
c31t.	IPRATROPIUM 20mcg CFC-free inh
cA11.	MONTELUKAST 10mg tablets
d28y.	HYDROXYZINE HCL 25mg tablets
bxi3.	ATORVASTATIN 40mg tablets
d213.	DIAZEPAM 2mg tablets
d4sI.	SONDATE XL 200mg m/r tablets
bxcA.	FENOFIBRATE 160mg m/r tablets
bs72.	APIXABAN 2.5mg tablets
c66f.	CLENIL MODULITE 250mcg inhaler
d4ev.	PROMAZINE 25mg/5mL syrup
d4s2.	QUETIAPINE 100mg tablets
c13v.	SALBUTAMOL 100mcg inhaler
da67.	PAROXETINE 10mg tablets
d711.	AMITRIPTYLINE 10mg tablets
bxd1.	SIMVASTATIN 10mg tablets
bs85.	EDOXABAN 30mg tablets
c6B1.	RELVAR ELLIPTA 184/22mcg inh
d4s3.	QUETIAPINE 200mg tablets
d75z.	DOSULEPIN HCL 75mg tablets
c31w.	IPRATROPIUM 500mcg/2mL neb.sol
da93.	CITALOPRAM 10mg tablets
d713.	AMITRIPTYLINE 50mg tablets
c19z.	SALMETEROL 25mcg CFC-free inh
bxa7.	OMACOR 1g capsules
cA1y.	MONTELUKAST 4mg/sachet grans
d75y.	DOSULEPIN HCL 25mg capsules
da52.	SERTRALINE 100mg tablets
c43f.	UNIPHYLLIN CONT 200mg m/r tabs
dh3z.	CINNARIZINE 15mg tablets
da95.	CITALOPRAM 40mg tablets
c1A2.	SODIUM CHLORIDE 0.9% nebules
c13U.	SAL 100 CFC-fr br-act aero inh
d4e4.	PROMAZINE 25mg tablets
da7w.	VENLAFAXINE 225mg m/r capsules
da77.	VENLAFAXINE 75mg m/r capsules
c673.	SYMBICORT 400/12 Turbohaler
dnj2.	GABAPENTIN 300mg capsules
daB7.	MIRTAZAPINE 45mg disp tabs
c665.	QVAR 50 inhaler
c13w.	SALBUTAMOL 2.5mg/2.5mL nebs
da61.	PAROXETINE 20mg tablets
daB5.	MIRTAZAPINE 15mg disp tabs
da7Q.	VENSIR XL 150mg m/r capsules
c6A2.	FOSTAIR NEXTHALER 100/6mcg inh
dnjy.	GABAPENTIN 600mg tablets
dB16.	MEMANTINE HCL 20mg tablets
c8p1.	FEXOFENADINE HCL 120mg tablets
c1D5.	SERETIDE 125 Evohaler
da72.	VENLAFAXINE 75mg tablets
dher.	PROCHLORPERAZINE 5mg tablets
daB1.	MIRTAZAPINE 30mg tablets
d2a1.	LORAZEPAM 1mg tablets
dnp7.	LYRICA 300mg capsules
dh1z.	BETAHISTINE HCL 8mg tablets
d1d1.	ZOPICLONE 7.5mg tablets
c1Dw.	SALM+FLUT 25/250 CFC-free inh
da7q.	VENLAFAXINE 37.5mg m/r tablets
di9y.	NEFOPAM HCL 30mg tablets
daE2.	VORTIOXETINE 5mg tablets
d4rz.	OLANZAPINE 10mg disp tabs
dnpx.	PREGABALIN 75mg capsules
di22.	PARACETAMOL 500mg soluble tabs
d1d3.	ZOPICLONE 3.75mg tablets
c51M.	SPIOLTO RESPIMT 2.5/2.5mcg inh
daC3.	ESCITALOPRAM 20mg tablets
dibt.	TYLEX 500mg capsules
dB11.	MEMANTINE HCL 10mg tablets
d615.	PRIADEL 400mg m/r tablets
dy12.	DONEPEZIL HCL 10mg tablets
di2q.	PARACETAMOL 500mg capsules
d1f3.	ZOLPIDEM TARTRATE 10mg tablets
c61t.	BECLOMET DIP 250mcg inhaler
dB12.	MEMANTINE HCL 10mg/g oral dps
dj1l.	ORAMORPH 10mg/5mL liquid 100mL
dheB.	BUCCASTEM M 3mg buccal tablets
d712.	AMITRIPTYLINE 25mg tablets
e222.	FLUCLOXACILLIN 500mg capsules
di2r.	PARACETAMOL 120mg/5mL s/f elix
d1h1.	CIRCADIN 2mg m/r tablets
c666.	QVAR 100 inhaler
dhed.	PROCHLORPERAZINE 3mg bucc.tabs
dj41.	CODEINE PHOSPHATE 15mg tablets
dia2.	CO-CODAMOL 8mg/500mg tablets
da41.	FLUOXETINE 20mg capsules
e692.	CEFALEXIN 500mg capsules
dj1L.	MORPHINE SULF 10mg/5mL soln
d7ex.	TRAZODONE HCL 50mg capsules
c66c.	CLENIL MODULITE 50mcg inhaler
dic4.	ZAPAIN capsules
dj88.	DIHYDROCODEINE 60mg m/r tabs
diaU.	PARACET+CODEINE 500/15mg tabs
daC1.	ESCITALOPRAM 10mg tablets
f143.	NOVORAPID PENFILL 100u/mL 3mL
dj3p.	BUPRENORPHINE 10mcg/hour patch
da51.	SERTRALINE 50mg tablets
c6A1.	FOSTAIR 100mcg/6mcg inhaler
dj3a.	TRANSTEC 52.5mcg/hr patches
djAh.	MAROL 200mg m/r tablets
dibz.	SOLPADOL caplets
dh13.	BETAHISTINE HCL 16mg tablets
f144.	NOVORAPID FLEXPEN 100u/mL 3mL
djkN.	LONGTEC 20mg m/r tablets
da71.	VENLAFAXINE 37.5mg tablets
c6A3.	FOSTAIR 200mcg/6mcg inhaler
dj3o.	BUPRENORPHINE 5mcg/hour patch
djk8.	OXYNORM 5mg/5mL liquid
dm1z.	CLONIDINE HCL 25mcg tablets
di2s.	PARACETAMOL 120mg/5mL s/f susp
f2A2.	LEVEMIR 100iu/mL p/f pen 3mL
djkr.	OXYCODONE HCL 5mg/5mL s/f liq
daBy.	MIRTAZAPINE 45mg tablets
c84w.	*CHLORPHEN 2mg/5mL s/f syrup
dj3X.	BUTEC 10mcg/hour patches
dn39.	TEGRETOL RETARD 400mg m/r tabs
dnb7.	SOD. VALPROATE 200mg e/c tabs
di2u.	PARACETAMOL 250mg/5mL s/f susp
ft9y.	EXENATIDE 10mcg/0.04mL inj pen
dn35.	TEGRETOL 200mg tablets
di21.	PARACETAMOL 500mg tablets
c8p3.	FEXOFENADINE HCL 180mg tablets
dj42.	CODEINE PHOSPHATE 30mg tablets
dn9z.	PHENYTOIN SODIUM 100mg caps
dnby.	SOD. VALPROATE 200mg/5mL sfliq
dibB.	PARACET+COD 500/30mg eff tabs
fth2.	FORXIGA 10mg tablets
dnax.	PRIMIDONE 50mg tablets
di2n.	PARACETAMOL 120mg/5mL susp
d4fz.	SULPIRIDE 200mg tablets
dnow.	LEVETIRACETAM 750mg tablets
dnov.	LEVETIRACTAM 100mg/mL s/f soln
dnf1.	LAMOTRIGINE 50mg tablets
dj81.	DIHYDROCODEINE 30mg tablets
ga8A.	DESOGESTREL 75mcg tablets
dnbd.	EPILIM CHRONO 300 m/r tablets
dia7.	*CO-PROXAMOL tablets
d4jx.	ZUCLOPENTHIXOL DIHCL 2mg tabs
dy3u.	GALANTAMINE 16mg m/r capsules
dnpz.	PREGABALIN 25mg capsules
dnf5.	LAMOTRIGINE 25mg tablets
dl5A.	SUMATRIPTAN 50mg tablets
gddz.	SOLIFENACIN SUCCINATE 5mg tabs
dnj1.	GABAPENTIN 100mg capsules
dian.	PARACET+CODEINE 500/30mg tabs
d616.	PRIADEL 200mg m/r tablets
e31t.	CO-AMOXICLAV 375mg tablets
e312.	AMOXICILLIN 500mg capsules
dnjz.	GABAPENTIN 800mg tablets
dnpt.	PREGABALIN 300mg capsules
h323.	EFUDIX 5% cream
dnk7.	TOPIRAMATE 25mg tablets
dibD.	PARACET+CODEINE 500/30mg caps
d7e5.	TRAZODONE HCL 150mg tablets
e758.	DOXYCYCLINE 100mg capsules
f298.	LANTUS 100iu/mL p/f pen 3mL
dnox.	LEVETIRACETAM 1g tablets
dq3A.	HALF-SINEMET CR m/r tablets
h324.	FLUOROURACIL 5% cream
dnpu.	PREGABALIN 200mg capsules
dic3.	ZAPAIN caplets
da91.	CITALOPRAM 20mg tablets
ej75.	QUININE SULPHATE 200mg tablets
f41u.	METFORMIN HCL 1000mg m/r tabs
dnpy.	PREGABALIN 50mg capsules
dw1n.	METHYLPHENIDATE 54mg m/r tabs
i962.	WATER FOR INJECTIONS inj 2mL
dw31.	ELVANSE 30mg capsules
djiG.	TRAMADOL HCL 100mg m/r caps
daBz.	MIRTAZAPINE 15mg tablets
f29C.	ABASAGLAR KWIKPEN 100iu/mL 3mL
f41y.	METFORMIN HCL 500mg tablets
dq3b.	CO-CARELDOPA 25/100mg m/r tabs
dw1y.	METHYLPHENIDATE HCL 5mg tabs
ip3f.	CALCICHEW D3 FORTE chew tabs
e3zk.	AMOXICILLIN 125mg/5mL s/f susp
djiv.	TRAMADOL HCL 50mg m/r tablets
dh4y.	CYCLIZINE 50mg tablets
f2B1.	TRESIBA FLEXTOUCH 100iu/mL pen
fo44.	FOSAMAX ONCE WEEKLY 70mg tabs
du8x.	VARENICLINE 500mcg+1mg tablets
e3zn.	AMOXICILLIN 250mg/5mL syrup
ip3j.	ADCAL-D3 1.5g/10mcg chew tabs
e927.	CLARITHROMYCIN 500mg tablets
dnbc.	EPILIM CHRONO 200 m/r tablets
dia6.	CO-DYDRAMOL tablets
f41A.	GLUCOPHAGE SR 1000mg m/r tabs
fth4.	DAPAGLIFLOZIN 10mg tablets
dw16.	EQUASYM XL 20mg m/r capsules
e76z.	LYMECYCLINE 408mg capsules
j2b1.	MEFENAMIC ACID 250mg capsules
ec13.	CO-TRIMOXAZOLE 960mg tablets
dnbe.	EPILIM CHRONO 500 m/r tablets
djAf.	MAROL 100mg m/r tablets
f41B.	BOLAMYN SR 500mg m/r tablets
ftk6.	ALOGLIPTIN 25mg tablets
e15w.	PHENOXYMETHYLPEN 125mg/5mL s/f
e923.	CLARITHROMYCIN 125mg/5mL susp
j2n3.	MELOXICAM 15mg tablets
f3A1.	GLIMEPIRIDE 2mg tablets
dnbK.	SODUM VALPROATE 300mg m/r caps
dji2.	TRAMADOL HCL 50mg capsules
f922.	LEVOTHYROXINE NA 50mcg tablets
gda3.	OXYBUTYNIN HCL 5mg tablets
e15x.	PHENOXYMETHYLPEN 250mg/5mL s/f
eg1w.	NITROFURANTOIN 100mg m/r caps
j82y.	BACLOFEN 10mg tablets
f921.	LEVOTHYROXINE NA 25mcg tablets
dq22.	MADOPAR-125 capsules
djzj.	ZOMORPH 10mg m/r capsules
ff2n.	EVOREL-75 patches
gdA8.	MARIOSEA XL 4mg m/r capsules
e77x.	MINOCYCLINE 100mg capsules
eiM1.	IMIQUIMOD 5% cream
k32w.	CHLORAMPHENICOL 1% eye oint
fg6t.	PROGESTERONE 100mg capsules
dqEx.	PRAMIPEXOLE 88mcg tablets
dnf2.	LAMOTRIGINE 100mg tablets
fh1S.	KLIOVANCE 1mg/0.5mg tablets
gddy.	SOLIFENACIN SUCCINATE 10mg tab
e782.	OXYTETRACYCLINE 250mg tablets
eiM4.	ZYCLARA 3.75% cream 250mg sach
k8i1.	LATANOPROST 0.005% eye drops
fh1O.	EVOREL CONTI patches
dqGu.	ROTIGOTINE 1mg/24hours patches
dnoz.	LEVETIRACETAM 250mg tablets
fl1t.	DESMOPRESSIN 240mcg wafer
gdew.	DULOXETINE 60mg g/r capsules
eh81.	FLUCONAZOLE 50mg capsules
f35x.	GLICLAZIDE 40mg tablets
k8lz.	BRINZOLAMIDE 10mg/mL eye drops
fi63.	FINASTERIDE 1mg tablets
du8y.	VARENICLINE 500microgram tabs
dnpw.	PREGABALIN 150mg capsules
g892.	ETHINYL+NORGES 35/250mcg tabs
iddP.	NUTILIS CLEAR powder 175g
ei18.	ACICLOVIR 400mg tablets
fe62.	PREDNISOLONE 5mg tablets
ka2y.	HYPROMELLOSE 0.5% eye drops
fl18.	DESMOPRESSIN ACET 200mcg tabs
eg1y.	NITROFURANTOIN 50mg capsules
dr6y.	PROCYCLIDINE 5mg tablets
gdA1.	TOLTERODINE L-TART 1mg tablets
if12.	*KETOVITE liquid 100mL
eiM3.	IMIQUIMOD 3.75% cream
ff41.	PREMARIN 625micrograms tablets
l36w.	BETAMETHASONE+NEOMYCIN drops
ftf2.	LINAGLIPTIN 5mg tablets
ej76.	QUININE SULPHATE 300mg tablets
dw1r.	METHYLPHENIDATE 27mg m/r tabs
gdex.	DULOXETINE 30mg g/r capsules
j611.	ALLOPURINOL 100mg tablets
f3A3.	GLIMEPIRIDE 1mg tablets
fg51.	NORETHISTERONE 5mg tablets
l812.	BECONASE AQU 50mcg nasal spray
ftl2.	ALOGLP+METFORM 12.5/1000mg tab
f929.	LEVOTHYROXINE 100mcg/5mL soln
dw2w.	ATOMOXETINE 40mg capsules
gh83.	VARDENAFIL 20mg tablets
ja18.	ALGESAL 10% cream
f923.	LEVOTHYROXINE NA 100mcg tabs
fg53.	UTOVLAN 5mg tablets
l81z.	BECLOMET 50mcg aq nasal spray
fw22.	NOVOMIX 30 FLEXPEN pen 3mL
fe32.	DEXAMETHASONE 2mg tablets
e155.	PHENOXYMETHYLPEN 125mg/5mL syr
h341.	METHOTREXATE 2.5mg tablets
ja1F.	*VOLTAROL EMULGEL gel 20g
fa1z.	CARBIMAZOLE 5mg tablets
fi65.	AINDEEM 1mg tablets
l864.	*RINATEC 0.03% aq nasal spray
g834.	MICROGYNON-30 tablets
fh1M.	ELLESTE-DUET 1mg tablets
e311.	AMOXICILLIN 250mg capsules
h8E3.	STELARA 45mg/0.5mL inj pfs
ja3C.	VOLTAROL 12 HOUR EMULGEL P 30g
ff2z.	ESTRADIOL 2mg tablets
ft8z.	SITAGLIPTIN 100mg tablets
m11a.	DIPROBASE dispenser cream 500g
gdAA.	NEDITOL XL 4mg m/r capsules
fh1q.	ETHINYL+NOREL 600mcg/6mg patch
e31v.	*CO-AMOXICLAV 125mg/5mL susp
i151.	FERROUS SULFATE 200mg tablets
k8sz.	BRINZOLAMD 1%/TIMOLOL 0.5% e/d
fi64.	PROPECIA 1mg tablets
g8A5.	LUCETTE tablets
m24y.	UREA 10% lotion
h8E1.	STELARA 45mg/0.5mL inj
ft5x.	PIOGLITAZONE 45mg tablets
f41J.	SUKKARTO SR 1000mg m/r tablets
i332.	FOLIC ACID 5mg tablets
ka92.	CELLUVISC 0.5% s-d eye drops
ftdz.	SAXAGLIPTIN 5mg tablets
gc71.	TAMSULOSIN HCL 400mcg m/r caps
m25j.	OILATUM EMOLLIENT 250mL
i321.	CYANOCOBALAMIN 1mg/1mL inj
ftn2.	CANAGLIFLOZIN 100mg tablets
f41x.	METFORMIN HCL 500mg m/r tabs
ip3z.	COLECALCIFEROL 800iu capsules
kb8t.	SODIUM HYALURON 0.2% s-d e/dps
g429.	CLOTRIMAZOLE 1% cream
gde3.	CYMBALTA 30mg g/r capsules
m25P.	*QV wash lotion 200mL
ip29.	CALCITRIOL 3mcg/g ointment
gc76.	TABPHYN MR 400mcg m/r caps
ff2N.	ELLESTE-SOLO 1mg tablets
j282.	IBUPROFEN 400mg tablets
l882.	FLIXONASE 50mcg nasal spray
ga27.	MIRENA 52mg i-u system
gh53.	SILDENAFIL 100mg tablets
m25U.	OILATUM FRAG FREE SHW gel 150g
ip3h.	CACIT D3 granules
gh52.	SILDENAFIL 50mg tablets
fh1H.	ELLESTE-DUET 2mg tablets
j2c1.	NAPROXEN 250mg tablets
m114.	CETOMACROGOL FORMULA B cream
h32D.	ACTIKERALL 5/100mg/g soln 25mL
h32E.	FLUOROURAC+SALICYLIC 5/100mg/g
m271.	OILATUM PLUS bath emollient
j612.	ALLOPURINOL 300mg tablets
h8E2.	USTEKINUMAB 45mg/0.5mL inj
fl1u.	DESMOPRESSIN 120mcg wafer
j2c2.	NAPROXEN 500mg tablets
m122.	EMULSIFYING ointment
h82A.	NEORAL 25mg capsules
h71x.	AZATHIOPRINE 50mg tablets
m28b.	EPADERM cream 500g
k65z.	FLUOROMETHOLONE eye drops
he42.	TAMOXIFEN 20mg tablets
fo4y.	ALENDRONIC ACID 70mg tablets
j2n2.	MELOXICAM 7.5mg tablets
m128.	PARAFFIN SOFT YELLOW jelly
i11t.	FERROUS FUMARATE 210mg tablets
i119.	FERROUS FUMARATE 322mg tablets
m348.	ANTHISAN PLUS STING RELIEF spr
k8fy.	TIMOLOL 0.25% eye drops
heE1.	LETROZOLE 2.5mg tablets
g83E.	LEVEST tablets
j54z.	HYDROXYCHLORO SULF 200mg tabs
m238.	SUDOCREM cream 125g
i312.	HYDROXOCOBALAMIN 1mg/1mL inj
idmp.	GLUTAFIN pasta spirals 500g
m351.	DOXEPIN HYDROCHLORIDE 5% cream
l12z.	ACETIC ACID 2% ear spray
ip16.	ALFACALCIDOL 250nanograms caps
g83G.	RIGEVIDON tablets
ja1y.	PIROXICAM 0.5% topical gel
m24B.	BALNEUM PLUS cream 100g
ip3i.	CA+COLECALCIF 1.5g/10mcg tabs
ip3e.	CALC+COLECALC 1.25g/10mcg tabs
m411.	HYDROCORTISONE 1% cream 15g
lb13.	DIFFLAM SORE THROAT rnse 200mL
ja1U.	IBUPROFEN 5% gel
g891.	CILEST tablets
ja2M.	FENBID 5% gel 30g
m25A.	AVEENO bath oil 250mL
j436.	DEPO-MED+LIDOC 40mg/10mg inj
ip3R.	COLECALCIFEROL 20,000iu caps
m45V.	HYDROCORT+FUSIDIC 1%/2% cream
le2i.	CEPTON MEDICATED 0.5% gel 30g
ja2h.	IBULEVE MAX STRENGTH gel 50g
ga36.	DEPO-PROVERA 150mg/1mL syringe
ja2z.	IBUPROFEN 10% gel
m25Q.	DOUBLEBASE EMOL bath add 500mL
j85y.	METHOCARBAMOL 750mg tablets
j28Y.	IBUPROFEN 100mg/5mL s/f syrup
m45Y.	HYDROCORT+MICONAZOLE 1%/2% crm
m112.	*BUFFERED cream
l8B2.	NASACORT 55mcg aq nasal spray
gdh4.	MIRABEGRON 50mg m/r tablets
k321.	CHLORAMPHENICOL 0.5% eye drops
m314.	CALAMINE OILY lotion
ja3E.	*DICLOFENAC SODIUM 2% gel
j29A.	*INDOMETACIN 75mg m/r tablets
m45Z.	HYDROCORT+CLOTRIMAZ 1%/1% crm
m115.	DIPROBASE cream 50g
le2f.	CHLORHEX GLUCON 1% wash lotion
h8E4.	USTEKINUMAB 45mg/0.5mL inj pfs
k69y.	SODIUM CROMOGLICATE 2% e/d
m421.	HYDROCORTISONE 0.5% oint 15g
k8h1.	DORZOLAMIDE 2% ophthalmic soln
j2pW.	IBUPROFEN 400mg capsules
m485.	BETNOVATE 0.1% ointment 30g
m214.	ZINC 15% ointment
m111.	AQUEOUS cream
i111.	FERSADAY 322mg tablets
k8i3.	MONOPOST 50mcg/mL e/dps 0.2mL
m422.	HYDROCORTISONE 1% ointment 15g
k8i2.	XALATAN 0.005% eye drops 2.5mL
ja1Y.	*DICLOFENAC SODIUM 1% gel
m48m.	BETAMETHASONE 0.025% cream
m215.	ZINC AND CASTOR OIL ointment
m127.	PARAFFIN WHITE SOFT jelly
in44.	THIAMINE HYDROCHLOR 50mg tabs
k8k1.	DORZOLAMIDE+TIMOLOL 2/0.5% e/d
m45k.	NYSTAFORM-HC 0.5% cream 30g
k8j4.	MIRVASO gel
k6l2.	OPATANOL 1mg/mL eye drops 5mL
m48s.	BETAMETHASONE 0.1% lotion
m21L.	*CETRABEN cream 125g
m213.	ZINC 32% cream
ip3s.	CALCICHW D3 1.25g/400iu caplet
ka2v.	HYPROMELLOSE 0.3% eye drops
m45r.	*TERRA-CORTRIL NYSTATN crm 30g
k8k4.	DORZOL+TIMOL 2%/0.5% s-d drops
k8r1.	BIMATPRST 0.03%/TIMOL 0.5% e/d
m4ew.	DIFLUCORTOLONE VAL 0.1% oint
m21q.	AVEENO cream 100mL
m23V.	ZERODOUBLE gel 100g
ip3w.	ACCRETE D3 tablets
ka32.	LACRI-LUBE eye ointment 5g
m463.	*MODRASONE 0.05% ointment 15g
ka8z.	CARBOMER-980 0.2% liq eye gel
ka9B.	XAILIN FRSH 0.5% s-d e/d 0.4mL
