B22z.11	Lung cancer
B083.	Malignant neoplasm of posterior pharynx
B083.00	Malignant neoplasm of posterior pharynx
B084.	Malignant neoplasm, overlapping lesion of hypopharynx
B084.00	Malignant neoplasm, overlapping lesion of hypopharynx
B08y.	Malignant neoplasm of other specified hypopharyngeal site
B08y.00	Malignant neoplasm of other specified hypopharyngeal site
B08z.	Malignant neoplasm of hypopharynx NOS
B08z.00	Malignant neoplasm of hypopharynx NOS
B0z0.	Malignant neoplasm of pharynx unspecified
B0z0.00	Malignant neoplasm of pharynx unspecified
B0z1.	Malignant neoplasm of Waldeyer's ring
B0z1.00	Malignant neoplasm of Waldeyer's ring
B0z2.	Malignant neoplasm of laryngopharynx
B0z2.00	Malignant neoplasm of laryngopharynx
B181.	Mesothelioma of peritoneum
B181.00	Mesothelioma of peritoneum
B200.	Malignant neoplasm of nasal cavities
B200.00	Malignant neoplasm of nasal cavities
B2001	Malignant neoplasm of nasal conchae
B200100	Malignant neoplasm of nasal conchae
B2002	Malignant neoplasm of septum of nose
B200200	Malignant neoplasm of septum of nose
B2003	Malignant neoplasm of vestibule of nose
B200300	Malignant neoplasm of vestibule of nose
B200z	Malignant neoplasm of nasal cavities NOS
B200z00	Malignant neoplasm of nasal cavities NOS
B202.	Malignant neoplasm of maxillary sinus
B202.00	Malignant neoplasm of maxillary sinus
B203.	Malignant neoplasm of ethmoid sinus
B203.00	Malignant neoplasm of ethmoid sinus
B204.	Malignant neoplasm of frontal sinus
B204.00	Malignant neoplasm of frontal sinus
B205.	Malignant neoplasm of sphenoidal sinus
B205.00	Malignant neoplasm of sphenoidal sinus
B206.	Malignant neoplasm, overlapping lesion of accessory sinuses
B206.00	Malignant neoplasm, overlapping lesion of accessory sinuses
B20z.	Malignant neoplasm of accessory sinus NOS
B20z.00	Malignant neoplasm of accessory sinus NOS
B21..	Malignant neoplasm of larynx
B21..00	Malignant neoplasm of larynx
B210.	Malignant neoplasm of glottis
B210.00	Malignant neoplasm of glottis
B211.	Malignant neoplasm of supraglottis
B211.00	Malignant neoplasm of supraglottis
B212.	Malignant neoplasm of subglottis
B212.00	Malignant neoplasm of subglottis
B213.	Malignant neoplasm of laryngeal cartilage
B213.00	Malignant neoplasm of laryngeal cartilage
B2130	Malignant neoplasm of arytenoid cartilage
B213000	Malignant neoplasm of arytenoid cartilage
B2131	Malignant neoplasm of cricoid cartilage
B213100	Malignant neoplasm of cricoid cartilage
B2132	Malignant neoplasm of cuneiform cartilage
B213200	Malignant neoplasm of cuneiform cartilage
B2133	Malignant neoplasm of thyroid cartilage
B213300	Malignant neoplasm of thyroid cartilage
B213z	Malignant neoplasm of laryngeal cartilage NOS
B213z00	Malignant neoplasm of laryngeal cartilage NOS
B214.	Malignant neoplasm, overlapping lesion of larynx
B214.00	Malignant neoplasm, overlapping lesion of larynx
B215.	Malignant neoplasm of epiglottis NOS
B215.00	Malignant neoplasm of epiglottis NOS
B21y.	Malignant neoplasm of larynx, other specified site
B21y.00	Malignant neoplasm of larynx, other specified site
B21z.	Malignant neoplasm of larynx NOS
B21z.00	Malignant neoplasm of larynx NOS
B22..	Malignant neoplasm of trachea, bronchus and lung
B22..00	Malignant neoplasm of trachea, bronchus and lung
B220.	Malignant neoplasm of trachea
B220.00	Malignant neoplasm of trachea
B2200	Malignant neoplasm of cartilage of trachea
B220000	Malignant neoplasm of cartilage of trachea
B2201	Malignant neoplasm of mucosa of trachea
B220100	Malignant neoplasm of mucosa of trachea
B220z	Malignant neoplasm of trachea NOS
B220z00	Malignant neoplasm of trachea NOS
B221.	Malignant neoplasm of main bronchus
B221.00	Malignant neoplasm of main bronchus
B2210	Malignant neoplasm of carina of bronchus
B221000	Malignant neoplasm of carina of bronchus
B2211	Malignant neoplasm of hilus of lung
B221100	Malignant neoplasm of hilus of lung
B221z	Malignant neoplasm of main bronchus NOS
B221z00	Malignant neoplasm of main bronchus NOS
B222.00	Malignant neoplasm of upper lobe, bronchus or lung
B222.11	Pancoast's syndrome
B2220	Malignant neoplasm of upper lobe bronchus
B222000	Malignant neoplasm of upper lobe bronchus
B2221	Malignant neoplasm of upper lobe of lung
B222100	Malignant neoplasm of upper lobe of lung
B222z	Malignant neoplasm of upper lobe, bronchus or lung NOS
B222z00	Malignant neoplasm of upper lobe, bronchus or lung NOS
B223.	Malignant neoplasm of middle lobe, bronchus or lung
B223.00	Malignant neoplasm of middle lobe, bronchus or lung
B2230	Malignant neoplasm of middle lobe bronchus
B223000	Malignant neoplasm of middle lobe bronchus
B2231	Malignant neoplasm of middle lobe of lung
B223100	Malignant neoplasm of middle lobe of lung
B223z	Malignant neoplasm of middle lobe, bronchus or lung NOS
B223z00	Malignant neoplasm of middle lobe, bronchus or lung NOS
B224.	Malignant neoplasm of lower lobe, bronchus or lung
B224.00	Malignant neoplasm of lower lobe, bronchus or lung
B2240	Malignant neoplasm of lower lobe bronchus
B224000	Malignant neoplasm of lower lobe bronchus
B2241	Malignant neoplasm of lower lobe of lung
B224100	Malignant neoplasm of lower lobe of lung
B224z	Malignant neoplasm of lower lobe, bronchus or lung NOS
B224z00	Malignant neoplasm of lower lobe, bronchus or lung NOS
B225.	Malignant neoplasm of overlapping lesion of bronchus and lung
B225.00	Malignant neoplasm of overlapping lesion of bronchus and lung
B22y.	Malignant neoplasm of other sites of bronchus or lung
B22y.00	Malignant neoplasm of other sites of bronchus or lung
B23..	Malignant neoplasm of pleura
B23..00	Malignant neoplasm of pleura
B230.	Malignant neoplasm of parietal pleura
B230.00	Malignant neoplasm of parietal pleura
B231.	Malignant neoplasm of visceral pleura
B231.00	Malignant neoplasm of visceral pleura
B232.	Mesothelioma of pleura
B232.00	Mesothelioma of pleura
B23y.	Malignant neoplasm of other specified pleura
B23y.00	Malignant neoplasm of other specified pleura
B23z.	Malignant neoplasm of pleura NOS
B23z.00	Malignant neoplasm of pleura NOS
B2414	Mesothelioma of pericardium
B241400	Mesothelioma of pericardium
B25..	Malignant neoplasm, overlapping lesion of heart, mediastinum and pleura
B25..00	Malignant neoplasm, overlapping lesion of heart, mediastinum and pleura
B2zy.	Malignant neoplasm of other site of respiratory tract
B2zy.00	Malignant neoplasm of other site of respiratory tract
B2zz.	Malignant neoplasm of respiratory tract NOS
B2zz.00	Malignant neoplasm of respiratory tract NOS
B300B	Malignant neoplasm of turbinate
B300B00	Malignant neoplasm of turbinate
B300C	Malignant neoplasm of vomer
B300C00	Malignant neoplasm of vomer
B3131	Malignant neoplasm of diaphragm
B313100	Malignant neoplasm of diaphragm
B570.	Secondary malignant neoplasm of lung
B570.00	Secondary malignant neoplasm of lung
B572.	Secondary malignant neoplasm of pleura
B572.00	Secondary malignant neoplasm of pleura
B573.	Secondary malignant neoplasm of other respiratory organs
B573.00	Secondary malignant neoplasm of other respiratory organs
BB1K.	[M]Oat cell carcinoma
BB1K.00	[M]Oat cell carcinoma
BB1L.	[M]Small cell carcinoma, fusiform cell type
BB1L.00	[M]Small cell carcinoma, fusiform cell type
BB1M.	[M]Small cell carcinoma, intermediate cell
BB1M.00	[M]Small cell carcinoma, intermediate cell
BB1N.	[M]Small cell-large cell carcinoma
BB1N.00	[M]Small cell-large cell carcinoma
BB1P.	[M]Non-small cell carcinoma
BB1P.00	[M]Non-small cell carcinoma
BB5R111	[M]Carcinoid bronchial adenoma
BB5S2	[M]Bronchiolo-alveolar adenocarcinoma
BB5S200	[M]Bronchiolo-alveolar adenocarcinoma
BB5S211	[M]Alveolar cell carcinoma
BB5S212	[M]Bronchiolar carcinoma
BB5S4	[M]Alveolar adenocarcinoma
BB5S400	[M]Alveolar adenocarcinoma
BBLM.	[M]Pulmonary blastoma
BBLM.00	[M]Pulmonary blastoma
Byu20	[X]Malignant neoplasm of bronchus or lung, unspecified
Byu2000	[X]Malignant neoplasm of bronchus or lung, unspecified
Byu21	[X]Malignant neoplasm of overlapping lesion of heart, mediastinum and pleura
Byu2100	[X]Malignant neoplasm of overlapping lesion of heart, mediastinum and pleura
Byu24	[X]Malignant neoplasm of ill-defined sites within the respiratory system
Byu2400	[X]Malignant neoplasm of ill-defined sites within the respiratory system
Byu5.	[X]Malignant neoplasm of mesothelial and soft tissue
Byu5.00	[X]Malignant neoplasm of mesothelial and soft tissue
Byu50	[X]Mesothelioma of other sites
Byu5000	[X]Mesothelioma of other sites
Byu5011	[X]Mesothelioma of lung
Byu51	[X]Mesothelioma, unspecified
Byu5100	[X]Mesothelioma, unspecified
ByuC3	[X]Secondary malignant neoplasm of other and unspecified respiratory organs
ByuC300	[X]Secondary malignant neoplasm of other and unspecified respiratory organs
