^ESCT1180329	Disopyramide 150mg capsules (Mylan)
^ESCT1381461	Disopyramide-containing product in oral dose form
^ESCT1381462	Disopyramide-containing product in parenteral dose form
^ESCT1410139	Rythmodan 100mg capsules (Neon Healthcare Ltd)
^ESCT1410140	Rythmodan 100mg capsules (Neon Healthcare Ltd) 84 capsule 6 x 14 capsules
^ESCT1410163	Rythmodan Retard 250mg tablets (Neon Healthcare Ltd)
^ESCT1410164	Rythmodan Retard 250mg tablets (Neon Healthcare Ltd) 56 tablet
^ESCT1410169	Rythmodan 150mg capsules (Cheplapharm Arzneimittel GmbH)
^ESCT1410170	Rythmodan 150mg capsules (Cheplapharm Arzneimittel GmbH) 84 capsule 6 x 14 capsules
^ESCT1411009	Rythmodan Retard 250mg tablets (Neon Healthcare Ltd) 60 tablet 6 x 10 tablets
^ESCT1424756	Disopyramide 100mg capsules
^ESCT1424757	Disopyramide 150mg capsules
^ESCT1426613	Disopyramide 100mg capsules (Kent Pharma (UK) Ltd)
^ESCT1426614	Disopyramide 100mg capsules (Kent Pharma (UK) Ltd) 84 capsule
^ESCT1426637	Disopyramide 150mg capsules (Kent Pharma (UK) Ltd)
^ESCT1426638	Disopyramide 150mg capsules (Kent Pharma (UK) Ltd) 84 capsule
^ESCT1429119	Disopyramide 150mg capsules (Medihealth (Northern) Ltd)
^ESCT1429120	Disopyramide 150mg capsules (Medihealth (Northern) Ltd) 84 capsule
^ESCT1437616	Disopyramide 100mg capsules (Viatris UK Healthcare Ltd)
^ESCT1437617	Disopyramide 100mg capsules (Viatris UK Healthcare Ltd) 84 capsule
^ESCT1437638	Disopyramide 150mg capsules (Viatris UK Healthcare Ltd)
^ESCT1437639	Disopyramide 150mg capsules (Viatris UK Healthcare Ltd) 84 capsule
^ESCTDI1042825	Disopyramide 100mg capsules (Waymade Healthcare Plc)
^ESCTDI1042826	Disopyramide 100mg capsules (Waymade Healthcare Plc) 84 capsule
^ESCTDI1042827	Disopyramide 150mg capsules (Waymade Healthcare Plc)
^ESCTDI1042829	Disopyramide 150mg capsules (Waymade Healthcare Plc) 84 capsule
^ESCTDI1061022	Disopyramide 100mg capsules (DE Pharmaceuticals)
^ESCTDI1061024	Disopyramide 100mg capsules (DE Pharmaceuticals) 84 capsule
^ESCTDI1061033	Disopyramide 150mg capsules (DE Pharmaceuticals)
^ESCTDI1061034	Disopyramide 150mg capsules (DE Pharmaceuticals) 84 capsule
^ESCTDI1117436	Disopyramide 100mg capsules (Sigma Pharmaceuticals Plc)
^ESCTDI1117437	Disopyramide 100mg capsules (Sigma Pharmaceuticals Plc) 84 capsule
^ESCTDI1117438	Disopyramide 150mg capsules (Sigma Pharmaceuticals Plc)
^ESCTDI1117439	Disopyramide 150mg capsules (Sigma Pharmaceuticals Plc) 84 capsule
^ESCTDI1119166	Disopyramide 100mg capsules (Mawdsley-Brooks & Company Ltd)
^ESCTDI1119167	Disopyramide 100mg capsules (Mawdsley-Brooks & Company Ltd) 84 capsule
^ESCTDI1119168	Disopyramide 150mg capsules (Mawdsley-Brooks & Company Ltd)
^ESCTDI1119169	Disopyramide 150mg capsules (Mawdsley-Brooks & Company Ltd) 84 capsule
^ESCTDI1129590	Disopyramide 25mg capsules 1 capsule
^ESCTDI1129591	Disopyramide 25mg capsules (Special Order)
^ESCTDI1129592	Disopyramide 25mg capsules (Special Order) 1 capsule
^ESCTDI1129612	Disopyramide 25mg capsules
^ESCTDI374839	Disopyramide
^ESCTDI606913	Disopyramide 100mg capsules
^ESCTDI606914	Disopyramide 100 mg/1 each oral capsule
^ESCTDI606916	Disopyramide 150mg capsules
^ESCTDI606917	Disopyramide 150 mg/1 each oral capsule
^ESCTDI606919	Disopyramide 250mg modified-release capsules
^ESCTDI606920	Disopyramide 250mg m/r capsule
^ESCTDI606921	Disopyramide 150mg modified-release tablets
^ESCTDI606922	Disopyramide 150mg m/r tablet
^ESCTDI606923	Disopyramide 50mg/5ml solution for injection ampoules
^ESCTDI606924	Disopyramide 50mg/5mL injection
^ESCTDI606925	Disopyramide 10mg/mL injection solution 5mL ampoule
^ESCTDI606926	Disopyramide 10mg/mL injection solution 5mL ampule
^ESCTDI606927	Disopyramide 250mg modified-release tablets
^ESCTDI606928	Disopyramide 250mg m/r tablet
^ESCTDI619496	Disopyramide in oral dosage form
^ESCTDI619498	Disopyramide in parenteral dosage form
^ESCTDI641280	Disopyramide phosphate 100mg m/r tablet
^ESCTDI654475	Disopyramide phosphate 150mg m/r capsule
^ESCTDI654476	Disopyramide phosphate 100mg m/r capsule
^ESCTDI862087	Disopyramide 100mg capsules 84 capsule
^ESCTDI862090	Disopyramide 100mg capsules (A A H Pharmaceuticals Ltd)
^ESCTDI862092	Disopyramide 100mg capsules (A A H Pharmaceuticals Ltd) 84 capsule
^ESCTDI862095	Disopyramide 100mg capsules (Mylan Ltd)
^ESCTDI862097	Disopyramide 100mg capsules (Mylan Ltd) 84 capsule
^ESCTDI862098	Disopyramide 100mg capsules (Kent Pharmaceuticals Ltd)
^ESCTDI862099	Disopyramide 100mg capsules (Kent Pharmaceuticals Ltd) 84 capsule
^ESCTDI862100	Disopyramide 100mg capsules (Alliance Healthcare (Distribution) Ltd)
^ESCTDI862101	Disopyramide 100mg capsules (Alliance Healthcare (Distribution) Ltd) 84 capsule
^ESCTDI863471	Disopyramide 150mg modified-release tablets 100 tablet
^ESCTDI863473	Dirythmin SA 150mg tablets (AstraZeneca UK Ltd)
^ESCTDI863474	Dirythmin SA 150mg tablets (AstraZeneca UK Ltd) 100 tablet
^ESCTDI863477	Disopyramide 250mg modified-release tablets 56 tablet
^ESCTDI863875	Disopyramide 150mg capsules 84 capsule
^ESCTDI863876	Disopyramide 150mg capsules (A A H Pharmaceuticals Ltd)
^ESCTDI863877	Disopyramide 150mg capsules (A A H Pharmaceuticals Ltd) 84 capsule
^ESCTDI863883	Disopyramide 150mg capsules (Mylan Ltd)
^ESCTDI863884	Disopyramide 150mg capsules (Mylan Ltd) 84 capsule
^ESCTDI863885	Disopyramide 150mg capsules (Kent Pharmaceuticals Ltd)
^ESCTDI863886	Disopyramide 150mg capsules (Kent Pharmaceuticals Ltd) 84 capsule
^ESCTDI863887	Disopyramide 150mg capsules (Alliance Healthcare (Distribution) Ltd)
^ESCTDI863888	Disopyramide 150mg capsules (Alliance Healthcare (Distribution) Ltd) 84 capsule
^ESCTDI866091	Disopyramide 250mg modified-release capsules 56 capsule
^ESCTDI866097	Disopyramide 250mg modified-release capsules (Alliance Healthcare (Distribution) Ltd)
^ESCTDI866098	Disopyramide 250mg modified-release capsules (Alliance Healthcare (Distribution) Ltd) 56 capsule
^ESCTDI873469	Disopyramide 50mg/5ml solution for injection ampoules 5 ampoule
^ESCTDI906340	Disopyramide 25mg/5ml oral solution 1 ml
^ESCTDI906342	Disopyramide 100mg/5ml oral solution 1 ml
^ESCTDI906344	Disopyramide 100mg/5ml oral solution (Special Order)
^ESCTDI906345	Disopyramide 100mg/5ml oral solution (Special Order) 1 ml
^ESCTDI906347	Disopyramide 100mg/5ml oral suspension 1 ml
^ESCTDI906349	Disopyramide 100mg/5ml oral suspension (Special Order)
^ESCTDI906350	Disopyramide 100mg/5ml oral suspension (Special Order) 1 ml
^ESCTDI906351	Disopyramide 25mg/5ml oral solution (Special Order)
^ESCTDI906352	Disopyramide 25mg/5ml oral solution (Special Order) 1 ml
^ESCTDI906355	Disopyramide 25mg/5ml oral suspension 1 ml
^ESCTDI906356	Disopyramide 25mg/5ml oral suspension (Special Order)
^ESCTDI906357	Disopyramide 25mg/5ml oral suspension (Special Order) 1 ml
^ESCTDI906358	Disopyramide 50mg/5ml oral solution 1 ml
^ESCTDI906359	Disopyramide 50mg/5ml oral solution (Special Order)
^ESCTDI906360	Disopyramide 50mg/5ml oral solution (Special Order) 1 ml
^ESCTDI906365	Disopyramide 50mg/5ml oral suspension 1 ml
^ESCTDI906372	Disopyramide 50mg/5ml oral suspension (Special Order)
^ESCTDI906377	Disopyramide 50mg/5ml oral suspension (Special Order) 1 ml
^ESCTDI906420	Disopyramide 50mg/5ml oral suspension
^ESCTDI906421	Disopyramide 50mg/5ml oral solution
^ESCTDI906422	Disopyramide 25mg/5ml oral suspension
^ESCTDI906423	Disopyramide 25mg/5ml oral solution
^ESCTDI906424	Disopyramide 100mg/5ml oral suspension
^ESCTDI906425	Disopyramide 100mg/5ml oral solution
^ESCTDI914867	Dirythmin SA
^ESCTDI929645	Disopyramide 250mg modified-release tablets 40 tablet
^ESCTDI929653	Disopyramide 100mg capsules 90 capsule
^ESCTDI945715	Disopyramide 16mg/5ml oral suspension 1 ml
^ESCTDI945716	Disopyramide 16mg/5ml oral suspension (Special Order)
^ESCTDI945717	Disopyramide 16mg/5ml oral suspension (Special Order) 1 ml
^ESCTDI945718	Disopyramide 16mg/5ml oral solution 1 ml
^ESCTDI945719	Disopyramide 16mg/5ml oral solution (Special Order)
^ESCTDI945720	Disopyramide 16mg/5ml oral solution (Special Order) 1 ml
^ESCTDI945721	Disopyramide 20mg/5ml oral suspension 1 ml
^ESCTDI945723	Disopyramide 20mg/5ml oral suspension (Special Order)
^ESCTDI945724	Disopyramide 20mg/5ml oral suspension (Special Order) 1 ml
^ESCTDI945728	Disopyramide 20mg/5ml oral solution 1 ml
^ESCTDI945731	Disopyramide 20mg/5ml oral solution (Special Order)
^ESCTDI945732	Disopyramide 20mg/5ml oral solution (Special Order) 1 ml
^ESCTDI946038	Disopyramide 16mg/5ml oral solution
^ESCTDI946039	Disopyramide 16mg/5ml oral suspension
^ESCTDI946040	Disopyramide 20mg/5ml oral solution
^ESCTDI946041	Disopyramide 20mg/5ml oral suspension
^ESCTDI970994	Disopyramide 100mg capsules 120 capsule
^ESCTDI970996	Disopyramide 100mg capsules (Sigma Pharmaceuticals Plc)
^ESCTDI970997	Disopyramide 100mg capsules (Sigma Pharmaceuticals Plc) 120 capsule
^ESCTDI985912	Disopyramide 250mg modified-release tablets 60 tablet
^ESCTDI989815	Disopyramide 100mg capsules 40 capsule
^ESCTIS866094	Isomide CR 250mg capsules (Tillomed Laboratories Ltd)
^ESCTIS866096	Isomide CR 250mg capsules (Tillomed Laboratories Ltd) 56 capsule 4 x 14 capsules
^ESCTIS919164	Isomide CR
^ESCTPR374840	Product containing disopyramide
^ESCTPR606915	Product containing disopyramide 100 mg/1 each oral capsule
^ESCTPR606918	Product containing disopyramide 150 mg/1 each oral capsule
^ESCTPR619497	Product containing disopyramide in oral dosage form
^ESCTPR619499	Product containing disopyramide in parenteral dosage form
^ESCTRY1012738	Rythmodan 100mg capsules (Waymade Healthcare Plc) 120 capsule
^ESCTRY1012739	Rythmodan Retard 250mg tablets (Waymade Healthcare Plc) 40 tablet
^ESCTRY862103	Rythmodan 100mg capsules (Sanofi)
^ESCTRY862106	Rythmodan 100mg capsules (Sanofi) 84 capsule 6 x 14 capsules
^ESCTRY863479	Rythmodan Retard 250mg tablets (Sanofi)
^ESCTRY863480	Rythmodan Retard 250mg tablets (Sanofi) 56 tablet
^ESCTRY863878	Rythmodan 150mg capsules (Sanofi)
^ESCTRY863881	Rythmodan 150mg capsules (Sanofi) 84 capsule 6 x 14 capsules
^ESCTRY873470	Rythmodan 50mg/5ml solution for injection ampoules (Sanofi)
^ESCTRY873471	Rythmodan 50mg/5ml solution for injection ampoules (Sanofi) 5 ampoule
^ESCTRY916090	Rythmodan
^ESCTRY916092	Rythmodan Retard
^ESCTRY929648	Rythmodan Retard 250mg tablets (Dowelhurst Ltd)
^ESCTRY929650	Rythmodan Retard 250mg tablets (Dowelhurst Ltd) 40 tablet
^ESCTRY929655	Rythmodan 100mg capsules (Dowelhurst Ltd)
^ESCTRY929656	Rythmodan 100mg capsules (Dowelhurst Ltd) 90 capsule
^ESCTRY933547	Rythmodan Retard 250mg tablets (Waymade Healthcare Plc)
^ESCTRY933548	Rythmodan Retard 250mg tablets (Waymade Healthcare Plc) 56 tablet
^ESCTRY933549	Rythmodan 150mg capsules (Waymade Healthcare Plc)
^ESCTRY933550	Rythmodan 150mg capsules (Waymade Healthcare Plc) 84 capsule
^ESCTRY933551	Rythmodan 100mg capsules (Waymade Healthcare Plc)
^ESCTRY933553	Rythmodan 100mg capsules (Waymade Healthcare Plc) 84 capsule
^ESCTRY974395	Rythmodan Retard 250mg tablets (Sigma Pharmaceuticals Plc)
^ESCTRY974397	Rythmodan Retard 250mg tablets (Sigma Pharmaceuticals Plc) 40 tablet
^ESCTRY985913	Rythmodan Retard 250mg tablets (Sanofi) 60 tablet 6 x 10 tablets
^ESCTRY989814	Rythmodan 100mg capsules (Lexon (UK) Ltd)
^ESCTRY989816	Rythmodan 100mg capsules (Lexon (UK) Ltd) 40 capsule
DICA34720MGEMIS	Disopyramide  Capsules  100 mg (A.A.H. Pharm)
DICA34721MGEMIS	Disopyramide  Capsules  100 mg (Generics (UK))
DICA34722MGEMIS	Disopyramide  Capsules  100 mg (Kent Pharm)
DICA34723MGEMIS	Disopyramide  Capsules  100 mg (Unichem)
DICA34724MGEMIS	Disopyramide  Capsules  150 mg (A.A.H. Pharm)
DICA34725MGEMIS	Disopyramide  Capsules  150 mg (Generics (UK))
DICA34726MGEMIS	Disopyramide  Capsules  150 mg (Kent Pharm)
DICA34727MGEMIS	Disopyramide  Capsules  150 mg (Unichem)
DICA936	Disopyramide  Capsules  100 mg
DICA937	Disopyramide  Capsules  150 mg
DIIN4854	Disopyramide  Injection  10 mg/ml, 5 ml ampoule
DIM/15269NEMIS	Disopyramide  M/R capsules  250 mg
DIM/37839MGEMIS	Disopyramide  M/R capsules  250 mg (Unichem)
DIOR84756NEMIS	Disopyramide  Oral solution  50 mg/5 ml
DITA4855	Disopyramide  M/R tablets  150 mg
DITA4856	Disopyramide  M/R tablets  250 mg
DITA931	Dirythmin Sa  Tablets  150 mg
ISCA19846EMIS	Isomide  Capsules  100 mg
ISM/15270NEMIS	Isomide Cr  M/R capsules  250 mg
ISM/19848EMIS	Isomide Cr  M/R tablets  250 mg
RYCA2471	Rythmodan  Capsules  100 mg
RYCA2472	Rythmodan  Capsules  150 mg
RYIN2473	Rythmodan  Injection  10 mg/ml, 5 ml ampoule
RYTA2474	Rythmodan Retard  Tablets  250 mg
