J12..	Duodenal ulcer
XaMO7	Non steroidal anti inflammatory drug induced duodenal ulcer
XaLdV	Oversew of blood vessel of duodenal ulcer
X301G	Stress ulcer of stomach
XaCLu	[V] Personal history of gastric ulcer
XaB15	Laparoscopic closure of perforated gastric ulcer
XaBel	Bleeding stress ulcer of stomach
X20VN	Oversewing perforated gastric ulcer
J131y	Chronic peptic ulcer unspecified
J1300	Acute peptic ulcer without mention of complication
J1110	Chronic gastric ulcer without mention of complication
J11yz	Unspecified gastric ulcer NOS
J11y0	Unspecified gastric ulcer without mention of complication
J120y	Acute duodenal ulcer unspecified
J110y	Acute gastric ulcer unspecified
J1214	Chronic duodenal ulcer with obstruction
Xa1qC	Gastrocolic ulcer
XaB8q	Oversewing of bleeding duodenal ulcer
Xa3ti	Perforated peptic ulcer closure
X302c	Peptic ulcer of duodenum
X301F	Acute drug-induced ulcer of stomach
X302A	Acute peptic ulcer of duodenum
X302F	Chronic peptic ulcer of duodenum
7627y	Other specified operation on duodenal ulcer
761Jy	Other specified operation on gastric ulcer
J1312	Chronic peptic ulcer with perforation
J1104	Acute gastric ulcer with obstruction
J11y2	Unspecified gastric ulcer with perforation
J13y2	Unspecified peptic ulcer with perforation
J1411	Chronic gastrojejunal ulcer with haemorrhage
J14y.	Unspecified gastrojejunal ulcer
J57y8	Primary ulcer of intestine
J1114	Chronic gastric ulcer with obstruction
J111y	Chronic gastric ulcer unspecified
J1103	Acute gastric ulcer with haemorrhage and perforation
J13y0	Unspecified peptic ulcer without mention of complication
J1303	Acute peptic ulcer with haemorrhage and perforation
J12y3	Unspecified duodenal ulcer with haemorrhage and perforation
J12y4	Unspecified duodenal ulcer with obstruction
J12yy	Unspec duodenal ulcer; unspec haemorrhage and/or perforation
J1213	Chronic duodenal ulcer with haemorrhage and perforation
XE0Cr	Closure of gastric ulcer NEC
XE0c5	Perforated peptic ulcer (& [acute PU])
XE0bz	Perforated GU (& [acute])
Xa3u7	Stomach ulcer excision
XaB9e	Omental patch repair of perforated pyloric ulcer
XaB2R	Suture of duodenal ulcer
J11..	Gastric ulcer (& [prepyloric] or [pyloric])
J13z.	Peptic ulcer NOS
J1020	Gastro-oesophageal reflux disease with ulceration
XaFBq	Endoscopic injection haemostasis of duodenal ulcer
XaBlw	Gastric ulcer sample
XaMO6	Non steroidal anti inflammatory drug induced gastric ulc NOS
XaMO8	Non steroidal anti inflammatory drug induced duoden ulc NOS
XaLWs	Anti-platelet induced duodenal ulcer
ZV127	[V]Pers hist digest syst disease (& [pept ulcer (& [duod])])
