^ESCT1164467	Donepezil hydrochloride monohydrate
^ESCT1427949	Galzemic 4mg/ml oral solution (Zentiva Pharma UK Ltd) 100 ml
^ESCT1429483	Rivastigmine 1.5mg capsules (Medihealth (Northern) Ltd) 56 capsule
^ESCT1429486	Rivastigmine 3mg capsules (Medihealth (Northern) Ltd) 56 capsule
^ESCT1435533	Donepezil 5mg orodispersible tablets sugar free (DE Pharmaceuticals)
^ESCT1435535	Donepezil 5mg orodispersible tablets sugar free (DE Pharmaceuticals) 28 tablet
^ESCT1435536	Donepezil 10mg orodispersible tablets sugar free (DE Pharmaceuticals)
^ESCT1435537	Donepezil 10mg orodispersible tablets sugar free (DE Pharmaceuticals) 28 tablet
^ESCT1435557	Memantine 20mg tablets (DE Pharmaceuticals) 7 tablet
^ESCT1438359	Rivastigmine 3mg capsules (Viatris UK Healthcare Ltd)
^ESCT1438360	Rivastigmine 3mg capsules (Viatris UK Healthcare Ltd) 28 capsule 2 x 14 capsules
^ESCT1438361	Rivastigmine 3mg capsules (Viatris UK Healthcare Ltd) 56 capsule 4 x 14 capsules
^ESCT1438362	Rivastigmine 1.5mg capsules (Viatris UK Healthcare Ltd)
^ESCT1438363	Rivastigmine 1.5mg capsules (Viatris UK Healthcare Ltd) 28 capsule 2 x 14 capsules
^ESCT1438364	Rivastigmine 1.5mg capsules (Viatris UK Healthcare Ltd) 56 capsule 4 x 14 capsules
^ESCT1438654	Donepezil 5mg orodispersible tablets sugar free (Viatris UK Healthcare Ltd)
^ESCT1438655	Donepezil 5mg orodispersible tablets sugar free (Viatris UK Healthcare Ltd) 28 tablet
^ESCT1438656	Donepezil 10mg orodispersible tablets sugar free (Viatris UK Healthcare Ltd)
^ESCT1438657	Donepezil 10mg orodispersible tablets sugar free (Viatris UK Healthcare Ltd) 28 tablet
^ESCT1438746	Memantine 20mg tablets (Viatris UK Healthcare Ltd)
^ESCT1438747	Memantine 20mg tablets (Viatris UK Healthcare Ltd) 28 tablet
^ESCTAR1001865	Aricept Evess 10mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)
^ESCTAR1001866	Aricept Evess 10mg orodispersible tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTAR1002235	Aricept Evess 10mg orodispersible tablets (Sigma Pharmaceuticals Plc)
^ESCTAR1002236	Aricept Evess 10mg orodispersible tablets (Sigma Pharmaceuticals Plc) 28 tablet
^ESCTAR1020902	Aricept Evess 10mg orodispersible tablets (DE Pharmaceuticals)
^ESCTAR1020903	Aricept Evess 10mg orodispersible tablets (DE Pharmaceuticals) 28 tablet
^ESCTAR1023839	Aricept Evess 10mg orodispersible tablets (Lexon (UK) Ltd)
^ESCTAR1023841	Aricept Evess 10mg orodispersible tablets (Lexon (UK) Ltd) 28 tablet
^ESCTAR1121392	Aricept Evess 10mg orodispersible tablets (Waymade Healthcare Plc)
^ESCTAR1121393	Aricept Evess 10mg orodispersible tablets (Waymade Healthcare Plc) 28 tablet
^ESCTAR936606	Aricept Evess 5mg orodispersible tablets (Eisai Ltd)
^ESCTAR936607	Aricept Evess 5mg orodispersible tablets (Eisai Ltd) 28 tablet 2 x 14 tablets
^ESCTAR936609	Aricept Evess 10mg orodispersible tablets (Eisai Ltd)
^ESCTAR936610	Aricept Evess 10mg orodispersible tablets (Eisai Ltd) 28 tablet 2 x 14 tablets
^ESCTDO1024498	Donepezil 5mg orodispersible tablets sugar free (Teva UK Ltd)
^ESCTDO1024499	Donepezil 5mg orodispersible tablets sugar free (Teva UK Ltd) 28 tablet 4 x 7 tablets
^ESCTDO1024500	Donepezil 10mg orodispersible tablets sugar free (Teva UK Ltd)
^ESCTDO1024502	Donepezil 10mg orodispersible tablets sugar free (Teva UK Ltd) 28 tablet 4 x 7 tablets
^ESCTDO1025491	Donepezil 5mg orodispersible tablets sugar free (Actavis UK Ltd)
^ESCTDO1025492	Donepezil 5mg orodispersible tablets sugar free (Actavis UK Ltd) 28 tablet 2 x 14 tablets
^ESCTDO1025493	Donepezil 10mg orodispersible tablets sugar free (Actavis UK Ltd)
^ESCTDO1025494	Donepezil 10mg orodispersible tablets sugar free (Actavis UK Ltd) 28 tablet 2 x 14 tablets
^ESCTDO1026610	Donepezil 5mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTDO1026611	Donepezil 5mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd) 28 tablet 4 x 7 tablets
^ESCTDO1026612	Donepezil 10mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTDO1026613	Donepezil 10mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd) 28 tablet 4 x 7 tablets
^ESCTDO1026659	Donepezil 5mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd)
^ESCTDO1026660	Donepezil 5mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd) 28 tablet
^ESCTDO1026661	Donepezil 10mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd)
^ESCTDO1026662	Donepezil 10mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd) 28 tablet
^ESCTDO1027556	Donepezil 5mg orodispersible tablets sugar free (Sandoz Ltd)
^ESCTDO1027557	Donepezil 5mg orodispersible tablets sugar free (Sandoz Ltd) 28 tablet
^ESCTDO1027558	Donepezil 10mg orodispersible tablets sugar free (Sandoz Ltd)
^ESCTDO1027559	Donepezil 10mg orodispersible tablets sugar free (Sandoz Ltd) 28 tablet
^ESCTDO1028977	Donepezil 5mg orodispersible tablets sugar free (Arrow Generics Ltd)
^ESCTDO1028978	Donepezil 5mg orodispersible tablets sugar free (Arrow Generics Ltd) 28 tablet 2 x 14 tablets
^ESCTDO1028979	Donepezil 10mg orodispersible tablets sugar free (Arrow Generics Ltd)
^ESCTDO1028980	Donepezil 10mg orodispersible tablets sugar free (Arrow Generics Ltd) 28 tablet 2 x 14 tablets
^ESCTDO1029693	Donepezil 5mg orodispersible tablets sugar free (Beacon Pharmaceuticals Ltd)
^ESCTDO1029694	Donepezil 5mg orodispersible tablets sugar free (Beacon Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTDO1029695	Donepezil 10mg orodispersible tablets sugar free (Beacon Pharmaceuticals Ltd)
^ESCTDO1029696	Donepezil 10mg orodispersible tablets sugar free (Beacon Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTDO1152827	Donepezil 5mg orodispersible tablets sugar free (Mylan Ltd)
^ESCTDO1152828	Donepezil 5mg orodispersible tablets sugar free (Mylan Ltd) 28 tablet
^ESCTDO1152829	Donepezil 10mg orodispersible tablets sugar free (Mylan Ltd)
^ESCTDO1152830	Donepezil 10mg orodispersible tablets sugar free (Mylan Ltd) 28 tablet
^ESCTDO415474	Donepezil
^ESCTDO611048	Donepezil 5mg tablets
^ESCTDO611050	Donepezil hydrochloride 5 mg oral tablet
^ESCTDO611051	Donepezil 10mg tablets
^ESCTDO611053	Donepezil hydrochloride 10 mg oral tablet
^ESCTDO646302	Donepezil
^ESCTDO646303	Donepezil hydrochloride
^ESCTDO685110	Donepezil 10mg orally disintegrating tablet
^ESCTDO685111	Donepezil hydrochloride 10mg orally disintegrating tablet
^ESCTDO685112	Donepezil 1mg/mL oral solution
^ESCTDO685113	Donepezil hydrochloride 1mg/mL oral solution
^ESCTDO685114	Donepezil 5mg orally disintegrating tablet
^ESCTDO685115	Donepezil hydrochloride 5mg orally disintegrating tablet
^ESCTDO733635	Donepezil hydrochloride 23 mg oral tablet
^ESCTDO773763	Donepezil + memantine
^ESCTDO773764	Donepezil and memantine in oral dosage form
^ESCTDO936605	Donepezil 5mg orodispersible tablets sugar free 28 tablet
^ESCTDO936608	Donepezil 10mg orodispersible tablets sugar free 28 tablet
^ESCTDO936663	Donepezil 10mg orodispersible tablets sugar free
^ESCTDO936664	Donepezil 5mg orodispersible tablets sugar free
^ESCTEB1022731	Ebixa 20mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTEB1022732	Ebixa 20mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTEB967030	Ebixa 20mg tablets (Lundbeck Ltd)
^ESCTEB967031	Ebixa 20mg tablets (Lundbeck Ltd) 28 tablet 2 x 14 tablets
^ESCTEB968475	Ebixa 20mg tablets (Lundbeck Ltd) 7 tablet
^ESCTEX1001976	Exelon 1.5mg capsules (Mawdsley-Brooks & Company Ltd) 28 capsule
^ESCTEX1007151	Exelon 1.5mg capsules (Lexon (UK) Ltd)
^ESCTEX1007152	Exelon 1.5mg capsules (Lexon (UK) Ltd) 28 capsule
^ESCTEX1007153	Exelon 3mg capsules (Lexon (UK) Ltd)
^ESCTEX1007154	Exelon 3mg capsules (Lexon (UK) Ltd) 28 capsule
^ESCTEX1009008	Exelon 1.5mg capsules (Necessity Supplies Ltd)
^ESCTEX1009009	Exelon 1.5mg capsules (Necessity Supplies Ltd) 28 capsule
^ESCTEX1009012	Exelon 3mg capsules (Necessity Supplies Ltd)
^ESCTEX1009013	Exelon 3mg capsules (Necessity Supplies Ltd) 28 capsule
^ESCTEX1009319	Exelon 1.5mg capsules (Stephar (U.K.) Ltd)
^ESCTEX1009320	Exelon 1.5mg capsules (Stephar (U.K.) Ltd) 28 capsule
^ESCTEX1009321	Exelon 3mg capsules (Stephar (U.K.) Ltd)
^ESCTEX1009322	Exelon 3mg capsules (Stephar (U.K.) Ltd) 28 capsule
^ESCTEX1023540	Exelon 1.5mg capsules (Waymade Healthcare Plc) 56 capsule
^ESCTEX1023541	Exelon 3mg capsules (Waymade Healthcare Plc) 56 capsule
^ESCTEX864067	Exelon 1.5mg capsules (Novartis Pharmaceuticals UK Ltd)
^ESCTEX864069	Exelon 1.5mg capsules (Novartis Pharmaceuticals UK Ltd) 28 capsule 2 x 14 capsules
^ESCTEX864071	Exelon 1.5mg capsules (Novartis Pharmaceuticals UK Ltd) 56 capsule 4 x 14 capsules
^ESCTEX864074	Exelon 3mg capsules (Novartis Pharmaceuticals UK Ltd)
^ESCTEX864076	Exelon 3mg capsules (Novartis Pharmaceuticals UK Ltd) 28 capsule 2 x 14 capsules
^ESCTEX864079	Exelon 3mg capsules (Novartis Pharmaceuticals UK Ltd) 56 capsule 4 x 14 capsules
^ESCTEX877839	Exelon 1.5mg capsules (Waymade Healthcare Plc)
^ESCTEX877840	Exelon 1.5mg capsules (Waymade Healthcare Plc) 28 capsule
^ESCTEX877842	Exelon 3mg capsules (Waymade Healthcare Plc)
^ESCTEX877843	Exelon 3mg capsules (Waymade Healthcare Plc) 28 capsule
^ESCTEX930005	Exelon 1.5mg capsules (Dowelhurst Ltd)
^ESCTEX930007	Exelon 1.5mg capsules (Dowelhurst Ltd) 28 capsule
^ESCTEX930009	Exelon 3mg capsules (Dowelhurst Ltd)
^ESCTEX930011	Exelon 3mg capsules (Dowelhurst Ltd) 28 capsule
^ESCTEX966643	Exelon 1.5mg capsules (DE Pharmaceuticals)
^ESCTEX966644	Exelon 1.5mg capsules (DE Pharmaceuticals) 28 capsule
^ESCTEX966645	Exelon 3mg capsules (DE Pharmaceuticals)
^ESCTEX966646	Exelon 3mg capsules (DE Pharmaceuticals) 28 capsule
^ESCTEX970094	Exelon 1.5mg capsules (Sigma Pharmaceuticals Plc)
^ESCTEX970096	Exelon 1.5mg capsules (Sigma Pharmaceuticals Plc) 28 capsule
^ESCTEX970097	Exelon 3mg capsules (Sigma Pharmaceuticals Plc)
^ESCTEX970098	Exelon 3mg capsules (Sigma Pharmaceuticals Plc) 28 capsule
^ESCTEX993320	Exelon 1.5mg capsules (Mawdsley-Brooks & Company Ltd)
^ESCTEX993321	Exelon 1.5mg capsules (Mawdsley-Brooks & Company Ltd) 56 capsule
^ESCTEX993322	Exelon 3mg capsules (Mawdsley-Brooks & Company Ltd)
^ESCTEX993323	Exelon 3mg capsules (Mawdsley-Brooks & Company Ltd) 56 capsule
^ESCTGA1023939	Galantamine 20mg/5ml oral solution sugar free (Sandoz Ltd)
^ESCTGA1023940	Galantamine 20mg/5ml oral solution sugar free (Sandoz Ltd) 100 ml
^ESCTGA1024946	Galantamine 20mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
^ESCTGA1024947	Galantamine 20mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) 100 ml
^ESCTGA1026616	Galantamine 20mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTGA1026617	Galantamine 20mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) 100 ml
^ESCTGA1051076	Galantamine 20mg/5ml oral solution sugar free (Colorama Pharmaceuticals Ltd)
^ESCTGA1051077	Galantamine 20mg/5ml oral solution sugar free (Colorama Pharmaceuticals Ltd) 100 ml
^ESCTGA1061428	Galantamine 20mg/5ml oral solution sugar free (Phoenix Healthcare Distribution Ltd)
^ESCTGA1061429	Galantamine 20mg/5ml oral solution sugar free (Phoenix Healthcare Distribution Ltd) 100 ml
^ESCTGA1081592	Galantamine 20mg/5ml oral solution sugar free (Ennogen Healthcare Ltd)
^ESCTGA1081594	Galantamine 20mg/5ml oral solution sugar free (Ennogen Healthcare Ltd) 100 ml
^ESCTGA1101091	Galantamine 20mg/5ml oral solution sugar free (J M McGill Ltd)
^ESCTGA1101092	Galantamine 20mg/5ml oral solution sugar free (J M McGill Ltd) 100 ml
^ESCTGA1117647	Galantamine 20mg/5ml oral solution sugar free (Niche Pharma Ltd)
^ESCTGA1117648	Galantamine 20mg/5ml oral solution sugar free (Niche Pharma Ltd) 100 ml
^ESCTGA1117782	Galantamine 20mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc)
^ESCTGA1117783	Galantamine 20mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc) 100 ml
^ESCTGA442713	Galantamine hydrobromide
^ESCTGA611068	Galantamine
^ESCTGA611070	Galantamine 4mg tablets
^ESCTGA611072	Galantamine 4 mg oral tablet
^ESCTGA611073	Galantamine 8mg tablets
^ESCTGA611075	Galantamine 8 mg oral tablet
^ESCTGA611076	Galantamine 12mg tablets
^ESCTGA611078	Galantamine 12 mg oral tablet
^ESCTGA655823	Galantamine
^ESCTGA861922	Galantamine 20mg/5ml oral solution sugar free 100 ml
^ESCTGA862079	Galantamine 20mg/5ml oral solution sugar free
^ESCTKE1043990	Kerstipon 1.5mg capsules (Aspire Pharma Ltd)
^ESCTKE1043991	Kerstipon 1.5mg capsules (Aspire Pharma Ltd) 28 capsule 4 x 7 capsules
^ESCTKE1043992	Kerstipon 3mg capsules (Aspire Pharma Ltd)
^ESCTKE1043993	Kerstipon 3mg capsules (Aspire Pharma Ltd) 28 capsule 4 x 7 capsules
^ESCTMA1047464	Marixino 20mg tablets (Consilient Health Ltd)
^ESCTMA1047465	Marixino 20mg tablets (Consilient Health Ltd) 28 tablet 2 x 14 tablets
^ESCTME1045601	Memantine 20mg tablets (Teva UK Ltd)
^ESCTME1045602	Memantine 20mg tablets (Teva UK Ltd) 28 tablet 2 x 14 tablets
^ESCTME1045677	Memantine 20mg tablets (A A H Pharmaceuticals Ltd)
^ESCTME1045679	Memantine 20mg tablets (A A H Pharmaceuticals Ltd) 28 tablet
^ESCTME1045807	Memantine 20mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTME1045808	Memantine 20mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet
^ESCTME1056326	Memantine 20mg tablets (Dr Reddy's Laboratories (UK) Ltd)
^ESCTME1056328	Memantine 20mg tablets (Dr Reddy's Laboratories (UK) Ltd) 28 tablet
^ESCTME1065783	Memantine 20mg tablets (DE Pharmaceuticals)
^ESCTME1065785	Memantine 20mg tablets (DE Pharmaceuticals) 28 tablet
^ESCTME1067504	Memantine 20mg tablets (Zentiva)
^ESCTME1067505	Memantine 20mg tablets (Zentiva) 28 tablet 2 x 14 tablets
^ESCTME1098903	Memantine 20mg tablets (Accord Healthcare Ltd)
^ESCTME1098904	Memantine 20mg tablets (Accord Healthcare Ltd) 28 tablet
^ESCTME1100328	Memantine 20mg tablets (Lupin (Europe) Ltd)
^ESCTME1100329	Memantine 20mg tablets (Lupin (Europe) Ltd) 28 tablet 2 x 14 tablets
^ESCTME1116019	Memantine 20mg tablets (Macleods Pharma UK Ltd)
^ESCTME1116020	Memantine 20mg tablets (Macleods Pharma UK Ltd) 28 tablet
^ESCTME1118099	Memantine 20mg tablets (Sigma Pharmaceuticals Plc)
^ESCTME1118100	Memantine 20mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
^ESCTME1131838	Memantine 20mg tablets (Creo Pharma Ltd)
^ESCTME1131839	Memantine 20mg tablets (Creo Pharma Ltd) 28 tablet 4 x 7 tablets
^ESCTME1153002	Memantine 20mg tablets (Mylan Ltd)
^ESCTME1153005	Memantine 20mg tablets (Mylan Ltd) 28 tablet
^ESCTME1156844	Memantine 20mg tablets (Crescent Pharma Ltd)
^ESCTME1156845	Memantine 20mg tablets (Crescent Pharma Ltd) 28 tablet 2 x 14 tablets
^ESCTME1158261	Memantine 20mg tablets (Lupin (Europe) Ltd) 7 tablet
^ESCTME1160863	Memantine 20mg tablets (Niche Generics Ltd)
^ESCTME1160864	Memantine 20mg tablets (Niche Generics Ltd) 28 tablet
^ESCTME672807	Memantine
^ESCTME672809	Memantine
^ESCTME675331	Memantine 10mg tablets
^ESCTME675333	Memantine hydrochloride 10 mg oral tablet
^ESCTME677492	Memantine 5mg tablets
^ESCTME677494	Memantine hydrochloride 5 mg oral tablet
^ESCTME689913	Memantine 2mg/mL oral solution
^ESCTME689914	Memantine hydrochloride 2mg/mL oral solution
