ResultCode	ResultDescription	(No column name)
BONE	Bone Profile	12221
XR Foot Rt	XR Foot Rt	12217
PCT	PROCALCITONIN	12053
XR Ankle Rt	XR Ankle Rt	11999
FK	FK506/Tacrolimus	11898
R	Retics	11834
XPELV	XR Pelvis	11585
Medical photography	Medical photography	11579
XR Foot Lt	XR Foot Lt	11574
Haemoglobin A1c	Haemoglobin A1c	11214
XR Ankle Lt	XR Ankle Lt	11153
BNP	nt-pro BNP	11044
WIG	WY - Immunoglobulins	10891
MRI Head	MRI Head	10832
LP	Lipase	10565
COVID-19 PCR	COVID-19 PCR	10456
600045	VRE Screen	10376
CHO	CHOLESTEROL	10355
CCHAPC	CT Thorax abdomen pelvis with contrast	10348
AMY	AMYLASE	10308
US Urinary tract	US Urinary tract	10304
PSA	Serum PSA	10220
U,Creat,Electrolytes	U,Creat,Electrolytes	9903
RHFCTR	Rheumtd.factor (serum)	9711
US Pelvis transvaginal	US Pelvis transvaginal	9642
LFH	LH + FSH	9623
186775	LVS Swab	9474
TNT	Troponin T	9471
XR Wrist Lt	XR Wrist Lt	9001
CABPEC	CT Abdomen and pelvis with contrast	8752
XR Hand Rt	XR Hand Rt	8721
R2	REJECTED Transfusion request	8671
GLUF	Fasting Glucose	8640
XABDO	XR Abdomen	8609
XR Shoulder Rt	XR Shoulder Rt	8599
US Obstetric Dating Scan	US Obstetric Dating Scan	8585
XR Dental periapical 5	XR Dental periapical 5	8581
GLACT	Glucose and Lactate	8559
UR	UREA	8531
TTG	Tissue TTG (IgA)	8481
US Pelvis	US Pelvis	8429
HEP10A	Anti Factor Xa	8365
C-REACTIVE PROTEIN	C-REACTIVE PROTEIN	8352
PROL	Prolactin	8322
ANAP	AntiNuclear Ab (Serum)	8320
PAED	Paediatric profile	8318
CHOL	Cholesterol	8242
TROPHS	Hi.sens.troponin I	8223
UABDO	US Abdomen	8188
XR Wrist Rt	XR Wrist Rt	8160
Liver Function Tests	Liver Function Tests	8093
1MAG	Magnesium	7997
UANOM	US Obstetric Foetal Anatomy Scan	7988
187255	Respiratory PCR	7743
XR Shoulder Lt	XR Shoulder Lt	7714
XKNER	XR Knee Rt	7695
OEST	OESTRADIOL	7574
HV	Hb variants & HbA2	7512
FCAL	Faecal Calprotectin	7457
IGS1	Group and screen	7449
TRIS	Trisomy Screening	7354
LIGHT	Serum free light chains	7233
XKNEL	XR Knee Lt	7215
UMAML	US Breast Lt	7183
XR Lumbar Spine	XR Lumbar Spine	7104
UODNU	US Obstetric Nuchal Dating Scan	7099
MAG	Magnesium	7093
LR	Random Lipid profile	7053
NULL	LAB_IN	6990
MRSA Screen	MRSA Screen	6926
187808	Helicobacter Antigen	6911
DNA-G	IgG ds-DNA Ab (serum)	6852
CORT	Cortisol	6835
HCG	HCG	6830
VITDT	Vitamin D (Total)	6794
6603	EBV viral load PCR	6777
UMAMR	US Breast Rt	6658
601695	Novel Cornoavirus Infinity	6588
CT Urinary tract	CT Urinary tract	6372
ACOV2I	SARS-CoV-2 Ab	6329
Urine Cult and Sens	Urine Cult and Sens	6261
GTT	Oral Glucose Tolerance	5986
187853	GeneXpert CPE	5946
ZRXTI	Import of External Images	5942
CA125	CA-125	5901
XANKR	XR Ankle Rt	5873
UPELD	US Pelvis TA and transvaginal	5839
COVAB	SARS-CoV 2 Ab	5839
CT Thorax	CT Thorax	5830
CL	CHLORIDE	5824
XR Mammogram Both	XR Mammogram Both	5780
XR Hand Lt	XR Hand Lt	5728
XFOOR	XR Foot Rt	5643
XANKL	XR Ankle Lt	5628
FIB	Fibrinogen	5613
CLDTH	CT Low dose thorax	5519
XFOOL	XR Foot Lt	5402
186905	Throat swab	5387
C3	C3 (serum)	5277
C4	C4 (serum)	5266
Bone Densitometry DEXA	Bone Densitometry DEXA	5251
EGFR	eGFR CKD-EPI	5246
XSHRR	XR Shoulder Rt	5238
XWRIL	XR Wrist Lt	5232
ANCAP	MPO and PR3 profile	5228
STTG	Tissue TTG (IgA)	5225
1CRP	CRP	5164
UODOP	US Obstetric doppler study	5147
ZRMDT	Review Images at MDT	5048
US Doppler lower limb veins Lt	US Doppler lower limb veins Lt	4991
IGE	Total IgE (serum)	4934
FDP	D-Dimers	4888
XR Elbow Lt	XR Elbow Lt	4864
XSHRL	XR Shoulder Lt	4851
PSA	PSA	4828
DSA	Downs Screen (SAWAY)	4814
UO3T	US Obstetric 3rd trimester	4788
Clotting screen	Clotting screen	4786
CCHES	CT Thorax	4776
DDM	D-Dimer	4730
US Doppler lower limb veins Rt	US Doppler lower limb veins Rt	4726
XR Elbow Rt	XR Elbow Rt	4609
ENA6	ENA PROFILE	4538
XWRIR	XR Wrist Rt	4537
NG_RRPT	Report	4478
Bone profile	Bone profile	4476
HSTNI	High Sens Troponin I	4475
187110	Pre Dialysis Screen	4475
APTT	APTT	4444
MA	Malb:Creat Ratio	4377
MSKUH	MRI Head	4322
ACOV2P	SARS-CoV-2 antibodies	4311
CT Thorax abdomen pelvis with contrast	CT Thorax abdomen pelvis with contrast	4309
XHANR	XR Hand Rt	4302
Photographic Image	Photographic Image	4291
XR Hip Rt	XR Hip Rt	4182
U/E'S	U/E'S	4148
TBIL	BILIRUBIN	4143
1GLUF	Pl.Glucose(Fluoride)	4101
CT Angiogram pulmonary	CT Angiogram pulmonary	4032
XR Hip Lt	XR Hip Lt	4012
ANAX	Antinuclear Abs	3914
THCG	Total HCG	3784
XR Cervical Spine	XR Cervical Spine	3780
601695	Respiratory PCR Panel	3754
PAR	PARACETAMOL	3750
CYC	CYCLOSPORIN	3748
VAN	VANCOMYCIN	3739
6645	Hepatitis B viral Ld	3728
CT Thorax with contrast	CT Thorax with contrast	3703
SHT	TESTOSTERONE + SHBG	3691
COAG	Coag	3685
ACOV2S	SARS-CoV-2 antibodies Staff	3672
US Neck	US Neck	3636
US Obstetric detailed anatomy scan	US Obstetric detailed anatomy scan	3611
TEST	TESTOSTERONE	3527
Hepatic Profile	Hepatic Profile	3515
FAI	FREE ANDROGEN INDEX	3467
MRI Spine whole	MRI Spine whole	3446
1COVR	Virology - COVID Rep	3400
XR Tibia and Fibula Lt	XR Tibia and Fibula Lt	3387
US Pelvis TA and transvaginal	US Pelvis TA and transvaginal	3356
GENT	GENTAMICIN	3290
US Doppler carotid artery Both	US Doppler carotid artery Both	3286
MRI Spine Lumbar and Sacral	MRI Spine Lumbar and Sacral	3246
CAPUG	CT Angiogram pulmonary	3243
CCABDC	CT Thorax and abdomen with contrast	3224
XR Tibia and Fibula Rt	XR Tibia and Fibula Rt	3155
PH_RRPT	Report	3123
XOPTBO	XR Orthopantomogram full	3116
GP TFT (not on T4)	GP TFT (not on T4)	3116
SAL	SALICYLATE	3067
CT Urinary Tract with Contrast	CT Urinary Tract with Contrast	3045
MRSA	MRSA screen	3032
A1C	Haemoglobin A1c	3031
SMG	Sm/mito/LKM/GPC	3020
BIC	Bicarbonate	3017
UOEPV	US Obstetric (Early Pregnancy)	2975
SOS	SAMPLE REFERRED OFF SITE	2964
US Testes	US Testes	2954
ANA	AntiNuclear Ab (serum)	2944
GLACT	Children's Glucose & Lactate	2930
US Abdomen and Pelvis	US Abdomen and Pelvis	2923
MLUSP	MRI Spine lumbar	2916
187090	Hep C antibody	2908
XR Thoracic Spine	XR Thoracic Spine	2881
XDEXA	Bone Densitometry DEXA	2875
CLIP	CLIP PROFILE	2872
FTEST	Testost/And'dion(MS)	2858
LHISTSP	Histology, Specimen	2854
PROG	PROGESTERONE	2828
CA125A	CA 125 antigen (new)	2825
187085	Hep Bs Ag screen	2819
NDIF	Manual Differential	2810
GS	Group and Antibody Screen	2804
EGFR	GFR estimate CKD-EPI	2779
BILEA	BILE ACIDS	2772
HDM	H.Dust Mite (serum)	2736
XKNEB	XR Knee Both	2733
OROSO	OROSOMUCOID	2723
ZMDTREV	MDT Review report	2722
XR Radius and Ulna Lt	XR Radius and Ulna Lt	2720
Magnesium	Magnesium	2714
CYSTC	Cystatin C	2714
IRONS	Iron Studies	2705
XR Facial bones	XR Facial bones	2704
1COV	VirologyCOVID Swab	2703
XHANL	XR Hand Lt	2699
US Obstetric 1st trimester	US Obstetric 1st trimester	2661
XR Thumb Rt	XR Thumb Rt	2658
TBILI	Total Bilirubin	2639
1POCT	P.O.C.T. Results	2636
AMH	Anti-Mullerian Hormone	2631
GIFN	gIFN	2615
UUTR	US Urinary tract	2611
XHIPR	XR Hip Rt	2603
ACOV2P	SARS-CoV-2 antibodies Patient	2593
187865	Trichomonas Microscopy	2591
MIXGR	Mixed Grass (serum)	2568
US Breast Lt	US Breast Lt	2557
CURIT	CT Urinary tract	2542
AFP	Alpha-feto protein	2539
Full Blood Count +Differential	Full Blood Count +Differential	2529
US Hip Both	US Hip Both	2525
SCOVAB	Staff SARS-CoV 2 Ab	2485
XHIPL	XR Hip Lt	2475
MRI Head with contrast	MRI Head with contrast	2460
UODAT	US Obstetric Dating Scan	2459
MIXTR	Mixed Tree(serum)	2444
NM whole body FDG PET CT	NM whole body FDG PET CT	2439
UNECK	US Neck	2427
6604	Enterovirus PCR	2425
1TFT	Thyroid function	2423
ACCP	CCP IgG Antibody (serum)	2414
6605	HSV PCR	2405
NULL	NULL	2379
URI	Uric Acid	2375
XELBL	XR Elbow Lt	2370
CAT	Cat dander (serum)	2364
XR Radius and Ulna Rt	XR Radius and Ulna Rt	2355
DOG	Dog dander (serum)	2328
601695	Novel Coronavirus Infinity	2314
MCSPN	MRI Spine Cervical	2314
6105	BC - Red Lumen	2296
URATE	Urate	2287
RA	Rheumatoid Factor	2282
ULLVL	US Doppler lower limb veins Lt	2279
1ALT	ALT	2254
187550	Mycology - Nail	2250
XR Scaphoid Lt	XR Scaphoid Lt	2244
TPO	Thyroid Peroxidase (serum)	2241
NTBNP	NT-proBNP	2239
US Breast Rt	US Breast Rt	2228
XELBR	XR Elbow Rt	2228
OKL	KLEIHAUER PROFILE	2224
TRAN	Transferrin/TIBC	2215
XR Scaphoid Rt	XR Scaphoid Rt	2208
CULT	Routine Swabs	2205
XR Thumb Lt	XR Thumb Lt	2200
187651	Cepheid Resp PCR	2194
MIXMO	Mixed Mould (serum)	2184
UABPE	US Abdomen and Pelvis	2180
AR	APTT Ratio	2158
187765	Pneumococcal ur Ag	2149
SA	Semen Analysis	2142
ENEO	Neonatal Group and DAT(Erytra)	2121
PROL	Serum Prolactin	2115
CHRC	CT Chest high resolution	2111
XR Hand Both	XR Hand Both	2102
u Albumin/Creatinine	u Albumin/Creatinine	2099
IGEX2	Total IgE	2095
DLE	LUPUS ANTICOAGULANT SCREEN	2093
IFAB	Intrinsic Factor Antibodies	2079
US Ankle /Brachial Pressure Index	US Ankle /Brachial Pressure Index	2079
XR Knee Both	XR Knee Both	2071
BENCE	Bence Jones (urine)	2063
BCT	Blood Culture MRI	2056
GLANF	Glandular Fever Screen	2045
CT Spine cervical	CT Spine cervical	2031
ULLVR	US Doppler lower limb veins Rt	2013
187095	Hep B post vaccine	2000
UKIDB	US Kidney Both	1983
MRI Knee Rt	MRI Knee Rt	1973
UO1T	US Obstetric 1st trimester	1971
187435	AFB - Sputum sample	1968
MRI Knee Lt	MRI Knee Lt	1945
XCSPN	XR Cervical Spine	1943
Troponin I (hs)	Troponin I (hs)	1936
XR Dental maxillary occlusal	XR Dental maxillary occlusal	1931
1CA12	Ca125 Grp	1931
AAS2X	Auto Antibody screen	1915
XHANB	XR Hand Both	1912
187710	Hep C Viral Load PCR	1904
MRI Internal auditory meatus Both	MRI Internal auditory meatus Both	1902
GUMC	Genital Swabs	1896
HIV	HIV	1892
MRI Spine Cervical	MRI Spine Cervical	1887
XR Femur Lt	XR Femur Lt	1881
HBSAG	Hep B Surf Antigen	1865
CURITC	CT Urinary Tract with Contrast	1863
CT Colonoscopy Virtual	CT Colonoscopy Virtual	1852
UDCAB	US Doppler carotid artery Both	1845
BJP	Bence Jones Protein	1843
RET	Reticulocytes	1832
NUT2	TPN/Nutrition	1827
AMONIA	Ammonia	1823
CACRY	CT Cardiac angiogram coronary	1822
UE2	GP renal profile	1822
1CEA	CEA	1814
US Kidney Both	US Kidney Both	1811
Cepheid Rapid CPE	Cepheid Rapid CPE	1810
XR Mandible	XR Mandible	1804
6106	BC - White Lumen	1799
XR Femur Rt	XR Femur Rt	1794
MDIFF2	Blood Film Micro	1792
NCGENW	NM whole body FDG PET CT	1788
ZN	ZINC	1771
LAC	Lactate	1767
GD	Gonadatrophins	1764
GENT	Gentamycin	1761
187680	CMV Viral load PCR	1757
FK506	Tacrolimus FK506	1754
Vitamin B12	Vitamin B12	1753
FT3	FREE T3	1749
PAN	ANTIBODY PANEL PROFILE	1746
NM Cardio stress PET Rb81	NM Cardio stress PET Rb81	1743
NM CT attenuation correction	NM CT attenuation correction	1742
MSKUHC	MRI Head with contrast	1740
CKA	CK	1734
Assessment or Pre Assessment	Assessment or Pre Assessment	1733
MRCP	MRCP	1730
TEST	Serum Testosterone	1728
XLSSJ	XR Lumbar Spine and sacroiliac Joint	1714
US Liver	US Liver	1705
Glucose rand. plasma	Glucose rand. plasma	1704
FT4 + TSH	FT4 + TSH	1699
XR Humerus Lt	XR Humerus Lt	1694
Vitamin D	Vitamin D	1693
CT Cardiac angiogram coronary	CT Cardiac angiogram coronary	1689
ACE	ANGI. CONV. ENZYME	1683
CA125	CA125	1680
DGTT2	GTT2	1645
ULIVE	US Liver	1632
6624	Varicella Zoster IgG	1628
CTNG	C.trac/N.Gon PCR	1624
CT Thorax and abdomen with contrast	CT Thorax and abdomen with contrast	1623
MRI Pelvis Gynaecological	MRI Pelvis Gynaecological	1621
OSM	OSMOLALITY	1619
AST	AST	1618
CEA	CARCINO EMBRYONIC ANTIGEN	1611
GGT	GGT	1606
LIT	LITHIUM + CREATININE	1600
MKNER	MRI Knee Rt	1599
MMRCP	MRCP	1586
ARETA	Retics (abs.)	1578
ZPP	Zinc Protoporphrin	1571
XFINL	XR Fingers Lt	1567
Haemoglobin A1c IFCC	Haemoglobin A1c IFCC	1558
BETA2	Beta-2 Microglobulin (serum)	1552
186850	Enteric Virus PCR	1551
187725	HIV viral load	1550
UHIPB	US Hip Both	1549
XLSPN	XR Lumbar Spine	1543
XMAML	XR Mammogram Lt	1539
UPELV	US Pelvis	1527
XFINR	XR Fingers Rt	1524
MKNEL	MRI Knee Lt	1514
MDT Review report	MDT Review report	1512
UAXIL	US Axilla Lt	1508
601530	Transplant recipient	1507
XR Humerus Rt	XR Humerus Rt	1506
STTG	TTG Coeliac Screen	1504
FC	Faeces Culture	1500
CHL2	Chloride	1496
FINJTJ	Fluoroscopic Guided Injection	1495
CT Cardiac Cor artery calcium scoring	CT Cardiac Cor artery calcium scoring	1494
US Doppler aortoiliac	US Doppler aortoiliac	1494
186950	Tissue/Biopsy	1493
ID	Immuno deficiency panel	1488
UMAMB	US Breast Both	1483
PTH1	Parathyroid Hormone	1477
Std Renal Profile	Std Renal Profile	1473
CCPX	Anti CCP	1471
TRF	TRANSFERRIN	1468
UTEST	US Testes	1463
TPO1	ThyPeroxidaseAutoAB	1459
EAS	Erytra 2 Cell Antibody Screen	1459
CKNA	C.K.	1454
UAXIR	US Axilla Rt	1450
IGF1	INSULIN LIKE GROWTH FACTOR 1	1445
6613	EBV Screen	1442
XMAMR	XR Mammogram Rt	1437
GeneXpert CPE	GeneXpert CPE	1436
ASP-F	IgE ab Aspergillus f (serum)	1428
6692	CF - Cough swab	1426
Cardiac Angio coronaries	Cardiac Angio coronaries	1426
XR Finger Little Lt	XR Finger Little Lt	1425
PREVI	Urine	1425
MIXWD	Mixed Weed (serum)	1416
XTHUR	XR Thumb Rt	1415
US Obstetric cervical length TV	US Obstetric cervical length TV	1412
CCHESC	CT Thorax with contrast	1412
XLOLR	XR Tibia and Fibula Rt	1409
XCHAB	XR Chest and Abdomen	1408
HBV	Hb Variant Analysis	1397
XR Finger Little Rt	XR Finger Little Rt	1396
CT Angiogram aorta	CT Angiogram aorta	1390
187320	CSF - M,C&S	1387
RADC	Radiology Creatinine	1384
NM Bone Whole Body	NM Bone Whole Body	1376
BILI	Bilirubin (Total)	1374
Ferritin	Ferritin	1368
NTPBNP	NT pro BNP	1367
MRI Pelvis	MRI Pelvis	1360
600000	Foreign Travel Faec	1355
XR Finger Middle Rt	XR Finger Middle Rt	1349
US Obstetric 2nd trimester	US Obstetric 2nd trimester	1344
UOSMNA	Urine Osmolality and Sodium	1338
Cardiac Angio coronary stent	Cardiac Angio coronary stent	1333
FT3A	Free T3 (new)	1319
Barium swallow	Barium swallow	1310
LIPID PROFILE	LIPID PROFILE	1307
XLOLL	XR Tibia and Fibula Lt	1301
MTSPN	MRI Spine Thoracic	1290
MLSPN	MRI Spine Lumbar and Sacral	1288
IFAX	Intrinsic Factor Abs	1283
UPETV	US Pelvis transvaginal	1283
WR	Syphilis Results	1283
SM	Smooth Muscle/Mito	1282
LI	Lithium	1276
SFLCX	Serum Free Light Ch	1269
XR Finger Middle Lt	XR Finger Middle Lt	1269
XSCAL	XR Scaphoid Lt	1259
CYC	Blood Cyclosporin	1255
AMIC	AMIKACIN	1253
OSM	Serum Osmolality	1248
LH1	LH/FSH	1240
XTHUL	XR Thumb Lt	1236
US Doppler lower limb arteries Rt	US Doppler lower limb arteries Rt	1234
XR Finger Ring Rt	XR Finger Ring Rt	1230
XFARL	XR Radius and Ulna Lt	1229
General culture	General culture	1228
TRPCAP	Mast Cell Tryptase (serum)	1224
RF	Rheumatoid Factor	1220
186875	Exit site swab	1217
AFP	AFP	1216
US Doppler lower limb arteries Lt	US Doppler lower limb arteries Lt	1212
XR Dental bitewing Both	XR Dental bitewing Both	1201
CT Abdomen and pelvis	CT Abdomen and pelvis	1200
186940	Left ear swab	1199
MRI Neck with contrast	MRI Neck with contrast	1198
FIBC	Fibrinogen Assay	1192
US Thyroid	US Thyroid	1191
ATNT	Add on Troponin T	1187
CEA	CEA	1183
US Multiple Pregnancy	US Multiple Pregnancy	1177
PB	Inf. Mononucleosis	1175
Genital swabs	Genital swabs	1167
186970	Pus/Aspirate	1162
LH	Luteinising Hormone	1158
IFA	Intrinsic Factor Abs	1156
Folate (serum)	Folate (serum)	1155
ZASSESS	Assessment or Pre Assessment	1151
HNI	H'nics not indicated	1150
XFACI	XR Facial bones	1150
Virology	Virology	1149
PINP	TYPE I PROCOLLAGEN N PEPTIDE	1147
ERCP	ERCP	1143
XR Finger Index Lt	XR Finger Index Lt	1138
UODA	US Obstetric detailed anatomy scan	1134
UMACLB	US Guided core biopsy breast Lt	1127
186935	Right ear swab	1126
6101	BC - Arterial	1125
US Cranial contents	US Cranial contents	1124
DIC	DIC Screen	1123
186766	GR1 - HVS Genital Swab	1120
UMACRB	US Guided core biopsy breast Rt	1120
XSCAR	XR Scaphoid Rt	1116
XR Toes Lt	XR Toes Lt	1115
US Obstetric Placental Localisation	US Obstetric Placental Localisation	1108
XR Toes Rt	XR Toes Rt	1107
XR Finger Ring Lt	XR Finger Ring Lt	1106
VANC	Vancomycin	1102
MILK	Milk (serum)	1102
PNUT	Peanut (serum)	1102
DIG	DIGOXIN	1097
DXA Vertebral morphometry	DXA Vertebral morphometry	1097
MPEGY	MRI Pelvis Gynaecological	1095
WC34	WY - COMPLEMENT	1095
186890	left eye swab	1093
APTT	APTT.	1089
187532	Not tested	1086
186885	Right eye swab	1086
601695	2019 Novel Corona Virus	1083
Lipids - non fasting	Lipids - non fasting	1080
XTSPN	XR Thoracic Spine	1075
XR Toe Great Rt	XR Toe Great Rt	1069
GBM	Ab To GBM (serum)	1061
Glucose fast. plasma	Glucose fast. plasma	1059
TROPONIN-T	TROPONIN-T	1058
RPCR2	2019 Novel Corona Virus 8800	1054
XR Finger Index Rt	XR Finger Index Rt	1049
XR Clavicle Rt	XR Clavicle Rt	1045
XR Whole spine	XR Whole spine	1041
TMET	Thiopurine Metabolites	1033
D-dimer	D-dimer	1033
1COR	Cortisol	1033
ARET	Absolute Retic	1031
MIAMB	MRI Internal auditory meatus Both	1030
XR Clavicle Lt	XR Clavicle Lt	1028
187790	Rubella Immunity IgG	1027
FBASW	Barium swallow	1023
UO2T	US Obstetric 2nd trimester	1016
VWD	VON WILLEBRANDS SCREEN	1014
USHRR	US Shoulder Rt	1011
UTHYD	US Thyroid	1006
FE	Iron	1005
CVCOY	CT Colonoscopy Virtual	1004
XFOOB	XR Foot Both	1004
NBONW	NM Bone Whole Body	999
XFARR	XR Radius and Ulna Rt	998
CCSPN	CT Spine cervical	993
THROMB	Thrombophilia Screen	986
MCVIA	MRI Cardiac Myocardial Viability	983
A1AT	ALPHA-1-ANTITRYPSIN	981
IGS	Immunoglobulins	978
EDATSC	DAT screen (Erytra)	961
186770	Cerivcal Swab	959
EGG	Egg (hen) (serum)	958
PHOS	Phosphorus	954
CT Sinuses	CT Sinuses	953
SPLIT	CON/DIRECT BILIRUBIN.	950
THE	Theophylline	950
MCORP	MRI Cardiac Perfusion	948
XR Toe Great Lt	XR Toe Great Lt	939
CASHW	Cashew nut (serum)	936
CE	BLOOD COUNT + ESR	934
USHRL	US Shoulder Lt	931
UPCR	uProtein/Creat Ratio	931
BICARBONATE	BICARBONATE	929
Blood Culture	Blood Culture	927
WALNT	Walnut (serum)	925
ULLVB	US Doppler lower limb veins Both	924
ELEC	Electrophoresis	924
TRIG	TRIGLYCERIDE	922
ALMOND	Almond (serum)	919
HAZEL	Hazelnut (serum)	919
XR Foot Both	XR Foot Both	917
FM	Film	912
BRAZL	Brazil nut (serum)	909
NM MPS Tf stress	NM MPS Tf stress	904
PARA	Paracetamol	902
XR Chest and Abdomen	XR Chest and Abdomen	892
XR Cephalogram	XR Cephalogram	892
CT Angiogram lower limb Both	CT Angiogram lower limb Both	890
CEA1	CEA (new)	889
601520	Polyoma Virus PCR	889
PARA3	Paracetamol	888
BHCG	Beta-HCG	887
XR Calcaneus Lt	XR Calcaneus Lt	886
6647	Mycoplasma PCR	885
Blood Film	Blood Film	884
CD4P	CD4 Profile	877
QUANT4	Quantiferon	875
NM CT Atten Correct & localisation	NM CT Atten Correct & localisation	874
MPBIN	Malaria screen with FBC	873
Fluoroscopy thorax	Fluoroscopy thorax	871
AFGS	Diamed Full Gp   Abs	871
WHEAT	Wheat (serum)	871
ANAT	Anti Nuclear AB	869
US Guided injection	US Guided injection	861
MRI Pelvis Prostate	MRI Pelvis Prostate	859
FT3A	Free T3	858
ALT	ALANINE TRANSAMINASE	858
CT Neck with contrast	CT Neck with contrast	856
MRI Orbit Both	MRI Orbit Both	855
CPEP	C-PEPTIDE	854
US Doppler lower limb arteries Both	US Doppler lower limb arteries Both	854
LDH	Lactate DHydrogenase	852
1PSA	PSA	846
NM MPS Tf rest	NM MPS Tf rest	844
SEL	SELENIUM	840
CNCAPC	CT Neck thorax abdomen pelvis with Cont	838
187206	Pneumococal Sero (c)	837
MRI Small bowel study	MRI Small bowel study	836
CT Chest high resolution	CT Chest high resolution	834
AMYLASE	AMYLASE	834
MRI Cardiac complex congenital	MRI Cardiac complex congenital	832
GP TFT (on T4)	GP TFT (on T4)	830
QUAT	QUAT TEST	830
MMAMBC	MRI Breast with contrast Both	828
XR Calcaneus Rt	XR Calcaneus Rt	827
MPO	MPO (serum)	825
XR Leg Length Measurement Both	XR Leg Length Measurement Both	821
UOSM	Urine Osmolality	818
XUPAL	XR Humerus Lt	817
HC	Hepatitis C Screen	816
PRL	Prolactin	813
US Guided Biopsy	US Guided Biopsy	804
DSDNA2	IgG ds-DNA Ab	804
UBIOPB	US Guided Biopsy	803
TOBR	Tobramycin	802
CSFGTP	CSF Glucose and Total Protein	800
PR3	PR3 (serum)	796
MSPNW	MRI Spine whole	794
TBC	Sample for AFBs	790
UPLAC	US Obstetric Placental Localisation	790
XR Orthopantomogram Lt	XR Orthopantomogram Lt	790
SALY	Salicylate	787
