13G3.	Midwife attends
7F22.	Other operations on delivered uterus
7F22y	Other specified other operation on delivered uterus
7L130	Neonatal exchange blood transfusion
8CH..	Postpartum care
8HTA.	Referral to postnatal clinic
9114.	FP58 - newborn registration
9536.	Care during confinement
9537.	Complete postnatal care
9538.	Partial postnatal care - one visit
9539.	Partial postnatal care - two visits
953A.	Partial postnatal care - three visits
953B.	Partial postnatal care - four visits
953C.	Partial postnatal care - five visits
953D.	Full postnatal examination
9F56.	BAAF B2-neonatal report sent
9N1y4	Seen in postnatal clinic
A9840	Gonococcal ophthalmia neonatorum
D4007	Acquired neutropenia in newborn
E204.	Postnatal depression
Eu53.	[X]Mental and behavioural disorders associated with the puerperium, not elsewhere classified
Eu530	[X] Mental and behavioural disorders associated with the puerperium: [mild, not elsewhere classified] or [postnatal (including postpartum) depression NOS]
Eu531	[X] Mental and behavioural disorders associated with the puerperium: [severe, not elsewhere classified] or [puerperal psychosis NOS]
Eu53y	[X]Other mental and behavioural disorders associated with the puerperium, not elsewhere classified
Eu53z	[X]Puerperal mental disorder, unspecified
F2511	Benign myoclonic epilepsy in infancy
F4F54	Congenital nasolacrimal duct obstruction
G5200	Acute aseptic myocarditis of the newborn
K55y.	Other noninflammatory cervical disorders
L1202	Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication
L1204	Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication
L1212	Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication
L1232	Transient hypertension of pregnancy - delivered with postnatal complication
L1234	Transient hypertension of pregnancy with postnatal complication
L124.	Mild or unspecified pre-eclampsia
L1242	Mild or unspecified pre-eclampsia - delivered with postnatal complication
L1243	Mild or unspecified pre-eclampsia - not delivered
L1244	Mild or unspecified pre-eclampsia with postnatal complication
L1252	Severe pre-eclampsia - delivered with postnatal complication
L1254	Severe pre-eclampsia with postnatal complication
L1262	Eclampsia - delivered with postnatal complication
L1264	Eclampsia with postnatal complication
L1272	Pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication
L1274	Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication
L12z2	Unspecified hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication
L12z4	Unspecified hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication
L16..	Other pregnancy complication NEC
L162.	Nephropathy NOS in pregnancy without hypertension
L1652	Asymptomatic bacteriuria in pregnancy - delivered with postnatal complication
L1661	Genitourinary tract infection in pregnancy - delivered
L1664	Genitourinary tract infection in pregnancy with postnatal complication
L1666	Urinary tract infection following delivery
L1684	Fatigue during pregnancy with postnatal complication
L1692	Herpes gestationis - delivered with postnatal complication
L1694	Herpes gestationis with postnatal complication
L16A2	Glycosuria during pregnancy - delivered with postnatal complication
L16y.	Other pregnancy complications
L16y2	Other pregnancy complication - delivered with postnatal complication
L16y3	Other pregnancy complication - not delivered
L16y4	Other pregnancy complication with postnatal complication
L16yz	Other pregnancy complication NOS
L1704	Maternal syphilis in the puerperium - baby delivered during previous episode of care
L1712	Maternal gonorrhoea in the puerperium - baby delivered during current episode of care
L1714	Maternal gonorrhoea in the puerperium - baby delivered during previous episode of care
L172.	Other maternal venereal diseases during pregnancy, childbirth and the puerperium
L1722	Other maternal venereal disease in the puerperium - baby delivered during current episode of care
L1724	Other maternal venereal disease during the puerperium - baby delivered during previous episode of care
L176.	Other maternal viral disease during pregnancy, childbirth and the puerperium
L17y2	Other maternal infective or parasitic disease in the puerperium - baby delivered during current episode of care
L17y3	Other maternal infective or parasitic disease during pregnancy - baby not yet delivered
L1804	Diabetes mellitus in the puerperium - baby delivered during previous episode of care
L1812	Throid dysfunction in the puerperium - baby delivered during current episode of care
L1822	Anaemia in the puerperium - baby delivered during current episode of care
L1824	Anaemia in the puerperium - baby delivered during previous episode of care
L1842	Mental disorder in the puerperium - baby delivered
L1844	Mental disorder in the puerperium - baby delivered during previous episode of care
L1854	Congenital cardiovascular disorder in the puerperium - baby delivered during previous episode of care
L1882	Abnormal glucose tolerance test in the puerperium - baby delivered during current episode of care
L18z.	Medical condition NOS during pregnancy, childbirth and the puerperium
L18z2	Medical condition NOS, in the puerperium - baby delivered during current episode of care
L18z3	Medical condition NOS, during pregnancy - baby not yet delivered
L2402	Bicornuate uterus - baby delivered with postpartum complication
L2404	Bicornuate uterus complicating postpartum care - baby delivered during previous episode of care
L2412	Tumour of uterine body - baby delivered with postpartum complication
L2414	Uterine fibroid complicating postpartum care - baby delivered during previous episode of care
L244.	Other uterine or pelvic floor abnormality in pregnancy, childbirth and the puerperium
L2440	Other uterine or pelvic floor abnormality affecting obstetric care
L2442	Cystocele - delivered with postpartum complication
L2443	Other uterine or pelvic floor abnormality - baby not yet delivered
L2444	Cystocele complicating postpartum care - baby delivered during previous episode of care
L244z	Other uterine or pelvic floor abnormality (& [cystocele] or [rectocele]) in pregnancy, childbirth or the puerperium NOS
L246.	Other cervical abnormality in pregnancy, childbirth and the puerperium
L2462	Other cervical abnormality - baby delivered with postpartum complication
L2463	Other cervical abnormality complicating antenatal care - baby not yet delivered
L2464	Other cervical abnormality complicating postpartum care - baby delivered during previous episode of care
L246z	Other cervical abnormality in pregnancy, childbirth or the puerperium NOS
L2484	Rigid perineum complicating postpartum care - baby delivered during previous episode of care
L24z4	Pelvic soft tissue abnormality in pregnancy, childbirth and the puerperium with postnatal complication
L2633	(Labour and delivery complicated by fetal heart rate anomaly) or (maternal care for fetal hypoxia)
L265.	Small-for-dates fetus in pregnancy
L308.	Failed forceps unspecified
L3081	Other failed forceps - delivered
L34..	Trauma to perineum and vulva during delivery
L3402	First degree perineal tear during delivery with postnatal problem
L341.	Perineal muscle tear
L3412	Second degree perineal tear during delivery with postnatal problem
L3422	Third degree perineal tear during delivery with postnatal problem
L3432	Fourth degree perineal tear during delivery with postnatal problem
L344.	Unspecified perineal laceration during delivery
L3442	Unspecified perineal laceration during delivery with postnatal problem
L344z	Unspecified perineal laceration during delivery NOS
L3452	Vulval and perineal haematoma during delivery with postnatal problem
L34y.	Other vulval and perineal trauma during delivery
L34y2	Other vulval and perineal trauma during delivery with postnatal problem
L34yz	Other vulval/perineal trauma during delivery NOS
L34z2	Vulval and perineal trauma during delivery NOS with postnatal problem
L3512	Rupture of uterus during and after labour - delivered with postnatal problem
L3513	Rupture of uterus during and after labour with postnatal problem
L3522	Obstetric inversion of uterus with postnatal problem
L355.	Other obstetric pelvic organ damage
L3552	Other obstetric pelvic organ damage with postnatal problem
L355z	Other obstetric pelvic organ damage NOS
L3562	Obstetric damage to pelvic joints and ligaments with postnatal problem
L35y.	Other obstetric trauma OS
L35y2	Other obstetric trauma - delivered with postnatal problem
L35y3	Other obstetric trauma with antenatal problem
L35z2	Obstetric trauma NOS - delivered with postnatal problem
L35z4	Obstetric trauma NOS with postnatal problem
L360.	(Third-stage PPH) or (retained placenta NOS)
L3600	Third-stage postpartum haemorrhage unspecified
L3601	Third-stage postpartum haemorrhage - delivered with postnatal problem
L3602	Third-stage postpartum haemorrhage with postnatal problem
L3611	Other immediate postpartum haemorrhage - delivered with postnatal problem
L3612	Other immediate postpartum haemorrhage with postnatal problem
L362.	Delayed postpartum haemorrhage
L3621	Secondary postpartum haemorrhage - delivered with postnatal problem
L3622	Secondary postpartum haemorrhage with postnatal problem
L362z	Secondary and delayed postpartum haemorrhage NOS
L3701	Retained placenta with no haemorrhage - delivered with postnatal problem
L3702	Retained placenta with no haemorrhage with postnatal problem
L3711	Retained products with no haemorrhage - delivered with postnatal problem
L3712	Retained products with no haemorrhage with postnatal problem
L3841	Spinal and epidural anaesthesia-induced headache during the puerperium
L38A.	Failed or difficult intubation during labour and delivery
L38B.	Failed or difficult intubation during the puerperium
L39..	Other complications of labour and delivery NEC
L3924	Maternal hypotension syndrome with postnatal problem
L3931	Post-delivery acute renal failure - delivered with postnatal problem
L3932	Post-delivery acute renal failure with postnatal problem
L394.	Other complications of obstetric procedures
L3942	Other complications of obstetric procedures - delivered with postnatal problem
L3943	Other complications of obstetric procedures with postnatal problem
L3945	Infection of obstetric surgical wound
L3946	Haematoma of obstetric wound
L39B.	Death from sequelae of direct obstetric causes
L39y.	Other complications of labour and delivery
L39y4	Other complications of labour and delivery with postnatal problem
L39z4	Complications of labour and delivery NOS with postnatal problem
L4...	Complications of the puerperium
L40..	Major puerperal infection
L400.	Puerperal endometritis
L4000	Puerperal endometritis unspecified
L4001	Puerperal endometritis - delivered with postnatal complication
L4002	Puerperal endometritis with postnatal complication
L400z	Puerperal endometritis NOS
L401.	Puerperal salpingitis
L4010	Puerperal salpingitis unspecified
L4012	Puerperal salpingitis with postnatal complication
L401z	Puerperal salpingitis NOS
L402.	Puerperal peritonitis
L4020	Puerperal peritonitis unspecified
L4021	Puerperal peritonitis - delivered with postnatal complication
L402z	Puerperal peritonitis NOS
L403.	Puerperal septicaemia
L4030	Puerperal septicaemia unspecified
L4031	Puerperal septicaemia - delivered with postnatal complication
L403z	Puerperal septicaemia NOS
L40z.	Major puerperal infection NOS
L40z0	Major puerperal infection NOS, unspecified
L40z1	Major puerperal infection NOS - delivered with postnatal complication
L41..	Varicose veins - obstetric
L4104	Varicose veins of legs in pregnancy and the puerperium with postnatal complication
L4116	Genital varices in the puerperium
L4122	Phlebitis - postpartum
L4124	Superficial thrombophlebitis in pregnancy and the puerperium with postnatal complication
L4131	Antenatal deep vein thrombosis - delivered
L414.	DVT - deep venous thrombosis, postnatal
L4140	Postnatal deep vein thrombosis unspecified
L4141	Postnatal deep vein thrombosis - delivered with postnatal complication
L4142	Postnatal deep vein thrombosis with postnatal complication
L414z	Postnatal deep vein thrombosis NOS
L415.	Other phlebitis and thrombosis in pregnancy and the puerperium
L4151	Other phlebitis and thrombosis in pregnancy and the puerperium - delivered
L4152	Other phlebitis and thrombosis in pregnancy and the puerperium - delivered with postnatal complication
L4161	Haemorrhoids in pregnancy and the puerperium - delivered
L4162	Haemorrhoids in pregnancy and the puerperium - delivered with postnatal complication
L4164	Haemorrhoids in pregnancy and the puerperium with postnatal complication
L4165	Haemorrhoids in the puerperium
L4171	Cerebral venous thrombosis in the puerperium
L41y.	Other venous complication of pregnancy and the puerperium
L41z6	Puerperal phlebitis NOS
L41zz	Venous complication of pregnancy and puerperium NOS
L42..	Puerperal pyrexia of unknown origin
L4200	Puerperal pyrexia of unknown origin unspecified
L420z	Puerperal pyrexia NOS
L43..	Obstetric pulmonary embolism
L4312	Amniotic fluid pulmonary embolism - delivered with postnatal complication
L43y.	Other obstetric pulmonary embolism
L43z1	Obstetric pulmonary embolism NOS - delivered
L43z2	Obstetric pulmonary embolism NOS - delivered with postnatal complication
L43z4	Obstetric pulmonary embolism NOS with postnatal complication
L44..	Other complications of the puerperium NEC
L440.	Cerebrovascular disorders in the puerperium
L4400	Puerperal cerebrovascular disorder unspecified
L4401	Puerperal cerebrovascular disorder - delivered
L4403	Puerperal cerebrovascular disorder with antenatal complication
L440z	Puerperal cerebrovascular disorder NOS
L441.	Caesarean wound disruption
L4410	Caesarean wound disruption unspecified
L4411	Caesarean wound disruption - delivered with postnatal complication
L4412	Caesarean wound disruption with postnatal complication
L441z	Caesarean wound disruption NOS
L442.	Breakdown of perineum
L4420	Obstetric perineal wound disruption unspecified
L4421	Obstetric perineal wound disruption - delivered with postnatal complication
L4422	Obstetric perineal wound disruption with postnatal complication
L442z	Obstetric perineal wound disruption NOS
L443.	Haematoma - perineal wound
L4430	Other complication of obstetric surgical wound unspecified
L4431	Other complication of obstetric surgical wound - delivered with postnatal complication
L4432	Other complication of obstetric surgical wound with postnatal complication
L443z	Other complication of obstetric surgical wound NOS
L44y.	Other complications of the puerperium
L44y0	Other complications of the puerperium unspecified
L44y1	Other complications of the puerperium - delivered with postnatal complication
L44y2	Other complications of the puerperium with postnatal complication
L44yz	Blood dyscrasia puerperal
L44z0	Complications of the puerperium NOS, unspecified
L44z1	Complications of the puerperium NOS - delivered with postnatal complication
L44z2	Complications of the puerperium NOS with postnatal complication
L4501	Obstetric nipple infection - delivered
L4504	Obstetric nipple infection with postnatal complication
L4511	Obstetric breast abscess - delivered
L4512	Obstetric breast abscess - delivered with postnatal complication
L4514	Obstetric breast abscess with postnatal complication
L4521	Obstetric non-purulent mastitis - delivered
L4522	Obstetric non-purulent mastitis - delivered with postnatal complication
L4523	Obstetric non-purulent mastitis with antenatal complication
L4524	Obstetric non-purulent mastitis with postnatal complication
L45y.	Other obstetric breast infections
L45y1	Other obstetric breast infection - delivered
L45y2	Other obstetric breast infection - delivered with postnatal complication
L45z1	Obstetric breast infection NOS - delivered
L45z4	Obstetric breast infection NOS with postnatal complication
L46..	Lactation: [problems] or [& obstetric breast disorders NOS])
L4611	Cracked nipple in pregnancy, the puerperium or lactation - delivered
L4612	Cracked nipple in pregnancy, the puerperium or lactation - delivered with postnatal complication
L4614	Cracked nipple in pregnancy, the puerperium or lactation with postnatal complication
L462.	Breast engorgement in pregnancy, the puerperium or lactation
L4621	Breast engorgement in pregnancy, the puerperium or lactation - delivered
L4622	Breast engorgement in pregnancy, the puerperium or lactation - delivered with postnatal complication
L4624	Breast engorgement in pregnancy/puerperium/lact + p/n comp
L462z	Breast engorgement
L4631	Other breast disorder in pregnancy, the puerperium or lactation - delivered
L4632	Other breast disorder in pregnancy, the puerperium or lactation - delivered with postnatal complication
L4634	Other breast disorder in pregnancy, the puerperium or lactation with postnatal complication
L463z	Other breast disorder in pregnancy, the puerperium or lactation NOS
L4651	Suppressed lactation - delivered
L4661	Galactorrhoea in pregnancy and the puerperium - delivered
L4664	Galactorrhoea in pregnancy and the puerperium with postnatal complication
L46y.	Other disorders of lactation
L46y1	Other disorder of lactation - delivered
L46y2	Other disorder of lactation - delivered with postnatal complication
L46y4	Other disorder of lactation with postnatal complication
L46yz	Other disorder of lactation NOS
L4y..	Other specified complications of the puerperium
L4z..	Complications of the puerperium NOS
L5...	Maternal care for fetus
L514.	Maternal care for intrauterine growth retardation
Lyu27	[X]Other complications of spinal and epidural anaesthesia during pregnancy
Lyu6.	[X]Complications predominantly related to the puerperium
Lyu60	[X]Other infection of genital tract following delivery
Lyu61	[X]Other genitourinary tract infections following delivery
Lyu62	[X]Other specified puerperal infection
Lyu63	[X]Other venous complications in the puerperium
Lyu64	[X]Other obstetric embolism
Lyu65	[X]Other complications of spinal and epidural anaesthesia during the puerperium
Lyu66	[X]Other complications of anaesthesia during the puerperium
Lyu67	[X]Other specified puerperal complications
Lyu68	[X]Other and unspecified disorders of breast associated with childbirth
Lyu74	[X] Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium
Lyu75	[X]Obstetric death of unspecified cause
M054.	Impetigo neonatorum
M15y0	Ritter's disease
M2617	Acne neonatorum
P32..	Anterior segment dysgenesis
P7z..	Fetal circulation
PE310	Predislocation status of hip at birth
PH13.	Collodion baby
Q....	Fetal and neonatal conditions
Q11..	(Short gestation and unspecified low birthweight problems) or (baby born premature)
Q110.	Immature baby
Q112.	(Extreme immaturity) or (extreme prematurity - less than 28 weeks)
Q12..	(Disorders relating to long gestation and high birthweight) or (large baby born)
Q121.	Other "large-for-dates" infant
Q12z.	Large or postmature infant NOS
Q2...	Birth trauma, asphyxia and hypoxia
Q20..	Birth injury
Q200.	Subdural and cerebral haemorrhage due to birth trauma
Q2000	Cerebral haemorrhage unspecified, due to birth trauma
Q2001	Subdural haemorrhage unspecified, due to birth trauma
Q2002	Local subdural haematoma due to birth trauma
Q2003	Tentorial tear due to birth trauma
Q2004	Brain injury due to birth trauma NOS
Q2005	Cerebral haematoma in fetus or newborn
Q2006	Extradural haemorrhage in fetus or newborn
Q2007	Cerebral haemorrhage due to birth injury
Q200y	Other specified subdural or cerebral haemorrhage due to birth trauma
Q200z	(Subdural or cerebral haemorrhage due to birth trauma NOS) or (birth brain damage NOS)
Q201.	Scalp injuries due to birth trauma
Q2010	Caput succedaneum
Q2011	Cephalhaematoma due to birth trauma
Q2012	Vacuum extraction chignon
Q2013	Massive epicranial subaponeurotic haemorrhage due to birth trauma
Q2014	Scalp abrasions due to birth trauma
Q2015	Bruising of scalp due to birth injury
Q201y	Other specified scalp injury due to birth trauma
Q201z	Scalp injury due to birth trauma, NOS
Q202.	Fracture of clavicle due to birth trauma
Q203.	(Other skeleton injury due to birth trauma) or (other fractures due to birth trauma) or (other birth fracture)
Q2030	Fracture of humerus due to birth trauma
Q2031	Birth fracture of radius
Q2032	Fracture of femur due to birth trauma
Q2033	Fracture of tibia or fibula due to birth trauma
Q2034	Fracture of skull due to birth trauma
Q2035	Birth dislocation of the shoulder
Q2036	Other dislocation or subluxation due to birth trauma
Q203y	Fracture due to birth trauma NEC
Q203z	Skeleton injury due to birth trauma NOS
Q204.	Spine or spinal cord injury due to birth trauma
Q2040	Spine dislocation due to birth trauma
Q2041	Spine fracture due to birth trauma
Q204z	Spine or spinal cord injury due to birth trauma NOS
Q205.	Facial nerve palsy due to birth trauma
Q206.	Brachial plexus palsy due to birth trauma
Q2060	Brachial palsy unspecified, due to birth trauma
Q2061	Erb's palsy
Q2062	Klumpke paralysis
Q2063	Birth plexus injury - whole plexus
Q206y	Other specified brachial plexus palsy due to birth trauma
Q206z	Brachial plexus palsy due to birth trauma NOS
Q207.	Other cranial or peripheral nerve palsy due to birth trauma
Q2070	Birth injury to phrenic nerve
Q2071	Cranial nerve injury due to birth trauma
Q2072	Peripheral nerve injury due to birth trauma
Q207y	Other specified cranial or peripheral nerve palsy due to birth trauma
Q207z	Cranial or peripheral nerve palsy due to birth trauma NOS
Q208.	Cerebral oedema due to birth injury
Q20y.	Other specified birth trauma
Q20y0	Eye damage due to birth trauma
Q20y1	Liver subcapsular haematoma due to birth trauma
Q20y2	Testicular haematoma due to birth trauma
Q20y3	Vulval haematoma due to birth trauma
Q20y5	Spleen injury due to birth trauma
Q20y6	Scalpel wound due to birth trauma
Q20y7	Traumatic glaucoma due to birth trauma
Q20y8	Subconjunctival haemorrhage due to birth trauma
Q20y9	Torticollis due to birth injury
Q20yA	Birth trauma due to amniocentesis
Q20yB	Sternomastoid injury due to birth injury
Q20yC	Birth injury to face
Q20yD	Subcutaneous fat necrosis due to birth injury
Q20yz	Internal birth injury NEC
Q20z.	Birth injury NOS
Q215.	White asphyxia
Q216.	Blue asphyxia
Q21z.	Anoxia in newborn NOS
Q2y..	Other specified birth trauma, asphyxia or hypoxia
Q2z..	Birth trauma, asphyxia or hypoxia NOS
Q3...	Fetus and newborn respiratory conditions
Q30..	Hyaline membrane disease
Q31..	Other fetal and newborn respiratory conditions
Q310.	Congenital pneumonia
Q3100	Congenital staphylococcal pneumonia
Q3101	Congenital group A haemolytic streptococcal pneumonia
Q3102	Congenital group B haemolytic streptococcal pneumonia
Q3103	Congenital Escherichia coli pneumonia
Q3104	Congenital pneumonia due to pseudomonas
Q3106	Congenital chlamydial pneumonia
Q310y	Other specified congenital pneumonia
Q310z	Congenital pneumonia NOS
Q3110	MAS - Meconium aspiration syndrome
Q3111	Aspiration of amniotic fluid in newborn
Q3112	Aspiration of blood in newborn
Q3113	Aspiration of vomit in newborn
Q3114	Neonatal aspiration of milk and regurgitated food
Q311z	(Massive aspiration syndrome NOS) or (pneumonitis due to fetal aspiration)
Q312.	Perinatal interstitial emphysema and related conditions
Q3120	Perinatal pneumothorax
Q3121	Perinatal mediastinal emphysema
Q3122	Perinatal pneumopericardium
Q3123	Perinatal pulmonary interstitial emphysema
Q312y	Other specified perinatal interstitial emphysema or related condition
Q312z	Perinatal interstitial emphysema or related condition NOS
Q313.	Perinatal pulmonary haemorrhage
Q3130	Perinatal lung alveolar haemorrhage
Q3131	Perinatal lung intra-alveolar haemorrhage
Q3132	Perinatal massive pulmonary haemorrhage
Q3133	Perinatal haemoptysis
Q3134	Tracheobronchial haemorrhage origin in the perinatal period
Q313y	Other specified perinatal pulmonary haemorrhage
Q313z	Perinatal pulmonary haemorrhage NOS
Q314.	Primary atelectasis
Q315.	Other and unspecified perinatal atelectasis
Q3150	Perinatal atelectasis, unspecified
Q3151	Perinatal partial atelectasis
Q315z	Perinatal pulmonary collapse NOS
Q316.	Newborn transitory tachypnoea
Q317.	Neonatal chronic respiratory disease
Q3170	BPD - Bronchopulmonary dysplasia
Q3172	Pulmonary dysmaturity
Q317y	Other specified perinatal chronic respiratory disease
Q317z	Perinatal chronic respiratory disease NOS
Q31y.	Other perinatal respiratory problems
Q31y0	Apnoea - perinatal NOS
Q31y1	Cyanotic attacks of the newborn
Q31y2	Perinatal respiratory distress NOS
Q31y3	Perinatal respiratory failure NOS
Q31y4	Neonatal acrocyanosis
Q31y5	Neonatal sniffles
Q31yz	(Other perinatal respiratory problems NOS) or (grunting baby)
Q31z.	Perinatal respiratory problems NOS
Q3y..	Other specified respiratory problems in fetus or neonate
Q3z..	Fetal or newborn respiratory problems NOS
Q4...	Other perinatal conditions
Q40..	Infections specific to perinatal period
Q401.	Congenital cytomegalovirus infection
Q402.	Other congenital infections
Q4020	Congenital herpes simplex infection
Q4022	Congenital malaria
Q4023	Lymphadenopathy due to congenital toxoplasmosis
Q4024	Congenital tuberculosis
Q402z	Other congenital infection NOS
Q403.	Tetanus neonatorum
Q4030	Tetanus neonatorum, unspecified
Q4031	Tetanus omphalitis
Q403z	Tetanus neonatorum NOS
Q404.	Omphalitis of the newborn
Q404y	Other specified umbilical sepsis
Q404z	Umbilical sepsis NOS
Q405.	Neonatal infective mastitis
Q406.	Neonatal dacryocystitis and conjunctivitis
Q4060	Ophthalmia neonatorum, unspecified
Q4061	Neonatal conjunctivitis
Q4062	Neonatal dacryocystitis
Q4063	Neonatal conjunctivitis due to E.coli
Q4064	Neonatal conjunctivitis due to staphylococcus
Q4065	Neonatal conjunctivitis due to other bacteria
Q4066	Neonatal conjunctivitis due to virus
Q4067	Neonatal conjunctivitis due to chlamydiae
Q4068	Neonat inclusn body: [other, dacryocystitis &/or conjunctivitis] or [NEC, ophthalmia neonatorum] or [inclusion blennorrhoea]
Q406y	Other specified neonatal dacryocystitis or conjunctivitis
Q406z	Neonatal dacryocystitis or conjunctivitis NOS
Q407.	Neonatal candida infection
Q4070	Neonatal candidiasis of mouth
Q4071	Neonatal candidiasis of perineum
Q4072	Neonatal candidiasis of other skin
Q4075	Generalised neonatal candidal septicaemia
Q407y	Other specified neonatal candida infection
Q407z	Neonatal candida infection NOS
Q4086	Pseudomonas pyocyaneus congenital infection
Q409.	Congenital viral hepatitis
Q4090	Congenital hepatitis A infection
Q4091	Congenital hepatitis B infection
Q409y	Other specified congenital viral hepatitis
Q409z	Congenital viral hepatitis NOS
Q40A.	Sepsis of the newborn
Q40A0	Sepsis of newborn due to Staphylococcus aureus
Q40A1	Sepsis of newborn due to Escherichia coli
Q40A2	Sepsis of newborn due to anaerobes
Q40y.	Other specified perinatal infection
Q40y0	(Intrauterine fetal sepsis, unspecified) or (congenital septicaemia) or (congenital sepsis NOS)
Q40y1	Neonatal urinary tract infection
Q40y2	Neonatal septicaemia
Q40yz	Other specified perinatal infection NOS
Q40z.	Perinatal infections NOS
Q41..	Fetal and neonatal haemorrhage
Q411.	Perinatal intraventricular haemorrhage
Q4113	Intraventricular haemorrhage due to birth injury
Q412.	Perinatal subarachnoid haemorrhage
Q4120	Subarachnoid haemorrhage due to birth injury
Q413.	Umbilical haemorrhage after birth
Q4130	Umbilical haemorrhage after birth, unspecified
Q4132	Massive umbilical haemorrhage of newborn
Q413y	Other specified umbilical haemorrhage after birth
Q413z	Umbilical haemorrhage after birth NOS
Q414.	Perinatal gastrointestinal haemorrhage
Q4140	Perinatal haematemesis
Q4142	Perinatal rectal haemorrhage
Q4143	Neonatal vaginal haemorrhage
Q414y	Other specified perinatal gastrointestinal haemorrhage
Q414z	Perinatal gastrointestinal haemorrhage NOS
Q415.	Perinatal adrenal haemorrhage
Q416.	Perinatal cutaneous haemorrhage
Q4160	Perinatal cutaneous haemorrhage, unspecified
Q4161	Perinatal cutaneous bruising
Q4162	Perinatal cutaneous ecchymoses
Q4163	Perinatal cutaneous petechiae
Q4164	Perinatal superficial haematoma
Q4165	Perinatal purpura
Q416y	Other specified perinatal cutaneous haemorrhage
Q416z	Perinatal cutaneous haemorrhage NOS
Q41y0	Perinatal epistaxis
Q41y1	Perinatal pseudomenses
Q41y2	Neonatal haematemesis
Q41y3	Neonatal melaena
Q41y4	Neonatal rectal haemorrhage
Q420.	Erythroblastosis fetalis
Q421.	ABO haemolytic disease of the newborn
Q422.	Haemolytic disease due to isoimmunisation NOS
Q424.	Kernicterus due to isoimmunisation
Q425.	Late anaemia of newborn due to isoimmunisation
Q42z.	Haemolytic disease of fetus and newborn due to isoimmunisation NOS
Q43..	Other perinatal jaundice
Q430.	Perinatal jaundice from hereditary haemolytic anaemias
Q4300	Neonatal jaundice with glucose-6-phosphate dehydrogenase deficiency
Q430z	Perinatal jaundice from hereditary haemolytic anaemia NOS
Q431.	Perinatal jaundice from other excessive haemolysis
Q4310	Perinatal jaundice from bruising
Q4312	Perinatal jaundice from infection
Q4313	Perinatal jaundice from polycythaemia
Q4314	Perinatal jaundice from swallowed maternal blood
Q4315	Perinatal jaundice from bleeding
Q431y	Perinatal jaundice from other specified haemolysis
Q431z	Perinatal jaundice from haemolysis NOS
Q432.	Jaundice of prematurity
Q433.	Other neonatal jaundice due to delayed conjugation from other causes
Q4330	Delayed conjugation causing neonatal jaundice, unspecified
Q4332	Breast milk inhibitor jaundice
Q4333	Lucey-Driscoll syndrome
