635..13	Premature baby
L397z00	Breech extraction NOS
6369.00	Baby BW = 4400 - 4499g
L300100	Obstructed labour due to fetal malposition - delivered
L361z00	Other immediate postpartum haemorrhage NOS
L360z00	Third-stage postpartum haemorrhage NOS
L320.00	Prolonged first stage
L344100	Unspecified perineal laceration during delivery - delivered
Z23AM00	Painless uterine contractions
6391.00	Apgar at 1 minute = 0
L35y.00	Other obstetric trauma OS
ZV27z00	[V]Unspecified delivery outcome
Z23AG00	Hypertonic lower uterine segment during labour
L322100	Prolonged second stage - delivered
L34z000	Vulval/perineal trauma during delivery NOS unspec
Q031000	Fetus/neonate affected by mat bony pelvis abn in labour/del
6345.00	1 male + 1 female baby
63B7.00	Apgar at 10 minutes = 6
Z262L00	Placenta oedematous
63AZ.00	Apgar at 5 minutes NOS
7F22z00	Other operation on delivered uterus NOS
L39..00	Other complications of labour and delivery NEC
L188100	Abnormal GTT during pregnancy - baby delivered
L263100	Fetal distress - delivered
L266100	Large-for-dates - delivered
L353000	Obstetric laceration of cervix unspecified
Q037100	Fetus or neonate affected by hypertonic labour
Z253300	Normal rate of delivery
L168100	Fatigue during pregnancy - delivered
Q031300	Fetus/neonate affected by shoulder presentation - labour/del
L389.00	CNS comps of anaesthesia during labour and delivery
Z23AA00	Fair uterine contractions
6377.00	Birth HC = 90th-96th centile
L30z100	Obstructed labour NOS - delivered
ZV33000	[V]Twin, unspecified, born in hospital
L305z00	Shoulder dystocia NOS
L354.00	Obstetric high vaginal laceration
L282.00	Prolonged spontaneous or unspecified rupture of membranes
L114100	Antepartum haemorrhage with trauma - delivered
6314.00	Nursing home birth
L185100	Congenital cardiovasc dis in pregnancy - baby delivered
636B.00	Baby BW = 751g-1kg
Lyu5100	[X]Other and unspecified forceps delivery
L33z100	Umbilical cord complications NOS - delivered
L39z.00	Complications of labour and delivery NOS
Z253100	Slow rate of delivery
L110100	Placenta praevia without haemorrhage - delivered
L16A100	Glycosuria during pregnancy - delivered
Z246100	Duration of labour
