a411.	Atropine sulphate 600micrograms tablet
d4sv.	QUETIAPINE 200mg m/r tablets
d4sx.	Quetiapine 300mg tablet
d583.	ZYPADHERA 405mg powder+solvent for suspension for injection
d58y.	OLANZAPINE 300mg powder+solvent for suspension for injection
d711.	Amitriptyline hydrochloride 10mg tablet
d712.	Amitriptyline hydrochloride 25mg tablet
d713.	Amitriptyline hydrochloride 50mg tablet
d731.	Anafranil 10mg capsule
d732.	Anafranil 25mg capsule
d733.	Anafranil 50mg capsule
d736.	Anafranil SR 75mg tablet
d73u.	Clomipramine hydrochloride 10mg capsule
d73v.	Clomipramine hydrochloride 25mg capsule
d73w.	Clomipramine hydrochloride 50mg capsule
d751.	Prothiaden 25mg capsule
d752.	Prothiaden 75mg tablet
d753.	Prepadine 25mg capsule
d754.	Prepadine 75mg tablet
d755.	Dothapax 25mg capsule
d756.	Dothapax 75mg tablet
d75y.	Dosulepin hydrochloride 25mg capsule
d75y.	Dothiepin hydrochloride 25mg capsule
d75z.	Dosulepin hydrochloride 75mg tablet
d75z.	Dothiepin hydrochloride 75mg tablet
d761.	Sinequan 10mg capsules x56CP
d762.	Sinequan 25mg capsules x28CP
d763.	Sinequan 50mg capsules x28CP
d764.	Sinequan 75mg capsules x28CP
d76w.	Doxepin 10mg capsule
d76x.	Doxepin 25mg capsule
d76y.	Doxepin 50mg capsule
d76z.	Doxepin 75mg capsule
d771.	Imipramine hydrochloride 10mg tablet
d772.	Imipramine hydrochloride 25mg tablet
d776.	Tofranil 25mg tablet
d777.	Tofranil 25mg/5mL syrup
d7c1.	Allegron 10mg tablet
d7c2.	Allegron 25mg tablet
d7f1.	Surmontil 50mg capsules x28CP
d7f2.	Surmontil 10mg tablet
d7f3.	Surmontil 25mg tablet
d7fx.	Trimipramine 50mg capsule
d7fy.	Trimipramine 10mg tablet
d7fz.	Trimipramine 25mg tablet
da61.	Paroxetine 20mg tablet
da62.	Seroxat 20mg tablets x30
da63.	Paroxetine 30mg tablet
da64.	Seroxat 30mg tablets x30
da66.	Seroxat 10mg/5mL s/f liquid
dh81.	Hyoscine hydrobromide 300micrograms tablet
dh89.	KWELLS 300micrograms tablets
dh8C.	JOY-RIDES 150micrograms chewable tablets
dhe1.	Stemetil 5mg tablet
dhe2.	Stemetil 25mg tablet
dhe3.	Stemetil 5mg/5ml syrup
dhe4.	Stemetil 12.5mg/1mL injection
dhe6.	Stemetil 5mg suppository
dhe7.	Stemetil 25mg suppository
dhea.	Buccastem 3mg tablet
dheA.	Proziere 5mg tablet
dheb.	Stemetil Eff 5mg/sachet granules
dheB.	Buccastem M 3mg buccal tablet
dhed.	Prochlorperazine maleate 3mg buccal tablet
dher.	Prochlorperazine maleate 5mg tablet
dhes.	Prochlorperazine maleate 25mg tablet
dhew.	Prochlorperazine maleate 5mg suppository
dhex.	Prochlorperazine maleate 25mg suppository
dq4z.	Amantadine hydrochloride 100mg capsule
dr19.	Broflex 5mg/5mL syrup
dr1w.	Benzhexol hydrochloride 2mg tablet
dr1w.	Trihexyphenidyl hydrochloride 2mg tablet
dr1x.	Benzhexol hydrochloride 5mg tablet
dr1x.	Trihexyphenidyl hydrochloride 5mg tablet
dr21.	Biorphen 25mg/5mL elixir
dr22.	Disipal 50mg tablet
dr2x.	Orphenadrine hydrochloride 25mg/5mL oral liquid
dr61.	Arpicolin 2.5mg/5mL syrup
dr62.	Arpicolin 5mg/5mL syrup
dr63.	Kemadrin 5mg tablet
dr6y.	Procyclidine hydrochloride 5mg tablet
ei21.	Symmetrel 100mg capsule
ei22.	Symmetrel 50mg/5mL syrup
ei25.	Lysovir 100mg capsule
gda1.	Oxybutynin hydrochloride 2.5mg tablet
gdA1.	Tolterodine L-tartrate 1mg tablet
gda2.	Ditropan 2.5mg tablet
gdA2.	Tolterodine L-tartrate 2mg tablet
gda3.	Oxybutynin hydrochloride 5mg tablet
gdA3.	Detrusitol 1mg tablet
gda4.	Ditropan 5mg tablet
gdA4.	Detrusitol 2mg tablet
gda5.	Oxybutynin hydrochloride 3mg tablet
gda6.	Cystrin 3mg tablet
gdA6.	Detrusitol XL 4mg m/r capsule
gda7.	Cystrin 5mg tablet
o481.	Pethidine hydrochloride 50mg/5mL injection
x00f7	Clozaril 100mg tablet
x00fM	Hyoscine hydrobromide 150micrograms tablet
x00ft	Promethazine hydrochloride 20mg tablet
