^ESCT1169291	Endocarditis of neoaortic valve
^ESCTIN739524	Infective endocarditis of left atrioventricular (nonmitral) valve
^ESCTIN739525	Infectious endocarditis of left atrioventricular (not morphologically mitral) valve
^ESCTIN739526	Infective endocarditis of right atrioventricular (not morphologically tricuspid) valve
^ESCTIN739527	Infective endocarditis of right atrioventricular (nontricuspid) valve
^ESCTIN739528	Infectious endocarditis of right atrioventricular (not morphologically tricuspid) valve
^ESCTIN739542	Infective endocarditis at site of ventricular septal defect
^ESCTIN739543	Infectious endocarditis at site of ventricular septal defect
^ESCTIN739546	Infective endocarditis at site of interatrial communication
^ESCTIN739547	Infectious endocarditis at site of interatrial communication
^ESCTIN739553	Infective endocarditis of common atrioventricular valve
^ESCTIN739554	Infectious endocarditis of common atrioventricular valve
^ESCTIN739585	Infective endocarditis at site of patch of ventricular septal defect
^ESCTIN739586	Infectious endocarditis at site of patch of ventricular septal defect
^ESCTIN739624	Infective endocarditis at site of patch of interatrial communication
^ESCTIN739625	Infectious endocarditis at site of patch of interatrial communication
^ESCTIN739910	Infective endocarditis at site of implanted vascular shunt
^ESCTIN739911	Infectious endocarditis at site of implanted vascular shunt
^ESCTIN739937	Infective endocarditis of vascular cardiac conduit
^ESCTIN739938	Infectious endocarditis of vascular cardiac conduit
^ESCTIN784011	Infective periendocarditis
^ESCTIN784860	Infection causing subacute endocarditis
^ESCTIN784862	Infection causing myoendocarditis
^ESCTIN784863	Infective myoendocarditis
^ESCTIS340084	Isolated diffuse granulomatous myocarditis
^ESCTLE701263	Left sided infective endocarditis
^ESCTLI337707	Libman-Sacks endocarditis
^ESCTLY707393	Lymphocytic myocarditis
^ESCTMA320936	Malignant endocarditis
^ESCTMA342924	Marantic endocarditis
^ESCTME371798	Measles myocarditis
^ESCTME398605	Meningococcal myocarditis
^ESCTMU353215	Mumps myocarditis
^ESCTMY263850	Myocarditis due to hypersensitivity state
^ESCTMY286101	Myocarditis due to infectious agent
^ESCTMY339414	Myocarditis due to chemical agent
^ESCTMY367937	Myocarditis due to drug
^ESCTMY367938	Myocarditis caused by drug
^ESCTMY374487	Myocarditis due to acquired toxoplasmosis
^ESCTMY376957	Myocarditis due to influenza virus
^ESCTMY376958	Myocarditis caused by influenza virus
^ESCTMY378626	Myocarditis due to physical agent
^ESCTMY378627	Myocarditis caused by physical agent
^ESCTMY390404	Mycotic endocarditis
^ESCTMY394268	Myocarditis due to radiation
^ESCTMY394269	Myocarditis caused by radiation
^ESCTMY698053	Myocarditis associated with AIDS
^ESCTMY698054	Myocarditis associated with acquired immunodeficiency syndrome
^ESCTMY739567	Myocarditis due to Genus Rickettsia
^ESCTMY739569	Myocarditis caused by Genus Rickettsia
^ESCTMY739572	Myocarditis due to Genus Candida
^ESCTMY739574	Myocarditis caused by Genus Candida
^ESCTMY739575	Myocarditis due to Genus Aspergillus
^ESCTMY739577	Myocarditis caused by Genus Aspergillus
^ESCTMY739578	Myocarditis due to echovirus
^ESCTMY739580	Myocarditis caused by echovirus
^ESCTMY739581	Myocarditis due to Order Spirochaetales
^ESCTMY739584	Myocarditis caused by Order Spirochaetales
^ESCTMY739722	Myocarditis due to Genus Borrelia
^ESCTMY739724	Myocarditis caused by Genus Borrelia
^ESCTMY770240	Myocarditis co-occurrent with human immunodeficiency virus infection
^ESCTMY784859	Myopericarditis
^ESCTMY804539	Myocarditis due to Influenza A virus subtype H1N1
^ESCTMY804540	Myocarditis due to H1N1 influenza
^ESCTMY804541	Myocarditis caused by Influenza A virus subtype H1N1
^ESCTMY804542	Myocarditis caused by H1N1 influenza
^ESCTMY846656	Myocarditis due to scarlet fever
^ESCTMY931015	Myocarditis due to influenza A
^ESCTMY931016	Myocarditis caused by influenza A
^ESCTNO308237	Noninfective endocarditis
^ESCTNO337710	Nonbacterial verrucous endocarditis
^ESCTNO340085	Nonspecific granulomatous myocarditis
^ESCTNO342923	Nonbacterial thrombotic endocarditis
^ESCTNO342925	Non-bacterial thrombotic endocarditis
^ESCTPA351029	Pancarditis
^ESCTPA505679	Parasitic myocarditis
^ESCTPE784010	Periendocarditis due to infection
^ESCTPR264240	Protozoan myocarditis
^ESCTPR505661	Prosthetic valve endocarditis
^ESCTPU253792	Purulent endocarditis
^ESCTPV505662	PVE - Prosthetic valve endocarditis
^ESCTQF406385	Q fever endocarditis
^ESCTQF505677	Q fever myocarditis
^ESCTRH287799	Rheumatic pancarditis
^ESCTRI505659	Rickettsial endocarditis
^ESCTRI703995	Right sided infective endocarditis
^ESCTRI705386	Right-sided Staphylococcus aureus endocarditis
^ESCTRI739568	Rickettsial myocarditis
^ESCTRU354406	Rubella myocarditis
^ESCTSB369945	SBE - Subacute bacterial endocarditis
^ESCTSE250293	Senile myocarditis
^ESCTSE320937	Septic endocarditis
^ESCTSE354140	Septic myocarditis
^ESCTSP739582	Spirochetal myocarditis
^ESCTSP739583	Spirochaetal myocarditis
^ESCTST368795	Staphylococcal endocarditis
^ESCTSU279347	Subacute interstitial myocarditis
^ESCTSU328019	Subacute periendocarditis
^ESCTSU328020	Subacute endopericarditis
^ESCTSU358769	Subacute endocarditis
^ESCTSU363185	Subacute myoendocarditis
^ESCTSU696310	Subacute endocarditis associated with AIDS
^ESCTSU696311	Subacute endocarditis associated with acquired immunodeficiency syndrome
^ESCTSU696888	Subacute myocarditis associated with AIDS
^ESCTSU696889	Subacute myocarditis associated with acquired immunodeficiency syndrome
^ESCTSU784861	Subacute infective endocarditis
^ESCTSY803012	Syphilitic valvular endocarditis
^ESCTUL320938	Ulcerative endocarditis
^ESCTVE389982	Vegetative endocarditis
^ESCTVE389983	Verrucous endocarditis
^ESCTVI739281	Viral endocarditis
^ESCTAC292317	Active rheumatic fever
^ESCTAC292319	Acute rheumatic attack
^ESCTAC301524	Acute toxic disorder of myocardium
^ESCTAC388032	Acute rheumatic fever with valvulitis
^ESCTAC388033	Active rheumatic fever with valvulitis
^ESCTAC601857	Acute rheumatic fever with heart involvement
^ESCTAC601858	Active rheumatic fever with heart involvement
^ESCTAR292320	ARF - Acute rheumatic fever
^ESCTCA372619	Cardiac sarcoidosis
^ESCTCA406386	Cardiac Q fever
^ESCTCH315994	Chronic valvulitis
^ESCTCH395400	Chronic rheumatic valvulitis
^ESCTCH395401	Chronic rheumatic heart disease with valvulitis
^ESCTCH572119	Chronic rheumatic mitral valve
^ESCTCO352135	Coronary arteritis
^ESCTCO352136	Coronary endarteritis
^ESCTIN747560	Inflammatory cardiomyopathy
^ESCTMY332476	Myocardial inflammation
^ESCTNO337706	Nonbacterial verrucal endocardiosis
^ESCTRH262001	Rheumatic pneumonitis
^ESCTRH269134	Rheumatic disease of aortic valve
^ESCTRH329084	Rheumatic disease of endocardium
^ESCTRH341793	Rheumatic adherent pericardium
^ESCTRH477573	Rheumatic degeneration of myocardium
^ESCTSA477724	Sarcoid heart muscle disease
^ESCTSB369943	SBE
^ESCTTU326459	Tuberculosis of myocardium
^ESCTTU335929	Tuberculosis of endocardium
^ESCTTU590329	Tuberculosis of heart
EGTON459	Rheumatic fever
