A2704	Listerial endocarditis
G1y..	Other specified chronic rheumatic heart disease
G1yz0	Rheumatic heart disease unspecified
G1z..	Chronic rheumatic heart disease NOS
G5110	Endocarditis - monilial
G5112	Gonococcal endocarditis
G5113	Meningococcal endocarditis
G5114	Endocarditis - typhoid
G5115	Endocarditis - blastomycosis
G5116	Endocarditis - Q fever
G51z0	Acute endocarditis NOS
G51z2	Acute periendocarditis NOS
G52..	Acute myocarditis
G520.	Acute myocarditis in diseases EC
G5200	Acute aseptic myocarditis of the newborn
G5201	Acute myocarditis - coxsackie
G5202	Acute myocarditis - diphtheritic
G5203	Acute myocarditis - influenzal
G5204	Acute myocarditis - syphilitic
G5205	Acute myocarditis - toxoplasmosis
G5206	Acute myocarditis - tuberculous
G520z	Acute myocarditis in diseases EC, NOS
G52y.	Other acute myocarditis
G52y0	Acute myocarditis, unspecified
G52y1	Myocarditis: [isolated - Fiedler's] or [giant cell]
G52y2	Idiopathic myocarditis NOS
G52y3	Septic myocarditis - pneumococcal
G52y4	Septic myocarditis - staphylococcal
G52y5	Septic myocarditis - streptococcal
G52y6	Septic myocarditis NOS
G52y7	Toxic myocarditis
G52yz	Other acute myocarditis NOS
G52z.	Acute myocarditis NOS
G54z.	Endocarditis, valve unspecified
G54z2	Chronic cardiac valvulitis NOS
G54z3	Endocarditis, valve unspecified, OS
G54z4	Endocarditis in disease EC
G54zz	Endocarditis, valve unspecified, NOS
G5583	Sarcoid heart muscle disease
G5y0.	Myocarditis NOS
Gyu00	[X]Other acute rheumatic heart disease
Gyu14	[X]Other specified rheumatic heart diseases
Gyu5E	[X]Endocarditis, valve unspecified, in diseases classified elsewhere
Gyu5F	[X]Other acute myocarditis
Gyu5G	[X]Acute myocarditis, unspecified
Gyu5H	[X]Myocarditis in bacterial diseases classified elsewhere
Gyu5J	[X]Myocarditis in viral diseases classified elsewhere
Gyu5K	[X]Myocarditis in other infectious and parasitic diseases classified elsewhere
Gyu5L	[X]Myocarditis in other diseases classified elsewhere
X200h	Infective endocarditis
X200i	Rickettsial endocarditis
X200j	Fungal endocarditis
X200k	Culture-negative endocarditis
X200l	Non-bacterial thrombotic endocarditis
X200m	Prosthetic valve endocarditis
X201m	Viral pericarditis
X201n	Viral pericarditis NOS
X201Q	Viral myocarditis
X201R	Bacterial myocarditis
X201T	Q fever myocarditis
X201U	Fungal myocarditis
X201V	Parasitic myocarditis
X70ON	Cardiac Q fever
X779D	Myocardial inflammation
Xa0kU	Syphilitic endocarditis of aortic valve
Xa3fK	Chronic rheumatic mitral valve
Xa3fP	Rheumatic endocarditis
Xa3fT	Acute/subacute carditis
Xa3fU	Non-rheumatic endocarditis NOS
Xa7tF	Bacterial endocarditis
Xa8Dm	Tuberculosis of heart
Xaaga	Carditis
Xabnb	Lyme carditis
XaC1J	Systemic lupus erythematosus with pericarditis
XaDo0	Infective myocarditis
XaDyG	Rheumatic heart disease
XaDyH	Endocarditis
XaDyJ	Acute rheumatic heart disease
XaDyL	Myocarditis
XE0Rp	Syphilitic endocarditis
XE0Ua	Rheumatic endocarditis NOS
XE0Us	Acute and subacute bacterial endocarditis
XE0Ut	Isolated (Fiedler's) myocarditis
XE0Vo	Rheumatic heart disease: [chronic] or [valvular]
XE0Vq	Rheumatic mitral valve disease (& [chronic])
XE0Vw	Other chronic rheumatic heart
XE0W2	Rheumatic endocardium disease (& [chronic endocarditis])
XE0W4	Rheumatic myocarditis (& [chronic])
XE0W6	Rheumatic heart disease NOS
XE0WY	(Non-rheumatic endocarditis NOS) or (pulmonary stenosis NOS)
