H06z011	Chest infection
K4...00	Female pelvic inflammatory diseases
A1...00	Tuberculosis
H21..00	Lobar (pneumococcal) pneumonia
M032200	Cellulitis and abscess of back
K10y000	Pyelonephritis unspecified
M032600	Cellulitis and abscess of groin
J651z00	Cholecystitis NOS
H301.00	Laryngotracheobronchitis
K401500	Hydrosalpinx
K403111	Acute pelvic abscess - female
A980200	Acute gonococcal vulvovaginitis
J200.00	Acute appendicitis with peritonitis
M037000	Cellulitis and abscess of foot unspecified
H03..12	Tonsillitis
N302.00	Osteomyelitis, unspecified
A082000	Dysenteric diarrhoea
A38z.11	Sepsis
F520.00	Acute suppurative otitis media
H27z.11	Flu like illness
AA0..00	Leptospirosis
A42z.00	Viral meningitis NOS
J55..00	Peritonitis
A14..00	Tuberculosis of intestines, peritoneum and mesenteric glands
A151.00	Tuberculosis of bones and joints
M036200	Cellulitis and abscess of knee
K210.00	Acute prostatitis
A020.00	Salmonella gastroenteritis
K404300	Chronic abscess of the female pelvis
K241400	Acute epididymitis
K40z.00	Female pelvic inflammatory diseases NOS
H50..00	Empyema
F02z.00	Unspecified meningitis
A033.00	Shigella sonnei (group D)
A70z000	Hepatitis C
F011500	Meningitis due to lymphocytic choriomeningitis virus
F03z.00	Encephalitis NOS
N301.11	Other chronic osteomyelitis
A3By300	Mycoplasma infection
H07..00	Chest cold
K101.00	Acute pyelonephritis
F53z.00	Mastoiditis NOS
H06z000	Chest infection NOS
A075.00	Unspecified bacterial enteritis
L166.11	Cystitis of pregnancy
H05z.11	Upper respiratory tract infection NOS
K190400	Chronic urinary tract infection
M030011	Cellulitis and abscess of cheek
N301.00	Other chronic osteomyelitis
M031.00	Cellulitis and abscess of neck
A40..00	Acute poliomyelitis
H120111	Catarrhal child
K405000	Parametritis unspecified
A570.11	Fifth disease
A705000	Viral hepatitis C without mention of hepatic coma
43C3.11	HIV positive
F000.00	Haemophilus meningitis
M036100	Cellulitis and abscess of thigh
A703.00	Viral (serum) hepatitis B
M035.00	Cellulitis and abscess of buttock
M034000	Cellulitis and abscess of hand unspecified
N241300	Viral myalgia
K402200	Tubo-ovarian abscess
A75..00	Infectious mononucleosis
K100600	Calculous pyelonephritis
K211.00	Chronic prostatitis
K190311	Recurrent UTI
L166500	Infections of kidney in pregnancy
A07y000	Viral gastroenteritis
A79z.11	Viral illness
A061.00	Giardiasis - Lambliasis
A701.00	Viral (infectious) hepatitis A
A70..00	Viral hepatitis
H300.00	Tracheobronchitis NOS
A341.12	Scarlatina
M033300	Cellulitis and abscess of elbow
H00..00	Acute nasopharyngitis
A150.00	Tuberculosis of spine
A160.00	Tuberculosis of kidney
A080z00	Infectious colitis, enteritis and gastroenteritis NOS
H06z100	Lower resp tract infection
M021000	Cellulitis and abscess of toe unspecified
A3B0.00	Streptococcal infection
M033.00	Cellulitis and abscess of arm
M034100	Cellulitis and abscess of wrist
K152y00	Chronic cystitis unspecified
A76..00	Trachoma
A743.00	Hand, foot and mouth disease
M140.00	Dermatitis herpetiformis
M020000	Cellulitis and abscess of finger unspecified
A15..00	Tuberculosis of bones and joints
M036000	Cellulitis and abscess of hip
H15..00	Peritonsillar abscess - quinsy
K102100	Perinephric abscess
Q40A.00	Sepsis of the newborn
H261.00	Basal pneumonia due to unspecified organism
F526.00	Acute left otitis media
A172000	Tuberculous - cervical lymphadenitis
AB64.00	Mycotic mycetomas
A97..12	Treponemal infection
H00..16	Rhinitis - acute
A161.00	Tuberculosis of bladder
A330.00	Bordetella pertussis
A074400	Enteritis due to Yersinia enterocolitica
F023.00	Arachnoiditis
F02..00	Meningitis of unspecified cause
A61..00	Dengue - breakbone fever
A030.11	Bacillary dysentery
M021.00	Cellulitis and abscess of toe
A98..00	Gonococcal infections
M030.00	Cellulitis and abscess of face
H031.00	Acute follicular tonsillitis
F030511	Mumps encephalitis
A98yy14	Gonococcal cellulitis
J201.12	Appendix abscess
AC8z.00	Helminthiasis NOS
A010.00	Typhoid fever
N010.00	Pyogenic arthritis, unspecified
M03z000	Cellulitis NOS
H054.00	Recurrent upper respiratory tract infection
A871000	Lyme disease
8BAD100	TB chemotherapy
K10z.00	Infection of kidney NOS
A172.00	Tuberculosis of peripheral lymph nodes
H160400	Laryngitis sicca
A01z.00	Paratyphoid fever NOS
A543.00	Herpetic meningoencephalitis
H121.00	Chronic pharyngitis
F4G0100	Orbital cellulitis
F527.00	Acute right otitis media
M032000	Cellulitis and abscess of chest wall
F002.00	Streptococcal meningitis
M032700	Cellulitis and abscess of perineum
J631100	Hepatitis in cytomegalic inclusion virus
K190100	Pyuria, site not specified
J620z00	Liver abscess NOS
K284300	Cellulitis of scrotum
A570.00	Erythema infectiosum - fifth disease
A784.11	Aphthous fever
N303000	Osteomyelitis, unspecified
K40z.13	PID - pelvic inflammatory disease
A97..11	Syphilis
F001.00	Pneumococcal meningitis
AC7z.00	Intestinal helminthiases NOS
A170600	Tuberculosis lichenoides
K100.00	Chronic pyelonephritis
K401300	Chronic salpingitis
H055.00	Pharyngolaryngitis
K241200	Epididymitis unspecified
J552100	Subphrenic abscess
N302500	Osteomyelitis, unspecified
M020.00	Cellulitis and abscess of finger
A980100	Acute gonococcal urethritis
H024.00	Acute viral pharyngitis
H06z200	Recurrent chest infection
A340200	Streptococcal pharyngitis
A153.00	Tuberculosis of bones and joints
H56y100	Interstitial pneumonia
A85..00	Leishmaniasis
G510.11	Bacterial endocarditis
M032300	Cellulitis and abscess of abdominal wall
23E2.00	O/E - consolidation present
A57z.11	Non specific viral rash
L452400	Obstetric nonpurulent mastitis with postnatal complication
F03..12	Myelitis
F03..11	Encephalomyelitis
A544000	Unspecified ophthalmic herpes
M033000	Cellulitis and abscess of shoulder
AA1..00	Vincent's angina
A172200	Tuberculous adenitis
A98yz12	Gonococcal septicaemia
H040w00	Acute viral laryngitis unspecified
A121000	Tuberculosis of hilar lymph nodes
F510011	Acute secretory otitis media
H20..00	Viral pneumonia
J633z00	Hepatitis unspecified NOS
J083000	Cellulitis of floor of mouth
F531.00	Chronic mastoiditis
H28..00	Atypical pneumonia
G02..00	Rheumatic chorea
AC2..11	Hydatid disease
A540.00	Eczema herpeticum - Kaposi's varicelliform eruption
A4zz.11	Viral encephalitis NOS
G510100	Subacute bacterial endocarditis - SBE
A070.00	Escherichia coli gastrointestinal tract infection
A3B2.00	Pneumococcal infection
A076.00	Enteritis due to specified virus
A553.00	Measles complicated by meningitis
J552.11	Abscess of suppurative peritonitis
F51..00	Nonsuppurative otitis media + eustachian tube disorders
M080.00	[X]Cellulitis of finger and toe
H224.00	Pneumonia due to staphylococcus
A02z.00	Salmonella infection NOS
A792.00	Coxsackie virus
J513.00	Diverticular abscess
M02..00	Cellulitis and abscess of finger and toe
L166600	Urinary tract infection following delivery
F510.00	Acute non suppurative otitis media
N300.00	Other acute osteomyelitis
A5...00	Viral diseases with exanthem
A552.00	Postmeasles otitis media
A3By800	Coliform bacteria
H27z.12	Influenza like illness
H060.11	Acute wheezy bronchitis
A074311	Diarrhoea due to Campylobacter jejuni
H02..11	Sore throat NOS
L394500	Infection of obstetric surgical wound
H2z..00	Pneumonia or influenza NOS
Q40y100	Neonatal urinary tract infection
H062.00	Acute lower respiratory tract infection
H16z.00	Chronic laryngitis NOS
A541400	Herpesviral infection of perianal skin and rectum
H051.00	Acute upper respiratory tract infection
M085.00	Cellulitis of leg
H05z.12	Viral upper respiratory tract infection NOS
K409.00	Acute pelvic inflammatory disease
H02..12	Viral sore throat NOS
N304.11	Tuberculosis of bones and joints
F511.00	Chronic otitis media with effusion, serous
7531100	Drainage of peritonsillar abscess
H00..13	Febrile cold
H501000	Pleural abscess
L166800	Urinary tract infection complicating pregnancy
A3Ay200	Clostridium difficile infection
K401600	Salpingitis follicularis
K241500	Chronic epididymitis
J552400	Peritoneal abscess
K40y100	Female chlamydial pelvic inflammatory disease
M08..00	Cutaneous cellulitis
F00..00	Bacterial meningitis
A3B7.00	Pseudomonas infection
A57y111	Roseola infantum
F011.00	Meningitis due to viral organisms EC
A661100	American mountain tick fever
2DB5.11	O/E - quinsy present
A94y400	Syphilitic retrobulbar neuritis
H010.00	Acute maxillary sinusitis
H30..12	Recurrent wheezy bronchitis
K21..11	Prostatitis and other inflammatory diseases of prostate
K420.00	Cervicitis and endocervicitis
A125.00	Respiratory TB not confirmed bact or histologically
N302.11	Osteomyelitis, unspecified
A31..00	Other mycobacterial diseases
2DB6.00	O/E - follicular tonsillitis
65VA.00	Notification of whooping cough
M037200	Cellulitis in diabetic foot
Lyu6A00	[X]Infection of caesarean section wound following delivery
N010611	Pyogenic arthritis, unspecified
L420z00	Puerperal pyrexia NOS
K400.00	Acute salpingitis and oophoritis
J651000	Chronic cholecystitis
L169.00	Herpes gestationis
A074312	Campylobacter enteritis
1J4..00	Suspected UTI
M08B.00	Cellulitis of foot
A3B5.00	Haemophilus influenzae infection
F510100	Acute serous otitis media
L403.00	Puerperal septicaemia
A382.00	Pneumococcal septicaemia
F4D1400	Cellulitis of eyelid
65V7.00	Notification of scarlet fever
M036.00	Cellulitis and abscess of leg excluding foot
J631200	Hepatitis in infectious mononucleosis
7531111	Drainage of quinsy
M082.00	Cellulitis of face
H0...00	Acute respiratory infections
J552000	Subhepatic abscess
F040400	Extradural intracranial abscess
F033011	Meningococcal encephalitis
A341.00	Scarlet fever - scarlatina
H011.00	Acute frontal sinusitis
A789A00	HIV disease resulting in wasting syndrome
H260000	Lung consolidation
A3B4.11	E.coli infection
A79y.11	Epstein-Barr virus
G50z111	Viral pericarditis NOS
A9...00	Syphilis and other venereal diseases
H032.00	Acute ulcerative tonsillitis
A340300	Streptococcal tonsillitis
N042000	Rheumatic carditis
A3B1100	Methicillin resistant staphylococcus aureus
N035.11	Charcot's arthropathy
A981600	Acute gonococcal endometritis
F501112	Cellulitis, external ear
A84X.00	Plasmodium falciparum malaria, unspecified
A532300	Ophthalmic herpes zoster infection
A074500	Helicobacter pylori gastrointestinal tract infection
H120.11	Catarrh unspecified
16L..00	Influenza-like symptoms
J614100	Chronic active hepatitis
H060600	Acute pneumococcal bronchitis
H00..15	Pyrexial cold
A742100	Coxsackie pericarditis
A78A.00	Chlamydial infection
A788.11	Human immunodeficiency virus infection
M080.13	[X]Cellulitis of thumb
A785X00	Cytomegaloviral disease, unspecified
H036.00	Acute viral tonsillitis
A020.11	Salmonellosis
1AG..00	Recurrent urinary tract infections
H20..11	Chest infection - viral pneumonia
A03..00	Shigellosis
A740.00	Herpangina
H260.00	Lobar pneumonia due to unspecified organism
M088.00	Cellulitis of arm
A78X.00	Unspecified viral haemorrhagic fever
F541.00	Chronic myringitis without mention of otitis media
K410000	Acute endometritis
L400.00	Puerperal endometritis
A116.00	Tuberculous pneumonia
F525.00	Recurrent acute otitis media
H12..00	Chronic pharyngitis and nasopharyngitis
H2...00	Pneumonia and influenza
H042.00	Acute laryngotracheitis
H053.00	Tracheopharyngitis
H035.00	Acute bacterial tonsillitis
A796.00	Parvovirus infection
N300Z00	Acute haematogenous osteomyelitis
K44..00	Female gonococcal pelvic inflammatory disease
A981100	Acute gonococcal cystitis
23E2.11	O/E - consolidation
M036.11	Cellulitis and abscess of leg
M15y012	Staphylococcal scalded skin syndrome
J661.00	Cholangitis
J511z00	Diverticulitis NOS
J511500	Diverticulitis of the colon
M030111	Cellulitis and abscess of nose
K190300	Recurrent urinary tract infection
R055500	[D]Septic shock
H043.00	Acute epiglottitis (non strep)
A7...00	Other viral and chlamydial diseases
H040200	Acute catarrhal laryngitis
F520000	Acute suppurative otitis media tympanic membrane intact
K410500	Subacute endometritis
A384200	Escherichia coli septicaemia
A031.00	Shigella flexneri (group B)
J154400	Helicobacter gastritis
M036400	Cellulitis and abscess of ankle
A380100	Septicaemia due to streptococcus, group B
H47..11	Aspiration pneumonitis
A79B.00	Human papilloma virus infection
H060300	Acute purulent bronchitis
H060500	Acute tracheobronchitis
A790.00	Adenovirus
H530z00	Abscess of lung NOS
F530z00	Acute mastoiditis NOS
A3Ay100	Toxic shock syndrome
F53..00	Mastoiditis and related conditions
H03..11	Throat infection - tonsillitis
L40..11	Sepsis - puerperal
A3A6.00	Necrotising fasciitis
F005.00	Meningitis - meningococcal
K402100	Ovarian abscess
A542.00	Herpetic gingivostomatitis
H2y..00	Other specified pneumonia or influenza
N000400	Systemic lupus erythematosus with pericarditis
F011z00	Meningitis - viral NOS
A076200	Enteritis due to rotavirus
H16..00	Chronic laryngitis and laryngotracheitis
A541100	Herpetic vulvovaginitis
A130.00	Tuberculous meningitis
F004.00	Meningitis - tuberculous
F040011	Cerebral abscess
H030.00	Acute erythematous tonsillitis
A982100	Chronic gonococcal urethritis
H22y200	Pneumonia - Legionella
A3B4.00	Escherichia coli infection
M03zz00	Cellulitis and abscess NOS
A654.12	Dengue haemorrhagic fever
H1y2200	Parapharyngeal abscess
A991.00	Lymphogranuloma venereum
N306.00	Tuberculosis of bones and joints
J511000	Diverticulitis of the duodenum
A384300	Pseudomonas septicaemia
H223.00	Pneumonia due to streptococcus
A167100	Tuberculous endometritis
H041000	Acute tracheitis without obstruction
K15z.00	Cystitis NOS
A570.12	Slapped cheek syndrome
A42..00	Meningitis due to enterovirus
K190200	Post operative urinary tract infection
A79A.00	Respiratory syncytial virus infection
A380400	Septicaemia due to enterococcus
H122.00	Chronic nasopharyngitis
AA41.00	Erythema chronicum migrans
A37..00	Tetanus
H270000	Influenza with bronchopneumonia
42YA.00	Malarial parasites
L166z11	UTI - urinary tract infection in pregnancy
H120z00	Chronic rhinitis NOS
H1y2600	Pharynx or nasopharynx abscess
K10y200	Pyonephrosis unspecified
A532.00	Herpes zoster with ophthalmic complication
A784.00	Foot and mouth disease
N302000	Osteomyelitis, unspecified
H27y100	Influenza with gastrointestinal tract involvement
A3B1111	Multiple resistent staphylococcus aureus
K402500	Salpingo-oophoritis unspecified
K101200	Acute pyelitis
G0z..00	Acute rheumatic fever NOS
A560200	Rubella deafness
A120200	Tuberculous hydrothorax
H121z00	Chronic pharyngitis NOS
A074313	Helicobacter gastritis
M032400	Cellulitis and abscess of umbilicus
A00..00	Cholera
M03y.00	Other specified cellulitis and abscess
N010y00	Pyogenic arthritis, unspecified
H20z.00	Viral pneumonia NOS
F531z00	Chronic mastoiditis NOS
J552B00	Male pelvic abscess
K150.00	Acute cystitis
G14z.00	Rheumatic endocarditis NOS
A57..00	Other viral exanthemata
A1z..00	Tuberculosis NOS
K41z400	Pyometra unspecified
A380.00	Streptococcal septicaemia
H160.00	Chronic laryngitis
AC33.00	Unspecified taeniasis
A076.11	Viral diarrhoea
A3A4.00	Legionella
M030300	Cellulitis and abscess of submandibular region
K102000	Renal abscess
A076z00	Enteritis due to specified virus NOS
L166300	Genitourinary tract infection in pregnancy - not delivered
F041.00	Intraspinal abscess
M030400	Cellulitis and abscess of forehead
J614z00	Chronic hepatitis NOS
L40z.00	Major puerperal infection NOS
L451400	Obstetric breast abscess with postnatal complication
M030200	Cellulitis and abscess of chin
H120200	Chronic hypertrophic rhinitis
F524.00	Purulent otitis media NOS
A311.11	Buruli ulcer
AC00.00	Schistosoma haematobium
A22..00	Anthrax
K406.11	Acute pelvic inflammatory disease
H05y.00	Other upper respiratory infections of multiple sites
L166z00	Genitourinary tract infection in pregnancy NOS
M037100	Cellulitis and abscess of heel
J661200	Recurrent cholangitis
K405.00	Parametritis and pelvic cellulitis unspecified
A115.00	Tuberculous bronchiectasis
L452000	Obstetric nonpurulent mastitis unspecified
N302N00	Osteomyelitis, unspecified
L45y.00	Other obstetric breast infections
H012.00	Acute ethmoidal sinusitis
J650z00	Acute cholecystitis NOS
A331.00	Bordetella parapertussis
H271000	Influenza with laryngitis
J552z00	Other suppurative peritonitis NOS
AA24.00	Yaws gummata and ulcers
A39..00	Actinomycotic infections
H270.00	Influenza with pneumonia
A3Bz.00	Bacterial infection NOS
H501100	Thorax abscess NOS
A076.12	Viral vomiting
A541000	Genital herpes unspecified
N300800	Other acute osteomyelitis
H035z00	Acute bacterial tonsillitis NOS
F510300	Acute sanguinous otitis media
A42z.11	Aseptic meningitis
L166100	Genitourinary tract infection in pregnancy - delivered
M030500	Cellulitis and abscess of temple region
J201.00	Acute appendicitis with appendix abscess
N300600	Other acute osteomyelitis
J064500	Inflammatory conditions of jaws
AA1z.11	Vincent's laryngitis
A57z.00	Other viral exanthemata NOS
A983700	Chronic gonococcal salpingitis
K40z.11	PID
A381.00	Staphylococcal septicaemia
H04z.00	Acute laryngitis and tracheitis NOS
H120400	Chronic infective rhinitis
A061.11	Colitis - giardial
A401.00	Acute paralytic non-bulbar poliomyelitis
M032100	Cellulitis and abscess of breast
A34z.00	Streptococcal sore throat with scarlatina NOS
A394.00	Madura foot - actinomycosis
AA1..11	Trench mouth
N302X00	Osteomyelitis, unspecified
A340z00	Streptococcal sore throat NOS
A100.00	Primary tuberculous complex
N015.00	Arthropathy associated with other viral diseases
L45z400	Obstetric breast infection NOS with postnatal complication
H25..11	Chest infection - unspecified bronchopneumonia
K272300	Cellulitis of penis
H041z00	Acute tracheitis NOS
A011.00	Paratyphoid fever A
A720.00	Mumps orchitis
A112.00	Tuberculosis of lung with cavitation
A791.00	ECHO virus
A170100	Tuberculosis - lupus vulgaris
H27z.00	Influenza NOS
A3B6.00	Proteus infection
A73..00	Ornithosis - psittacosis
A18..00	Miliary tuberculosis
L451.11	Purulent mastitis - obstetric
A79..00	Specific viral infections
H583100	Tropical eosinophilia
H120300	Chronic atrophic rhinitis
A77..00	Other disease conjunctiva due to viruses and chlamydiae NEC
A541200	Herpetic ulceration of vulva
N302Y00	Osteomyelitis, unspecified
M03..00	Other cellulitis and abscess
65V9.11	TB - tuberculosis notification
M03..13	Cellulitis of skin area excluding digits of hand or foot
A07z.00	Gastrointestinal tract infection specified organism NOS
K420900	Chlamydia cervicitis
A56x000	Arthritis due to rubella
J201.11	Abscess of appendix
A340100	Streptococcal laryngitis
A114.00	Tuberculous fibrosis of lung
A364100	Meningococcal pericarditis
AC...00	Helminthiases
K172.00	Candidal urethritis
A3BX500	Oth streptococcus/cause/diseases classified/oth chapters
AA1z.12	Vincent's tonsillitis
K400200	Acute salpingo-oophoritis
G500311	TB - acute pericarditis
1B1G100	Viral headache
A07y100	Infantile viral gastroenteritis
H233.00	Chlamydial pneumonia
A3BX200	Streptococc,group B/cause/disease classified/oth chapters
A54x300	Herpesviral vesicular dermatitis
A154.00	Tuberculous mastoiditis
H061200	Acute bronchiolitis with bronchospasm
A36y000	Meningococcal optic neuritis
J635300	Toxic liver disease with chronic persistent hepatitis
M08A.00	Cellulitis of axilla
A541500	Anogenital herpesviral infection
A7y0X00	Adenovirus/cause of diseases classified to other chapters
A983500	Chronic gonococcal cervicitis
H30..11	Chest infection - unspecified bronchitis
H160100	Chronic catarrhal laryngitis
N010511	Pyogenic arthritis, unspecified
J085100	Cellulitis of lip
N010211	Pyogenic arthritis, unspecified
L40..00	Major puerperal infection
J054.00	Orofacial sinus
K420200	Acute cervicitis
H023.00	Acute bacterial pharyngitis
H061z00	Acute bronchiolitis NOS
A981200	Acute gonococcal prostatitis
N301M00	Chronic osteomyelitis with draining sinus
N301.13	Other chronic osteomyelitis
Nyu0000	[X]Other streptococcal arthritis and polyarthritis
R106.00	[D]Unspecified bacteraemia
ZV02100	[V]Typhoid carrier
A3BX700	Staphylococ aureus/cause/diseases classified/oth chapters
F510000	Acute otitis media with effusion
H061500	Acute bronchiolitis due to respiratory syncytial virus
A3BX100	Streptococc,gp A/cause/disease classified/to oth chapters
A723.00	Mumps pancreatitis
H010.11	Antritis - acute
A021.00	Salmonella septicaemia
H050.00	Acute laryngopharyngitis
A532400	Herpes zoster ophthalmicus
A11y.00	Other specified pulmonary tuberculosis
H510300	Acute dry pleurisy
A983200	Chronic gonococcal prostatitis
H01y000	Acute pansinusitis
A98y600	Fitzhugh Curtis syndrome
H26..11	Chest infection - pnemonia due to unspecified organism
A705400	Hepatitis non A non B
H043211	Croup
A3A0.11	Clostridium infection
A173100	Tuberculous episcleritis
L450.12	Nipple infection - obstetric
J511y00	Diverticulitis unspecified
A782.00	Sweating fever
AC21.00	Lung echinococcus granulosus
K402.00	Salpingitis and oophoritis unspecified
A042.00	Clostridium perfringens food poisoning
A981300	Acute gonococcal epididymo-orchitis
A550.00	Postmeasles encephalitis
H03z.00	Acute tonsillitis NOS
N300511	Other acute osteomyelitis
A70z.00	Unspecified viral hepatitis
L090y00	Sepsis NOS following abortion/ectopic/molar pregnancy
A301.00	Tuberculoid leprosy (type T)
K240200	Orchitis unspecified
H060z00	Acute bronchitis NOS
A261.00	Rat-bite Streptobacillary fever
G02..11	Sydenham's chorea
A361.00	Meningococcal encephalitis
K402011	Pyosalpinx
A55z.00	Measles with no complication NOS
A27y.00	Other specified zoonotic bacterial disease
A123.00	Tuberculous laryngitis
N30..00	Osteomyelitis
L451.00	Obstetric breast abscess
F520z00	Acute suppurative otitis media NOS
F510z00	Acute nonsuppurative otitis media NOS
L452.00	Obstetric nonpurulent mastitis
M021z00	Cellulitis and abscess of toe NOS
M030z00	Cellulitis and abscess of face NOS
A52x.00	Varicella with other specified complications
A030.00	Shigella dysenteriae (group A)
A082111	Viral gastroenteritis
A541z00	Genital herpes simplex NOS
L452100	Obstetric nonpurulent mastitis - delivered
A821000	African tick virus
F520100	Acute suppurative otitis media tympanic membrane ruptured
F524000	Bilateral suppurative otitis media
AA11.00	Vincent's gingivitis
K406000	Acute female pelvic peritonitis
A5z..00	Viral diseases with exanthemata NOS
F510200	Acute mucoid otitis media
H3y0.00	Chronic obstruct pulmonary dis with acute lower resp infectn
A53y.00	Herpes zoster with unspecified complication
H0z..00	Acute respiratory infection NOS
A785.11	Salivary gland virus disease
H060400	Acute croupous bronchitis
K100200	Chronic pyelitis
H53..00	Abscess of lung and mediastinum
M034013	Cellulitis of dorsum of hand
A54..11	Herpes simplex viral infection
H052.00	Pharyngotracheitis
A87..00	Relapsing fever
A53z.00	Herpes zoster NOS
H022.00	Acute ulcerative pharyngitis
H060800	Acute haemophilus influenzae bronchitis
K241600	Chlamydial epididymitis
H121200	Granular pharyngitis
M030100	Cellulitis and abscess of nose (external)
A541300	Herpetic infection of penis
N302b00	Other osteomyelitis
AA23.00	Hyperkeratosis due to yaws
J064.12	Inflammatory conditions of jaws
A78A000	Chlamydial infection of lower genitourinary tract
A365.00	Meningococcal meningitis with acute meningococcal septicaem
AD10200	Trichomonal urethritis
A3BX400	Streptococ pneumon/cause/disease classified/oth chapters
A10..00	Primary tuberculous infection
Q40y200	Septicaemia of newborn
A033.11	Bacillary dysentery Shigella sonnei
A546.00	Herpes simplex whitlow
A751.00	Cytomegaloviral mononucleosis
A841X00	Plasmodium vivax malaria without complication
65V4.00	Notification of malaria
A79X.00	Enterovirus infection, unspecified
A15..11	Tuberculosis of bones and joints
H040z00	Acute laryngitis NOS
H22..11	Chest infection - other bacterial pneumonia
H564.00	Bronchiolitis obliterans organising pneumonia
R055511	[D]Septicaemic shock
H22z.00	Bacterial pneumonia NOS
A7y..00	Other specified viral or chlamydial diseases
4J35.00	HIV p24 antigen level
A761.00	Trachoma - active stage
H540000	Hypostatic pneumonia
K402000	Fallopian tube abscess
K240z00	Orchitis NOS
G861.11	Elephantiasis-non filarial-NOS
A985000	Gonococcal infection of musculoskeletal system
A910.11	Genital chancre
A152.00	Tuberculous arthritis
A742300	Coxsackie myocarditis
A931.00	Syphilitic aortitis
A980.00	Acute gonorrhoea of lower genitourinary tract
F04z.00	Intracranial or intraspinal abscess NOS
A120.00	Tuberculous pleurisy
H510.00	Pleurisy without effusion or active tuberculosis
L17..00	Infective/parasitic disease in preg/childbirth/puerperium
H271z00	Influenza with respiratory manifestations NOS
A840.00	Falciparum malaria - malignant
H220.00	Pneumonia due to klebsiella pneumoniae
J614000	Chronic persistent hepatitis
M032500	Cellulitis and abscess of flank
A81..00	Other typhus
N300000	Other acute osteomyelitis
M034z00	Cellulitis and abscess of hand NOS
A511.00	Pseudocowpox - Milker's node
G01y000	Acute rheumatic pancarditis
N230.11	Purulent myositis
A60..00	Yellow fever
H0y..00	Other specified acute respiratory infections
N309.00	Subacute osteomyelitis
H24y700	Pneumonia with varicella
65QA.00	AIDS carrier
A788.00	Acquired immune deficiency syndrome
K102.00	Renal and perinephric abscess
A560100	Rubella encephalomyelitis
AB64000	Actinomycetoma
L090z00	Septicaemia NOS following abortive pregnancy
A160.11	Renal tuberculosis
A789200	HIV disease resulting in candidiasis
A171000	Bazin's disease - erythema induratum - TB hypersensitivity
A384211	E.coli septicaemia
