^ESCT1177677	Mononucleosis syndrome
^ESCT1407144	Cellulitis of foot due to diabetes mellitus
^ESCT1407474	Gas gangrene caused by Clostridium oedematiens
^ESCT1421008	Swine influenza
^ESCTAB261791	Abscess of ovary
^ESCTAB337817	Abscess of omentum
^ESCTAB342490	Abscess of trachea
^ESCTAB344504	Abacterial meningitis
^ESCTAB370252	Abscess of peritoneum
^ESCTAB388061	Abscess of parapharyngeal space
^ESCTAB388062	Abscess of lateral pharyngeal space
^ESCTAB405930	Abscess of testis
^ESCTAB508836	Abscess iliopsoas non-tuberculous
^ESCTAB660183	Abscess of fallopian tube
^ESCTAC258088	Actinomycotic cystitis
^ESCTAC262074	Acute osteomyelitis of shoulder
^ESCTAC266217	Acute osteomyelitis of hand
^ESCTAC268822	Actinomycosis
^ESCTAC273016	Acute nonparalytic poliomyelitis
^ESCTAC273697	Acute suppurative otitis media without spontaneous rupture of ear drum
^ESCTAC274865	Active rheumatic fever with pericarditis
^ESCTAC274866	Acute rheumatic fever with pericarditis
^ESCTAC275070	Acute inflammation of nasal sinus
^ESCTAC275071	Acute inflammation of sinus
^ESCTAC275072	Acute infection of sinus
^ESCTAC278905	Active rheumatic fever with endocarditis
^ESCTAC278906	Acute rheumatic fever with endocarditis
^ESCTAC290109	Acute type A viral hepatitis
^ESCTAC290111	Acute hepatitis A
^ESCTAC292317	Active rheumatic fever
^ESCTAC292319	Acute rheumatic attack
^ESCTAC296374	Acute appendicitis with generalized peritonitis
^ESCTAC297620	Acute epiglottitis and supraglottitis
^ESCTAC309135	Acute PN - pyelonephritis
^ESCTAC309137	Acute kidney infection
^ESCTAC316430	ACL - Anthroponotic cutaneous leishmaniasis
^ESCTAC332570	Acute gonorrhea of upper genitourinary tract
^ESCTAC334891	Acute mucoid otitis media
^ESCTAC338265	Acute URI
^ESCTAC338267	Acute upper respiratory tract infection
^ESCTAC338980	Acute gonorrhea of lower genitourinary tract
^ESCTAC351578	Acquired immunodeficiency syndrome
^ESCTAC351581	Acquired immune deficiency syndrome (AIDS)
^ESCTAC355330	Acute paralytic poliomyelitis, bulbar
^ESCTAC355331	Acute infantile paralysis
^ESCTAC355332	Acute anterior poliomyelitis
^ESCTAC355333	Acute anterior bulbar polioencephalomyelitis
^ESCTAC360324	Acute ethmoiditis
^ESCTAC371843	Acute pyometra
^ESCTAC376059	Acute sanguinous otitis media
^ESCTAC376060	Acute non-suppurative otitis media with haemotympanum
^ESCTAC376061	Acute non-suppurative otitis media with hemotympanum
^ESCTAC376062	Acute non-suppurative otitis media - sanguinous
^ESCTAC376063	Acute non-suppurative otitis media - bloody
^ESCTAC380945	Acute osteomyelitis of pelvis
^ESCTAC383819	Acute nasal catarrh
^ESCTAC383825	Acute infective rhinitis
^ESCTAC390295	Acute suppurative otitis media with spontaneous rupture of ear drum
^ESCTAC390297	Acute suppurative otitis media with discharge
^ESCTAC419709	Acute mastoiditis with complications
^ESCTAC420080	Acute human immunodeficiency virus seroconversion illness
^ESCTAC420081	Acute human immunodeficiency virus infection
^ESCTAC420086	Acute necrotizing encephalitis
^ESCTAC420087	Acute necrotizing viral encephalitis
^ESCTAC420088	Acute necrotising viral encephalitis
^ESCTAC465637	Acute necrotising ulcerative gingivostomatitis
^ESCTAC465639	Acute necrotizing ulcerative gingivostomatitis
^ESCTAC474164	Actinomycosis of cecum
^ESCTAC474168	Actinomycotic madura foot
^ESCTAC474170	Actinomycotic mycetoma of foot
^ESCTAC474439	Actinomycotic mycetoma
^ESCTAC474441	Actinomycotic mycetema
^ESCTAC476935	Acute and subacute haemorrhagic leucoencephalitis [Hurst]
^ESCTAC476936	Acute and subacute hemorrhagic leukoencephalitis [Hurst]
^ESCTAC477455	Acute serous otitis media
^ESCTAC477470	Acute purulent otitis media
^ESCTAC477471	Acute suppurative otitis media due to another disease
^ESCTAC477550	Acute rheumatic fever with myocarditis
^ESCTAC477551	Active rheumatic fever with myocarditis
^ESCTAC477637	Acute pericarditis caused by human coxsackievirus
^ESCTAC477638	Acute meningococcal pericarditis
^ESCTAC477641	Acute tuberculous pericarditis
^ESCTAC477647	Acute pneumococcal pericarditis
^ESCTAC477649	Acute streptococcal pericarditis
^ESCTAC478015	Acute exudative tonsillitis
^ESCTAC478025	Acute edematous laryngitis
^ESCTAC478042	Acute Moraxella catarrhalis bronchitis
^ESCTAC478045	Acute coxsackievirus bronchitis
^ESCTAC478046	Acute coxsackieviral bronchitis
^ESCTAC478047	Acute bronchitis caused by coxsackievirus
^ESCTAC478048	Acute parainfluenza virus bronchitis
^ESCTAC478049	Acute respiratory syncytial virus bronchitis
^ESCTAC478051	Acute bronchitis caused by rhinovirus
^ESCTAC478052	Acute echovirus bronchitis
^ESCTAC478053	Acute echoviral bronchitis
^ESCTAC478054	Acute bronchitis due to echovirus
^ESCTAC478057	Acute bronchiolitis caused by respiratory syncytial virus
^ESCTAC478126	Actinomycotic pneumonia
^ESCTAC480734	Acquired poliosis
^ESCTAC481831	Acute osteomyelitis of lower leg
^ESCTAC481834	Acute osteomyelitis of cervical spine
^ESCTAC481836	Acute osteomyelitis of thoracic spine
^ESCTAC481838	Acute osteomyelitis of lumbar spine
^ESCTAC481840	Acute osteomyelitis of sacrum
^ESCTAC481842	Acute osteomyelitis of coccyx
^ESCTAC481844	Acute osteomyelitis of clavicle
^ESCTAC481847	Acute osteomyelitis of humerus
^ESCTAC481850	Acute osteomyelitis of radius
^ESCTAC481852	Acute osteomyelitis of ulna
^ESCTAC481858	Acute osteomyelitis of metacarpal
^ESCTAC481860	Acute osteomyelitis of phalanx of hand
^ESCTAC481861	Acute osteomyelitis of femur
^ESCTAC481865	Acute osteomyelitis of patella
^ESCTAC481866	Acute osteomyelitis of tibia
^ESCTAC481868	Acute osteomyelitis of fibula
^ESCTAC481871	Acute osteomyelitis of calcaneum
^ESCTAC481873	Acute osteomyelitis of talus
^ESCTAC481875	Acute osteomyelitis of metatarsal
^ESCTAC481877	Acute osteomyelitis of phalanx of toe
^ESCTAC481879	Acute hematogenous osteomyelitis
^ESCTAC500429	Acute viral encephalitis
^ESCTAC505333	Acute mycoplasmal bronchitis
^ESCTAC505337	Acute viral bronchiolitis
^ESCTAC510257	Acute pelvic inflammatory disease of the female pelvic organs AND/OR tissues
^ESCTAC510259	Acute PID - acute pelvic inflammatory disease
^ESCTAC510262	Acute abscess of female pelvis
^ESCTAC510264	Acute female pelvic abscess
^ESCTAC512591	Acnitis
^ESCTAC514398	Acute osteomyelitis of ankle
^ESCTAC549158	Acquired syphilis - early latent
^ESCTAC550278	Acute osteomyelitis of pelvic region and/or thigh
^ESCTAC550280	Acute osteomyelitis of pelvic region and thigh
^ESCTAC550281	Acute osteomyelitis of pelvis and/or femur
^ESCTAC550282	Acute osteomyelitis of ankle and/or foot
^ESCTAC572189	Acute osteomyelitis - hip
^ESCTAC601856	Acute rheumatic carditis
^ESCTAC601857	Acute rheumatic fever with heart involvement
^ESCTAC601858	Active rheumatic fever with heart involvement
^ESCTAC620426	Acute nonsuppurative otitis media
^ESCTAC661640	Acute necrotizing ulcerative gingivitis
^ESCTAC661644	Acute ulceromembranous gingivitis
^ESCTAC697343	Acquired immune deficiency syndrome-related dementia
^ESCTAC697346	Acquired immune deficiency syndrome dementia complex
^ESCTAC730285	Acute bronchiolitis caused by Human metapneumovirus
^ESCTAC750728	Acute appendicitis with localized peritonitis
^ESCTAD316384	Adenoviral pneumonia
^ESCTAD365276	Adenoviral enteritis
^ESCTAD474131	Addison's disease due to tuberculosis
^ESCTAD697345	ADC - Acquired immune deficiency syndrome dementia complex
^ESCTAH345639	AHF - Argentinian hemorrhagic fever
^ESCTAH345646	AHF - Argentinian haemorrhagic fever
^ESCTAI328221	Air conditioner lung
^ESCTAI351576	AIDS
^ESCTAI351580	AIDS - Acquired immunodeficiency syndrome
^ESCTAI697344	AIDS - Acquired immune deficiency syndrome dementia complex
^ESCTAL283418	Alveolar hydatid disease
^ESCTAL316441	Aleppo boil
^ESCTAL350416	Alveolitis sicca dolorosa
^ESCTAL350417	Alveoalgia
^ESCTAL350418	Alveolalgia
^ESCTAL372150	ALA - Amoebic liver abscess
^ESCTAL372151	ALA - Amebic liver abscess
^ESCTAM263999	Amoebic cystitis
^ESCTAM264003	Amebic cystitis
^ESCTAM294787	Amebic brain abscess
^ESCTAM355839	Amebic lung abscess
^ESCTAM372149	Amebic liver abscess
^ESCTAM376116	American trypanosomiasis
^ESCTAN273017	Anterior acute poliomyelitis specified as nonparalytic
^ESCTAN273019	Anterior acute poliomyelitis, nonparalytic
^ESCTAN273812	Angina tonsillaris
^ESCTAN316437	Anthroponotic cutaneous leishmaniasis
^ESCTAN474233	Anogenital herpes simplex virus infection
^ESCTAN478123	Anthrax pneumonia
^ESCTAN578746	Antiviral drug adverse reaction
^ESCTAN661642	ANUG
^ESCTAP309136	APN - Acute pyelonephritis
^ESCTAP351097	Appendicular abscess
^ESCTAR256479	Argyll-Robertson pupil
^ESCTAR276607	Arbovirus haemorrhagic fever
^ESCTAR276609	Arthropod-borne hemorrhagic fever
^ESCTAR276611	Arboviral haemorrhagic fever
^ESCTAR276612	Arboviral hemorrhagic fever
^ESCTAR292320	ARF - Acute rheumatic fever
^ESCTAR315363	Arthropod-borne viral infection
^ESCTAR315364	Arboviral disease
^ESCTAR328050	Arthritis due to bacterial infection
^ESCTAR333696	Arthritis due to Streptococcus
^ESCTAR345632	Argentinian haemorrhagic fever
^ESCTAR345633	Argentinian hemorrhagic fever
^ESCTAR359861	Arthropathy associated with a neurological disorder
^ESCTAR369866	Arenaviral hemorrhagic fever
^ESCTAR475938	Arthritis caused by Mycobacterium tuberculosis
^ESCTAR478001	ARI - Acute respiratory infections
^ESCTAR480833	Arthropathy of the shoulder region associated with helminthiasis
^ESCTAR513907	Arthritis due to viral infection
^ESCTAR513909	Arthritis caused by viral infection
^ESCTAR513915	Arthritis due to parasitic infection
^ESCTAR515253	Armed tapeworm infection
^ESCTAR659843	Armstrong's disease
^ESCTAS344503	Aseptic meningitis, viral
^ESCTAS399451	Asymptomatic HIV infection
^ESCTAS420093	Aspergillus pneumonia
^ESCTAS451493	Aspiration pneumonitis
^ESCTAS477469	ASOM - Acute suppurative otitis media
^ESCTAS596656	Aspiration of brain abscess
^ESCTAS672072	Asthmatic bronchitis
^ESCTAT337708	Atypical verrucal endocarditis
^ESCTAT337709	Atypical verrucous endocarditis
^ESCTAU338266	AURTI - Acute upper respiratory tract infection
^ESCTAU358061	Australian encephalitis
^ESCTAU358062	Australian arboencephalitis
^ESCTAU358063	Australian X disease
^ESCTAV340289	Avian flu
^ESCTAV343297	AVH - Acute viral hepatitis
^ESCTAX330782	Axillary trichomycosis due to Corynebacterium tenuis
^ESCTBA259142	Bacteraemia
^ESCTBA267162	Bacterial infection due to Morganella morganii
^ESCTBA267163	Bacterial infection due to Proteus morganii
^ESCTBA267166	Bacterial infection caused by Proteus morganii
^ESCTBA267167	Bacterial infection caused by Morganella morganii
^ESCTBA286664	Bacterial zoonosis
^ESCTBA291928	Bacterial infection due to Proteus mirabilis
^ESCTBA291930	Bacterial infection caused by Proteus mirabilis
^ESCTBA298839	Bacterial myositis
^ESCTBA316438	Baghdad boil
^ESCTBA328048	Bacterial arthritis
^ESCTBA353112	Bacterial infection caused by Pseudomonas
^ESCTBA365585	Bacterial infection due to E. coli
^ESCTBA365589	Bacterial infection caused by E. coli
^ESCTBA365693	Bacterial infection caused by Serratia
^ESCTBA392429	Bacterial disease
^ESCTBA729126	Bacillus fragilis infection
^ESCTBE293311	Benign tertian malaria
^ESCTBE335446	Benign myalgic encephalomyelitis
^ESCTBE383305	Benign multirecurrent endothelioleucocytal meningitis
^ESCTBE383306	Benign multirecurrent endothelioleukocytal meningitis
^ESCTBE589016	BE - Bacterial endocarditis
^ESCTBH359386	BHF - Bolivian hemorrhagic fever
^ESCTBH359388	BHF - Bolivian haemorrhagic fever
^ESCTBI266078	Bilharziasis
^ESCTBI266081	Bilharzia
^ESCTBI291488	Biliary calculus with cholecystitis
^ESCTBI309230	Bile peritonitis
^ESCTBI309232	Biliary peritonitis
^ESCTBI316440	Biskra button
^ESCTBI340290	Bird flu
^ESCTBI478772	Bile duct calculus with acute cholecystitis and obstruction
^ESCTBL266083	Blood fluke infection
^ESCTBL289719	Bladder gonorrhea - acute
^ESCTBL312487	Bladder infection
^ESCTBL334892	Blue drum syndrome
^ESCTBL341985	Black water fever
^ESCTBL345441	Black death
^ESCTBL349072	Bladder schistosomiasis
^ESCTBL359384	Black typhus
^ESCTBL514726	BL - Borderline lepromatous leprosy
^ESCTBM406377	BM - Bacterial meningitis
^ESCTBO292413	Bordetellosis
^ESCTBO359382	Bolivian hemorrhagic fever
^ESCTBO376027	Boston exanthem
^ESCTBO387996	Body tinea
^ESCTBO549168	Bone and/or joint yaws lesions
^ESCTBR353080	Brodie abscess
^ESCTBR375181	Brugia filariasis
^ESCTBR375182	Brugiosis
^ESCTBR375183	Brugiasis
^ESCTBR480275	Breast abscess after childbirth
^ESCTBR656692	Bronchial pneumonia
^ESCTBR730282	Bronchiolitis due to Human metapneumovirus
^ESCTBR730286	Bronchiolitis caused by Human metapneumovirus
^ESCTBT293313	BT - Benign tertian malaria
^ESCTBT293314	BTM - Benign tertian malaria
^ESCTBT514723	BT - Borderline tuberculoid leprosy
^ESCTBU364897	Buba
^ESCTBU379078	Bunyamwera virus disease
^ESCTBU474335	Burdwan fever
^ESCTBU771113	Burkitt's lymphoma co-occurrent with human immunodeficiency virus infection
^ESCTBV308702	B virus infection
^ESCTBW321855	Bwamba virus disease
^ESCTCA255466	Candidosis of lung
^ESCTCA258740	Capillary pneumonia
^ESCTCA278697	Campylobacter diarrhoea
^ESCTCA278698	Campylobacter diarrhea
^ESCTCA347073	Calculus of gallbladder with acute cholecystitis
^ESCTCA358309	Carrier, infectious agent
^ESCTCA375863	Cane cutter's fever
^ESCTCA478713	CAH - Chronic active hepatitis
^ESCTCA478715	CAH - Chronic aggressive hepatitis
^ESCTCA478770	Calculus of bile duct with acute cholecystitis
^ESCTCA698192	Cachexia associated with AIDS
^ESCTCA698197	Cachexia associated with acquired immunodeficiency syndrome
^ESCTCE286934	Cellulitis of pharynx
^ESCTCE308703	Cercopithecine herpesvirus 1 disease
^ESCTCE310578	Cervicitis
^ESCTCE337727	Cervical tuberculous lymphadenitis
^ESCTCE474458	Cercarial dermatitis
^ESCTCE476759	Cerebrospinal meningitis
^ESCTCE476804	Cerebral toxoplasmosis
^ESCTCE503338	Cellulitis of pinna
^ESCTCE591130	Central nervous system viral infection
^ESCTCH250069	Chronic sore throat
^ESCTCH253655	Chronic granular pharyngitis
^ESCTCH254459	Childbed fever
^ESCTCH271115	Chronic osteomyelitis of hand
^ESCTCH291079	Chronic eosinophilic meningitis
^ESCTCH291489	Cholelithiasis with cholecystitis
^ESCTCH300707	Chronic abscess of parametrium
^ESCTCH311848	Chronic otitis media with perforation
^ESCTCH312100	Cheloid leishmaniasis
^ESCTCH312614	Chicken pox
^ESCTCH314461	Chronic infection of sinus
^ESCTCH324572	Chronic rheumatic endocarditis
^ESCTCH324573	Chronic rheumatic heart disease with endocarditis
^ESCTCH347074	Cholelithiasis with acute cholecystitis
^ESCTCH350719	Chronic type B viral hepatitis
^ESCTCH354943	Chronic abscess of female pelvis
^ESCTCH354944	Chronic pelvic abscess - female
^ESCTCH373259	Chronic sleeping sickness
^ESCTCH373401	Chronic nonsuppurative osteitis
^ESCTCH373403	Chronic sclerosing nonsuppurative osteomyelitis
^ESCTCH374878	CH - Chronic hepatitis
^ESCTCH375749	Chiclero ulcer
^ESCTCH375753	Chiclero's ulcer
^ESCTCH376117	Chagas' disease
^ESCTCH376119	Chagas-Mazza disease
^ESCTCH381797	Cholera due to Vibrio cholerae El Tor
^ESCTCH381798	Cholera - Vibrio cholerae O1 El Tor biotype
^ESCTCH381799	Cholera caused by Vibrio cholerae El Tor
^ESCTCH382629	Chronic non-suppurative otitis media with effusion - serous
^ESCTCH392454	Chronic rheumatic carditis
^ESCTCH395854	Chronic tympanitis
^ESCTCH395856	Chronic myringitis
^ESCTCH398121	Chronic abscess of pouch of Douglas
^ESCTCH412139	Chlamydia
^ESCTCH420063	Chikungunya hemorrhagic fever
^ESCTCH440701	Chronic type C viral hepatitis
^ESCTCH474126	Chronic tuberculous iridocyclitis
^ESCTCH474368	Chronic gonorrhea lower genitourinary tract
^ESCTCH474369	Chronic gonorrhoea of lower genitourinary tract
^ESCTCH474370	Chronic gonorrhea of lower genitourinary tract
^ESCTCH477980	Chylocele - non-filarial
^ESCTCH478086	Chronic hyperplastic laryngitis
^ESCTCH478132	Chicken pox pneumonia
^ESCTCH478766	Cholelithiasis AND acute cholecystitis without obstruction
^ESCTCH478768	Cholelithiasis AND acute cholecystitis with obstruction
^ESCTCH478924	Chronic non-obstructive atrophic pyelonephritis
^ESCTCH479151	Chronic pelvic cellulitis
^ESCTCH479153	Chronic female pelvic peritonitis
^ESCTCH481880	Chronic osteomyelitis of shoulder
^ESCTCH481882	Chronic osteomyelitis of upper arm
^ESCTCH481884	Chronic osteomyelitis of humerus
^ESCTCH481885	Chronic osteomyelitis of forearm
^ESCTCH481887	Chronic osteomyelitis of radius and/or ulna
^ESCTCH481888	Chronic osteomyelitis of lower leg
^ESCTCH481891	Chronic osteomyelitis of cervical spine
^ESCTCH481895	Chronic osteomyelitis of lumbar spine
^ESCTCH481897	Chronic osteomyelitis of sacrum
^ESCTCH508665	Chronic viral hepatitis B with hepatitis D
^ESCTCH508734	Cholecystolithiasis
^ESCTCH510272	Chronic PID - Chronic pelvic inflammatory disease
^ESCTCH514400	Chronic osteomyelitis of foot
^ESCTCH514402	Chronic osteomyelitis of ankle
^ESCTCH514405	Chronic osteomyelitis of thigh
^ESCTCH514406	Chronic osteomyelitis of femur
^ESCTCH514408	Chronic osteomyelitis of pelvic region
^ESCTCH514409	Chronic osteomyelitis of pelvis
^ESCTCH514414	Chronic osteomyelitis with draining fistula
^ESCTCH550284	Chronic osteomyelitis of pelvic region and/or thigh
^ESCTCH550286	Chronic osteomyelitis of ankle and/or foot
^ESCTCH620348	Charcot's joint
^ESCTCH620349	Charcot arthropathy
^ESCTCH677978	Charbon
^ESCTCI256656	Circling disease
^ESCTCL274786	Clap
^ESCTCL312949	Classical typhus
^ESCTCL343180	CLH - Chronic lobular hepatitis
^ESCTCL355940	Clostridium perfringens infection
^ESCTCL380874	Clostridial myositis
^ESCTCL380875	Clostridial myonecrosis
^ESCTCL474192	Clostridium difficile gastrointestinal tract infection
^ESCTCL474452	Clam-digger's itch
^ESCTCL474459	Clam digger's itch
^ESCTCL514666	Clostridial enteric disease
^ESCTCL701030	Clostridium difficile colitis
^ESCTCM474278	CMV - Cytomegalovirus hepatitis
^ESCTCN476835	CNS abscess
^ESCTCO251572	Congenital sepsis
^ESCTCO252186	Cold sores
^ESCTCO252189	Cold sore
^ESCTCO258072	Complicated systemic gonorrhoea
^ESCTCO258073	Complicated systemic gonorrhea
^ESCTCO311162	Concato disease
^ESCTCO324814	Coccidioidomycosis meningitis
^ESCTCO354258	Costal chondritis
^ESCTCO365584	Colibacillosis
^ESCTCO454553	Complaining of catarrh
^ESCTCO478742	Coxsackie virus hepatitis
^ESCTCO508537	Colonic diverticular abscess
^ESCTCO778351	COP - Cryptogenic organising pneumonitis
^ESCTCO778352	COP - Cryptogenic organizing pneumonitis
^ESCTCP317507	CPH - Chronic persistent hepatitis
^ESCTCP352946	CPN - Chronic pyelonephritis
^ESCTCR365782	Croup syndrome
^ESCTCR514411	CRMO - Chronic multifocal osteomyelitis
^ESCTCR778350	Cryptogenic organizing pneumonia
^ESCTCS311845	CSOM - Chronic suppurative otitis media
^ESCTCT260290	CTF - Colorado tick fever
^ESCTCU260134	Cutaneous actinomycosis infection
^ESCTCU275136	Cutaneous mycobacterium ulcerans infection
^ESCTCU290993	Cutaneous infectious disease due to Mycobacteria
^ESCTCU290995	Cutaneous infectious disease caused by Mycobacteria
^ESCTCU316439	Cutaneous urban leishmaniasis
^ESCTCU320032	Cutaneous plague
^ESCTCU358922	Cutaneous tuberculosis
^ESCTCU514825	Cutaneous herpes simplex infection
^ESCTCU515027	Cutaneous leishmaniasis
^ESCTCU666028	Cutaneous involvement by listeriosis
^ESCTCU777146	Cutaneous B-cell pseudolymphoma caused by Borrelia
^ESCTCY258086	Cystitis with actinomycosis
^ESCTCY262207	Cytomegaloviral pneumonia
^ESCTCY262208	Cytomegalic inclusion virus pneumonia
^ESCTCY262210	Cytomegaloviral (CMV) pneumonia
^ESCTCY264000	Cystitis with amebiasis
^ESCTCY264001	Cystitis with amoebiasis
^ESCTCY264004	Cystitis in amebiasis
^ESCTCY296542	Cytomegalovirus disease
^ESCTCY474276	Cytomegalovirus hepatitis
^ESCTCY474280	Cytomegalic inclusion virus hepatitis
^ESCTCY478980	Cystitis in gonorrhea
^ESCTDA476795	Dawson's inclusion body encephalitis
^ESCTDC312096	DCL - Diffuse cutaneous leishmaniasis
^ESCTDE283296	Dengue hemorrhagic fever
^ESCTDE311794	Dengue
^ESCTDE311795	Dengue fever
^ESCTDE316436	Delhi boil
^ESCTDE334164	Dementia paralytica
^ESCTDE387997	Dermatophytosis of the trunk
^ESCTDE389945	Dermatitis herpetiformis of pregnancy
^ESCTDE419238	Dermatosis herpetiformis
^ESCTDE697342	Dementia associated with AIDS
^ESCTDE697347	Dementia associated with acquired immunodeficiency syndrome
^ESCTDG258075	DGI - Disseminated gonococcal infection
^ESCTDH283297	DHF - Dengue haemorrhagic fever
^ESCTDH283298	DHF - Dengue hemorrhagic fever
^ESCTDH419240	DH - Dermatitis herpetiformis
^ESCTDI255355	Diphtheritic membranous angina
^ESCTDI255356	Diphtheritic membrane
^ESCTDI262920	Disease with a predominantly sexual mode of transmission
^ESCTDI290313	Disease due to Adenovirus
^ESCTDI290315	Disease caused by Adenovirus
^ESCTDI291748	Distomiasis
^ESCTDI291750	Disease due to Trematoda
^ESCTDI296540	Disease due to Cytomegalovirus
^ESCTDI304453	Diverticulitis of duodenum
^ESCTDI304769	Disease caused by virus
^ESCTDI304772	Disease due to virus
^ESCTDI312095	Diffuse cutaneous leishmaniasis
^ESCTDI315584	Disorder due to infection
^ESCTDI315585	Disease due to infection
^ESCTDI316941	Disease due to Rhinovirus
^ESCTDI316943	Disease caused by Rhinovirus
^ESCTDI331335	Diphtheritic laryngotracheitis
^ESCTDI336995	Disease due to Enterovirus
^ESCTDI336998	Disease caused by Enterovirus
^ESCTDI354942	Discharge from nose
^ESCTDI359179	Diverticulitis of ileum
^ESCTDI392427	Disease caused by bacteria
^ESCTDI412153	Disease due to Retroviridae
^ESCTDI412155	Disease caused by Retroviridae
^ESCTDI412293	Disease due to superfamily Filarioidea
^ESCTDI412296	Disease caused by superfamily Filarioidea
^ESCTDI500985	Diphtheritic neuropathy
^ESCTDI660739	Diarrhea due to staphylococcus
^ESCTDI660740	Diarrhoea due to staphylococcus toxin
^ESCTDI660741	Diarrhea due to staphylococcus toxin
^ESCTDI660742	Diarrhoea caused by staphylococcus
^ESCTDI660743	Diarrhea caused by staphylococcus
^ESCTDI660744	Diarrhea caused by staphylococcus toxin
^ESCTDI660745	Diarrhoea caused by staphylococcus toxin
^ESCTDI690206	Disease caused by West Nile virus
^ESCTDR316429	Dry form of cutaneous leishmaniasis
^ESCTDR350419	Dry tooth socket
^ESCTDR514413	Draining sinus co-occurrent and due to chronic osteomyelitis
^ESCTDR653082	Drainage of abscess of peritonsillar tissues
^ESCTDR656791	Dracontiasis - guinea-worm
^ESCTDR656792	Dracontiasis
^ESCTDR656793	Dracunculosis
^ESCTDR656796	Dracunculiasis
^ESCTDU419237	Duhring's disease
^ESCTDU419239	Duhring-Brocq disease
^ESCTDU474334	Dum Dum fever
^ESCTDU474336	Dum-dum fever
^ESCTDU606064	Duchenne's disease
^ESCTDY325658	Dysenteric diarrhea
^ESCTDY420143	Dysentery
^ESCTEA325915	Eaton's agent pneumonia
^ESCTEA591138	Early yaws skin lesion
^ESCTEA689945	Eastern equine encephalitis virus infection
^ESCTEB309772	Ebola hemorrhagic fever
^ESCTEB309773	Ebola haemorrhagic fever
