bl3..	ISMO - isosorbide mononitrate
bly6.	Isosorbide dinitrate 20mg m/r capsule
bl2t.	Isoket Retard 20 m/r capsule
bl2r.	Sorbid-20 SA m/r capsule
bl2i.	Soni-Slo 20mg m/r capsule
bly7.	Isosorbide dinitrate 40mg m/r capsule
bl2k.	Sorbid-40 SA m/r capsule
bl2j.	Soni-Slo 40mg m/r capsule
bl2h.	Isordil Tembids 40mg m/r capsule
bly8.	Isosorbide dinitrate 5mg chewable tablet
bl2a.	Sorbichew 5mg chewable tablet
bly9.	Isosorbide dinitrate 40mg tablet
bl2s.	Cedocard-40 tablet
blya.	Isosorbide dinitrate 25mg/50mL injection
bl2v.	Isoket 0.05% 25mg/50mL injection
blyb.	Isosorbide dinitrate 1.25mg spray
bl2x.	Imtack 1.25mg spray
bl2B.	Angitak 1.25mg spray
blyc.	Isosorbide dinitrate 30mg transdermal spray
bl2A.	Isocard 30mg transdermal spray
blyw.	Isosorbide dinitrate 40mg m/r tablet
bl2w.	Cedocard Retard 40mg m/r tablet
bl2u.	Isoket Retard 40 m/r tablet
blyx.	Isosorbide dinitrate 10mg/10mL injection
bl2o.	Isoket 0.1% 10mg/10mL injection
bl2l.	Cedocard IV 10mg/10mL injection
blyy.	Isosorbide dinitrate 50mg/50mL injection
bl2p.	Isoket 0.1% 50mg/50mL injection
bl2m.	Cedocard IV 50mg/50mL injection
blyz.	Isosorbide dinitrate 100mg/100mL injection
bl2q.	Isoket 0.1% 100mg/100mL injection
bl2n.	Cedocard IV 100mg/100mL injection
x006v	Modified release isosorbide dinitrate
x006w	Parenteral isosorbide dinitrate
x01RD	Oral isosorbide dinitrate
bl24.	Isoket 5mg tablet
x03qm	Transdermal isosorbide dinitrate
x02RM	Isordil
x02RN	Isordil Tembids
x02Qm	Angeze
x046c	Angeze SR 40
x046d	Angeze SR 60
x05Ja	Cibral
x05Jb	Cibral XL
x02Qo	Elantan
x02Qp	Elantan LA
x03x7	Elantan 10
x03x8	Elantan LA 25
x03x9	Elantan LA 50
x02Qn	Dynamin
x02Qv	Monit
x02Qw	Monit LS
x02Qx	Monit SR
x058v	Monit XL 60
x02Qs	Ismo
x02Qt	Ismo Retard
x045J	Ismo 10
x045K	Ismo 20
x045L	Ismo 40
x055Z	Isodur 25XL
x055a	Isodur 50XL
x03jk	Modisal
x03sn	Modisal 60 XL
x04wj	Modisal LA 25
x04wk	Modisal LA 50
x05qU	Phasonit LA50
x04qv	Chemydur 60XL
x02RK	Isoket
x02RL	Isoket Retard
x045M	Isoket Retard 20
x045N	Isoket Retard 40
x04xa	IMAZIN XL
x04xb	IMAZIN XL forte
x05lp	Carmil XL
x05lm	Eumon
x05l9	Trangina XL
x05pJ	Zemon XL
x05vD	Zemon 40XL
x04on	Monosorb XL 60
x02RO	Jeridin
x02RJ	Imtack
x02Qy	Mono-Cedocard
x02Qz	MCR (Mono-Cedocard Retard)
x02RH	Cedocard
x02RI	Cedocard Retard
x03qn	Isocard
x02Qr	Isib
x045I	Isib 60XL
x04xZ	Isib 50XL
x05bz	Monigen XL
x05rr	Monomil XL
x057M	Slomon XL 60
x02RQ	Sorbichew
x02RS	Sorbitrate
x04yo	Angitak
x03cc	Monomax SR
x03sr	Monomax SR 40
x03ss	Monomax SR 60
x05Ds	Monomax XL
x04os	Monodur
x03kX	Isotard
x045Z	Isotard 60XL
x04r3	Isotard 40XL
x04tk	Isotard 25XL
x04tl	Isotard 50XL
x02Qq	Imdur
x02Qu	Isotrate
x03er	Ketanodur
