medcode	readcode	Description	CodingSystem
31679	7929z00	Other therapeutic transluminal op on coronary artery NOS	OXMIS
32272	G38..00	Postoperative myocardial infarction	readcode
32450	G33z400	Ischaemic chest pain	readcode
32651	7922.11	Allograft bypass of coronary artery	OXMIS
32854	G30B.00	Acute posterolateral myocardial infarction	readcode
33461	7924	Revision of bypass for coronary artery	OXMIS
33471	792Dz00	Other bypass of coronary artery NOS	OXMIS
33620	792B.00	Repair of coronary artery NEC	OXMIS
33650	7929100	Percut transluminal coronary thrombolysis with streptokinase	OXMIS
33718	7925000	Double anastomosis of mammary arteries to coronary arteries	OXMIS
33735	7928100	Percut translum balloon angioplasty mult coronary arteries	OXMIS
34328	G311300	Refractory angina	readcode
34633	G34y.00	Other specified chronic ischaemic heart disease	readcode
34803	G30y.00	Other acute myocardial infarction	readcode
34963	792D.00	Other bypass of coronary artery	OXMIS
34965	792A.00	Diagnostic transluminal operations on coronary artery	OXMIS
35119	G501.00	Post infarction pericarditis	readcode
35674	14A3.00	H/O: myocardial infarct <60	readcode
35713	G34yz00	Other specified chronic ischaemic heart disease NOS	readcode
36011	7923.11	Prosthetic bypass of coronary artery	OXMIS
36423	G36..00	Certain current complication follow acute myocardial infarct	readcode
36523	G311.00	Preinfarction syndrome	readcode
36609	G342.00	Atherosclerotic cardiovascular disease	readcode
36854	G332.00	Coronary artery spasm	readcode
37657	G362.00	Ventric septal defect/curr comp fol acut myocardal infarctn	readcode
37682	7925	Connection of mammary artery to coronary artery	OXMIS
37719	7925y00	Connection of mammary artery to coronary artery OS	OXMIS
38609	G351.00	Subsequent myocardial infarction of inferior wall	readcode
38813	7A54500	Rotary blade angioplasty	OXMIS
39449	G312.00	Coronary thrombosis not resulting in myocardial infarction	readcode
39546	Gyu3000	[X]Other forms of angina pectoris	readcode
39655	G311.12	Impending infarction	readcode
39693	G31y200	Subendocardial ischaemia	readcode
40399	14A4.00	H/O: myocardial infarct >60	readcode
40429	G301000	Acute anteroapical infarction	readcode
40996	7929111	Percut translum coronary thrombolytic therapy- streptokinase	OXMIS
41221	G30y200	Acute septal infarction	readcode
41547	7928y00	Transluminal balloon angioplasty of coronary artery OS	OXMIS
41677	G341z00	Aneurysm of heart NOS	readcode
41757	7927z00	Other open operation on coronary artery NOS	OXMIS
41835	G384.00	Postoperative subendocardial myocardial infarction	readcode
42304	7929500	Insertion of drug-eluting coronary artery stent	OXMIS
42462	7928200	Percut translum balloon angioplasty bypass graft coronary a	OXMIS
42708	7921300	Autograft replacement of four of more coronary arteries NEC	OXMIS
43939	793G.00	Perc translumin balloon angioplasty stenting coronary artery	OXMIS
44561	7921000	Autograft replacement of one coronary artery NEC	OXMIS
44585	792Bz00	Repair of coronary artery NOS	OXMIS
44723	7925200	Single anast mammary art to left ant descend coronary art	OXMIS
45370	7922300	Allograft replacement of four or more coronary arteries	OXMIS
45809	G350.00	Subsequent myocardial infarction of anterior wall	readcode
45886	7922200	Allograft replacement of three coronary arteries	OXMIS
46017	G30yz00	Other acute myocardial infarction NOS	readcode
46112	G380.00	Postoperative transmural myocardial infarction anterior wall	readcode
46166	G35X.00	Subsequent myocardial infarction of unspecified site	readcode
46276	G381.00	Postoperative transmural myocardial infarction inferior wall	readcode
47788	7927	Other open operations on coronary artery	OXMIS
48206	7927300	Transposition of coronary artery NEC	OXMIS
48767	7922z00	Allograft replacement of coronary artery NOS	OXMIS
48822	7925011	LIMA sequential anastomosis	OXMIS
50372	14AH.00	H/O: Myocardial infarction in last year	readcode
51507	7925300	Single anastomosis of mammary artery to coronary artery NEC	OXMIS
51515	7920z00	Saphenous vein graft replacement coronary artery NOS	OXMIS
51702	7927400	Exploration of coronary artery	OXMIS
52938	7924000	Revision of bypass for one coronary artery	OXMIS
54251	G311z00	Preinfarction syndrome NOS	readcode
54535	G33z100	Stenocardia	readcode
55092	792C000	Replacement of coronary arteries using multiple methods	OXMIS
55137	G311011	MI - myocardial infarction aborted	readcode
55598	792C.00	Other replacement of coronary artery	OXMIS
56905	792Ay00	Diagnostic transluminal operation on coronary artery OS	OXMIS
56990	7925z00	Connection of mammary artery to coronary artery NOS	OXMIS
57062	14AJ.00	H/O: Angina in last year	readcode
57241	7922100	Allograft replacement of two coronary arteries	OXMIS
57634	7924z00	Revision of bypass for coronary artery NOS	OXMIS
58198	K306 A		OXMIS
58256	K3043C		OXMIS
58401	K3043T		OXMIS
59189	G363.00	Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI	readcode
59193	G341200	Aneurysm of coronary vessels	readcode
59423	7922y00	Other specified allograft replacement of coronary artery	OXMIS
59940	G364.00	Ruptur chordae tendinae/curr comp fol acute myocard infarct	readcode
60067	793G000	Perc translum ball angio insert 1-2 drug elut stents cor art	OXMIS
60753	7926300	Single implantation thoracic artery into coronary artery NEC	OXMIS
61208	793Gz00	Perc translum balloon angioplasty stenting coronary art NOS	OXMIS
61248	792Az00	Diagnostic transluminal operation on coronary artery NOS	OXMIS
61310	7921y00	Other autograft replacement of coronary artery OS	OXMIS
62608	7926000	Double anastom thoracic arteries to coronary arteries NEC	OXMIS
62626	G30y100	Acute papillary muscle infarction	readcode
63153	7924500	Revision of implantation of thoracic artery into heart	OXMIS
63467	G306.00	True posterior myocardial infarction	readcode
64923	7A6H300	Prosthetic graft patch angioplasty	OXMIS
66236	7923200	Prosthetic replacement of three coronary arteries	OXMIS
66388	G33z000	Status anginosus	readcode
66583	7929200	Percut translum inject therap subst to coronary artery NEC	OXMIS
66664	7923100	Prosthetic replacement of two coronary arteries	OXMIS
66921	7A6H400	Percutaneous transluminal angioplasty of vascular graft	OXMIS
67087	G341100	Other cardiac wall aneurysm	readcode
67554	7924100	Revision of bypass for two coronary arteries	OXMIS
67591	7926200	Single anastomosis of thoracic artery to coronary artery NEC	OXMIS
67761	7923300	Prosthetic replacement of four or more coronary arteries	OXMIS
68123	7925312	RIMA single anastomosis	OXMIS
68139	7925400	Single implantation of mammary artery into coronary artery	OXMIS
68357	G31y100	Microinfarction of heart	readcode
68748	G38z.00	"Postoperative myocardial infarction, unspecified"	readcode
69247	792By00	Other specified repair of coronary artery	OXMIS
69474	G365.00	Rupture papillary muscle/curr comp fol acute myocard infarct	readcode
70111	7922000	Allograft replacement of one coronary artery	OXMIS
70755	792Cz00	Replacement of coronary artery NOS	OXMIS
72562	G353.00	Subsequent myocardial infarction of other sites	readcode
72780	7926z00	Connection of other thoracic artery to coronary artery NOS	OXMIS
74092	4109N		OXMIS
74151	4139N		OXMIS
74336	4139U		OXMIS
74379	4119N		OXMIS
74480	4139		OXMIS
74618	4109NA		OXMIS
74634	4130		OXMIS
74650	4109H		OXMIS
74803	4100N		OXMIS
75123	4109NC		OXMIS
75840	4109TC		OXMIS
76830	4109NH		OXMIS
76831	429 AH		OXMIS
77092	4119P		OXMIS
77280	4109CL		OXMIS
77374	4139AA		OXMIS
77984	4129T		OXMIS
79034	4139M		OXMIS
79268	4139CO		OXMIS
79499	4139E		OXMIS
80024	4130E		OXMIS
81779	K3043		OXMIS
83376	4109HE		OXMIS
84228	4109TL		OXMIS
84273	4129TH		OXMIS
84291	4109TM		OXMIS
84418	4139C		OXMIS
84951	4129B		OXMIS
85001	4100NA		OXMIS
85947	793G200	Perc translum balloon angioplasty insert 1-2 stents cor art	OXMIS
86071	7928300	Percut translum cutting balloon angioplasty coronary artery	OXMIS
86094	4139AT		OXMIS
87849	793G100	Perc tran ball angio ins 3 or more drug elut stents cor art	OXMIS
87937	4109TE		OXMIS
88735	4139PB		OXMIS
89513	4100T		OXMIS
89832	4139PA		OXMIS
90211	4109CA		OXMIS
91358	4109CR		OXMIS
91532	4139PC		OXMIS
91774	G341300	Acquired atrioventricular fistula of heart	readcode
92233	7925012	RIMA sequential anastomosis	OXMIS
92419	7923000	Prosthetic replacement of one coronary artery	OXMIS
92927	793G300	Percutaneous cor balloon angiop 3 more stents cor art NEC	OXMIS
93618	7929600	Percutaneous transluminal atherectomy of coronary artery	OXMIS
93706	793H000	Percutaneous transluminal balloon dilation cardiac conduit	OXMIS
93828	792Cy00	Other specified replacement of coronary artery	OXMIS
95382	7927y00	Other specified other open operation on coronary artery	OXMIS
96804	7926	Connection of other thoracic artery to coronary artery	OXMIS
96838	Gyu3400	[X]Acute transmural myocardial infarction of unspecif site	readcode
97953	7924y00	Other specified revision of bypass for coronary artery	OXMIS
99991	Gyu3600	[X]Subsequent myocardial infarction of unspecified site	readcode
101569	7924300	Revision of bypass for four or more coronary arteries	OXMIS
105250	G341111	Mural cardiac aneurysm	readcode
105479	G39..00	Coronary microvascular disease	readcode
106812	G383.00	Postoperative transmural myocardial infarction unspec site	readcode
109035	Gyu3500	[X]Subsequent myocardial infarction of other sites	readcode
