H06z011	Chest infection
H22y.00	Pneumonia due to other specified bacteria
A3By400	Pleuropneumonia-like organism (PPLO) infection
H247000	Pneumonia with candidiasis
H22yX00	Pneumonia due to other aerobic gram-negative bacteria
Hyu0800	[X]Other viral pneumonia
H501.00	Empyema with no fistula
A110.00	Infiltrative lung tuberculosis
Hyu0H00	[X]Other pneumonia, organism unspecified
Hyu0D00	[X]Pneumonia in viral diseases classified elsewhere
H247z00	Pneumonia with systemic mycosis NOS
H061000	Acute capillary bronchiolitis
Hyu6.00	[X]Suppurative & necrotic conditions of lower respir tract
H060v00	Subacute bronchitis unspecified
AD04.00	Toxoplasma pneumonitis
A120z00	Tuberculous pleurisy NOS
H51y000	Encysted pleurisy
H530200	Gangrenous pneumonia
A124300	Tuberculosis of lung, confirmed by unspecified means
A022200	Salmonella pneumonia
H500.00	Empyema with fistula
H501600	Pyothorax
H230.00	Pneumonia due to Eaton's agent
H51z000	Exudative pleurisy NOS
H22y011	E.coli pneumonia
H24y300	Pneumonia with Q-fever
H24y000	Pneumonia with actinomycosis
A124200	Tuberculosis of lung, confirmed histologically
H242.00	Pneumonia with ornithosis
H270100	Influenza with pneumonia, influenza virus identified
H510600	Chronic dry pleurisy
Hyu0A00	[X]Other bacterial pneumonia
H223000	Pneumonia due to streptococcus, group B
A12..00	Other respiratory tuberculosis
A391.00	Pulmonary actinomycosis
H060E00	Acute bronchitis due to rhinovirus
H22y000	Pneumonia due to escherichia coli
H060F00	Acute bronchitis due to echovirus
H061600	Acute bronchiolitis due to other specified organisms
H24z.00	Pneumonia with infectious diseases EC NOS
Hyu1.00	[X]Other acute lower respiratory infections
A117.00	Tuberculous pneumothorax
H500000	Empyema with bronchocutaneous fistula
H200.00	Pneumonia due to adenovirus
H24y100	Pneumonia with nocardiasis
H061300	Acute exudative bronchiolitis
H510B00	Streptococcal pleurisy
H24y.00	Pneumonia with other infectious diseases EC
H24yz00	Pneumonia with other infectious diseases EC NOS
A203.00	Primary pneumonic plague
H060200	Acute pseudomembranous bronchitis
H24y400	Pneumonia with salmonellosis
Hyu1000	[X]Acute bronchitis due to other specified organisms
H232.00	Pneumonia due to pleuropneumonia like organisms
H511100	Staphylococcal pleurisy with effusion
A124100	Tuberculosis of lung, confirmed by culture only
H060B00	Acute bronchitis due to coxsackievirus
4JUK.00	Mycoplasma pneumoniae detected
AyuKA00	[X]Klebsiella pneumoniae/cause/disease classifd/oth chapters
H470.11	Aspiration pneumonia
H564.11	Cryptogenic organising pneumonia
H2B..00	Community acquired pneumonia
H2C..00	Hospital acquired pneumonia
A789311	HIV disease resulting in Pneumocystis jirovecii pneumonia
H061700	Acute bronchiolitis due to human metapneumovirus
H203.00	Pneumonia due to human metapneumovirus
A12y.00	Other specified respiratory tuberculosis
A12yz00	Other specified respiratory tuberculosis NOS
A3B2.00	Pneumococcal infection
A3By100	Eaton's agent infection
A73x.00	Ornithosis with other specified complications
A73y.00	Ornithosis with unspecified complications
A73z.00	Unspecified Ornithosis
H044.00	Croup
H060100	Acute membranous bronchitis
H07..00	Chest cold
H245.00	Pneumonia with anthrax
H247.00	Pneumonia with other systemic mycoses
H30z.00	Bronchitis NOS
H312000	Chronic asthmatic bronchitis
H47y.00	Pneumonitis due to inhalation of other solid or liquid
H47yz00	Pneumonitis due to inhalation of solid or liquid NOS
H47z.00	Pneumonitis due to inhalation of solid or liquid NOS
H500400	Empyema with pleural fistula NOS
H500500	Empyema with thoracic fistula NOS
H500z00	Empyema with fistula NOS
H501z00	Empyema with no fistula NOS
H51z100	Serofibrinous pleurisy NOS
H51z200	Serous pleurisy NOS
Hyu0900	[X]Pneumonia due to other aerobic gram-negative bacteria
Hyu0B00	[X]Pneumonia due to other specified infectious organisms
Hyu0C00	[X]Pneumonia in bacterial diseases classified elsewhere
Hyu0E00	[X]Pneumonia in mycoses classified elsewhere
Hyu1100	[X]Acute bronchiolitis due to other specified organisms
Hyu4300	[X]Hypersensitivity pneumonitis due to other organic dusts
Hyu4700	[X]Pneumonitis due to inhalation of other solids and liquids
