^ESCT1165213	Olanzapine pamoate
^ESCT1181115	Product containing only prochlorperazine maleate 25 mg/1 each oral tablet
^ESCT1181371	Product containing only fluphenazine hydrochloride 1 mg/1 each oral tablet
^ESCT1181372	Product containing only haloperidol 0.5 milligram/1 each oral tablet
^ESCT1181373	Product containing only oxypertine 40 mg/1 each oral tablet
^ESCT1181376	Product containing only periciazine 10 mg/1 each oral tablet
^ESCT1181377	Product containing only thioridazine hydrochloride 10 mg/1 each oral tablet
^ESCT1181378	Product containing only thioridazine hydrochloride 50 mg/1 each oral tablet
^ESCT1181379	Product containing only zuclopenthixol 2 mg/1 each oral tablet
^ESCT1181380	Product containing only loxapine 25 mg/1 each oral capsule
^ESCT1181381	Product containing only risperidone 1 mg/1 each oral tablet
^ESCT1181382	Product containing only olanzapine 10 mg/1 each oral tablet
^ESCT1181383	Product containing fluphenazine decanoate
^ESCT1181531	Product containing only ziprasidone hydrochloride 20 mg/1 each oral capsule
^ESCT1181532	Product containing only ziprasidone hydrochloride 80 mg/1 each oral capsule
^ESCT1181654	Product containing only olanzapine 20 mg/1 each oral tablet
^ESCT1181692	Product containing only perphenazine 16 mg/1 each oral tablet
^ESCT1181732	Product containing only haloperidol 1 mg/1 each oral tablet
^ESCT1181823	Product containing only haloperidol 2 mg/1 each oral tablet
^ESCT1181894	Product containing only amitriptyline hydrochloride 10 mg and perphenazine 2 mg/1 each oral tablet
^ESCT1181908	Product containing only prochlorperazine maleate 5 mg/1 each oral tablet
^ESCT1182205	Product containing only clozapine 50 mg/1 each oral tablet
^ESCT1182563	Product containing only amisulpride 100 mg/1 each oral tablet
^ESCT1182632	Product containing only aripiprazole 15 mg/1 each oral tablet
^ESCT1182662	Product containing only olanzapine 12 mg and fluoxetine 50 mg/1 each oral capsule
^ESCT1183123	Product containing only quetiapine 400 mg/1 each oral tablet
^ESCT1183124	Product containing only quetiapine 300 mg/1 each oral tablet
^ESCT1183157	Product containing only olanzapine 15 mg/1 each oral tablet
^ESCT1183319	Product containing only amitriptyline hydrochloride 50 mg and perphenazine 4 mg/1 each oral tablet
^ESCT1184138	Product containing only aripiprazole 2 mg/1 each oral tablet
^ESCT1184321	Clozaril 25mg tablets (Mylan)
^ESCT1184481	Product containing paliperidone
^ESCT1185270	Product containing only aripiprazole 10 mg/1 each oral tablet
^ESCT1185271	Product containing only aripiprazole 20 mg/1 each oral tablet
^ESCT1185301	Product containing only clozapine 12.5 mg/1 each oral tablet
^ESCT1185302	Product containing only olanzapine 6 mg and fluoxetine 25 mg/1 each oral capsule
^ESCT1185303	Product containing only olanzapine 6 mg and fluoxetine 50 mg/1 each oral capsule
^ESCT1185357	Product containing only loxapine succinate 5 mg/1 each oral capsule
^ESCT1185365	Product containing only thioridazine hydrochloride 150 mg/1 each oral tablet
^ESCT1185403	Product containing only trifluoperazine hydrochloride 10 mg/1 each oral tablet
^ESCT1185418	Product containing only prochlorperazine 15 mg/1 each oral capsule
^ESCT1185419	Product containing only prochlorperazine maleate 10 mg/1 each oral tablet
^ESCT1187272	Product containing only chlorpromazine hydrochloride 100 mg/1 each oral tablet
^ESCT1187273	Product containing only haloperidol 0.5 milligram/1 each oral capsule
^ESCT1187274	Product containing only levomepromazine maleate 25 mg/1 each oral tablet
^ESCT1187275	Product containing only methotrimeprazine maleate 25 mg/1 each oral tablet
^ESCT1187276	Product containing only oxypertine 10 mg/1 each oral capsule
^ESCT1187277	Product containing only pimozide 4 mg/1 each oral tablet
^ESCT1187278	Product containing only sulpiride 400 mg/1 each oral tablet
^ESCT1187279	Product containing only trifluoperazine 1 mg/1 each oral tablet
^ESCT1187280	Product containing only zuclopenthixol 25 mg/1 each oral tablet
^ESCT1187281	Product containing only loxapine 50 mg/1 each oral capsule
^ESCT1187282	Product containing only clozapine 25 mg/1 each oral tablet
^ESCT1187284	Product containing only risperidone 3 mg/1 each oral tablet
^ESCT1187285	Product containing only quetiapine 25 mg/1 each oral tablet
^ESCT1187286	Product containing only quetiapine 100 mg/1 each oral tablet
^ESCT1187287	Product containing only quetiapine 150 mg/1 each oral tablet
^ESCT1187288	Product containing only zotepine 25 mg/1 each oral tablet
^ESCT1187298	Product containing only flupenthixol 0.5 milligram/1 each oral tablet
^ESCT1187538	Product containing only ziprasidone hydrochloride 40 mg/1 each oral capsule
^ESCT1187539	Product containing only ziprasidone hydrochloride 60 mg/1 each oral capsule
^ESCT1187877	Product containing droperidol
^ESCT1188032	Product containing only aripiprazole 5 mg/1 each oral tablet
^ESCT1188033	Product containing only aripiprazole 30 mg/1 each oral tablet
^ESCT1188064	Product containing only olanzapine 12 mg and fluoxetine 25 mg/1 each oral capsule
^ESCT1188466	Product containing only thioridazine hydrochloride 15 mg/1 each oral tablet
^ESCT1188471	Product containing only perphenazine 8 mg/1 each oral tablet
^ESCT1188480	Product containing only pimozide 1 mg/1 each oral tablet
^ESCT1188503	Product containing only prochlorperazine 10 mg/1 each oral capsule
^ESCT1188504	Product containing only chlorpromazine hydrochloride 200 mg/1 each oral tablet
^ESCT1188546	Product containing only amitriptyline hydrochloride 10 mg and perphenazine 4 mg/1 each oral tablet
^ESCT1200582	Aripiprazole lauroxil product
^ESCT1200583	Product containing aripiprazole lauroxil
^ESCT1201272	Aripiprazole lauroxil in parenteral dosage form
^ESCT1201273	Product containing aripiprazole lauroxil in parenteral dosage form
^ESCT1203629	Chlorpromazine hydrochloride 30mg prolonged-release oral capsule
^ESCT1203636	Trifluoperazine (as trifluoperazine hydrochloride) 15 mg prolonged-release oral capsule
^ESCT1203637	Product containing precisely trifluoperazine (as trifluoperazine hydrochloride) 15 milligram/1 each prolonged-release oral capsule
^ESCT1203710	Chlorpromazine hydrochloride 150mg prolonged-release oral capsule
^ESCT1203839	Trifluoperazine (as trifluoperazine hydrochloride) 2 mg prolonged-release oral capsule
^ESCT1203840	Product containing precisely trifluoperazine (as trifluoperazine hydrochloride) 2 milligram/1 each prolonged-release oral capsule
^ESCT1203887	Chlorpromazine hydrochloride 75mg prolonged-release oral capsule
^ESCT1203895	Trifluoperazine (as trifluoperazine hydrochloride) 10 mg prolonged-release oral capsule
^ESCT1203896	Product containing precisely trifluoperazine (as trifluoperazine hydrochloride) 10 milligram/1 each prolonged-release oral capsule
^ESCT1204467	Amisulpride 100 mg/mL oral solution
^ESCT1204468	Product containing precisely amisulpride 100 milligram/1 milliliter conventional release oral solution
^ESCT1204479	Chlorpromazine hydrochloride 100mg/5mL conventional release oral solution
^ESCT1204480	Chlorpromazine hydrochloride 5 mg/mL oral solution
^ESCT1204481	Product containing precisely chlorpromazine hydrochloride 5 milligram/1 milliliter conventional release oral solution
^ESCT1204509	Haloperidol 1.5mg/5mL conventional release oral solution
^ESCT1204510	Haloperidol 1mg/5mL conventional release oral solution
^ESCT1204511	Haloperidol 2mg/5mL conventional release oral solution
^ESCT1204531	Perphenazine 2mg/5mL conventional release oral solution
^ESCT1204532	Perphenazine 4mg/5mL conventional release oral solution
^ESCT1204552	Thioridazine 100mg/mL conventional release oral solution
^ESCT1204553	Thioridazine 50mg/5mL conventional release oral solution
^ESCT1204554	Thioridazine hydrochloride 30mg/ml conventional release oral solution
^ESCT1204574	Chlorpromazine hydrochloride (as chlorpromazine embonate) 20 mg/mL oral suspension
^ESCT1204575	Product containing precisely chlorpromazine hydrochloride (as chlorpromazine embonate) 20 milligram/1 milliliter conventional release oral suspension
^ESCT1204605	Trifluoperazine 5mg/5mL conventional release oral suspension
^ESCT1204629	Promazine hydrochloride 50mg/5mL conventional release oral syrup
^ESCT1204634	Trifluoperazine (as trifluoperazine hydrochloride) 1 mg/mL oral solution
^ESCT1204635	Product containing precisely trifluoperazine (as trifluoperazine hydrochloride) 1 milligram/1 milliliter conventional release oral solution
^ESCT1205503	Zuclopenthixol in parenteral dosage form
^ESCT1205504	Product containing zuclopenthixol in parenteral dosage form
^ESCT1205508	Zuclopenthixol decanoate in parenteral dosage form
^ESCT1205509	Product containing zuclopenthixol decanoate in parenteral dosage form
^ESCT1205866	Zotepine in oral dosage form
^ESCT1205867	Product containing zotepine in oral dosage form
^ESCT1206058	Quetiapine in oral dosage form
^ESCT1206059	Product containing quetiapine in oral dosage form
^ESCT1206066	Prochlorperazine in oromucosal dosage form
^ESCT1206067	Product containing prochlorperazine in oromucosal dosage form
^ESCT1206155	Amisulpride in oral dosage form
^ESCT1206156	Product containing amisulpride in oral dosage form
^ESCT1206207	Amitriptyline and perphenazine in oral dosage form
^ESCT1206208	Product containing amitriptyline and perphenazine in oral dosage form
^ESCT1206508	Benperidol in oral dosage form
^ESCT1206509	Product containing benperidol in oral dosage form
^ESCT1206929	Pimozide in oral dosage form
^ESCT1206930	Product containing pimozide in oral dosage form
^ESCT1207214	Fluphenazine and nortriptyline in oral dosage form
^ESCT1207215	Product containing fluphenazine and nortriptyline in oral dosage form
^ESCT1208567	Risperidone 12.5mg powder for suspension for injection
^ESCT1208568	Risperidone 25mg powder for suspension for injection
^ESCT1208569	Risperidone 37.5mg powder for suspension for injection
^ESCT1208570	Risperidone 50mg powder for suspension for injection
^ESCT1208673	Trifluoperazine (as trifluoperazine hydrochloride) 200 microgram/mL oral solution
^ESCT1208674	Product containing precisely trifluoperazine (as trifluoperazine hydrochloride) 200 microgram/1 milliliter conventional release oral solution
^ESCT1208748	Prochlorperazine mesylate 1 mg/mL oral solution
^ESCT1208749	Product containing precisely prochlorperazine mesylate 1 milligram/1 milliliter conventional release oral solution
^ESCT1208750	Promazine hydrochloride 5 mg/mL oral solution
^ESCT1208751	Product containing precisely promazine hydrochloride 5 milligram/1 milliliter conventional release oral solution
^ESCT1208752	Promazine hydrochloride 10 mg/mL oral solution
^ESCT1208753	Product containing precisely promazine hydrochloride 10 milligram/1 milliliter conventional release oral solution
^ESCT1208785	Sulpiride in oral dosage form
^ESCT1208786	Product containing sulpiride in oral dosage form
^ESCT1209149	Chlorpromazine hydrochloride 50 mg/2 mL solution for injection ampoule
^ESCT1209150	Chlorpromazine hydrochloride 50 mg/2 mL solution for injection ampule
^ESCT1209151	Product containing precisely chlorpromazine hydrochloride 50 milligram/2 milliliter conventional release solution for injection ampule
^ESCT1209420	Flupentixol decanoate 100 mg/mL solution for injection ampoule
^ESCT1209421	Flupentixol decanoate 100 mg/mL solution for injection ampule
^ESCT1209422	Product containing precisely flupentixol decanoate 100 milligram/1 milliliter conventional release solution for injection ampule
^ESCT1209423	Flupentixol decanoate 50 mg/0.5 mL solution for injection ampoule
^ESCT1209424	Product containing precisely flupentixol decanoate 50 milligram/0.5 milliliter conventional release solution for injection ampule
^ESCT1209425	Flupentixol decanoate 50 mg/0.5 mL solution for injection ampule
^ESCT1209426	Flupentixol decanoate 200 mg/mL solution for injection ampoule
^ESCT1209427	Flupentixol decanoate 200 mg/mL solution for injection ampule
^ESCT1209428	Product containing precisely flupentixol decanoate 200 milligram/1 milliliter conventional release solution for injection ampule
^ESCT1209429	Flupentixol decanoate 20 mg/mL solution for injection ampoule
^ESCT1209430	Flupentixol decanoate 20 mg/mL solution for injection ampule
^ESCT1209431	Product containing precisely flupentixol decanoate 20 milligram/1 milliliter conventional release solution for injection ampule
^ESCT1209432	Flupentixol decanoate 40 mg/2 mL solution for injection ampoule
^ESCT1209433	Flupentixol decanoate 40 mg/2 mL solution for injection ampule
^ESCT1209434	Product containing precisely flupentixol decanoate 40 milligram/2 milliliter conventional release solution for injection ampule
^ESCT1209435	Fluphenazine decanoate 50 mg/0.5 mL solution for injection ampoule
^ESCT1209436	Product containing precisely fluphenazine decanoate 50 milligram/0.5 milliliter conventional release solution for injection ampule
^ESCT1209437	Fluphenazine decanoate 50 mg/0.5 mL solution for injection ampule
^ESCT1209438	Fluphenazine decanoate 100 mg/mL solution for injection ampoule
^ESCT1209439	Product containing precisely fluphenazine decanoate 100 milligram/1 milliliter conventional release solution for injection ampule
^ESCT1209440	Fluphenazine decanoate 100 mg/mL solution for injection ampule
^ESCT1209441	Fluphenazine decanoate 12.5 mg/0.5 mL solution for injection ampoule
^ESCT1209442	Product containing precisely fluphenazine decanoate 12.5 milligram/0.5 milliliter conventional release solution for injection ampule
^ESCT1209443	Fluphenazine decanoate 12.5 mg/0.5 mL solution for injection ampule
^ESCT1209444	Fluphenazine decanoate 250 mg/10 mL solution for injection vial
^ESCT1209445	Product containing precisely fluphenazine decanoate 250 milligram/10 milliliter conventional release solution for injection vial
^ESCT1209446	Fluphenazine decanoate 25 mg/mL solution for injection ampoule
^ESCT1209447	Product containing precisely fluphenazine decanoate 25 milligram/1 milliliter conventional release solution for injection ampule
^ESCT1209448	Fluphenazine decanoate 25 mg/mL solution for injection ampule
^ESCT1209449	Fluphenazine decanoate 25 mg/mL solution for injection syringe
^ESCT1209450	Product containing precisely fluphenazine decanoate 25 milligram/1 milliliter conventional release solution for injection syringe
^ESCT1209451	Fluphenazine decanoate 50 mg/2 mL solution for injection ampoule
^ESCT1209452	Fluphenazine decanoate 50 mg/2 mL solution for injection ampule
^ESCT1209453	Product containing precisely fluphenazine decanoate 50 milligram/2 milliliter conventional release solution for injection ampule
^ESCT1209454	Fluphenazine decanoate 50 mg/2 mL solution for injection syringe
^ESCT1209455	Product containing precisely fluphenazine decanoate 50 milligram/2 milliliter conventional release solution for injection syringe
^ESCT1209515	Haloperidol (as haloperidol decanoate) 100 mg/mL oil for injection ampoule
^ESCT1209516	Product containing precisely haloperidol (as haloperidol decanoate) 100 milligram/1 milliliter prolonged-release oil for injection ampule
^ESCT1209517	Haloperidol (as haloperidol decanoate) 100 mg/mL oil for injection ampule
^ESCT1209518	Haloperidol 20 mg/2 mL solution for injection ampoule
^ESCT1209519	Product containing precisely haloperidol 20 milligram/2 milliliter conventional release solution for injection ampule
^ESCT1209520	Haloperidol 20 mg/2 mL solution for injection ampule
^ESCT1210001	Pipotiazine palmitate 50 mg/mL solution for injection ampoule
^ESCT1210002	Product containing precisely pipotiazine palmitate 50 milligram/1 milliliter conventional release solution for injection ampule
^ESCT1210003	Pipothiazine palmitate 50 mg/mL solution for injection ampule
^ESCT1210004	Pipotiazine palmitate 100 mg/2 mL solution for injection ampoule
^ESCT1210005	Product containing precisely pipotiazine palmitate 100 milligram/2 milliliter conventional release solution for injection ampule
^ESCT1210006	Pipothiazine palmitate 100 mg/2 mL solution for injection ampule
^ESCT1210045	Prochlorperazine mesylate 12.5 mg/mL solution for injection ampoule
^ESCT1210046	Product containing precisely prochlorperazine mesylate 12.5 milligram/1 milliliter conventional release solution for injection ampule
^ESCT1210047	Prochlorperazine mesylate 12.5 mg/mL solution for injection ampule
^ESCT1210237	Zuclopenthixol acetate 50 mg/mL solution for injection ampoule
^ESCT1210238	Product containing precisely zuclopenthixol acetate 50 milligram/1 milliliter conventional release solution for injection ampule
^ESCT1210239	Zuclopenthixol acetate 50 mg/mL solution for injection ampule
^ESCT1210240	Zuclopenthixol acetate 100 mg/2 mL solution for injection ampoule
^ESCT1210241	Product containing precisely zuclopenthixol acetate 100 milligram/2 milliliter conventional release solution for injection ampule
^ESCT1210242	Zuclopenthixol acetate 100 mg/2 mL solution for injection ampule
^ESCT1210243	Zuclopenthixol decanoate 200 mg/mL solution for injection ampoule
^ESCT1210244	Product containing precisely zuclopenthixol decanoate 200 milligram/1 milliliter conventional release solution for injection ampule
^ESCT1210245	Zuclopenthixol decanoate 200 mg/mL solution for injection ampule
^ESCT1210246	Zuclopenthixol decanoate 500 mg/mL solution for injection ampoule
^ESCT1210247	Product containing precisely zuclopenthixol decanoate 500 milligram/1 milliliter conventional release solution for injection ampule
^ESCT1210248	Zuclopenthixol decanoate 500 mg/mL solution for injection ampule
^ESCT1210299	Chlorpromazine hydrochloride 25 mg/mL solution for injection ampoule
^ESCT1210300	Product containing precisely chlorpromazine hydrochloride 25 milligram/1 milliliter conventional release solution for injection ampule
^ESCT1210301	Chlorpromazine hydrochloride 25 mg/mL solution for injection ampule
^ESCT1210353	Haloperidol (as haloperidol decanoate) 50 mg/mL oil for injection ampoule
^ESCT1210354	Product containing precisely haloperidol (as haloperidol decanoate) 50 milligram/1 milliliter prolonged-release oil for injection ampule
^ESCT1210355	Haloperidol (as haloperidol decanoate) 50 mg/mL oil for injection ampule
^ESCT1210356	Haloperidol 5 mg/mL solution for injection ampoule
^ESCT1210357	Haloperidol 5 mg/mL solution for injection ampule
^ESCT1210358	Product containing precisely haloperidol 5 milligram/1 milliliter conventional release solution for injection ampule
^ESCT1210382	Levomepromazine hydrochloride 25 mg/mL solution for injection ampoule
^ESCT1210383	Methotrimeprazine hydrochloride 25 mg/mL solution for injection ampule
^ESCT1210384	Product containing precisely levomepromazine hydrochloride 25 milligram/1 milliliter conventional release solution for injection ampule
^ESCT1214685	Amisulpride 100mg/ml oral solution sugar free
^ESCT1214960	Sulpiride 200mg/5ml oral solution sugar free
^ESCT1214962	Promazine 25mg/5ml oral solution
^ESCT1215261	Pipotiazine 100mg/2ml solution for injection ampoules
^ESCT1215263	Pipotiazine 50mg/1ml solution for injection ampoules
^ESCT1215373	Pericyazine 10mg/5ml oral solution
^ESCT1215628	Haloperidol 20mg/2ml solution for injection ampoules
^ESCT1215629	Haloperidol 5mg/1ml solution for injection ampoules
^ESCT1215630	Haloperidol decanoate 100mg/1ml solution for injection ampoules
^ESCT1215631	Haloperidol decanoate 50mg/1ml solution for injection ampoules
^ESCT1215674	Flupentixol 50mg/0.5ml solution for injection ampoules
^ESCT1215675	Fluphenazine decanoate 100mg/1ml solution for injection ampoules
^ESCT1215676	Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules
^ESCT1215677	Fluphenazine decanoate 250mg/10ml solution for injection vials
^ESCT1215678	Fluphenazine decanoate 25mg/1ml solution for injection ampoules
^ESCT1215679	Fluphenazine decanoate 25mg/1ml solution for injection pre-filled syringes
^ESCT1215680	Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules
^ESCT1215681	Fluphenazine decanoate 50mg/2ml solution for injection ampoules
^ESCT1215682	Fluphenazine decanoate 50mg/2ml solution for injection pre-filled syringes
^ESCT1215778	Flupentixol 100mg/1ml solution for injection ampoules
^ESCT1215779	Flupentixol 200mg/1ml solution for injection ampoules
^ESCT1215780	Flupentixol 20mg/1ml solution for injection ampoules
^ESCT1215781	Flupentixol 40mg/2ml solution for injection ampoules
^ESCT1216078	Chlorpromazine 25mg/5ml oral solution
^ESCT1216079	Chlorpromazine 50mg/2ml solution for injection ampoules
^ESCT1216102	Trifluoperazine 10mg modified-release capsules
^ESCT1216103	Trifluoperazine 15mg modified-release capsules
^ESCT1216104	Trifluoperazine 1mg/5ml oral solution sugar free
^ESCT1216105	Trifluoperazine 2mg modified-release capsules
^ESCT1216140	Zuclopenthixol acetate 100mg/2ml solution for injection ampoules
^ESCT1216141	Zuclopenthixol acetate 50mg/1ml solution for injection ampoules
^ESCT1216142	Zuclopenthixol decanoate 200mg/1ml solution for injection ampoules
^ESCT1216143	Zuclopenthixol decanoate 500mg/1ml solution for injection ampoules
^ESCT1216631	Trifluperidol
^ESCT1216632	Product containing trifluperidol
^ESCT1216633	Trifluperidol product
^ESCT1216896	Haloperidol
^ESCT1216897	Haloperidol product
^ESCT1217557	Droperidol
^ESCT1217558	Droperidol product
^ESCT1217851	Thioridazine
^ESCT1217852	Thioridazine product
^ESCT1218188	Perphenazine
^ESCT1218189	Perphenazine product
^ESCT1218202	Fluphenazine
^ESCT1218203	Fluphenazine product
^ESCT1218337	Promazine
^ESCT1218338	Promazine product
^ESCT1218441	Chlorpromazine
^ESCT1218442	Chlorpromazine product
^ESCT1218882	Chlorprothixene
^ESCT1218883	Product containing chlorprothixene
^ESCT1218884	Chlorprothixene product
^ESCT1218986	Loxapine
^ESCT1218987	Loxapine product
^ESCT1219540	Trifluoperazine
^ESCT1219541	Trifluoperazine product
^ESCT1219878	Prochlorperazine
^ESCT1219879	Prochlorperazine product
^ESCT1220628	Flupentixol
^ESCT1220629	Flupentixol product
^ESCT1220630	Clozapine
^ESCT1220631	Clozapine product
^ESCT1220798	Risperidone
^ESCT1220799	Risperidone product
^ESCT1220836	Pimozide
^ESCT1220837	Pimozide product
^ESCT1220838	Olanzapine
^ESCT1220839	Olanzapine product
^ESCT1220840	Quetiapine
^ESCT1220841	Quetiapine product
^ESCT1221940	Product containing precisely amisulpride 400 milligram/1 each conventional release oral tablet
^ESCT1223389	Product containing precisely chlorpromazine hydrochloride 10 milligram/1 each conventional release oral tablet
^ESCT1223390	Product containing precisely chlorpromazine hydrochloride 25 milligram/1 each conventional release oral tablet
^ESCT1223391	Product containing precisely chlorpromazine hydrochloride 50 milligram/1 each conventional release oral tablet
^ESCT1223392	Product containing precisely chlorpromazine hydrochloride 100 milligram/1 each conventional release oral tablet
^ESCT1223393	Product containing precisely chlorpromazine (as chlorpromazine hydrochloride) 100 milligram/1 each conventional release rectal suppository
^ESCT1223394	Chlorpromazine (as chlorpromazine hydrochloride) 100 mg rectal suppository
^ESCT1223395	Benperidol
^ESCT1223396	Benperidol product
^ESCT1223397	Benperidol 250 microgram oral tablet
^ESCT1223398	Product containing precisely benperidol 250 microgram/1 each conventional release oral tablet
^ESCT1223399	Product containing precisely flupentixol 3 milligram/1 each conventional release oral tablet
^ESCT1223400	Flupentixol 3 mg oral tablet
^ESCT1223401	Product containing precisely fluphenazine hydrochloride 1 milligram/1 each conventional release oral tablet
^ESCT1223402	Product containing precisely fluphenazine hydrochloride 2.5 milligram/1 each conventional release oral tablet
^ESCT1223403	Product containing precisely fluphenazine hydrochloride 5 milligram/1 each conventional release oral tablet
^ESCT1223404	Product containing precisely haloperidol 1.5 milligram/1 each conventional release oral tablet
^ESCT1223405	Product containing precisely haloperidol 5 milligram/1 each conventional release oral tablet
^ESCT1223406	Product containing precisely haloperidol 10 milligram/1 each conventional release oral tablet
^ESCT1223407	Product containing precisely haloperidol 20 milligram/1 each conventional release oral tablet
^ESCT1223408	Product containing precisely haloperidol 2 milligram/1 milliliter conventional release oral solution
^ESCT1223409	Haloperidol 2 mg/mL oral solution
^ESCT1223410	Product containing precisely haloperidol 500 microgram/1 each conventional release oral capsule
^ESCT1223411	Haloperidol 500 microgram oral capsule
^ESCT1223412	Haloperidol 1 mg/mL oral solution
^ESCT1223413	Product containing precisely haloperidol 1 milligram/1 milliliter conventional release oral solution
^ESCT1223414	Haloperidol 500 microgram oral tablet
^ESCT1223415	Product containing precisely haloperidol 500 microgram/1 each conventional release oral tablet
^ESCT1223416	Product containing precisely levomepromazine maleate 25 milligram/1 each conventional release oral tablet
^ESCT1223417	Oxypertine 10 mg oral capsule
^ESCT1223418	Product containing precisely oxypertine 10 milligram/1 each conventional release oral capsule
^ESCT1223419	Product containing precisely oxypertine 40 milligram/1 each conventional release oral tablet
^ESCT1223422	Product containing precisely periciazine 2.5 milligram/1 each conventional release oral tablet
^ESCT1223423	Product containing precisely periciazine 10 milligram/1 each conventional release oral tablet
^ESCT1223424	Product containing precisely perphenazine 2 milligram/1 each conventional release oral tablet
^ESCT1223425	Product containing precisely perphenazine 4 milligram/1 each conventional release oral tablet
^ESCT1223426	Product containing precisely pimozide 2 milligram/1 each conventional release oral tablet
^ESCT1223427	Product containing precisely pimozide 4 milligram/1 each conventional release oral tablet
^ESCT1223428	Product containing precisely promazine hydrochloride 25 milligram/1 each conventional release oral tablet
^ESCT1223429	Product containing precisely promazine hydrochloride 50 milligram/1 each conventional release oral tablet
^ESCT1223430	Sulpiride
^ESCT1223431	Sulpiride product
^ESCT1223432	Product containing precisely sulpiride 400 milligram/1 each conventional release oral tablet
^ESCT1223433	Product containing precisely sulpiride 200 milligram/1 each conventional release oral tablet
^ESCT1223434	Product containing precisely thioridazine hydrochloride 10 milligram/1 each conventional release oral tablet
^ESCT1223435	Product containing precisely thioridazine hydrochloride 25 milligram/1 each conventional release oral tablet
^ESCT1223436	Product containing precisely thioridazine hydrochloride 50 milligram/1 each conventional release oral tablet
