dnh..	Valproic acid
dn3f.	Arbil MR 400mg m/r tablet
dn3K.	Carbagen SR 400mg m/r tablet
dn3I.	Teril Retard 400mg m/r tablet
dn3G.	Timonil Retard 400mg m/r tablet
dn39.	Tegretol Retard 400mg m/r tablet
dn3a.	Carbamazepine 200mg m/r tablet
dn3e.	Arbil MR 200mg m/r tablet
dn3J.	Carbagen SR 200mg m/r tablet
dn3H.	Teril Retard 200mg m/r tablet
dn3F.	Timonil Retard 200mg m/r tablet
dn38.	Tegretol Retard 200mg m/r tablet
dn33.	Carbamazepine 400mg tablet
dn3C.	Epimaz 400mg tablet
dn36.	Tegretol 400mg tablet
dn32.	Carbamazepine 200mg tablet
dn3B.	Epimaz 200mg tablet
dn35.	Tegretol 200mg tablet
dn31.	Carbamazepine 100mg tablet
dn3A.	Epimaz 100mg tablet
dn34.	Tegretol 100mg tablet
dnf..	Lamotrigine
dnfz.	Lamotrigine 2mg dispersible tablet
dnfJ.	Lamictal 2mg dispersible tablet
dnfE.	Lamotrigine 200mg tablet
dnfD.	Lamictal 200mg tablet
dnfC.	Lamotrigine 100mg dispersible tablet
dnf9.	Lamictal 100mg dispersible tablet
dnfB.	Lamotrigine 25mg dispersible tablet
dnf8.	Lamictal 25mg dispersible tablet
dnfA.	Lamotrigine 5mg dispersible tablet
dnf7.	Lamictal 5mg dispersible tablet
dnf5.	Lamotrigine 25mg tablet
dnfG.	Lamictal Valproate Add-On 25mg starter pack
dnfF.	Lamictal Monotherapy 25mg starter pack
dnf6.	Lamictal 25mg tablet
dnf2.	Lamotrigine 100mg tablet
dnf4.	Lamictal 100mg tablet
dnf1.	Lamotrigine 50mg tablet
dnfH.	Lamictal Non-Valproate Add-On 50mg starter pack
dnf3.	Lamictal 50mg tablet
x02bU	Epimaz
x041D	Epilim Intravenous
x02bS	Epilim
x05gO	Epival CR
x041C	Epilim Chrono 500
x041B	Epilim Chrono 300
x041A	Epilim Chrono 200
x02bT	Epilim Chrono
x02gs	Lamictal Valproate Add-on
x02gr	Lamictal Non-Valproate Add-on
x02gq	Lamictal Monotherapy
x02gp	Lamictal
x02sH	Tegretol Retard
x02sG	Tegretol
X7957	Carbamazepine - chemical
XaD4O	Valproic acid and derivatives
x05E8	Depakote
x02Xy	Convulex
x02mA	Orlept
x05cb	Arbil MR
x05CD	Carbagen SR
x04tE	Teril Retard
x04Ox	Timonil Retard
