dnh..00	VALPROIC ACID
dnbH.00	EPISENTA 500mg/sachet m/r granules
dnbG.00	EPISENTA 300mg m/r capsules
dnbF.00	EPISENTA 150mg m/r capsules
dnbD.00	EPISENTA 300mg/3mL solution for injection
dnbC.00	EPIVAL CR 500mg m/r tablets
dnbB.00	EPIVAL CR 300mg m/r tablets
dnbA.00	ORLEPT 200mg/5mL sugar free liquid
dnb9.00	ORLEPT STARTER PACK 200mg e/c tablets x10
dnb6.00	EPILIM IV 400mg/4mL injection
dnb5.00	EPILIM 200mg/5mL syrup
dnb4.00	EPILIM 200mg/5mL sugar free liquid
dnb3.00	EPILIM 500mg e/c tablets
dnb2.00	EPILIM 200mg e/c tablets
dnb1.00	EPILIM 100mg crushable tablets
dnf..00	LAMOTRIGINE
dnfz.00	LAMOTRIGINE 2mg dispersible tablets
dnfE.00	LAMOTRIGINE 200mg tablets
dnfC.00	LAMOTRIGINE 100mg dispersible tablets
dnfB.00	LAMOTRIGINE 25mg dispersible tablets
dnfA.00	LAMOTRIGINE 5mg dispersible tablets
dnf5.00	LAMOTRIGINE 25mg tablets
dnf2.00	LAMOTRIGINE 100mg tablets
dnf1.00	LAMOTRIGINE 50mg tablets
dnfJ.00	LAMICTAL 2mg dispersible tablets
dnfH.00	LAMICTAL NON-VALPROATE ADD-ON 50mg starter pack
dnfG.00	LAMICTAL VALPROATE ADD-ON 25mg starter pack
dnfF.00	LAMICTAL MONOTHERAPY 25mg starter pack
dnfD.00	LAMICTAL 200mg tablets
dnf9.00	LAMICTAL 100mg dispersible tablets
dnf8.00	LAMICTAL 25mg dispersible tablets
dnf7.00	LAMICTAL 5mg dispersible tablets
dnf6.00	LAMICTAL 25mg tablets
dnf4.00	LAMICTAL 100mg tablets
dnf3.00	LAMICTAL 50mg tablets
dn3..00	CARBAMAZEPINE
dn3z.00	CARBAMAZEPINE 100mg/5mL sugar free liquid
dn3y.00	CARBAMAZEPINE 100mg chewable tablets
dn3x.00	CARBAMAZEPINE 200mg chewable tablets
dn3w.00	CARBAMAZEPINE 250mg suppositories
dn3v.00	CARBAMAZEPINE 125mg suppositories
dn3b.00	CARBAMAZEPINE 400mg m/r tabs
dn3a.00	CARBAMAZEPINE 200mg m/r tabs
dn33.00	CARBAMAZEPINE 400mg tablets
dn32.00	CARBAMAZEPINE 200mg tablets
dn31.00	CARBAMAZEPINE 100mg tablets
dn3f.00	*ARBIL MR 400mg m/r tablets
dn3e.00	*ARBIL MR 200mg m/r tablets
dn3d.00	TEGRETOL 200mg chewable tablets
dn3c.00	TEGRETOL 100mg chewable tablets
dn3K.00	CARBAGEN SR 400mg m/r tablets
dn3J.00	CARBAGEN SR 200mg m/r tablets
dn3I.00	*TERIL CR 400mg m/r tablets
dn3I.11	TERIL RETARD 400mg m/r tablets
dn3H.00	*TERIL CR 200mg m/r tablets
dn3H.11	TERIL RETARD 200mg m/r tablets
dn3G.00	TIMONIL RETARD 400mg m/r tablets
dn3F.00	TIMONIL RETARD 200mg m/r tablets
dn3E.00	TEGRETOL 250mg suppositories
dn3D.00	TEGRETOL 125mg suppositories
dn3C.00	*EPIMAZ 400mg tablets
dn3B.00	*EPIMAZ 200mg tablets
dn3A.00	*EPIMAZ 100mg tablets
dn39.00	TEGRETOL RETARD 400mg m/r tabs
dn38.00	TEGRETOL RETARD 200mg m/r tabs
dn37.00	TEGRETOL 100mg/5mL sugar free liquid
dn36.00	TEGRETOL 400mg tablets
dn35.00	TEGRETOL 200mg tablets
dn34.00	TEGRETOL 100mg tablets
