ff11.	ETHINYLESTRADIOL 10micrograms tablets
ff44.	PREMARIN 300micrograms tablets
ff4w.	CONJUGATED OESTROGENS 300micrograms tablets
ff4x.	CONJ OESTROGENS 625microgram tablets
ff4y.	CONJ OESTROGENS 1.25mg tablets
ff4z.	CONJUGATED OESTROGENS 2.5mg tablets
ff51.	*HARMOGEN 1.5mg tablets
ff81.	TIBOLONE 2.5mg tablets
ff83.	LIVIAL 2.5mg tablets x84
ff91.	SANDRENA 1mg gel
ff92.	ELLESTE-SOLO MX 80 patches
ff93.	FEMSEVEN 75 patches
ff94.	FEMSEVEN 100 patches
ff95.	ESTRADIOL 0.06% gel
ff97.	ESTRADERM MX 75 patches
ff98.	*ADGYN ESTRO 2mg tablets
ff9A.	DERMESTRIL-SEPTEM 50micrograms patches
ff9B.	DERMESTRIL-SEPTEM 75micrograms patches
ff9C.	AERODIOL 150micrograms nasal spray
ff9E.	*FEMTAB 1mg tablets
ff9F.	*FEMTAB 2mg tablets
ff9G.	ESTRADOT 25micrograms patches
ff9H.	ESTRADOT 37.5micrograms patches
ff9I.	ESTRADOT 50micrograms patches
ff9J.	ESTRADOT 75micrograms patches
ff9K.	ESTRADOT 100micrograms patches
ff9L.	BEDOL 2mg tablets
ff9z.	ESTRADIOL HEMIHYDRATE 150micrograms nasal spray
fg21.	*DUPHASTON 10mg tablets
fg22.	*DUPHASTON-HRT 10mg tablets
fg2z.	*DYDROGESTERONE 10mg tablets
fg31.	PROLUTON DEPOT 250mg/1mL injection
fg3y.	HYDROXYPROGESTERONE CAPROATE 250mg/1mL injection
fg44.	PROVERA 5mg tablets
fg47.	PROVERA 2.5mg tablets
fg48.	MEDROXYPROGESTERONE 2.5mg tablets
fg4A.	*ADGYN MEDRO 5mg tablets
fg4z.	MEDROXYPROGESTERONE 5mg tablets
fg53.	UTOVLAN 5mg tablets
fg56.	*MICRONOR.HRT 1mg tablets
fg61.	CYCLOGEST 200mg suppositories
fg64.	*GESTONE 25mg/1mL injection
fg65.	GESTONE 50mg/1mL injection
fg66.	GESTONE 100mg/2mL injection
fg67.	PROGESTERONE 100mg/2mL injection
fg68.	*PROGESTERONE 4% vaginal gel
fg69.	PROGESTERONE 8% vaginal gel
fg6A.	*CRINONE 4% vaginal gel
fg6B.	CRINONE 8% vaginal gel
fg6C.	UTROGESTAN 100mg capsules
fg6D.	*UTROGESTAN 200mg capsules
fg6E.	UTROGESTAN 200mg vaginal capsules+applicators
fg6F.	LUBION 25mg/1.119mL solution for injection
fg6G.	LUTIGEST 100mg vaginal tablets+applicator
fg6p.	PROGESTERONE 100mg vaginal tablets+applicator
fg6q.	PROGESTERONE 25mg/1.119mL solution for injection
fg6r.	PROGESTERONE MICRONISED 200mg vaginal capsules+applicators
fg6s.	PROGESTERONE MICRONISED 200mg capsules
fg6t.	PROGESTERONE MICRONISED 100mg capsules
fg6u.	PROGESTERONE 200mg suppositories
fg6v.	PROGESTERONE 400mg suppositories
fg6x.	PROGESTERONE 25mg/1mL injection
fg6y.	PROGESTERONE 50mg/1mL injection
fh11.	*CYCLO-PROGYNOVA 1mg tablets
fh18.	PREMPAK-C 1.25 tablets x1 month
fh19.	TRISEQUENS tablets
fh1A.	*NUVELLE TS patches
fh1B.	KLIOFEM tablets
fh1c.	*TRISEQUENS FORTE tablets
fh1C.	ESTRADIOL+NORETHISTERONE ACETATE 2mg/1mg tablets
fh1d.	*NUVELLE tablets
fh1D.	*FEMOSTON-2/20 tablets
fh1F.	TRIDESTRA tablets
fh1G.	FEMOSTON-1/10 tablets
fh1h.	CLIMAGEST 1mg tablets
fh1H.	ELLESTE-DUET 2mg tablets
fh1I.	NOVOFEM tablets
fh1j.	CLIMAGEST 2mg tablets
fh1k.	PREMIQUE 0.625mg/5mg tablets
fh1K.	ESTRADIOL VALERATE+NORETHISTERONE 2mg/0.7mg tablets
fh1L.	CLIMESSE tablets
fh1m.	*FEMAPAK 80 patches+tablets
fh1M.	ELLESTE-DUET 1mg tablets
fh1n.	*FEMAPAK 40 patches+tablets
fh1o.	*ADGYN COMBI 2mg tablets
fh1p.	FEMSEVEN CONTI patches
fh1Q.	ELLESTE DUET CONTI tablets
fh1R.	ESTRADIOL+NORETHISTERONE ACETATE 1mg/0.5mg tablets
fh1s.	*FEMTAB SEQUI tablets
fh1S.	KLIOVANCE 1mg/0.5mg tablets
fh1t.	*FEMTAB CONTINUOUS tablets
fh1T.	NUVELLE CONTINUOUS tablets
fh1U.	FEMOSTON-CONTI tablets
fh1v.	PREMIQUE LOW DOSE 0.3mg/1.5mg tablets
fh1V.	INDIVINA 1mg/2.5mg tablets
fh1W.	INDIVINA 1mg/5mg tablets
fh1x.	DROSPIRENONE 2mg / ESTRADIOL 1mg tablets
fh1X.	INDIVINA 2mg/5mg tablets
fh1y.	ANGELIQ 2mg/1mg tablets
fh1Y.	FEMSEVEN SEQUI patches
fh1z.	CLINORETTE tablets
fh1Z.	FEMOSTON-CONTI 0.5mg/2.5mg tablets
fv11.	RALOXIFENE HYDROCHLORIDE 60mg tablets
fv12.	EVISTA 60mg tablets
ga9y.	ULIPRISTAL ACETATE 5mg tablets
