a84..00	OPIUM AND MORPHINE
djzJ.00	*M-ESLON 60mg m/r capsules
djzI.00	*M-ESLON 30mg m/r capsules
djzH.00	*M-ESLON 10mg m/r capsules
djzG.11	MORPHINE SULPHATE 100mg m/r capsules
djzG.00	MORPHINE SULFATE 100mg m/r capsules
djzF.11	MORPHINE SULPHATE 60mg m/r capsules
djzF.00	MORPHINE SULFATE 60mg m/r capsules
djzE.11	MORPHINE SULPHATE 30mg m/r capsules
djzE.00	MORPHINE SULFATE 30mg m/r capsules
djzD.11	MORPHINE SULPHATE 10mg m/r capsules
djzD.00	MORPHINE SULFATE 10mg m/r capsules
djzC.11	MORPHINE SULPHATE 200mg/sachet m/r granules
djzC.00	MORPHINE SULFATE 200mg/sachet m/r granules
djzB.11	MORPHINE SULPHATE 100mg/sachet m/r granules
djzB.00	MORPHINE SULFATE 100mg/sachet m/r granules
djzA.11	MORPHINE SULPHATE 60mg/sachet m/r granules
djzA.00	MORPHINE SULFATE 60mg/sachet m/r granules
djz9.11	MORPHINE SULPHATE 200mg m/r tablets
djz9.00	MORPHINE SULFATE 200mg m/r tablets
djz8.11	MORPHINE SULPHATE 100mg m/r tablets
djz8.00	MORPHINE SULFATE 100mg m/r tablets
djz7.11	MORPHINE SULPHATE 60mg m/r tablets
djz7.00	MORPHINE SULFATE 60mg m/r tablets
djz6.11	MORPHINE SULPHATE 30mg m/r tablets
djz6.00	MORPHINE SULFATE 30mg m/r tablets
djz5.11	MORPHINE SULPHATE 15mg m/r tablets
djz5.00	MORPHINE SULFATE 15mg m/r tablets
djz4.11	MORPHINE SULPHATE 10mg m/r tablets
djz4.00	MORPHINE SULFATE 10mg m/r tablets
djz3.11	MORPHINE SULPHATE 5mg m/r tablets
djz3.00	MORPHINE SULFATE 5mg m/r tablets
djz2.11	MORPHINE SULPHATE 20mg tablets
djz2.00	MORPHINE SULFATE 20mg tablets
djz1.11	MORPHINE SULPHATE 10mg tablets
djz1.00	MORPHINE SULFATE 10mg tablets
o45..00	MORPHINE SALTS [ANAESTHESIA]
o458.00	MORPHINE + ATROPINE 10mg injection
o457.11	MORPHINE SULPHATE 40mg/2mL injection
o457.00	MORPHINE SULFATE 40mg/2mL injection
o456.11	MORPHINE SULPHATE 30mg/2mL injection
o456.00	MORPHINE SULFATE 30mg/2mL injection
o455.11	MORPHINE SULPHATE 20mg/2mL injection
o455.00	MORPHINE SULFATE 20mg/2mL injection
o454.11	MORPHINE SULPHATE 30mg/1mL injection
o454.00	MORPHINE SULFATE 30mg/1mL injection
o453.11	MORPHINE SULPHATE 20mg/1mL injection
o453.00	MORPHINE SULFATE 20mg/1mL injection
o452.11	MORPHINE SULPHATE 15mg injection
o452.00	MORPHINE SULFATE 15mg injection
o451.11	MORPHINE SULPHATE 10mg injection
o451.00	MORPHINE SULFATE 10mg injection
