a84..	Opium and Morphine
djz4.	Morphine sulphate 10mg m/r tablet
djyE.	Rhotard SR 10mg m/r tablet
djyA.	Morphgesic SR 10mg m/r tablet
djy6.	Filnarine SR 10mg m/r tablet
dj1u.	Oramorph SR 10mg m/r tablet
dj1f.	MST Continus 10mg m/r tablet
djz5.	Morphine sulphate 15mg m/r tablet
dj1z.	MST Continus 15mg m/r tablet
djz6.	Morphine sulphate 30mg m/r tablet
djyF.	Rhotard SR 30mg m/r tablet
djyB.	Morphgesic SR 30mg m/r tablet
djy7.	Filnarine SR 30mg m/r tablet
dj1v.	Oramorph SR 30mg m/r tablet
dj1g.	MST Continus 30mg m/r tablet
djz7.	Morphine sulphate 60mg m/r tablet
djyG.	Rhotard SR 60mg m/r tablet
djyC.	Morphgesic SR 60mg m/r tablet
djy8.	Filnarine SR 60mg m/r tablet
dj1w.	Oramorph SR 60mg m/r tablet
dj1h.	MST Continus 60mg m/r tablet
djz8.	Morphine sulphate 100mg m/r tablet
djyH.	Rhotard SR 100mg m/r tablet
djyD.	Morphgesic SR 100mg m/r tablet
djy9.	Filnarine SR 100mg m/r tablet
dj1x.	Oramorph SR 100mg m/r tablet
dj1i.	MST Continus 100mg m/r tablet
djz9.	Morphine sulphate 200mg m/r tablet
dj1t.	MST Continus 200mg m/r tablet
djzA.	Morphine sulphate 60mg/sachet granules for suspension
dj1W.	MST Continus 60mg/sachet granules for suspension
djzB.	Morphine sulphate 100mg/sachet granules for suspension
dj1X.	MST Continus 100mg/sachet granules for suspension
djzC.	Morphine sulphate 200mg/sachet granules for suspension
dj1Y.	MST Continus 200mg/sachet granules for suspension
djzD.	Morphine sulphate 10mg m/r capsule
djzj.	Zomorph 10mg m/r capsule
djzH.	M-Eslon 10mg m/r capsule
djzE.	Morphine sulphate 30mg m/r capsule
djzk.	Zomorph 30mg m/r capsule
djzS.	MXL 30mg m/r capsule
djzI.	M-Eslon 30mg m/r capsule
djzF.	Morphine sulphate 60mg m/r capsule
djzl.	Zomorph 60mg m/r capsule
djzT.	MXL 60mg m/r capsule
djzJ.	M-Eslon 60mg m/r capsule
djzG.	Morphine sulphate 100mg m/r capsule
djzm.	Zomorph 100mg m/r capsule
djzY.	Morcap SR 100mg m/r capsule
djzK.	M-Eslon 100mg m/r capsule
djzL.	Morphine sulphate 50mg tablet
djzM.	Sevredol 50mg tablet
djzO.	Morphine sulphate 90mg m/r capsule
djzU.	MXL 90mg m/r capsule
djzP.	Morphine sulphate 120mg m/r capsule
djzV.	MXL 120mg m/r capsule
djzQ.	Morphine sulphate 150mg m/r capsule
djzW.	MXL 150mg m/r capsule
djzR.	Morphine sulphate 200mg m/r capsule
djzn.	Zomorph 200mg m/r capsule
djzX.	MXL 200mg m/r capsule
djzZ.	Morphine sulphate 20mg m/r capsule
djzb.	Morcap SR 20mg m/r capsule
djza.	Morphine sulphate 50mg m/r capsule
djzc.	Morcap SR 50mg m/r capsule
djzd.	Morphine sulphate 50mg/50mL prefilled syringe
djzo.	Pharma-Ject Morphine sulphate 50mg/50mL prefilled syringe
djzf.	Rapiject Morphine sulphate 50mg/50mL prefilled syringe
djze.	Morphine sulphate 100mg/50mL prefilled syringe
djzp.	Pharma-Ject Morphine sulphate 100mg/50mL prefilled syringe
djzg.	Rapiject Morphine sulphate 100mg/50mL prefilled syringe
djzh.	Morphine sulphate 50mg/50mL injection
djzi.	Morphine sulphate 100mg/50mL injection
djzs.	Morphine sulphate 20mg/mL oral solution
x04wg	Sevredol 20mg/mL concentrated oral solution
djzv.	Sevredol 20mg/mL concentrated oral solution 120mL
djzr.	Sevredol 20mg/mL concentrated oral solution 30mL
djzw.	Morphine sulphate 35mg rectal tampon
djy1.	Moraxen 35mg rectal tampon
djzx.	Morphine sulphate 50mg rectal tampon
djy2.	Moraxen 50mg rectal tampon
djzy.	Morphine sulphate 75mg rectal tampon
djy3.	Moraxen 75mg rectal tampon
djzz.	Morphine sulphate 100mg rectal tampon
djy4.	Moraxen 100mg rectal tampon
o45..	Morphine salts [anaesthesia]
o451.	Morphine sulphate 10mg injection
o452.	Morphine sulphate 15mg injection
o453.	Morphine sulphate 20mg/1mL injection
o454.	Morphine sulphate 30mg/1mL injection
o455.	Morphine sulphate 20mg/2mL injection
o456.	Morphine sulphate 30mg/2mL injection
o457.	Morphine sulphate 40mg/2mL injection
o458.	Morphine sulphate+atropine sulphate 10mg/600micrograms/1mL injection
x0071	Kaolin+morphine
x00fd	Opazimes tablet
x00fC	Enterosan tablet
x00f8	J.Collis Brown's tablet
x007x	Parenteral morphine
x02Lg	Morphine sulphate 60mg/2mL injection
x02Ld	Morphine sulphate 20mg/2mL prefilled syringe
x02La	Morphine sulphate 15mg/1mL injection
x02LZ	Morphine sulphate 10mg/1mL injection
dj1k.	Nepenthe 4.2mg/0.5mL injection
dj1e.	Duromorph 64mg/1mL m/r injection
x007y	Morphine sulphate+atropine sulphate
x007z	Rectal morphine
x0080	Morphine tablets
x0081	Morphine tartrate+cyclizine
x025l	Cyclimorph 15 injection
dj1d.	Cyclimorph-15 injection 1mL
x025k	Cyclimorph 10 injection
dj1c.	Cyclimorph-10 injection 1mL
x008X	Oral morphine solution
x00Xt	Morphine hydrochloride 10mg/mL oral solution
dj1j.	Nepenthe 8.4mg/mL elixir
dj1b.	Opium 10mg/mL tincture
x01Ki	Oral morphine
x02QA	Morphine capsules
x01Kj	Morphine oral granules
x02LY	Morphine
x02jI	Min-I-Jet Morphine sulphate
x03xo	Rapiject Morphine sulphate
x04pg	Pharma-Ject Morphine sulphate
x03za	Cyclimorph 10
x03zb	Cyclimorph 15
x02k0	MST
x043W	MST Continus
x02m3	Oramorph
x02m4	Oramorph SR
x02qt	Sevredol
x03eL	MXL
x03iE	Morcap SR
x03qV	Zomorph
x05eK	Filnarine SR
x05mZ	Morphgesic SR
x05ma	Rhotard SR
a841.	Aromatic chalk + opium mixture
