^ESCT1165695	Acute phlegmonous appendicitis
^ESCTCE417013	Cellulitis of tongue
^ESCTCE417014	Cellulitis of sublingual space
^ESCTCE419560	Cellulitis of corpus cavernosum
^ESCTCE440661	Cellulitis of head
^ESCTCE503338	Cellulitis of pinna
^ESCTCE572138	Cellulitis of hand excluding finger
^ESCTCE572139	Cellulitis of leg, excluding foot
^ESCTCE572140	Cellulitis of leg, except foot
^ESCTCE572141	Cellulitis of foot excluding toe
^ESCTCE589732	Cellulitis of elbow
^ESCTCE598659	Cellulitis of skin of back
^ESCTCE737395	Cellulitis of lower leg
^ESCTCE737545	Cellulitis of thumb
^ESCTCE799091	Cellulitis of vaginal cuff
^ESCTCE804091	Cellulitis of nasal mucous membrane
^ESCTCH350106	Chronic recurrent streptococcal erysipelas
^ESCTCH479151	Chronic pelvic cellulitis
^ESCTCH782228	Childhood cellulitis of perianal region caused by beta-haemolytic Streptococcus group A
^ESCTCH782229	Childhood cellulitis of perianal region caused by beta-hemolytic Streptococcus group A
^ESCTDE416722	Dentoalveolar cellulitis
^ESCTDI491423	Diffuse cellulitis of face
^ESCTEL350107	Elephantiasis nostras
^ESCTER514757	Erysipelas of face
^ESCTER629756	Erysipelothrix
^ESCTER629757	Erysipelothrix (disease)
^ESCTER629759	Erysipelothrix disease
^ESCTER667211	Erysipelas of lower limb
^ESCTFA514756	Facial erysipelas
^ESCTFE563886	Female pelvic cellulitis
^ESCTGI416721	Gingival cellulitis
^ESCTGR667214	Gram-negative bacterial cellulitis
^ESCTHA667215	Haemophilus cellulitis
^ESCTLO514713	Localised cutaneous erysipeloid
^ESCTLO514714	Localized cutaneous erysipeloid
^ESCTLU478396	Ludwig angina
^ESCTMU515212	Mucormycotic gangrenous cellulitis
^ESCTOR263994	Oral soft tissue cellulitis
^ESCTOR561882	Oral sinus
^ESCTPA322005	Patch of erysipelas
^ESCTPE251401	Perirectal cellulitis
^ESCTPE273499	Penile cellulitis
^ESCTPE416145	Periorbital cellulitis
^ESCTPE782230	Perianal streptococcal cellulitis of childhood
^ESCTPE795479	Perianal streptococcal dermatitis
^ESCTPO321642	Postpartum AND/OR puerperal erysipelas
^ESCTPO477372	Postseptal orbital cellulitis
^ESCTPU269194	Puerperal pelvic cellulitis
^ESCTPU365093	Purulent dermatitis
^ESCTPU365097	Pustuloderma
^ESCTPY365092	Pyodermia
^ESCTPY365096	Pyogenic dermatitis
^ESCTRE387743	Rectal cellulitis
^ESCTRE667210	Recurrent erysipelas
^ESCTSC480570	Scalded skin syndrome
^ESCTSE365095	Septic dermatitis
^ESCTSE512185	Seal finger
^ESCTSS480571	SSSS - Staphylococcal scalded skin syndrome
^ESCTST560781	Streptococcal cellulitis
^ESCTST667221	Streptococcal cellulitis of external ear
^ESCTSU365094	Suppurative dermatitis
^ESCTUR807416	Urethral cellulitis
^ESCTVA799092	Vaginal cuff cellulitis
^ESCTWE512814	Wells' syndrome
^ESCTWO767829	Woody tongue
^ESCTWO767830	Woody tongue of Ludwig's angina
EMISNQAB1	Abscess of antecubital fossa related to intravenous drug use
ESCTPO6	Postoperative wound cellulitis
ESCTRE62	Recurrent cellulitis
ESCTWO9	Wound cellulitis
