14b3.	History of influenza vaccination
9OX51	Seasonal influenza vaccination declined
9OX52	First intranasal influenza vaccination declined
9OX53	Second intranasal influenza vaccination declined
9OX54	First intranasal seasonal influenza vaccination declined
9OX55	First intranasal pandemic influenza vaccination declined
9OX56	Second intranasal seasonal influenza vaccination declined
9OX57	Second intranasal pandemic influenza vaccination declined
9OX6.	Influenza vaccination invitation letter sent
9OX7.	Influenza vaccination telephone invite
9OX70	Influenza vaccination first telephone invitation
9OX71	Influenza vaccination second telephone invitation
9OX72	Influenza vaccination third telephone invitation
9OX8.	Has influenza vaccination at work
9OX9.	Influenza vaccination invitation first letter sent
9OXA.	Influenza vaccination invitation second letter sent
9OXB.	Influenza vaccination invitation third letter sent
9OXC.	Influenza vaccination invitation short message service text message sent
9OXC0	Influenza A virus subtype H1N1 vaccination invitation short message service text message sent
9OXC1	Influenza vaccination invitation first short message service text message sent
9OXC2	Influenza vaccination invitation second short message service text message sent
9OXC3	Influenza vaccination invitation third short message service text message sent
9OXD.	Influenza vaccination verbal invitation
9OXD0	Influenza vaccination first verbal invitation
9OXD1	Influenza vaccination second verbal invitation
9OXD2	Influenza vaccination third verbal invitation
9OXE.	Influenza vaccination invitation email
9OXE0	Influenza vaccination invitation first email
9OXE1	Influenza vaccination invitation second email
9OXE2	Influenza vaccination invitation third email
9OXZ.	Influenza vacc.administrat.NOS
n47..	INFLUENZA VACCINES
n471.	FLUVIRIN prefilled syringe 0.5mL
n472.	INFLUVAC SUB-UNIT prefilled syringe 0.5mL
n473.	INFLUVAC SUB-UNIT prefilled syringe 0.5mL
n474.	*INFLUVAC SUB-UNIT vials 5mL
n475.	*INFLUVAC SUB-UNIT vials 25mL
n476.	MFV-JECT prefilled syringe 0.5mL
n477.	INACTIVATED INFLUENZA VACCINE injection 0.5mL
n478.	INACTIVATED INFLUENZA VACCINE prefilled syringe 0.5mL
n479.	*INFLUENZA VACCINE vials 5mL
n47a.	*INFLUENZA VACCINE vials 25mL
n47A.	PANDEMRIX INFLUENZA A VACCINE (H1N1v) 2009 injection
n47b.	FLUZONE prefilled syringe 0.5mL
n47B.	CELVAPAN INFLUENZA A VACCINE (H1N1v) 2009 injection
n47c.	*FLUZONE vials 5mL
n47C.	PREFLUCEL suspension for injection prefilled syringe 0.5mL
n47d.	FLUARIX VACCINE prefilled syringe
n47D.	*FLUENZ nasal suspension 0.2mL
n47e.	BEGRIVAC VACCINE prefilled syringe 0.5mL
n47E.	INFLUENZA VACCINE (LIVE ATTENUATED) nasal suspension 0.2mL
n47f.	AGRIPPAL VACCINE prefilled syringe 0.5mL
n47F.	OPTAFLU suspension for injection prefilled syringe 0.5mL
n47g.	INACTIVATED INFLUENZA VACCINE (SPLIT VIRION) prefilled syringe 0.5mL
n47G.	INFLUVAC DESU suspension for injection prefill syringe 0.5mL
n47h.	INACTIVATED INFLUENZA VACCINE (SURFACE ANTIGEN SUB-UNIT) prefilled syringe 0.5mL
n47H.	FLUARIX TETRA suspension for injection prefill syringe 0.5mL
n47i.	INFLEXAL BERNA V prefilled syringe 0.5mL
n47I.	FLUENZ TETRA nasal spray suspension 0.2mL
n47j.	MASTAFLU prefilled syringe 0.5mL
n47k.	INFLEXAL V prefilled syringe 0.5mL
n47l.	INVIVAC prefilled syringe 0.5mL
n47m.	ENZIRA prefilled syringe 0.5mL
n47n.	VIROFLU prefilled syringe 0.5mL
n47o.	IMUVAC prefilled syringe 0.5mL
n47p.	INTANZA 15micrograms/strain susp for inj pfs 0.1mL
n47q.	INACT INFLUENZA VACC (SPLIT VIRION) 15mcg/strain pfs 0.1mL
n47r.	CELVAPAN (H1N1) suspension for injection vials 5mL
n47s.	CELVAPAN (H5N1) suspension for injection vials 5mL
n47t.	PANDEMRIX (H5N1) injection vials
n47u.	INTANZA 9micrograms/strain susp for inj pfs 0.1mL
n47v.	INACT INFLUENZA VACC (SPLIT VIRION) 9mcg/strain pfs 0.1mL
n47y.	INACTIVATED INFLUENZA VACCINE (SPLIT VIRION) prefilled syringe 0.25mL
n47z.	INACTIVATED INFLUENZA VACCINE (SURFACE ANTIGEN VIROSOME) prefilled syringe 0.5mL
