ACGE9236HILLI	Actonorm  Gel  
META35924MGEMIS	Mebeverine Hydrochloride  Tablets  135 mg (Ivax Pharmaceuticals)
ISSA12002NEMIS	Ispagel  Sachets (orange)  3.5 grams/sachet
SETA36936MGEMIS	Senna  Tablets  7.5 mg (Unichem)
GLSU35301MGEMIS	Glycerol (Infant)  Suppositories  1 gram (Unichem)
PRRE2331	Predsol  Retention enema  20 mg
ACPO10289HILLI	Actonorm  Powder  
LOTA26214EMIS	Losartan Potassium  Tablets  25 mg
COSU9616BRIDL	Co-Danthramer 25/200  Suspension  Sugar Free
OMCA36306MGEMIS	Omeprazole  Capsules  20 mg (Teva UK)
RATA45008NEMIS	Ranitic  Tablets  150 mg
NICA36245MGEMIS	Nizatidine  Capsules  300 mg (Ivax Pharmaceuticals)
NETA5129NEMIS	Nexium  Tablets  40 mg
SOPO23225EMIS	Sodium Bicarbonate  Powder  bp
ADTA8424EGTON	Adalat Retard 10  Tablets  10 mg
ENTA1063	Enalapril Maleate  Tablets  5 mg
VEM/816NEMIS	Verapress MR  M/R tablets  240 mg
RACA76959NEMIS	Racecadotril  Capsules  100 mg
AUM/127229NEMIS	Aurobeverine Mr  M/R capsules  200 mg
MESU9447EMIS	Mesalazine  Suppositories  500 mg
RATA36867MGEMIS	Ranitidine  Tablets  150 mg (The Boots Company)
RITA52591NEMIS	Rivaroxaban  Tablets  15 mg
LOTA1189NEMIS	Losec Mups  Tablets  10 mg
PIPO4167	Picolax  Oral powder  16.1 gram sachets
OMCA36313MGEMIS	Omeprazole  Capsules  20 mg (Kent Pharm)
CRCA32488EMIS	Creon 10000  Capsules  
MESY1777	Merbentyl  Syrup  10 mg/5 ml
ACOR20349NEMIS	Acidex  Oral suspension  Peppermint
RATA34094EMIS	Rabeprazole Sodium  E/c tablets  10 mg
SUE/38261MGEMIS	Sulfasalazine  E/c tablets  500 mg (Alpharma)
MEM/16719NEMIS	Mesren Mr  M/R tablets  400 mg
COCA34443MGEMIS	Co-Danthramer 25/200  Capsules  (A.A.H. Pharm)
KAMI35622MGEMIS	Kaolin And Morphine  Mixture  bp (Kent Pharm)
GLOR116876NEMIS	Glycopyrronium Bromide  Oral Solution, Sugar Free  1 mg/5 ml
CACA33458NEMIS	Calcium Carbonate  Capsules  400 mg
NICA138941NEMIS	Nizatidine (Imported)  Capsules  300 mg 
PACA10587BRIDL	Pancrease  Capsules  
ANOI164	Anacal  Ointment  
CIEF23280NEMIS	Citric Acid And Magnesium Carbonate  Effervescent Powder Sachets Sugar Free  17.79 g + 11.57 g/sachet
META1778	Merbentyl  Tablets  10 mg
ZOOR14903NEMIS	Zoton Fastab  Orodispersible tablets (Gastro-Resistant)  30 mg
ENM/28268EMIS	Entocort Cr  M/R capsules (Gastro-Resistant)  3 mg
DOCO5087NEMIS	Docusate Sodium  Compound Enema  
GACH36667NEMIS	Gaviscon Extra Strength  Chewable tablets  Peppermint
COSU25950EMIS	Co-Magaldrox 195/220  Sugar-free suspension  
MEGA48143NEMIS	Mezzopram  Dispersible (Gastro-Resistant) Tablets  10 mg
IMSO96298NEMIS	Imodium Liquicaps  Soft Capsules  2 mg
BITA10630BRIDL	Bisoprolol Fumarate  Tablets  5 mg
OMCA36310MGEMIS	Omeprazole  Capsules  20 mg (Alpharma)
LOCA35802MGEMIS	Loperamide Hydrochloride  Capsules  2 mg (Teva UK)
OCGA48257NEMIS	Octasa Mr  Gastro-resistant Tablets  800 mg
RATA16400NEMIS	Ramipril  Tablets  2.5 mg
LILI35750MGEMIS	Liquid Paraffin B.P.  Liquid  (Unichem)
OMCA36314MGEMIS	Omeprazole  Capsules  20 mg (Sandoz)
COCA718	Colpermin Ibs Relief  Gastro-Resistant Modified-Release Capsules  
DOTA9438HILLI	Doxazosin Mesilate  Tablets  1 mg
URCA131766NEMIS	Ursonorm  Capsules  250 mg
LOOR103457NEMIS	Loperamide Hydrochloride  Orodispersible Tablets (Sugar Free)  2 mg
BERE10060BRIDL	Betnovate  Rectal ointment with applicator  
COOR100562NEMIS	Cosmocol Paediatric  Oral powder  6.9 grams/sachet
SHOI135593NEMIS	Shark Liver Oil And Yeast Cell Extract  Ointment  3 % + 1 %
SOCO5094NEMIS	Sodium Citrate  Compound Enema  5 ml
OMTA1188NEMIS	Omeprazole  Tablets (Gastro-Resistant)  40 mg
ANCR182	Anusol  Cream  
APGA51046NEMIS	Apercap  Gastro-resistant Capsules  0.2 ml
CETA512	Celevac  Tablets  500 mg
AXCA5859	Axid  Capsules  150 mg
COCA26264EMIS	Co-Danthramer 25/200  Capsules  
GLOR85812NEMIS	Glycopyrronium Bromide  Oral suspension  5 mg/5 ml
FECA24144EMIS	Fenofibrate  Capsules  200 mg
RAEF36853MGEMIS	Ranitidine  Effervescent tablets  300 mg (Kent Pharm)
ISTA5058	Isosorbide Mononitrate  Tablets  10 mg
RERE20266NEMIS	Rectogesic  Rectal ointment  0.4 %
URCA37351MGEMIS	Ursodeoxycholic Acid  Capsules  250 mg (A.A.H. Pharm)
MEGA33312NEMIS	Mesalazine  Gastro-resistant M/R granules  1.5 gram/sachet, sugar free
FLRE25780NEMIS	Fleet Bisacodyl  Ready To Use Enema  10 mg/enema
RATA45009NEMIS	Ranitic  Tablets  300 mg
PYLI4241	Pyrogastrone  Liquid  
PRRE30290EMIS	Prednisolone  Retention enema  long tube, 20 mg/100 ml
SIOR120354NEMIS	Sialanar  Oral solution  320 micrograms/ml
ULSU4471	Ultraproct  Suppositories  
PHEN15280NEMIS	Phosphates Enema Formula B  Enema  Standard Tube, 128 ml
SOSU104978NEMIS	Sodium Dihydrogen Phosphate Anhydrous/Sodium Bicarbonate  Suppositories  680 mg + 500 mg
PRSU2361	Proctosedyl  Suppositories  
OMCA36332MGEMIS	Omeprazole  Capsules  10 mg (Teva UK)
RATA36875MGEMIS	Ranitidine  Tablets  300 mg (Generics (UK))
IMSY1445	Imodium  Oral solution  1 mg/5 ml
KOSA25800EMIS	Konsyl  Sachets  6 grams/sachet
GLOR120352NEMIS	Glycopyrronium Bromide  Oral Solution, Sugar Free  400 micrograms/ml
IMCA78493NEMIS	Imodium Plus Comfort  Tablets  
MEE/37558MGEMIS	Mesalazine  E/c tablets  400 mg (Kent Pharm)
DASU6445NEMIS	Danlax  Suspension  
RACA8951EMIS	Ramipril  Capsules  2.5 mg
PYTA4242	Pyrogastrone  Chewable tablets  
PERE9443BRIDL	Pentasa  Retention enema  1 g/100 ml
GLSU11871NEMIS	Glycerol (Adult)  Suppositories  4 gram
CRCA13282NEMIS	Creon 40000  Capsules  
FYGR12647NEMIS	Fybogel  Granules (Plain)  3.5 grams/sachet
DICA9427BRIDL	Dipentum  Capsules  250 mg
PRSU797NEMIS	Preparation H  Suppositories  
RITA52592NEMIS	Rivaroxaban  Tablets  20 mg
SUGA78926NEMIS	Sulazine Ec  Gastro-resistant Tablets  500 mg
ELTA123811NEMIS	Eluxadoline  Tablets  100 mg
URSO131717NEMIS	Urea [13-C]  Soluble tablets  100 mg Breath Test Kit
ALCA4576	Alverine Citrate  Capsules  60 mg
MACA105647NEMIS	Magnesium Oxide  Capsules  500 mg
BUIN443	Buscopan  Injection  20 mg/ml, 1 ml ampoule
HIGR76974NEMIS	Hidrasec Children  Granules  30 mg/sachet
MAOR122306NEMIS	Magnesium Hydroxide  Oral suspension  8 %
CATA485	Carbellon  Tablets  
URTA131767NEMIS	Ursonorm  Tablets  500 mg
PRTA2396	Propranolol Hydrochloride  Tablets  80 mg
DICA29700EMIS	Diovan  Capsules  40 mg
SOSU104977NEMIS	Sodium Dihydrogen Phosphate Anhydrous/Sodium Bicarbonate  Suppositories  340 mg + 250 mg
SEGR2533	Senna  Granules  15 mg/5 ml
DAIN35084EMIS	Dalteparin Sodium  Injection  15,000 units/0.6 ml pre-filled syringe
RATA26987EMIS	Ranitidine Bismuth Citrate  Tablets  400 mg
COTA12634NEMIS	Cozaar  Tablets  100 mg
URTA78638NEMIS	Ursofalk  Tablets  500 mg
PESP22592EMIS	Perinal  Spray  
RETA42099NEMIS	Resolor  Tablets  2 mg
MECA23120NEMIS	Mepradec  Capsules (Gastro-Resistant)  20 mg
NOTA12496NEMIS	Normaloe  Tablets  2 mg
HICA76967NEMIS	Hidrasec  Capsules  100 mg
CIOI629	Cinchocaine Hydrochloride  Ointment  1.1 %
MEM/1722NEMIS	Mesalazine  M/R Granules Sugar Free  1 gram/sachet
RATA36874MGEMIS	Ranitidine  Tablets  300 mg (Sterwin Medicines)
URTA37354MGEMIS	Ursodeoxycholic Acid  Tablets  150 mg (A.A.H. Pharm)
LOCA35807MGEMIS	Loperamide Hydrochloride  Capsules  2 mg (SSL International)
RATA18576NEMIS	Ramipril And M/r Felodipine  Tablets  5 mg + 5 mg
RAEF36851MGEMIS	Ranitidine  Effervescent tablets  300 mg (A.A.H. Pharm)
ANCR3182	Anugesic-Hc  Cream  
RATA36870MGEMIS	Ranitidine  Tablets  300 mg (The Boots Company)
RATA36860MGEMIS	Ranitidine  Tablets  150 mg (Generics (UK))
COSA4772NEMIS	Coated Sterculia  Sachets  62 %, 7 grams/sachet, gluten free
NITA25526EMIS	Nicorandil  Tablets  10 mg
TETA124808NEMIS	Telotristat Ethyl  Tablets  250 mg
SUSU17832NEMIS	Sulfasalazine  Suppositories  500 mg
MAMI10362BRIDL	Magnesium Sulfate  Mixture  
LASU34195EMIS	Lansoprazole  Granules for Oral Suspension (Gastro-Resistant)  30 mg/sachet
LILI35747MGEMIS	Liquid Paraffin B.P.  Liquid  (Vantage)
ZIOI135300NEMIS	Zinc Oxide And Lidocaine  Ointment  6.6 % + 0.7 %
HYOR42165NEMIS	Hydrotalcite  Oral Suspension Sugar Free  500 mg/5 ml
DOTA9440HILLI	Doxazosin Mesilate  Tablets  4 mg
SUTA6776	Sucralfate  Tablets  1 gram
ADIN9601EMIS	Adenosine  Injection  3 mg/ml, 2 ml vial
AREN6895	Arachis Oil  Enema  130 ml
CITA34344MGEMIS	Cimetidine  Tablets  400 mg (Ivax Pharmaceuticals)
URCA5489	Ursodeoxycholic Acid  Capsules  250 mg
WATA3068	Warfarin Sodium  Tablets  1 mg
SASU28791EMIS	Salofalk  Suppositories  500 mg
LOCA35796MGEMIS	Loperamide Hydrochloride  Capsules  2 mg (The Boots Company)
KAMI37781MGEMIS	Kaolin  Mixture  BP (A.A.H. Pharm)
MAOR122305NEMIS	Magnesium Hydroxide  Oral suspension  BP 7.45 % - 8.35 %
SASU10642BRIDL	Salazopyrin  Suspension  250 mg/5 ml
BETI3911NEMIS	Belladonna  Tincture  BP
ALTA63	Aldactone  Tablets  100 mg
DICR15437NEMIS	Diltiazem Hydrochloride  Cream  2 %
ATTA3202	Atropine Sulfate  Tablets  600 micrograms
WOCO6303NEMIS	Woodwards  Colic Drops  20 mg/0.3 ml
DACA29863NEMIS	Dabigatran Etexilate  Capsules  110 mg
RATA11632NEMIS	Ranitil  Tablets  300 mg
OMDI13050NEMIS	Omeprazole  Dispersible (Gastro-Resistant) Tablets  20 mg
DUSY1007	Duphalac  Oral solution  3.35 g/5 ml
APTA51806NEMIS	Apixaban  Tablets  2.5 mg
MOTA29588EMIS	Moxonidine  Tablets  400 micrograms
IDPO12827NEMIS	Idrolax  Powder for oral solution (orange-grapefruit)  10 grams/sachet
LILI1671	Liquid Paraffin  Liquid  
RECH48790NEMIS	Rennie Spearmint  Chewable tablets  
GLOR46463NEMIS	Glycopyrronium Bromide  Oral suspension  200 micrograms/5 ml
CITA34338MGEMIS	Cimetidine  Tablets  400 mg (Sandoz)
RATA36868MGEMIS	Ranitidine  Tablets  150 mg (Goldshield)
CATA34018EMIS	Carvedilol  Tablets  6.25 mg
ALCA3151	Alu-Cap  Capsules  475 mg
KOCA102396NEMIS	Kolbam  Capsules  50 mg
IMCA52822NEMIS	Imodium Original  Capsules  2 mg
LOCA23820EMIS	Losec  Capsules  40 mg
GLOR51132NEMIS	Glycopyrronium Bromide  Oral suspension  3 mg/5 ml
ASSU218	Asilone  Suspension  
LASO35677MGEMIS	Lactulose  Solution  3.35 g/5 ml (Lloyds)
DOCA23707EMIS	Docusate Sodium  Capsules  100 mg
OIIN21827NEMIS	Oily Phenol  Injection  BP 5 %, 2 ml ampoule
BITA10632BRIDL	Bisoprolol Fumarate  Tablets  10 mg
BITA2333NEMIS	Bisoprolol Fumarate  Tablets  2.5 mg
KLPO10171BRIDL	Klean-Prep  Powder for reconstitution  
TAIN2772	Tagamet  Injection  100 mg/ml, 2 ml ampoule
OMOR134408NEMIS	Omeprazole  Oral solution  20 mg/5 ml
GLSU37810MGEMIS	Glycerol (Adult)  Suppositories  4 gram (Kent Pharm)
OLCA10425BRIDL	Olsalazine Sodium  Capsules  250 mg
MEE/20664EMIS	Mesalazine  Gastro-resistant Tablets  250 mg
PRRE4198	Predenema  Retention enema  standard tube, 20 mg/100 ml
SETA2535	Senna  Tablets  7.5 mg
MUSU3981	Mucogel  Suspension  
CITA34336MGEMIS	Cimetidine  Tablets  200 mg (Ivax Pharmaceuticals)
PETA9810HILLI	Perindopril Erbumine  Tablets  4 mg
KAMI35623MGEMIS	Kaolin And Morphine  Mixture  bp (Thornton & Ross)
SETA36933MGEMIS	Senna  Tablets  7.5 mg (Teva UK)
COSU25096EMIS	Co-Danthrusate 50/60  Suspension  Sugar Free
HYSU5011	Hydrotalcite  Suspension  500 mg/5 ml
MACO8926EGTON	Magnesium Trisilicate  Compound tablets  
HYOR46477NEMIS	Hyoscine Butylbromide  Oral suspension  10 mg/5 ml
ISM/30270EMIS	Isosorbide Mononitrate  M/R capsules  60 mg
ESPO17143NEMIS	Esomeprazole  Powder For Solution For Injection/Infusion  40 mg vial
RATA16401NEMIS	Ramipril  Tablets  5 mg
DUCA138387NEMIS	DulcoEase  Capsules  100 mg
CLIN3353NEMIS	Clexane  Injection  120 mg/0.8 ml pre-filled syringe
FLEN3594	Fletchers Enemette  Enema  
OMOR46512NEMIS	Omeprazole  Oral solution  40 mg/5 ml
FATA35018MGEMIS	Famotidine  Tablets  40 mg (Sandoz)
CIOR14287NEMIS	Cimetidine  Oral solution  200 mg/5 ml
SIEM17916NEMIS	Simeticone  Emulsion (Oral Drops)  21 mg/2.5 ml
RATA36876MGEMIS	Ranitidine  Tablets  300 mg (Teva UK)
MEGA23119NEMIS	Mepradec  Capsules (Gastro-Resistant)  10 mg
FATA35017MGEMIS	Famotidine  Tablets  40 mg (Ivax Pharmaceuticals)
CATA31827EMIS	Candesartan Cilexetil  Tablets  8 mg
URCA32496EMIS	Ursogal  Capsules  250 mg
GLSU37811MGEMIS	Glycerol (Adult)  Suppositories  4 gram (Martindale)
IMOR14674NEMIS	Imodium Instants  Orodispersible tablets  2 mg
CATA31826EMIS	Candesartan Cilexetil  Tablets  4 mg
LIEM10019BRIDL	Liquid Paraffin And Magnesium Hydroxide  Emulsion  Sugar Free
PRTA42096NEMIS	Prucalopride  Tablets  2 mg
AXIN24034EMIS	Axid  Injection  100 mg/4 ml ampoule
OMOR46513NEMIS	Omeprazole  Oral suspension  40 mg/5 ml
ASM/16289NEMIS	Asacol Mr  Gastro-resistant Tablets  400 mg
OMCA36337MGEMIS	Omeprazole  Capsules  10 mg (Alpharma)
RAEF17936EMIS	Ranitidine  Effervescent tablets  300 mg
ASTA4609	Aspirin  Tablets  75 mg
GLSU35305MGEMIS	Glycerol (Child)  Suppositories  2 gram (Thornton & Ross)
KOSA1074NEMIS	Konsyl  Sachets Sugar Free (Orange)  3.5 grams/sachet
GACH88148NEMIS	Gaviscon Strawberry  Chewable tablets  
KOCA102397NEMIS	Kolbam  Capsules  250 mg
LOCA35804MGEMIS	Loperamide Hydrochloride  Capsules  2 mg (Unichem)
IMCA1444	Imodium  Capsules  2 mg
DAIN35085EMIS	Dalteparin Sodium  Injection  18,000 units/0.72 ml pre-filled syringe
DIDI16216NEMIS	Diabact Ubt  Diagnostic Test  
GLOR46464NEMIS	Glycopyrronium Bromide  Oral solution  2 mg/5 ml
NIM/19826EMIS	Nifedipine  M/R tablets  30 mg
FATA35016MGEMIS	Famotidine  Tablets  40 mg (Unichem)
TATA2775	Tagamet  Tablets  200 mg
CITA34342MGEMIS	Cimetidine  Tablets  400 mg (Ranbaxy)
GLOR47618NEMIS	Glycopyrronium Bromide  Oral solution  4 mg/5 ml
LAOR14898NEMIS	Lansoprazole  Orodispersible tablets (Gastro-Resistant)  15 mg
LOSU9001DLSEM	Loperamide Hydrochloride  Oral Solution, Sugar Free  1 mg/5 ml
LESU82333NEMIS	Lecicarbon A  Suppositories  
HAM/21986EMIS	Half Securon Sr  M/R tablets  120 mg
RATA35521EMIS	Rantec  Tablets  300 mg
MEGA47514NEMIS	Mesalazine  Gastro-resistant Tablets  500 mg
CAOR20148NEMIS	Calcium Carbonate  Oral suspension  600 mg/5 ml
RATA16163NEMIS	Ranzac  Tablets  75 mg
HYOR46476NEMIS	Hyoscine Butylbromide  Oral solution  10 mg/5 ml
PETA10769BRIDL	Peptimax 200  Tablets  200 mg
ORCA102399NEMIS	Orphacol  Capsules  50 mg
PRTA30705EMIS	Pravastatin  Tablets  40 mg
NATA133940NEMIS	Naldemedine  Tablets  200 micrograms
DUSUEGTON6657	Dulcolax  Suppositories  10 mg
NATA104787NEMIS	Naloxegol Oxalate  Tablets  12.5 mg
CITA34335MGEMIS	Cimetidine  Tablets  200 mg (Ranbaxy)
CAM/6442NEMIS	Cardura Xl  M/R tablets  4 mg
HYFO5005	Hydrocortisone Acetate  Foam  10 %
PRGE1554NEMIS	Preparation H  Gel  50 %
LASO35669MGEMIS	Lactulose  Solution  3.35 g/5 ml (Novartis Consumer Health)
LETA32002EMIS	Lercanidipine Hydrochloride  Tablets  10 mg
RESA28575EMIS	Regulan  Sachets (orange)  3.4 grams/sachet
LAOR46485NEMIS	Lansoprazole  Oral solution  30 mg/5 ml
FRIN22822EMIS	Fragmin  Injection  2,500 units/0.2 ml pre-filled syringe
SUEN86689NEMIS	Sucralfate  Enema  2 gram/50 ml
META35921MGEMIS	Mebeverine Hydrochloride  Tablets  135 mg (A.A.H. Pharm)
FATA35024MGEMIS	Famotidine  Tablets  20 mg (Ivax Pharmaceuticals)
ALSU5797	Algicon  Suspension  
CIOI19982NEMIS	Cinchocaine And Prednisolone  Ointment  0.5 % + 0.19 %
ENPO90877NEMIS	Entyvio  Powder for concentrate for solution for infusion  300 mg vial
MEGA27786NEMIS	Mesalazine  Gastro-resistant M/R Tablets  1.2 grams
GLOR73967NEMIS	Glycopyrronium Bromide  Oral solution  750 micrograms/5 ml
MALI1713	Magnesium Trisilicate Mixture  Liquid  
CHCA102394NEMIS	Cholic Acid  Capsules  250 mg
CRTA15074NEMIS	Crestor  Tablets  10 mg
MAOR118748NEMIS	Macrogol Compound Half-Strength  Oral Powder (sachets)  NPF Sugar Free
CISU13821NEMIS	Cimetidine  Sugar free suspension  200 mg/5 ml
IPE/13814NEMIS	Ipocol  Gastro-resistant Tablets  400 mg
ROTA16179NEMIS	Robinul  Tablets  1 mg
CACH124938NEMIS	Calcium Carbonate  Chewable tablets  500 mg
CITA34343MGEMIS	Cimetidine  Tablets  400 mg (Alpharma)
MACA105655NEMIS	Magdose  Capsules  500 mg
ORCA78092NEMIS	Oromag 160  Capsules  160 mg
RAOR48248NEMIS	Ranitidine  Oral suspension  5 mg/5 ml
LIEM35743MGEMIS	Liquid Paraffin And Magnesium Hydroxide  Emulsion  (A.A.H. Pharm)
COFO3342	Colifoam  Foam  10 %
GLTA4971	Glycopyrronium Bromide  Tablets  2 mg
ZOCA28115EMIS	Zoton  Capsules (Gastro-Resistant)  15 mg
NOCA2031	Normax  Capsules  
OMOR22068NEMIS	Omeprazole  Oral suspension  20 mg/5 ml
LAOR51734NEMIS	Laxagol  Oral powder sachets  
LAOR42925NEMIS	Lansoprazole  Oral suspension  5 mg/5 ml
CHTA117915NEMIS	Cholurso  Tablets  250 mg
ZAEF17932EMIS	Zantac  Effervescent tablets  300 mg
MEGA16607NEMIS	Mesalazine  Gastro-resistant M/R granules  500 mg/sachet
MIOR15978NEMIS	Mil-Par  Oral suspension  
SPTA2666	Spironolactone  Tablets  100 mg
NEGR39419NEMIS	Nexium  Granules for Oral Suspension (Gastro-Resistant)  10 mg sachet
LOCA35800MGEMIS	Loperamide Hydrochloride  Capsules  2 mg (Thornton & Ross)
LOCA25323EMIS	Losec  Capsules  10 mg
CLIN3354NEMIS	Clexane  Injection  150 mg/1 ml pre-filled syringe
GLSU35304MGEMIS	Glycerol (Infant)  Suppositories  1 gram (Kent Pharm)
OMTA14454NEMIS	Omeran  Tablets  10 mg
ZAS/10816BRIDL	Zantac  S/f syrup  75 mg/5 ml
COTA716	Colofac  Tablets  135 mg
ALCA31975EMIS	Alverine Citrate  Capsules  120 mg
SOOR52640NEMIS	Sodium Citrate  Oral solution  441.17 mg/5 ml
ULOI4470	Ultraproct  Ointment  
SUTA17836NEMIS	Sulfasalazine  Tablets  500 mg
EDTA103668NEMIS	Edoxaban  Tablets  30 mg
COSU9361HILLI	Co-Simalcite 125/500  Suspension  Sugar Free
UROR131718NEMIS	Urea [13-C]  Oral powder  45 mg Breath Test Kit Sugar Free
OMCA36330MGEMIS	Omeprazole  Capsules  10 mg (A.A.H. Pharm)
BISU33969MGEMIS	Bisacodyl  Suppositories  10 mg (Martindale)
OMCA10940BRIDL	Omeprazole  Capsules (Gastro-Resistant)  20 mg
MEE/32619EMIS	Mesalazine  Gastro-resistant Tablets  400 mg
KAMI1541	Kaolin And Morphine  Mixture  bp
PATA29719EMIS	Pantoprazole  Gastro-resistant Tablets  40 mg
CIOR44086NEMIS	Cimetidine  Oral Solution, Sugar Free  200 mg/5 ml
MACO117269NEMIS	Macrogol  Compound Oral Liquid  25 ml sachets NPF sugar free
SOOR18527NEMIS	Sodium Alginate And Magnesium Alginate  Oral Powder Sachets Sugar Free  225 mg + 87.5 mg/dose
OBTA121233NEMIS	Obeticholic Acid  Tablets  5 mg
FATA35025MGEMIS	Famotidine  Tablets  20 mg (Generics (UK))
PRTA4212	Pro-Banthine  Tablets  15 mg
HYIN1412	Hyoscine Butylbromide  Injection  20 mg/ml, 1 ml ampoule
MAOR90753NEMIS	Macilax Paediatric  Oral powder sachets  6.9 grams/sachet
FYSA26486EMIS	Fybogel  Granules (Lemon)  3.5 grams/sachet
MACA46780NEMIS	Magnesium Oxide  Capsules  100 mg
IMTA1746NEMIS	Imodium Plus  Tablets  
IRTA31577EMIS	Irbesartan  Tablets  300 mg
SICA115682NEMIS	Simeticone  Capsules  100 mg
ASDI224	Aspirin  Dispersible tablets  75 mg
PEM/30153NEMIS	Pentasa  M/R granules  2 gram/sachet
URCA37353MGEMIS	Ursodeoxycholic Acid  Capsules  250 mg (Generics (UK))
DITA17627NEMIS	Dicycloverine  Tablets  10 mg
CLIN30038EMIS	Clexane  Injection  80 mg/0.8 ml pre-filled syringe
LATA23421EMIS	Lacidipine  Tablets  2 mg
DETA3390	De-Noltab  Tablets  120 mg
TATA33085EMIS	Tagadine  Tablets  400 mg
HEDI14682NEMIS	Helicobacter Test Hp-Plus  Diagnostic Test  
SOTA6817	Sotalol Hydrochloride  Tablets  80 mg
XYOI4533	Xyloproct  Ointment  
ISOR38496NEMIS	Ispaghula Husk  Oral Powder, Sugar Free  
CLEN119446NEMIS	Cleen Ready-to-use  Enema  133 ml
GALI47498NEMIS	Gaviscon Cool  Liquid  
BISU100812NEMIS	Bisacodyl  Suppositories  7.5 mg
HYTA1413	Hyoscine Butylbromide  Tablets  10 mg
MOPO25192NEMIS	Movicol Plain  Powder sachets  13.7 grams/sachet
TATA22056EMIS	Tambocor  Tablets  50 mg
RATA36859MGEMIS	Ranitidine  Tablets  150 mg (Sterwin Medicines)
LOCA1691	Loperamide Hydrochloride  Capsules  2 mg
OMOR134407NEMIS	Omeprazole  Oral solution  10 mg/5 ml
CITA34347MGEMIS	Cimetidine  Tablets  800 mg (Generics (UK))
PRTA42094NEMIS	Prucalopride  Tablets  1 mg
TATA2776	Tagamet  Tablets  400 mg
SUTA38269MGEMIS	Sulfasalazine  Tablets  500 mg (Ivax Pharmaceuticals)
ISGR30801NEMIS	Ispaghula Husk Sugar and Gluten Free  Granules  3.5 grams/sachet
OMCA36304MGEMIS	Omeprazole  Capsules  20 mg (A.A.H. Pharm)
CACA27007EMIS	Capsuvac  Capsules  
MACA20101NEMIS	Magnesium Oxide  Capsules  160 mg
GLOR46465NEMIS	Glycopyrronium Bromide  Oral suspension  2 mg/5 ml
SICA122381NEMIS	Simalvia  Capsules  60 mg + 300 mg
CAOI37840MGEMIS	Castor  Oil  BP (A.A.H. Pharm)
OLTA28177EMIS	Olsalazine Sodium  Tablets  500 mg
